step,task,fresh_pairs,loss,grad_norm,accuracy,step_seconds,wall_utc
1,contour,32,0.7014593482017517,1.6445014476776123,0.53125,1.702999999979511,2026-09-12T23:59:23.596393+00:00
2,motion_direction,64,1.3925061225891113,1.3878369331359863,0.28125,0.10899999993853271,2026-09-12T23:59:23.697121+00:00
3,contour,96,0.8733044266700745,3.216000556945801,0.5,0.1720000000204891,2026-09-12T23:59:23.868514+00:00
4,orientation,128,0.7218830585479736,0.9775335788726807,0.40625,0.0779999999795109,2026-09-12T23:59:23.954059+00:00
5,contour,160,0.69537752866745,0.5944662094116211,0.5,0.15600000019185245,2026-09-12T23:59:24.102435+00:00
6,contrast,192,0.7085533738136292,1.1426745653152466,0.46875,0.09399999980814755,2026-09-12T23:59:24.192400+00:00
7,contour,224,0.6950587630271912,0.27125370502471924,0.5,0.1410000000614673,2026-09-12T23:59:24.343955+00:00
8,spatial_frequency,256,0.7042984366416931,0.622351348400116,0.5,0.0940000000409782,2026-09-12T23:59:24.430822+00:00
9,contour,288,0.7133116126060486,0.5441188216209412,0.5,0.13999999989755452,2026-09-12T23:59:24.578481+00:00
10,chromatic_increment,320,0.7222028374671936,0.7267237305641174,0.5,0.11000000010244548,2026-09-12T23:59:24.680610+00:00
11,contour,352,0.7006386518478394,0.40564751625061035,0.5,0.1559999999590218,2026-09-12T23:59:24.833704+00:00
12,natural_spectrum,384,0.7117989659309387,1.2153016328811646,0.5,0.4839999999385327,2026-09-12T23:59:25.317057+00:00
13,contour,416,0.6874897480010986,0.31569704413414,0.53125,0.15600000019185245,2026-09-12T23:59:25.486798+00:00
14,motion_direction,448,1.4056674242019653,0.3644537925720215,0.15625,0.10999999986961484,2026-09-12T23:59:25.593934+00:00
15,contour,480,0.7048702239990234,0.2583647072315216,0.4375,0.1559999999590218,2026-09-12T23:59:25.742772+00:00
16,orientation,512,0.70307856798172,0.5946378707885742,0.5,0.0779999999795109,2026-09-12T23:59:25.828607+00:00
17,contour,544,0.704276442527771,0.23480351269245148,0.46875,0.1720000000204891,2026-09-12T23:59:25.993639+00:00
18,contrast,576,0.751743733882904,1.2092000246047974,0.5,0.0940000000409782,2026-09-12T23:59:26.084676+00:00
19,contour,608,0.6924439668655396,0.13995985686779022,0.5,0.14000000013038516,2026-09-12T23:59:26.234815+00:00
20,spatial_frequency,640,0.6921588778495789,0.26251089572906494,0.5,0.09399999980814755,2026-09-12T23:59:26.320160+00:00
