step,task,fresh_pairs,loss,grad_norm,accuracy,step_seconds,wall_utc
1,contour,32,0.7014593482017517,1.6445014476776123,0.53125,1.75,2026-09-12T23:55:30.018487+00:00
2,motion_direction,64,1.3925061225891113,1.3878366947174072,0.28125,0.10899999993853271,2026-09-12T23:55:30.124346+00:00
3,contour,96,0.8733043670654297,3.216000556945801,0.5,0.1720000000204891,2026-09-12T23:55:30.298601+00:00
4,orientation,128,0.7218830585479736,0.9775335788726807,0.40625,0.10900000017136335,2026-09-12T23:55:30.396428+00:00
5,contour,160,0.6953775882720947,0.5944640040397644,0.5,0.21899999980814755,2026-09-12T23:55:30.617522+00:00
6,contrast,192,0.7085534930229187,1.1426793336868286,0.46875,0.0940000000409782,2026-09-12T23:55:30.712469+00:00
7,contour,224,0.6950586438179016,0.2712532877922058,0.5,0.18700000015087426,2026-09-12T23:55:30.896191+00:00
8,spatial_frequency,256,0.7042988538742065,0.6223596930503845,0.5,0.0779999999795109,2026-09-12T23:55:30.987199+00:00
9,contour,288,0.7133117914199829,0.5441199541091919,0.5,0.20399999991059303,2026-09-12T23:55:31.186086+00:00
10,chromatic_increment,320,0.7222027778625488,0.7267249822616577,0.5,0.10899999993853271,2026-09-12T23:55:31.288799+00:00
11,contour,352,0.700638473033905,0.40564823150634766,0.5,0.1720000000204891,2026-09-12T23:55:31.464111+00:00
12,natural_spectrum,384,0.7117985486984253,1.2152979373931885,0.5,0.5620000001508743,2026-09-12T23:55:32.030876+00:00
13,contour,416,0.6874896287918091,0.31569749116897583,0.53125,0.2029999999795109,2026-09-12T23:55:32.230496+00:00
14,motion_direction,448,1.405667781829834,0.36445289850234985,0.15625,0.10999999986961484,2026-09-12T23:55:32.339620+00:00
15,contour,480,0.7048702836036682,0.2583645284175873,0.4375,0.2190000000409782,2026-09-12T23:55:32.554076+00:00
16,orientation,512,0.7030792236328125,0.594654381275177,0.5,0.10899999993853271,2026-09-12T23:55:32.664198+00:00
17,contour,544,0.7042765617370605,0.234804168343544,0.46875,0.2660000000614673,2026-09-12T23:55:32.929174+00:00
18,contrast,576,0.7517436742782593,1.209198236465454,0.5,0.09300000010989606,2026-09-12T23:55:33.027310+00:00
19,contour,608,0.6924442052841187,0.13996097445487976,0.5,0.18799999984912574,2026-09-12T23:55:33.216363+00:00
20,spatial_frequency,640,0.692159116268158,0.2625120282173157,0.5,0.0940000000409782,2026-09-12T23:55:33.310236+00:00
21,contour,672,0.7044639587402344,0.18181900680065155,0.4375,0.17100000008940697,2026-09-12T23:55:33.478355+00:00
22,chromatic_increment,704,0.7080148458480835,0.497071772813797,0.5,0.10999999986961484,2026-09-12T23:55:33.585287+00:00
23,contour,736,0.6899411678314209,0.2075086534023285,0.5,0.1559999999590218,2026-09-12T23:55:33.750477+00:00
24,natural_spectrum,768,0.6877480149269104,0.25234878063201904,0.53125,0.4529999999795109,2026-09-12T23:55:34.198828+00:00
25,contour,800,0.6933475732803345,0.16085967421531677,0.5,0.15600000019185245,2026-09-12T23:55:34.362782+00:00
26,motion_direction,832,1.3969001770019531,0.19823676347732544,0.3125,0.125,2026-09-12T23:55:34.476237+00:00
27,contour,864,0.6914769411087036,0.14773660898208618,0.5,0.18799999984912574,2026-09-12T23:55:34.675151+00:00
28,orientation,896,0.7114564180374146,0.4016055166721344,0.5,0.10900000017136335,2026-09-12T23:55:34.776117+00:00
29,contour,928,0.6981454491615295,0.15953990817070007,0.40625,0.23499999986961484,2026-09-12T23:55:35.013009+00:00
30,contrast,960,0.6989977955818176,0.32411712408065796,0.5,0.09300000010989606,2026-09-12T23:55:35.107234+00:00
31,contour,992,0.6914609670639038,0.13081245124340057,0.5,0.21899999980814755,2026-09-12T23:55:35.323467+00:00
32,spatial_frequency,1024,0.695809006690979,0.18373829126358032,0.46875,0.0940000000409782,2026-09-12T23:55:35.413069+00:00
