step,task,fresh_pairs,loss,grad_norm,accuracy,step_seconds,wall_utc
1,contour,32,0.7014102339744568,1.9466160535812378,0.5,1.7349999998696148,2026-09-12T23:55:43.760389+00:00
2,motion_direction,64,1.3865854740142822,1.1852073669433594,0.34375,0.14000000013038516,2026-09-12T23:55:43.906871+00:00
3,contour,96,0.8692560195922852,3.37288236618042,0.5,0.2029999999795109,2026-09-12T23:55:44.101154+00:00
4,orientation,128,0.7147287726402283,1.0627151727676392,0.4375,0.125,2026-09-12T23:55:44.238595+00:00
5,contour,160,0.689475417137146,0.5400082468986511,0.5,0.23499999986961484,2026-09-12T23:55:44.460559+00:00
6,contrast,192,0.7203157544136047,1.3761662244796753,0.46875,0.125,2026-09-12T23:55:44.598542+00:00
7,contour,224,0.6988046765327454,0.31211960315704346,0.46875,0.18799999984912574,2026-09-12T23:55:44.797232+00:00
8,spatial_frequency,256,0.7018887400627136,0.5873469710350037,0.5,0.1410000000614673,2026-09-12T23:55:44.933066+00:00
9,contour,288,0.7156842350959778,0.5723889470100403,0.5,0.2029999999795109,2026-09-12T23:55:45.144380+00:00
10,chromatic_increment,320,0.7121966481208801,0.5690446496009827,0.5,0.1559999999590218,2026-09-12T23:55:45.295005+00:00
11,contour,352,0.6957915425300598,0.3829749822616577,0.5,0.2029999999795109,2026-09-12T23:55:45.489451+00:00
12,natural_spectrum,384,0.7184247970581055,0.9388574361801147,0.5,0.5160000000614673,2026-09-12T23:55:46.009905+00:00
13,contour,416,0.6858065128326416,0.31285738945007324,0.53125,0.21800000010989606,2026-09-12T23:55:46.237870+00:00
14,motion_direction,448,1.4024267196655273,0.34493571519851685,0.25,0.15699999989010394,2026-09-12T23:55:46.387698+00:00
15,contour,480,0.7098071575164795,0.23511165380477905,0.40625,0.21800000010989606,2026-09-12T23:55:46.607464+00:00
16,orientation,512,0.7360952496528625,0.9744126796722412,0.5,0.14099999982863665,2026-09-12T23:55:46.742354+00:00
17,contour,544,0.7055539488792419,0.23668192327022552,0.4375,0.2029999999795109,2026-09-12T23:55:46.948947+00:00
18,contrast,576,0.7301450371742249,0.8220808506011963,0.5,0.125,2026-09-12T23:55:47.082399+00:00
19,contour,608,0.6948612332344055,0.16581451892852783,0.5625,0.2190000000409782,2026-09-12T23:55:47.299896+00:00
20,spatial_frequency,640,0.6910189390182495,0.21635691821575165,0.53125,0.1410000000614673,2026-09-12T23:55:47.441342+00:00
21,contour,672,0.705268383026123,0.20781859755516052,0.46875,0.2029999999795109,2026-09-12T23:55:47.635664+00:00
22,chromatic_increment,704,0.7024600505828857,0.4612633287906647,0.5,0.1559999999590218,2026-09-12T23:55:47.786560+00:00
23,contour,736,0.6854349970817566,0.23354090750217438,0.5,0.18700000015087426,2026-09-12T23:55:47.985660+00:00
24,natural_spectrum,768,0.691869854927063,0.1997443437576294,0.5625,0.43799999984912574,2026-09-12T23:55:48.422465+00:00
25,contour,800,0.6964804530143738,0.1833335906267166,0.46875,0.25,2026-09-12T23:55:48.673003+00:00
26,motion_direction,832,1.3978681564331055,0.2201450914144516,0.15625,0.1559999999590218,2026-09-12T23:55:48.820353+00:00
27,contour,864,0.6931028366088867,0.15548279881477356,0.46875,0.23500000010244548,2026-09-12T23:55:49.065602+00:00
28,orientation,896,0.6993849277496338,0.13943110406398773,0.5,0.13999999989755452,2026-09-12T23:55:49.202830+00:00
29,contour,928,0.6994317770004272,0.14718037843704224,0.3125,0.23500000010244548,2026-09-12T23:55:49.441493+00:00
30,contrast,960,0.6967922449111938,0.19084180891513824,0.46875,0.13999999989755452,2026-09-12T23:55:49.579553+00:00
31,contour,992,0.6921662092208862,0.1313844919204712,0.5,0.23500000010244548,2026-09-12T23:55:49.805638+00:00
32,spatial_frequency,1024,0.6937872767448425,0.1521569788455963,0.40625,0.13999999989755452,2026-09-12T23:55:49.947601+00:00
33,contour,1056,0.6962670087814331,0.11070718616247177,0.5,0.2190000000409782,2026-09-12T23:55:50.171483+00:00
34,chromatic_increment,1088,0.6946083903312683,0.16219045221805573,0.46875,0.1559999999590218,2026-09-12T23:55:50.329315+00:00
35,contour,1120,0.6845740675926208,0.16358278691768646,0.65625,0.25,2026-09-12T23:55:50.569548+00:00
36,natural_spectrum,1152,0.6938411593437195,0.21795430779457092,0.46875,0.4690000000409782,2026-09-12T23:55:51.047071+00:00
37,contour,1184,0.6891636252403259,0.16487522423267365,0.5,0.25,2026-09-12T23:55:51.297644+00:00
38,motion_direction,1216,1.3858298063278198,0.1381715089082718,0.3125,0.1720000000204891,2026-09-12T23:55:51.460791+00:00
39,contour,1248,0.691728949546814,0.1526174545288086,0.5,0.2339999999385327,2026-09-12T23:55:51.705554+00:00
40,orientation,1280,0.7063667178153992,0.15569394826889038,0.5,0.1410000000614673,2026-09-12T23:55:51.847060+00:00
41,contour,1312,0.696352481842041,0.1567145437002182,0.4375,0.2339999999385327,2026-09-12T23:55:52.079531+00:00
42,contrast,1344,0.6815330982208252,0.15829956531524658,0.6875,0.15600000019185245,2026-09-12T23:55:52.226872+00:00
43,contour,1376,0.6885266900062561,0.12535442411899567,0.5625,0.25,2026-09-12T23:55:52.477989+00:00
44,spatial_frequency,1408,0.6950435042381287,0.16786545515060425,0.4375,0.14099999982863665,2026-09-12T23:55:52.620388+00:00
45,contour,1440,0.690513014793396,0.12618261575698853,0.5,0.2660000000614673,2026-09-12T23:55:52.882674+00:00
46,chromatic_increment,1472,0.696405291557312,0.18172591924667358,0.5,0.1720000000204891,2026-09-12T23:55:53.059720+00:00
47,contour,1504,0.6959429383277893,0.11542448401451111,0.4375,0.25,2026-09-12T23:55:53.311789+00:00
48,natural_spectrum,1536,0.6741843223571777,0.20497825741767883,0.59375,0.3899999998975545,2026-09-12T23:55:53.708343+00:00
