step,episodes,frames_total,condition,delay,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics,first_trial_id
1,8,88,motion_duration_cued_D0,0,1.4743014574050903,0.0,8.6288480758667,1,11,2.450795888900757,"{""first_field_gradient"": 0.00011889230518136173, ""attention_gradient_norm"": 0.05265121906995773, ""priority_gradient_norm"": 0.5987789034843445, ""source_bias_gradient"": 0.0016178821679204702, ""locality_gradient"": 2.784333992167376e-05}",SpatialBattery/train/61973001/motion_duration_cued/0
2,16,208,motion_duration_cued_D4,4,1.517666220664978,0.125,8.584896087646484,1,15,0.819054365158081,{},SpatialBattery/train/61973001/motion_duration_cued/8
3,24,392,motion_duration_cued_D12,12,1.439266562461853,0.125,5.349193096160889,1,23,1.1839971542358398,{},SpatialBattery/train/61973001/motion_duration_cued/16
4,32,672,motion_duration_cued_D24,24,1.409663200378418,0.125,4.29324197769165,1,35,1.7953777313232422,{},SpatialBattery/train/61973001/motion_duration_cued/24
5,40,760,motion_duration_cued_D0,0,1.391872763633728,0.125,3.0484800338745117,1,11,0.5633890628814697,{},SpatialBattery/train/61973001/motion_duration_cued/32
6,48,944,motion_duration_cued_D12,12,1.4200934171676636,0.125,3.1070547103881836,1,23,1.151310920715332,{},SpatialBattery/train/61973001/motion_duration_cued/40
7,56,1064,motion_duration_cued_D4,4,1.4096802473068237,0.125,3.3420588970184326,1,15,0.7497825622558594,{},SpatialBattery/train/61973001/motion_duration_cued/48
8,64,1344,motion_duration_cued_D24,24,1.3907020092010498,0.375,2.9200732707977295,1,35,1.802314281463623,{},SpatialBattery/train/61973001/motion_duration_cued/56
9,72,1432,motion_duration_cued_D0,0,1.3619797229766846,0.375,2.0337774753570557,1,11,0.5634498596191406,{},SpatialBattery/train/61973001/motion_duration_cued/64
10,80,1616,motion_duration_cued_D12,12,1.4161999225616455,0.125,2.744610548019409,1,23,1.1832642555236816,{},SpatialBattery/train/61973001/motion_duration_cued/72
11,88,1896,motion_duration_cued_D24,24,1.3896561861038208,0.125,2.5714852809906006,1,35,1.7525880336761475,{},SpatialBattery/train/61973001/motion_duration_cued/80
12,96,2016,motion_duration_cued_D4,4,1.4056951999664307,0.375,2.8381459712982178,1,15,0.7694215774536133,{},SpatialBattery/train/61973001/motion_duration_cued/88
13,104,2296,motion_duration_cued_D24,24,1.4010080099105835,0.125,2.5246782302856445,1,35,1.7533378601074219,{},SpatialBattery/train/61973001/motion_duration_cued/96
14,112,2384,motion_duration_cued_D0,0,1.3811984062194824,0.25,2.3371849060058594,1,11,0.5677971839904785,{},SpatialBattery/train/61973001/motion_duration_cued/104
15,120,2568,motion_duration_cued_D12,12,1.379753828048706,0.25,1.7926081418991089,1,23,1.2003793716430664,{},SpatialBattery/train/61973001/motion_duration_cued/112
16,128,2688,motion_duration_cued_D4,4,1.396457552909851,0.125,2.3069493770599365,1,15,0.7624571323394775,{},SpatialBattery/train/61973001/motion_duration_cued/120
17,136,2872,motion_duration_cued_D12,12,1.3676979541778564,0.25,1.5594518184661865,1,23,1.1607179641723633,{},SpatialBattery/train/61973001/motion_duration_cued/128
18,144,2992,motion_duration_cued_D4,4,1.4036009311676025,0.125,2.6722848415374756,1,15,0.7941138744354248,{},SpatialBattery/train/61973001/motion_duration_cued/136
19,152,3272,motion_duration_cued_D24,24,1.4114500284194946,0.125,2.5522303581237793,1,35,1.7671656608581543,{},SpatialBattery/train/61973001/motion_duration_cued/144
20,160,3360,motion_duration_cued_D0,0,1.3816829919815063,0.125,2.518531560897827,1,11,0.5670680999755859,{},SpatialBattery/train/61973001/motion_duration_cued/152
21,168,3640,motion_duration_cued_D24,24,1.4482438564300537,0.125,4.400512218475342,1,35,1.7475407123565674,{},SpatialBattery/train/61973001/motion_duration_cued/160
22,176,3760,motion_duration_cued_D4,4,1.4041190147399902,0.125,5.251743316650391,1,15,0.7722785472869873,{},SpatialBattery/train/61973001/motion_duration_cued/168
23,184,3848,motion_duration_cued_D0,0,1.4023901224136353,0.125,3.207094192504883,1,11,0.5648002624511719,{},SpatialBattery/train/61973001/motion_duration_cued/176
24,192,4032,motion_duration_cued_D12,12,1.402376413345337,0.25,2.675591230392456,1,23,1.188788652420044,{},SpatialBattery/train/61973001/motion_duration_cued/184
25,200,4216,motion_duration_cued_D12,12,1.3744101524353027,0.25,1.6467382907867432,1,23,1.184757947921753,{},SpatialBattery/train/61973001/motion_duration_cued/192
26,208,4496,motion_duration_cued_D24,24,1.4176498651504517,0.25,2.1206047534942627,1,35,1.7713608741760254,{},SpatialBattery/train/61973001/motion_duration_cued/200
27,216,4584,motion_duration_cued_D0,0,1.4062469005584717,0.125,2.6409623622894287,1,11,0.5702061653137207,{},SpatialBattery/train/61973001/motion_duration_cued/208
28,224,4704,motion_duration_cued_D4,4,1.3766435384750366,0.375,1.8963956832885742,1,15,0.7643938064575195,{},SpatialBattery/train/61973001/motion_duration_cued/216
29,232,4824,motion_duration_cued_D4,4,1.3719050884246826,0.375,1.9612454175949097,1,15,0.7818341255187988,{},SpatialBattery/train/61973001/motion_duration_cued/224
