step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
10038,401520,8432152,0.8409241795539856,0.425,0.2892081141471863,0,2.091149091720581,"{""orientation_cued"": 0.6927825808525085, ""motion_duration_cued"": 1.3868578672409058, ""krauzlis_cued_motion"": 0.7387435436248779, ""spatial_binding"": 0.6931402683258057, ""image_recognition"": 0.6930966377258301}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10039,401560,8432904,0.8125184416770935,0.525,0.358934223651886,0,2.5642030239105225,"{""orientation_cued"": 0.6932708024978638, ""motion_duration_cued"": 1.3857734203338623, ""krauzlis_cued_motion"": 0.5971405506134033, ""spatial_binding"": 0.6931248903274536, ""image_recognition"": 0.6932825446128845}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.875, ""spatial_binding"": 0.625, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10040,401600,8433864,0.6881437891686801,0.575,0.14907339215278625,0,3.2644290924072266,"{""orientation_cued"": 0.6931358575820923, ""motion_duration_cued"": 1.3868476152420044, ""krauzlis_cued_motion"": 0.6675719618797302, ""spatial_binding"": 0.6931112408638, ""image_recognition"": 5.2270275773480535e-05}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N0_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10041,401640,8434448,0.6954735960825928,0.575,0.2721988558769226,0,1.9577183723449707,"{""orientation_cued"": 0.6930151581764221, ""motion_duration_cued"": 1.387731909751892, ""krauzlis_cued_motion"": 0.7034692764282227, ""spatial_binding"": 0.6931082010269165, ""image_recognition"": 4.34350295108743e-05}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N0_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10042,401680,8435408,0.8268882513046265,0.425,0.2774031162261963,0,3.2578864097595215,"{""orientation_cued"": 0.6937053203582764, ""motion_duration_cued"": 1.387264609336853, ""krauzlis_cued_motion"": 0.6672886610031128, ""spatial_binding"": 0.6931471228599548, ""image_recognition"": 0.6930355429649353}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10043,401720,8436288,0.7027993616749881,0.45,0.36382272839546204,0,2.9544389247894287,"{""orientation_cued"": 0.6938445568084717, ""motion_duration_cued"": 1.386319875717163, ""krauzlis_cued_motion"": 0.7405781745910645, ""spatial_binding"": 0.6932129859924316, ""image_recognition"": 4.121526581002399e-05}","{""orientation_cued"": 0.25, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N0_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10044,401760,8436960,0.8417890548706055,0.35,0.37279531359672546,0,2.2932283878326416,"{""orientation_cued"": 0.6950892806053162, ""motion_duration_cued"": 1.3870207071304321, ""krauzlis_cued_motion"": 0.7405164241790771, ""spatial_binding"": 0.693113386631012, ""image_recognition"": 0.6932054758071899}","{""orientation_cued"": 0.25, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10045,401800,8437768,0.6806770859882818,0.625,0.2722373902797699,0,2.750763177871704,"{""orientation_cued"": 0.6930857300758362, ""motion_duration_cued"": 1.3860595226287842, ""krauzlis_cued_motion"": 0.6310276985168457, ""spatial_binding"": 0.6931869983673096, ""image_recognition"": 2.5480352633167058e-05}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N0_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10046,401840,8438600,0.6955670503972214,0.525,0.20855331420898438,0,2.795531749725342,"{""orientation_cued"": 0.693195641040802, ""motion_duration_cued"": 1.3877813816070557, ""krauzlis_cued_motion"": 0.7036039233207703, ""spatial_binding"": 0.6932185888290405, ""image_recognition"": 3.571718843886629e-05}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N0_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10047,401880,8439384,0.848391318321228,0.45,0.4665226340293884,0,2.6735517978668213,"{""orientation_cued"": 0.692562997341156, ""motion_duration_cued"": 1.3869938850402832, ""krauzlis_cued_motion"": 0.7760046720504761, ""spatial_binding"": 0.6931289434432983, ""image_recognition"": 0.6932660937309265}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.625}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
