step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
1,40,816,0.9330808997154236,0.325,4.21829891204834,1,4.680340051651001,"{""orientation_cued"": 0.8939484357833862, ""motion_duration_cued"": 1.5047193765640259, ""krauzlis_cued_motion"": 0.8247328996658325, ""spatial_binding"": 0.712662935256958, ""image_recognition"": 0.7293408513069153}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.0, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {""priority_entropy_fraction"": 0.9942336082458496, ""priority_peak"": 0.011290863156318665, ""attention_mass_beyond_3_by_head"": [2.252089717143064e-17, 0.7156675670828138], ""visual_attention_mass_by_head"": [0.8820091209241322, 0.498143481356757], ""evidence_spatial_variance"": 0.044379472732543945, ""evidence_spatial_std_over_mean_abs"": 0.5325613021850586, ""field_spatial_variance"": 0.16487649083137512, ""locality_by_head"": [4.0, 0.019999997690320015], ""source_bias"": [[2.0, 0.0], [0.0, 0.0]], ""selection_weight_norm"": 0.6785387396812439, ""priority_gradient_norm"": 1.2816967964172363, ""attention_gradient_norm"": 0.09872782230377197}, ""motion_duration_cued"": {""priority_entropy_fraction"": 0.9930871725082397, ""priority_peak"": 0.011295393109321594, ""attention_mass_beyond_3_by_head"": [2.2525246728800065e-17, 0.7156928181648254], ""visual_attention_mass_by_head"": [0.881308219649575, 0.4980748268690976], ""evidence_spatial_variance"": 0.030204501003026962, ""evidence_spatial_std_over_mean_abs"": 0.8938417434692383, ""field_spatial_variance"": 0.13601988554000854, ""locality_by_head"": [4.0, 0.019999997690320015], ""source_bias"": [[2.0, 0.0], [0.0, 0.0]], ""selection_weight_norm"": 0.7277128100395203, ""priority_gradient_norm"": 1.6570420265197754, ""attention_gradient_norm"": 0.11756545305252075}, ""krauzlis_cued_motion"": {""priority_entropy_fraction"": 0.996323823928833, ""priority_peak"": 0.009455145336687565, ""attention_mass_beyond_3_by_head"": [2.253894803149136e-17, 0.7157023641798231], ""visual_attention_mass_by_head"": [0.8819488220744662, 0.4985215716891819], ""evidence_spatial_variance"": 0.03416135162115097, ""evidence_spatial_std_over_mean_abs"": 0.7736618518829346, ""field_spatial_variance"": 0.13458351790905, ""locality_by_head"": [4.0, 0.019999997690320015], ""source_bias"": [[2.0, 0.0], [0.0, 0.0]], ""selection_weight_norm"": 0.6907384991645813, ""priority_gradient_norm"": 1.7976248264312744, ""attention_gradient_norm"": 0.18115490674972534}, ""spatial_binding"": {""priority_entropy_fraction"": 0.9874405860900879, ""priority_peak"": 0.017667356878519058, ""attention_mass_beyond_3_by_head"": [2.2529948122608867e-17, 0.715703809261322], ""visual_attention_mass_by_head"": [0.8816863298416138, 0.49933056235313417], ""evidence_spatial_variance"": 0.06592591106891632, ""evidence_spatial_std_over_mean_abs"": 1.0260727405548096, ""field_spatial_variance"": 0.16857993602752686, ""locality_by_head"": [4.0, 0.019999997690320015], ""source_bias"": [[2.0, 0.0], [0.0, 0.0]], ""selection_weight_norm"": 0.7681226134300232, ""priority_gradient_norm"": 1.897729516029358, ""attention_gradient_norm"": 0.1947559267282486}, ""image_recognition"": {""priority_entropy_fraction"": 0.9929728507995605, ""priority_peak"": 0.011889776214957237, ""attention_mass_beyond_3_by_head"": [2.2531869090508327e-17, 0.7156772842774024], ""visual_attention_mass_by_head"": [0.8817326243107135, 0.5002970557946426], ""evidence_spatial_variance"": 0.044881608337163925, ""evidence_spatial_std_over_mean_abs"": 1.1187541484832764, ""field_spatial_variance"": 0.1799062192440033, ""locality_by_head"": [4.0, 0.019999997690320015], ""source_bias"": [[2.0, 0.0], [0.0, 0.0]], ""selection_weight_norm"": 0.6888942122459412, ""priority_gradient_norm"": 1.9358105659484863, ""attention_gradient_norm"": 0.1901734173297882}}"
2,80,1688,0.8706023931503296,0.375,2.3208982944488525,1,2.9788320064544678,"{""orientation_cued"": 0.7541139125823975, ""motion_duration_cued"": 1.4582215547561646, ""krauzlis_cued_motion"": 0.7203111052513123, ""spatial_binding"": 0.7187054753303528, ""image_recognition"": 0.7016599178314209}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
3,120,2520,0.8297171115875244,0.45,1.023324728012085,1,2.8779749870300293,"{""orientation_cued"": 0.697176456451416, ""motion_duration_cued"": 1.3680148124694824, ""krauzlis_cued_motion"": 0.6801109313964844, ""spatial_binding"": 0.6958390474319458, ""image_recognition"": 0.7074443101882935}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.25}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
4,160,3392,0.8796839594841004,0.425,1.3762155771255493,1,2.9636502265930176,"{""orientation_cued"": 0.6940982341766357, ""motion_duration_cued"": 1.5424326658248901, ""krauzlis_cued_motion"": 0.7510589361190796, ""spatial_binding"": 0.7012758851051331, ""image_recognition"": 0.7095540761947632}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5,200,4272,0.8571858525276184,0.425,1.229644536972046,1,3.0066068172454834,"{""orientation_cued"": 0.7125351428985596, ""motion_duration_cued"": 1.333888053894043, ""krauzlis_cued_motion"": 0.8311770558357239, ""spatial_binding"": 0.6960662603378296, ""image_recognition"": 0.712262749671936}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
6,240,5176,0.846285617351532,0.475,0.8403185606002808,0,3.0530927181243896,"{""orientation_cued"": 0.6868022680282593, ""motion_duration_cued"": 1.4826124906539917, ""krauzlis_cued_motion"": 0.6635757684707642, ""spatial_binding"": 0.6925430297851562, ""image_recognition"": 0.7058945298194885}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
7,280,5736,0.8486065745353699,0.425,2.141852378845215,1,1.8690979480743408,"{""orientation_cued"": 0.6808405518531799, ""motion_duration_cued"": 1.4746464490890503, ""krauzlis_cued_motion"": 0.6980338096618652, ""spatial_binding"": 0.6978259086608887, ""image_recognition"": 0.6916861534118652}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N0_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8,320,6840,0.8358018517494201,0.475,1.2003891468048096,1,3.745417594909668,"{""orientation_cued"": 0.7343252897262573, ""motion_duration_cued"": 1.3453165292739868, ""krauzlis_cued_motion"": 0.6871105432510376, ""spatial_binding"": 0.699251115322113, ""image_recognition"": 0.713005781173706}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9,360,7576,0.8429288148880005,0.4,1.321824550628662,1,2.5500004291534424,"{""orientation_cued"": 0.6958942413330078, ""motion_duration_cued"": 1.3820899724960327, ""krauzlis_cued_motion"": 0.7273726463317871, ""spatial_binding"": 0.6952204704284668, ""image_recognition"": 0.714066743850708}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.125, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10,400,8312,0.8382052063941956,0.45,0.7367292642593384,0,2.462827444076538,"{""orientation_cued"": 0.6946236491203308, ""motion_duration_cued"": 1.398537278175354, ""krauzlis_cued_motion"": 0.6855127215385437, ""spatial_binding"": 0.6931551694869995, ""image_recognition"": 0.7191972136497498}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
