step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
1,40,816,0.9330808997154236,0.325,4.218298435211182,1,7.800527095794678,"{""orientation_cued"": 0.8939484357833862, ""motion_duration_cued"": 1.5047193765640259, ""krauzlis_cued_motion"": 0.8247328996658325, ""spatial_binding"": 0.712662935256958, ""image_recognition"": 0.7293408513069153}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.0, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {""priority_entropy_fraction"": 0.9942336082458496, ""priority_peak"": 0.011290856637060642, ""attention_mass_beyond_3_by_head"": [2.2520896935093324e-17, 0.7156675713402885], ""visual_attention_mass_by_head"": [0.8820091166666576, 0.4981434770992824], ""evidence_spatial_variance"": 0.044379476457834244, ""evidence_spatial_std_over_mean_abs"": 0.5325613021850586, ""field_spatial_variance"": 0.16487649083137512, ""locality_by_head"": [4.0, 0.019999997690320015], ""source_bias"": [[2.0, 0.0], [0.0, 0.0]], ""selection_weight_norm"": 0.6785387396812439, ""priority_gradient_norm"": 1.2816966772079468, ""attention_gradient_norm"": 0.09872780740261078}, ""motion_duration_cued"": {""priority_entropy_fraction"": 0.993087112903595, ""priority_peak"": 0.011295389384031296, ""attention_mass_beyond_3_by_head"": [2.252524627761064e-17, 0.7156928235834296], ""visual_attention_mass_by_head"": [0.881308219649575, 0.49807482145049353], ""evidence_spatial_variance"": 0.03020450472831726, ""evidence_spatial_std_over_mean_abs"": 0.8938418626785278, ""field_spatial_variance"": 0.13601987063884735, ""locality_by_head"": [4.0, 0.019999997690320015], ""source_bias"": [[2.0, 0.0], [0.0, 0.0]], ""selection_weight_norm"": 0.7277128100395203, ""priority_gradient_norm"": 1.6570419073104858, ""attention_gradient_norm"": 0.11756544560194016}, ""krauzlis_cued_motion"": {""priority_entropy_fraction"": 0.996323823928833, ""priority_peak"": 0.00945514626801014, ""attention_mass_beyond_3_by_head"": [2.2538947994727775e-17, 0.7157023615307279], ""visual_attention_mass_by_head"": [0.881948819425371, 0.4985215663909912], ""evidence_spatial_variance"": 0.03416135534644127, ""evidence_spatial_std_over_mean_abs"": 0.7736618518829346, ""field_spatial_variance"": 0.1345835030078888, ""locality_by_head"": [4.0, 0.019999997690320015], ""source_bias"": [[2.0, 0.0], [0.0, 0.0]], ""selection_weight_norm"": 0.6907384991645813, ""priority_gradient_norm"": 1.7976245880126953, ""attention_gradient_norm"": 0.18115490674972534}, ""spatial_binding"": {""priority_entropy_fraction"": 0.9874407052993774, ""priority_peak"": 0.017667343840003014, ""attention_mass_beyond_3_by_head"": [2.2529948122608867e-17, 0.715703809261322], ""visual_attention_mass_by_head"": [0.8816863298416138, 0.49933056235313417], ""evidence_spatial_variance"": 0.06592591106891632, ""evidence_spatial_std_over_mean_abs"": 1.0260727405548096, ""field_spatial_variance"": 0.16857993602752686, ""locality_by_head"": [4.0, 0.019999997690320015], ""source_bias"": [[2.0, 0.0], [0.0, 0.0]], ""selection_weight_norm"": 0.7681225538253784, ""priority_gradient_norm"": 1.8977293968200684, ""attention_gradient_norm"": 0.1947559416294098}, ""image_recognition"": {""priority_entropy_fraction"": 0.9929727911949158, ""priority_peak"": 0.01188976876437664, ""attention_mass_beyond_3_by_head"": [2.253186896324977e-17, 0.7156772842774024], ""visual_attention_mass_by_head"": [0.8817326243107135, 0.5002970649645879], ""evidence_spatial_variance"": 0.04488159343600273, ""evidence_spatial_std_over_mean_abs"": 1.1187541484832764, ""field_spatial_variance"": 0.1799062192440033, ""locality_by_head"": [4.0, 0.019999997690320015], ""source_bias"": [[2.0, 0.0], [0.0, 0.0]], ""selection_weight_norm"": 0.6888942122459412, ""priority_gradient_norm"": 1.9358105659484863, ""attention_gradient_norm"": 0.1901734173297882}}"
2,80,1688,0.870602262020111,0.375,2.3208751678466797,1,6.135701417922974,"{""orientation_cued"": 0.7541137337684631, ""motion_duration_cued"": 1.4582215547561646, ""krauzlis_cued_motion"": 0.720311164855957, ""spatial_binding"": 0.7187075614929199, ""image_recognition"": 0.7016572952270508}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
3,120,2520,0.8297169804573059,0.45,1.0232787132263184,1,5.582383394241333,"{""orientation_cued"": 0.6971752643585205, ""motion_duration_cued"": 1.3680176734924316, ""krauzlis_cued_motion"": 0.6801092624664307, ""spatial_binding"": 0.6958383917808533, ""image_recognition"": 0.7074443101882935}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.25}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
4,160,3392,0.8796843647956848,0.425,1.3762402534484863,1,5.8060009479522705,"{""orientation_cued"": 0.694097638130188, ""motion_duration_cued"": 1.5424292087554932, ""krauzlis_cued_motion"": 0.7510652542114258, ""spatial_binding"": 0.701276957988739, ""image_recognition"": 0.7095527648925781}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5,200,4272,0.8571875929832459,0.425,1.2296602725982666,1,5.845605850219727,"{""orientation_cued"": 0.7125412225723267, ""motion_duration_cued"": 1.3338876962661743, ""krauzlis_cued_motion"": 0.8311780095100403, ""spatial_binding"": 0.6960659623146057, ""image_recognition"": 0.7122650742530823}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
6,240,5176,0.84628347158432,0.475,0.8402709364891052,0,5.967345952987671,"{""orientation_cued"": 0.6867956519126892, ""motion_duration_cued"": 1.4826093912124634, ""krauzlis_cued_motion"": 0.6635758876800537, ""spatial_binding"": 0.6925431489944458, ""image_recognition"": 0.7058932781219482}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
7,280,5736,0.8486000776290894,0.425,2.1418886184692383,1,4.35939359664917,"{""orientation_cued"": 0.6808333396911621, ""motion_duration_cued"": 1.4746391773223877, ""krauzlis_cued_motion"": 0.6980332732200623, ""spatial_binding"": 0.6978272199630737, ""image_recognition"": 0.691667377948761}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N0_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8,320,6840,0.8358068943023682,0.475,1.2005157470703125,1,11.637766599655151,"{""orientation_cued"": 0.7343370318412781, ""motion_duration_cued"": 1.345320463180542, ""krauzlis_cued_motion"": 0.6871132850646973, ""spatial_binding"": 0.6992517113685608, ""image_recognition"": 0.7130119800567627}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9,360,7576,0.8429263710975647,0.4,1.3217352628707886,1,7.939815044403076,"{""orientation_cued"": 0.6958966255187988, ""motion_duration_cued"": 1.3820828199386597, ""krauzlis_cued_motion"": 0.7273589968681335, ""spatial_binding"": 0.6952203512191772, ""image_recognition"": 0.7140730619430542}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.125, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10,400,8312,0.8382070302963257,0.45,0.7367880940437317,0,8.056968212127686,"{""orientation_cued"": 0.6946241855621338, ""motion_duration_cued"": 1.3985453844070435, ""krauzlis_cued_motion"": 0.6855093240737915, ""spatial_binding"": 0.6931552886962891, ""image_recognition"": 0.7192009687423706}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
