step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
866,34640,727200,0.8183324694633484,0.475,0.28640487790107727,0,1.9134464263916016,"{""orientation_cued"": 0.6844350695610046, ""motion_duration_cued"": 1.3863637447357178, ""krauzlis_cued_motion"": 0.6298292875289917, ""spatial_binding"": 0.691675066947937, ""image_recognition"": 0.6993591785430908}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.25}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
867,34680,728208,0.8322766661643982,0.475,0.2738272547721863,0,2.4331247806549072,"{""orientation_cued"": 0.6838194727897644, ""motion_duration_cued"": 1.3851498365402222, ""krauzlis_cued_motion"": 0.7046905159950256, ""spatial_binding"": 0.6930893063545227, ""image_recognition"": 0.694634199142456}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
868,34720,729232,0.8296278119087219,0.425,0.31269514560699463,0,2.4725377559661865,"{""orientation_cued"": 0.7052399516105652, ""motion_duration_cued"": 1.3908661603927612, ""krauzlis_cued_motion"": 0.6668627858161926, ""spatial_binding"": 0.6935902237892151, ""image_recognition"": 0.6915799379348755}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
869,34760,730208,0.836679470539093,0.45,0.30784904956817627,0,2.342622995376587,"{""orientation_cued"": 0.7047632932662964, ""motion_duration_cued"": 1.3883875608444214, ""krauzlis_cued_motion"": 0.7049176692962646, ""spatial_binding"": 0.6935166716575623, ""image_recognition"": 0.6918121576309204}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.625}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
870,34800,730960,0.710690545826219,0.5,0.4780557453632355,0,1.8304362297058105,"{""orientation_cued"": 0.7273091673851013, ""motion_duration_cued"": 1.3870456218719482, ""krauzlis_cued_motion"": 0.7434065937995911, ""spatial_binding"": 0.6940536499023438, ""image_recognition"": 0.0016376961721107364}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N0_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
871,34840,731712,0.8261337637901306,0.425,0.43782714009284973,0,1.8309886455535889,"{""orientation_cued"": 0.6835606694221497, ""motion_duration_cued"": 1.3898348808288574, ""krauzlis_cued_motion"": 0.6668571829795837, ""spatial_binding"": 0.6927189826965332, ""image_recognition"": 0.697697103023529}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.0, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
872,34880,732488,0.6999763044761493,0.525,0.4707361161708832,0,1.8681244850158691,"{""orientation_cued"": 0.7066570520401001, ""motion_duration_cued"": 1.3949346542358398, ""krauzlis_cued_motion"": 0.704194962978363, ""spatial_binding"": 0.6924192905426025, ""image_recognition"": 0.0016755625838413835}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N0_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
873,34920,733136,0.832568633556366,0.5,0.4262930154800415,0,1.5824298858642578,"{""orientation_cued"": 0.7217749357223511, ""motion_duration_cued"": 1.3861714601516724, ""krauzlis_cued_motion"": 0.667466402053833, ""spatial_binding"": 0.6918126940727234, ""image_recognition"": 0.69561767578125}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.75}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
874,34960,733752,0.8305596828460693,0.4,0.3117029368877411,0,1.4749841690063477,"{""orientation_cued"": 0.706773042678833, ""motion_duration_cued"": 1.3905704021453857, ""krauzlis_cued_motion"": 0.667727530002594, ""spatial_binding"": 0.6927871108055115, ""image_recognition"": 0.6949403285980225}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
875,35000,734584,0.6889771366259083,0.575,0.23308229446411133,0,2.0175108909606934,"{""orientation_cued"": 0.6941365003585815, ""motion_duration_cued"": 1.3877733945846558, ""krauzlis_cued_motion"": 0.6678673028945923, ""spatial_binding"": 0.6933173537254333, ""image_recognition"": 0.0017911315662786365}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N0_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
