step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
5352,214080,4495680,0.8230255961418151,0.5,0.3086090087890625,0,2.5083086490631104,"{""orientation_cued"": 0.6959484815597534, ""motion_duration_cued"": 1.3873775005340576, ""krauzlis_cued_motion"": 0.6482036113739014, ""spatial_binding"": 0.6930157542228699, ""image_recognition"": 0.6905826330184937}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.75}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5353,214120,4496352,0.6942259359784657,0.525,0.13287536799907684,0,1.6748802661895752,"{""orientation_cued"": 0.6931225657463074, ""motion_duration_cued"": 1.3872654438018799, ""krauzlis_cued_motion"": 0.6974890232086182, ""spatial_binding"": 0.6931875944137573, ""image_recognition"": 6.505272176582366e-05}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N0_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5354,214160,4497184,0.8377758264541626,0.425,0.23233236372470856,0,2.054381847381592,"{""orientation_cued"": 0.6932989358901978, ""motion_duration_cued"": 1.3863157033920288, ""krauzlis_cued_motion"": 0.724154531955719, ""spatial_binding"": 0.6929879188537598, ""image_recognition"": 0.6921220421791077}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5355,214200,4498128,0.8437684178352356,0.375,0.37576398253440857,0,2.3679041862487793,"{""orientation_cued"": 0.693002462387085, ""motion_duration_cued"": 1.3872627019882202, ""krauzlis_cued_motion"": 0.7518928647041321, ""spatial_binding"": 0.6932247281074524, ""image_recognition"": 0.6934593319892883}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5356,214240,4498776,0.689338378890534,0.575,0.19573332369327545,0,1.7374725341796875,"{""orientation_cued"": 0.6931121945381165, ""motion_duration_cued"": 1.3869397640228271, ""krauzlis_cued_motion"": 0.6733320951461792, ""spatial_binding"": 0.6931968331336975, ""image_recognition"": 0.00011100761184934527}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N0_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5357,214280,4499768,0.8237623333930969,0.45,0.31116965413093567,0,2.488292932510376,"{""orientation_cued"": 0.6945591568946838, ""motion_duration_cued"": 1.3863050937652588, ""krauzlis_cued_motion"": 0.6477473378181458, ""spatial_binding"": 0.6935165524482727, ""image_recognition"": 0.6966835260391235}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N24_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5358,214320,4500704,0.833290946483612,0.425,0.22673113644123077,0,2.3634791374206543,"{""orientation_cued"": 0.6924560070037842, ""motion_duration_cued"": 1.387069582939148, ""krauzlis_cued_motion"": 0.6985003352165222, ""spatial_binding"": 0.6934072971343994, ""image_recognition"": 0.6950215101242065}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.375, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5359,214360,4501544,0.8227665781974792,0.475,0.3167276084423065,0,2.2282819747924805,"{""orientation_cued"": 0.693053126335144, ""motion_duration_cued"": 1.3875190019607544, ""krauzlis_cued_motion"": 0.6472541689872742, ""spatial_binding"": 0.6930660009384155, ""image_recognition"": 0.6929405927658081}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5360,214400,4502296,0.6896526754193474,0.525,0.23469500243663788,0,1.9579277038574219,"{""orientation_cued"": 0.6937319040298462, ""motion_duration_cued"": 1.3884755373001099, ""krauzlis_cued_motion"": 0.6729043126106262, ""spatial_binding"": 0.6930694580078125, ""image_recognition"": 8.216514834202826e-05}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.0, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N0_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5361,214440,4503176,0.8334306120872498,0.4,0.484191358089447,0,2.3543388843536377,"{""orientation_cued"": 0.6944289207458496, ""motion_duration_cued"": 1.3868353366851807, ""krauzlis_cued_motion"": 0.6990377306938171, ""spatial_binding"": 0.6931079626083374, ""image_recognition"": 0.693743109703064}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.25}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
