update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.70939,0.3750,2.8091,1.712,1.349
2,128,orientation_cued_D0,0.69850,0.5000,2.0467,0.081,0.006
3,192,orientation_cued_D0,0.70006,0.5000,2.2197,0.081,0.005
4,256,orientation_cued_D0,0.70059,0.4375,0.8773,0.080,0.006
5,320,orientation_cued_D0,0.69217,0.5625,0.9997,0.076,0.005
6,384,orientation_cued_D0,0.69161,0.5156,1.1564,0.068,0.004
7,448,orientation_cued_D0,0.69129,0.5312,0.5698,0.082,0.008
8,512,orientation_cued_D0,0.69786,0.4688,0.9020,0.094,0.005
9,576,orientation_cued_D0,0.69205,0.5156,0.7288,0.101,0.006
10,640,orientation_cued_D0,0.69069,0.5156,0.6347,0.087,0.008
11,704,orientation_cued_D0,0.70153,0.4062,0.5501,0.091,0.005
12,768,orientation_cued_D0,0.69206,0.5156,0.6572,0.083,0.005
13,832,orientation_cued_D0,0.69472,0.5156,0.7036,0.090,0.008
14,896,orientation_cued_D0,0.68819,0.5312,0.5123,0.082,0.008
15,960,orientation_cued_D0,0.69358,0.5938,0.5277,0.068,0.006
16,1024,orientation_cued_D0,0.69140,0.5000,0.5868,0.085,0.007
17,1088,orientation_cued_D0,0.69209,0.4844,0.6474,0.079,0.005
18,1152,orientation_cued_D0,0.68986,0.5156,0.4753,0.093,0.008
19,1216,orientation_cued_D0,0.69168,0.5000,0.5493,0.103,0.007
20,1280,orientation_cued_D0,0.68780,0.5469,0.6554,0.085,0.005
21,1344,orientation_cued_D0,0.68776,0.5469,0.6096,0.076,0.004
22,1408,orientation_cued_D0,0.68961,0.5469,0.5128,0.079,0.004
23,1472,orientation_cued_D0,0.69279,0.5625,0.5976,0.078,0.005
24,1536,orientation_cued_D0,0.69019,0.5469,0.6853,0.077,0.004
25,1600,orientation_cued_D0,0.69304,0.5000,0.6560,0.077,0.004
26,1664,orientation_cued_D0,0.67990,0.5469,0.6924,0.077,0.004
27,1728,orientation_cued_D0,0.69876,0.5156,0.7651,0.077,0.004
28,1792,orientation_cued_D0,0.68284,0.6250,0.7225,0.064,0.004
29,1856,orientation_cued_D0,0.67802,0.6094,0.7611,0.081,0.006
30,1920,orientation_cued_D0,0.67338,0.6250,0.7415,0.080,0.005
31,1984,orientation_cued_D0,0.68118,0.6094,0.8617,0.081,0.005
32,2048,orientation_cued_D0,0.67736,0.5938,0.9064,0.086,0.006
33,2112,orientation_cued_D0,0.66626,0.5781,0.9882,0.081,0.005
34,2176,orientation_cued_D0,0.69222,0.5625,1.4248,0.076,0.005
35,2240,orientation_cued_D0,0.66268,0.6094,1.8849,0.078,0.005
36,2304,orientation_cued_D0,0.69405,0.5625,1.4658,0.077,0.004
37,2368,orientation_cued_D0,0.64923,0.7031,1.3592,0.077,0.004
38,2432,orientation_cued_D0,0.66477,0.6562,1.6769,0.068,0.005
39,2496,orientation_cued_D0,0.65894,0.6719,1.3607,0.084,0.006
40,2560,orientation_cued_D0,0.65125,0.6719,1.4363,0.096,0.007
41,2624,orientation_cued_D0,0.64968,0.6250,1.6923,0.085,0.007
42,2688,orientation_cued_D0,0.66648,0.5781,1.8008,0.101,0.006
43,2752,orientation_cued_D0,0.65701,0.5938,2.0186,0.079,0.007
44,2816,orientation_cued_D0,0.60859,0.7188,1.8902,0.077,0.004
45,2880,orientation_cued_D0,0.64393,0.6094,2.5206,0.079,0.005
46,2944,orientation_cued_D0,0.64023,0.6562,2.2549,0.082,0.008
47,3008,orientation_cued_D0,0.61974,0.6562,2.1248,0.071,0.004
48,3072,orientation_cued_D0,0.61693,0.6250,2.5064,0.076,0.006
49,3136,orientation_cued_D0,0.62870,0.6250,3.0943,0.088,0.009
50,3200,orientation_cued_D0,0.65079,0.6406,3.1236,0.082,0.005
51,3264,orientation_cued_D0,0.59161,0.6875,2.8703,0.092,0.007
52,3328,orientation_cued_D0,0.60843,0.6562,3.1367,0.077,0.007
53,3392,orientation_cued_D0,0.59131,0.6250,2.7156,0.107,0.005
54,3456,orientation_cued_D0,0.56372,0.7344,3.0234,0.100,0.009
55,3520,orientation_cued_D0,0.57860,0.6875,3.3694,0.104,0.009
56,3584,orientation_cued_D0,0.57782,0.6875,3.0468,0.082,0.007
57,3648,orientation_cued_D0,0.64782,0.5938,3.7272,0.080,0.005
58,3712,orientation_cued_D0,0.60534,0.6562,3.8603,0.082,0.006
59,3776,orientation_cued_D0,0.56928,0.6875,2.6666,0.098,0.005
60,3840,orientation_cued_D0,0.53145,0.7656,2.9987,0.080,0.006
61,3904,orientation_cued_D0,0.53559,0.7500,3.8625,0.078,0.006
62,3968,orientation_cued_D0,0.53445,0.7031,4.6624,0.070,0.004
63,4032,orientation_cued_D0,0.49779,0.7812,4.6710,0.075,0.007
64,4096,orientation_cued_D0,0.56669,0.6875,6.7503,0.088,0.008
65,4160,orientation_cued_D0,0.48444,0.7344,4.2928,0.110,0.007
66,4224,orientation_cued_D0,0.50531,0.7500,4.4155,0.081,0.005
67,4288,orientation_cued_D0,0.52101,0.7500,7.3880,0.078,0.007
68,4352,orientation_cued_D0,0.52603,0.7188,8.0690,0.076,0.006
69,4416,orientation_cued_D0,0.43940,0.7812,3.6437,0.082,0.006
70,4480,orientation_cued_D0,0.46523,0.8281,6.5746,0.088,0.008
71,4544,orientation_cued_D0,0.47638,0.8438,5.9127,0.084,0.005
72,4608,orientation_cued_D0,0.48058,0.7500,5.9777,0.077,0.005
73,4672,orientation_cued_D0,0.42123,0.8125,6.9861,0.096,0.010
74,4736,orientation_cued_D0,0.43066,0.7812,9.4967,0.100,0.006
75,4800,orientation_cued_D0,0.34652,0.8906,3.4283,0.082,0.005
76,4864,orientation_cued_D0,0.38838,0.8438,8.3787,0.085,0.007
77,4928,orientation_cued_D0,0.41816,0.8125,6.6835,0.076,0.005
78,4992,orientation_cued_D0,0.38774,0.8594,4.7222,0.073,0.004
79,5056,orientation_cued_D0,0.38804,0.8125,3.7797,0.076,0.005
80,5120,orientation_cued_D0,0.38444,0.8125,5.4410,0.076,0.005
81,5184,orientation_cued_D0,0.42449,0.7812,8.4279,0.079,0.004
82,5248,orientation_cued_D0,0.37575,0.8594,5.4515,0.077,0.004
83,5312,orientation_cued_D0,0.33716,0.8906,3.7353,0.068,0.004
84,5376,orientation_cued_D0,0.34883,0.8438,7.6223,0.080,0.005
85,5440,orientation_cued_D0,0.26612,0.9688,6.0300,0.080,0.005
86,5504,orientation_cued_D0,0.33683,0.8438,4.5409,0.079,0.005
87,5568,orientation_cued_D0,0.33216,0.9219,5.8943,0.089,0.006
88,5632,orientation_cued_D0,0.32331,0.8750,6.4495,0.084,0.008
89,5696,orientation_cued_D0,0.27400,0.9062,4.5669,0.077,0.004
