update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D1,0.62899,0.8281,34.4314,0.807,1.244
2,128,orientation_cued_D0,0.00145,1.0000,0.2759,0.046,0.004
3,192,orientation_cued_D2,1.59775,0.4062,33.2323,0.107,0.004
4,256,orientation_cued_D1,0.54698,0.8281,28.5518,0.094,0.006
5,320,orientation_cued_D0,0.04469,0.9844,9.3229,0.066,0.005
6,384,orientation_cued_D2,1.20689,0.4375,41.6702,0.094,0.004
7,448,orientation_cued_D1,0.33336,0.8438,20.2496,0.058,0.005
8,512,orientation_cued_D0,0.02708,0.9844,4.6497,0.054,0.006
9,576,orientation_cued_D2,1.58696,0.5000,40.9468,0.077,0.004
10,640,orientation_cued_D1,0.35076,0.8438,17.0420,0.088,0.019
11,704,orientation_cued_D0,0.04922,0.9688,8.0684,0.079,0.006
12,768,orientation_cued_D2,0.87454,0.4844,18.3895,0.092,0.004
13,832,orientation_cued_D1,0.28285,0.9062,12.5977,0.070,0.008
14,896,orientation_cued_D0,0.02690,1.0000,2.8429,0.054,0.005
15,960,orientation_cued_D2,0.84211,0.5469,18.6559,0.091,0.007
16,1024,orientation_cued_D1,0.29388,0.8906,10.0664,0.097,0.009
17,1088,orientation_cued_D0,0.05226,0.9844,5.1696,0.075,0.005
18,1152,orientation_cued_D1,0.41077,0.8281,12.2616,0.069,0.007
19,1216,orientation_cued_D2,0.72075,0.4844,7.2853,0.082,0.006
20,1280,orientation_cued_D0,0.07275,0.9688,9.1617,0.057,0.006
21,1344,orientation_cued_D1,0.28346,0.8906,6.5243,0.094,0.009
22,1408,orientation_cued_D2,0.71535,0.6094,6.8037,0.110,0.009
23,1472,orientation_cued_D0,0.02543,1.0000,3.3780,0.071,0.007
24,1536,orientation_cued_D1,0.29802,0.8750,7.3232,0.061,0.004
25,1600,orientation_cued_D2,0.72200,0.5625,8.6662,0.080,0.005
26,1664,orientation_cued_D0,0.04253,0.9844,4.4418,0.062,0.007
27,1728,orientation_cued_D1,0.26184,0.9375,5.9233,0.077,0.006
28,1792,orientation_cued_D2,0.72175,0.5625,6.2021,0.112,0.006
29,1856,orientation_cued_D0,0.02852,1.0000,2.5141,0.078,0.006
30,1920,orientation_cued_D1,0.27273,0.9062,8.0606,0.092,0.004
31,1984,orientation_cued_D2,0.73948,0.5469,6.5439,0.075,0.005
32,2048,orientation_cued_D0,0.11698,0.9688,7.0400,0.053,0.006
33,2112,orientation_cued_D1,0.32665,0.8438,6.5783,0.068,0.004
34,2176,orientation_cued_D2,0.73417,0.5781,9.0574,0.089,0.005
