update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.00874,1.0000,5.9820,1.589,1.291
2,128,orientation_cued_D2,0.00263,1.0000,1.4728,0.120,0.007
3,192,orientation_cued_D0,0.00177,1.0000,0.9766,0.080,0.006
4,256,orientation_cued_D4,0.65048,0.8438,64.8456,0.150,0.005
5,320,orientation_cued_D2,0.00835,1.0000,2.9680,0.111,0.010
6,384,orientation_cued_D0,0.00607,1.0000,3.3039,0.079,0.006
7,448,orientation_cued_D4,0.27500,0.8906,35.5168,0.155,0.005
8,512,orientation_cued_D2,0.10192,0.9688,19.6516,0.116,0.014
9,576,orientation_cued_D0,0.00258,1.0000,0.7701,0.075,0.006
10,640,orientation_cued_D4,0.05342,1.0000,7.0113,0.123,0.004
11,704,orientation_cued_D2,0.02253,1.0000,7.6715,0.109,0.007
12,768,orientation_cued_D0,0.02597,1.0000,12.3893,0.080,0.006
13,832,orientation_cued_D4,0.10288,0.9844,26.1261,0.125,0.005
14,896,orientation_cued_D2,0.13944,0.9375,35.1036,0.110,0.009
15,960,orientation_cued_D0,0.00044,1.0000,0.0431,0.080,0.006
16,1024,orientation_cued_D4,0.02246,0.9844,12.8559,0.147,0.005
17,1088,orientation_cued_D2,0.04845,0.9844,8.1751,0.112,0.009
18,1152,orientation_cued_D0,0.00071,1.0000,0.1370,0.076,0.006
19,1216,orientation_cued_D4,0.13442,0.9531,67.5310,0.148,0.004
20,1280,orientation_cued_D2,0.00248,1.0000,1.4967,0.109,0.009
21,1344,orientation_cued_D0,0.00069,1.0000,0.1216,0.074,0.006
22,1408,orientation_cued_D4,0.04968,1.0000,21.8225,0.144,0.008
23,1472,orientation_cued_D2,0.02115,1.0000,9.8956,0.117,0.010
24,1536,orientation_cued_D0,0.00347,1.0000,2.1591,0.100,0.014
25,1600,orientation_cued_D4,0.05343,0.9844,24.9035,0.160,0.007
26,1664,orientation_cued_D2,0.01355,1.0000,4.5428,0.113,0.007
27,1728,orientation_cued_D0,0.00167,1.0000,0.7221,0.074,0.006
28,1792,orientation_cued_D4,0.11492,0.9375,29.1323,0.133,0.004
29,1856,orientation_cued_D2,0.00919,1.0000,5.8286,0.108,0.007
30,1920,orientation_cued_D0,0.00076,1.0000,0.1530,0.089,0.006
31,1984,orientation_cued_D4,0.04617,1.0000,16.3970,0.149,0.007
32,2048,orientation_cued_D2,0.01018,1.0000,4.4275,0.096,0.009
33,2112,orientation_cued_D0,0.03249,0.9844,10.3746,0.083,0.007
34,2176,orientation_cued_D4,0.00815,1.0000,4.0846,0.144,0.005
35,2240,orientation_cued_D2,0.05980,0.9844,9.6417,0.107,0.008
36,2304,orientation_cued_D0,0.00064,1.0000,0.1909,0.069,0.006
37,2368,orientation_cued_D4,0.00562,1.0000,0.5717,0.142,0.005
38,2432,orientation_cued_D2,0.00167,1.0000,0.5624,0.121,0.011
39,2496,orientation_cued_D0,0.00075,1.0000,0.1937,0.082,0.006
40,2560,orientation_cued_D4,0.03598,0.9844,24.7735,0.120,0.005
41,2624,orientation_cued_D2,0.00160,1.0000,0.3032,0.107,0.015
42,2688,orientation_cued_D0,0.00261,1.0000,0.9271,0.084,0.006
43,2752,orientation_cued_D4,0.01446,1.0000,3.2449,0.150,0.009
44,2816,orientation_cued_D2,0.00866,1.0000,4.7592,0.108,0.017
45,2880,orientation_cued_D0,0.00932,1.0000,4.6221,0.067,0.006
46,2944,orientation_cued_D4,0.00518,1.0000,0.9508,0.150,0.009
47,3008,orientation_cued_D2,0.02419,0.9844,6.6197,0.104,0.015
48,3072,orientation_cued_D0,0.00175,1.0000,0.7318,0.090,0.006
49,3136,orientation_cued_D4,0.03535,0.9844,29.7750,0.152,0.009
50,3200,orientation_cued_D2,0.04033,0.9844,7.6622,0.111,0.009
51,3264,orientation_cued_D0,0.00106,1.0000,0.1516,0.085,0.007
52,3328,orientation_cued_D4,0.01895,1.0000,3.4691,0.143,0.006
53,3392,orientation_cued_D2,0.00206,1.0000,0.5238,0.102,0.009
54,3456,orientation_cued_D0,0.00307,1.0000,2.1420,0.081,0.007
55,3520,orientation_cued_D4,0.06478,0.9844,25.0659,0.144,0.004
56,3584,orientation_cued_D2,0.00109,1.0000,0.1943,0.107,0.008
57,3648,orientation_cued_D0,0.00308,1.0000,0.7713,0.070,0.006
58,3712,orientation_cued_D4,0.01627,1.0000,11.7090,0.142,0.005
59,3776,orientation_cued_D2,0.02772,1.0000,11.7801,0.113,0.015
60,3840,orientation_cued_D0,0.00486,1.0000,2.8243,0.092,0.008
61,3904,orientation_cued_D4,0.02025,1.0000,12.2952,0.143,0.008
62,3968,orientation_cued_D2,0.02731,0.9844,11.0987,0.109,0.009
63,4032,orientation_cued_D0,0.00159,1.0000,0.5795,0.079,0.006
64,4096,orientation_cued_D4,0.00262,1.0000,0.8258,0.117,0.007
65,4160,orientation_cued_D2,0.00532,1.0000,3.2243,0.112,0.009
66,4224,orientation_cued_D0,0.00241,1.0000,1.8701,0.081,0.006
67,4288,orientation_cued_D4,0.06690,0.9844,19.8837,0.145,0.009
68,4352,orientation_cued_D2,0.00673,1.0000,3.6666,0.126,0.012
69,4416,orientation_cued_D0,0.00045,1.0000,0.0688,0.080,0.006
70,4480,orientation_cued_D4,0.03237,0.9688,22.7369,0.146,0.008
71,4544,orientation_cued_D2,0.00077,1.0000,0.3494,0.101,0.009
72,4608,orientation_cued_D0,0.00047,1.0000,0.1175,0.094,0.011
73,4672,orientation_cued_D4,0.00553,1.0000,2.2670,0.152,0.008
74,4736,orientation_cued_D2,0.00056,1.0000,0.1216,0.115,0.011
75,4800,orientation_cued_D0,0.00020,1.0000,0.0252,0.074,0.006
76,4864,orientation_cued_D4,0.00434,1.0000,1.3313,0.143,0.006
77,4928,orientation_cued_D2,0.02339,0.9844,14.0291,0.115,0.008
78,4992,orientation_cued_D0,0.00020,1.0000,0.0177,0.078,0.006
79,5056,orientation_cued_D4,0.00183,1.0000,0.7847,0.136,0.005
80,5120,orientation_cued_D2,0.00110,1.0000,0.5141,0.123,0.009
81,5184,orientation_cued_D0,0.00070,1.0000,0.2013,0.096,0.011
82,5248,orientation_cued_D4,0.00842,1.0000,3.7910,0.145,0.006
83,5312,orientation_cued_D2,0.00207,1.0000,1.7899,0.121,0.013
84,5376,orientation_cued_D0,0.00041,1.0000,0.0922,0.100,0.011
