update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D4,0.00015,1.0000,0.0564,1.648,1.360
2,128,orientation_cued_D0,0.00007,1.0000,0.0042,0.079,0.013
3,192,orientation_cued_D0,0.00069,1.0000,0.5649,0.084,0.006
4,256,orientation_cued_D12,0.93814,0.7969,73.6222,0.279,0.005
5,320,orientation_cued_D4,0.03881,0.9844,28.0508,0.141,0.025
6,384,orientation_cued_D24,2.43055,0.5469,612.3201,0.416,0.017
7,448,orientation_cued_D0,0.00006,1.0000,0.0046,0.072,0.034
8,512,orientation_cued_D24,2.23259,0.5156,89.9543,0.398,0.005
9,576,orientation_cued_D12,0.26789,0.8750,64.7421,0.184,0.024
10,640,orientation_cued_D12,0.44905,0.8438,133.0688,0.183,0.013
11,704,orientation_cued_D24,1.83939,0.5156,97.3054,0.358,0.014
12,768,orientation_cued_D4,0.01747,0.9844,10.1459,0.098,0.019
13,832,orientation_cued_D4,0.02558,0.9844,12.9137,0.141,0.008
14,896,orientation_cued_D12,0.16344,0.9375,52.7154,0.254,0.011
15,960,orientation_cued_D0,0.00050,1.0000,0.1565,0.064,0.013
16,1024,orientation_cued_D0,0.00120,1.0000,0.5433,0.069,0.004
17,1088,orientation_cued_D4,0.02486,1.0000,7.7468,0.113,0.004
18,1152,orientation_cued_D24,1.10789,0.5000,70.0682,0.333,0.010
19,1216,orientation_cued_D24,0.85525,0.5938,56.6442,0.330,0.030
20,1280,orientation_cued_D0,0.01083,1.0000,3.1276,0.059,0.025
21,1344,orientation_cued_D12,0.24971,0.9219,28.2017,0.225,0.005
22,1408,orientation_cued_D12,0.18711,0.9688,27.8102,0.189,0.015
23,1472,orientation_cued_D4,0.05101,0.9688,8.6235,0.148,0.024
24,1536,orientation_cued_D4,0.15911,0.9219,19.4390,0.093,0.007
25,1600,orientation_cued_D24,0.62878,0.5938,32.2297,0.385,0.007
26,1664,orientation_cued_D0,0.07754,0.9688,10.6728,0.048,0.018
27,1728,orientation_cued_D0,0.00164,1.0000,0.4835,0.052,0.005
28,1792,orientation_cued_D12,0.24834,0.9219,30.0211,0.224,0.005
29,1856,orientation_cued_D24,0.62303,0.6562,11.5189,0.414,0.019
30,1920,orientation_cued_D24,0.69364,0.5469,27.4288,0.310,0.022
31,1984,orientation_cued_D4,0.08983,0.9375,15.0941,0.136,0.025
32,2048,orientation_cued_D12,0.21830,0.9844,21.8061,0.229,0.009
33,2112,orientation_cued_D12,0.23394,0.9219,25.9309,0.185,0.016
34,2176,orientation_cued_D0,0.01085,1.0000,2.1332,0.078,0.015
35,2240,orientation_cued_D4,0.05535,0.9688,10.3709,0.126,0.005
36,2304,orientation_cued_D4,0.03642,1.0000,6.1311,0.143,0.008
37,2368,orientation_cued_D0,0.01057,1.0000,3.2775,0.074,0.008
38,2432,orientation_cued_D0,0.00080,1.0000,0.1243,0.053,0.004
39,2496,orientation_cued_D24,0.62763,0.6562,27.9216,0.319,0.005
40,2560,orientation_cued_D24,0.71920,0.6094,45.2459,0.443,0.028
41,2624,orientation_cued_D24,0.65354,0.6406,43.1210,0.418,0.033
42,2688,orientation_cued_D12,0.12875,0.9531,12.1483,0.250,0.034
