update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_ring_D0,0.69373,0.5000,0.5531,2.112,1.386
2,128,orientation_ring_D0,0.71900,0.5000,1.4886,0.078,0.007
3,192,orientation_ring_D0,0.69500,0.4844,0.4118,0.101,0.007
4,256,orientation_ring_D0,0.70349,0.5000,1.0386,0.077,0.004
5,320,orientation_ring_D0,0.70174,0.5000,0.7829,0.076,0.005
6,384,orientation_ring_D0,0.69511,0.4688,0.3715,0.095,0.007
7,448,orientation_ring_D0,0.69419,0.5000,0.3382,0.081,0.005
8,512,orientation_ring_D0,0.69829,0.5000,0.4750,0.080,0.004
9,576,orientation_ring_D0,0.69588,0.5000,0.4753,0.083,0.006
10,640,orientation_ring_D0,0.69374,0.5000,0.3552,0.079,0.005
11,704,orientation_ring_D0,0.69240,0.5000,0.2533,0.070,0.005
12,768,orientation_ring_D0,0.69517,0.5000,0.2864,0.076,0.005
13,832,orientation_ring_D0,0.69636,0.5000,0.3424,0.084,0.005
14,896,orientation_ring_D0,0.69300,0.5000,0.3665,0.083,0.005
15,960,orientation_ring_D0,0.69361,0.5000,0.2947,0.081,0.005
16,1024,orientation_ring_D0,0.69364,0.5000,0.2295,0.084,0.005
17,1088,orientation_ring_D0,0.69211,0.4844,0.2094,0.089,0.006
18,1152,orientation_ring_D0,0.69416,0.5000,0.2318,0.086,0.008
19,1216,orientation_ring_D0,0.69334,0.5000,0.2362,0.076,0.006
20,1280,orientation_ring_D0,0.69302,0.5000,0.2484,0.090,0.006
21,1344,orientation_ring_D0,0.69394,0.5000,0.2333,0.073,0.005
22,1408,orientation_ring_D0,0.69190,0.5000,0.1935,0.091,0.005
23,1472,orientation_ring_D0,0.69333,0.5000,0.1873,0.084,0.005
24,1536,orientation_ring_D0,0.69407,0.4688,0.1775,0.068,0.005
25,1600,orientation_ring_D0,0.69212,0.5000,0.2121,0.092,0.006
26,1664,orientation_ring_D0,0.69477,0.5000,0.2161,0.087,0.005
27,1728,orientation_ring_D0,0.69371,0.5000,0.2272,0.078,0.005
28,1792,orientation_ring_D0,0.69210,0.5156,0.1864,0.079,0.004
29,1856,orientation_ring_D0,0.69474,0.5000,0.1662,0.076,0.005
30,1920,orientation_ring_D0,0.69366,0.4375,0.1696,0.079,0.004
31,1984,orientation_ring_D0,0.69232,0.4844,0.1781,0.079,0.004
32,2048,orientation_ring_D0,0.69306,0.5000,0.2005,0.076,0.005
33,2112,orientation_ring_D0,0.69136,0.5000,0.1772,0.078,0.005
34,2176,orientation_ring_D0,0.69160,0.5156,0.1728,0.058,0.005
35,2240,orientation_ring_D0,0.69413,0.4844,0.1636,0.078,0.006
36,2304,orientation_ring_D0,0.69361,0.5156,0.1589,0.081,0.005
37,2368,orientation_ring_D0,0.69311,0.4688,0.1673,0.084,0.005
38,2432,orientation_ring_D0,0.69359,0.4844,0.1706,0.095,0.006
39,2496,orientation_ring_D0,0.69196,0.5781,0.1686,0.084,0.005
40,2560,orientation_ring_D0,0.69481,0.4375,0.1742,0.079,0.005
41,2624,orientation_ring_D0,0.69271,0.5469,0.1615,0.076,0.006
42,2688,orientation_ring_D0,0.69269,0.5156,0.1754,0.079,0.005
43,2752,orientation_ring_D0,0.69317,0.5312,0.1619,0.079,0.004
44,2816,orientation_ring_D0,0.69334,0.4531,0.1698,0.075,0.008
45,2880,orientation_ring_D0,0.69310,0.5625,0.1781,0.083,0.005
46,2944,orientation_ring_D0,0.69507,0.4531,0.1680,0.081,0.004
47,3008,orientation_ring_D0,0.69398,0.4062,0.1761,0.083,0.006
48,3072,orientation_ring_D0,0.69291,0.4531,0.1717,0.081,0.006
49,3136,orientation_ring_D0,0.69242,0.5312,0.1688,0.078,0.005
50,3200,orientation_ring_D0,0.69471,0.4219,0.1586,0.079,0.005
51,3264,orientation_ring_D0,0.69346,0.4688,0.1724,0.079,0.005
52,3328,orientation_ring_D0,0.69490,0.5156,0.1664,0.081,0.005
53,3392,orientation_ring_D0,0.69356,0.5000,0.1672,0.065,0.005
54,3456,orientation_ring_D0,0.69098,0.5938,0.1593,0.073,0.005
55,3520,orientation_ring_D0,0.69199,0.6094,0.1648,0.080,0.005
56,3584,orientation_ring_D0,0.69417,0.5156,0.1574,0.078,0.006
57,3648,orientation_ring_D0,0.69573,0.3750,0.1567,0.087,0.005
58,3712,orientation_ring_D0,0.69355,0.4531,0.1563,0.086,0.007
59,3776,orientation_ring_D0,0.69308,0.5156,0.1525,0.067,0.005
60,3840,orientation_ring_D0,0.69254,0.5469,0.1515,0.086,0.005
61,3904,orientation_ring_D0,0.69351,0.5000,0.1456,0.098,0.005
62,3968,orientation_ring_D0,0.69265,0.5469,0.1596,0.101,0.010
63,4032,orientation_ring_D0,0.69351,0.4844,0.1540,0.090,0.008
64,4096,orientation_ring_D0,0.69169,0.6562,0.1672,0.071,0.007
65,4160,orientation_ring_D0,0.69159,0.6094,0.1709,0.095,0.009
66,4224,orientation_ring_D0,0.69216,0.5469,0.1466,0.094,0.006
67,4288,orientation_ring_D0,0.69400,0.5156,0.1577,0.096,0.010
68,4352,orientation_ring_D0,0.69264,0.5938,0.1535,0.079,0.007
69,4416,orientation_ring_D0,0.69293,0.5156,0.1505,0.063,0.004
70,4480,orientation_ring_D0,0.69209,0.5625,0.1490,0.082,0.005
71,4544,orientation_ring_D0,0.69288,0.5312,0.1515,0.076,0.005
72,4608,orientation_ring_D0,0.69362,0.4375,0.1472,0.082,0.008
73,4672,orientation_ring_D0,0.69242,0.5000,0.1452,0.086,0.006
74,4736,orientation_ring_D0,0.69445,0.4688,0.1535,0.081,0.005
75,4800,orientation_ring_D0,0.69414,0.4531,0.1532,0.092,0.004
76,4864,orientation_ring_D0,0.69336,0.4844,0.1458,0.107,0.009
77,4928,orientation_ring_D0,0.69212,0.5938,0.1550,0.097,0.008
78,4992,orientation_ring_D0,0.69414,0.5469,0.1483,0.073,0.008
79,5056,orientation_ring_D0,0.69324,0.5938,0.1497,0.083,0.005
80,5120,orientation_ring_D0,0.69231,0.5312,0.1510,0.094,0.006
81,5184,orientation_ring_D0,0.69216,0.5156,0.1517,0.093,0.009
82,5248,orientation_ring_D0,0.69351,0.4844,0.1475,0.110,0.007
83,5312,orientation_ring_D0,0.69280,0.4844,0.1521,0.081,0.005
84,5376,orientation_ring_D0,0.69101,0.5938,0.1505,0.079,0.005
85,5440,orientation_ring_D0,0.69076,0.6250,0.1596,0.085,0.005
86,5504,orientation_ring_D0,0.69321,0.4844,0.1586,0.073,0.004
87,5568,orientation_ring_D0,0.69319,0.4688,0.1578,0.081,0.004
88,5632,orientation_ring_D0,0.69502,0.4062,0.1566,0.080,0.006
89,5696,orientation_ring_D0,0.69314,0.5781,0.1605,0.076,0.005
90,5760,orientation_ring_D0,0.69233,0.4688,0.1618,0.076,0.005
91,5824,orientation_ring_D0,0.69380,0.4844,0.1712,0.071,0.005
92,5888,orientation_ring_D0,0.69153,0.5156,0.1601,0.082,0.005
93,5952,orientation_ring_D0,0.69382,0.4531,0.1655,0.084,0.005
94,6016,orientation_ring_D0,0.69076,0.6094,0.1686,0.092,0.006
95,6080,orientation_ring_D0,0.69619,0.3906,0.1680,0.081,0.006
96,6144,orientation_ring_D0,0.69242,0.5312,0.1625,0.082,0.006
97,6208,orientation_ring_D0,0.69176,0.5312,0.1670,0.080,0.005
98,6272,orientation_ring_D0,0.69174,0.5156,0.1655,0.076,0.006
99,6336,orientation_ring_D0,0.69105,0.5469,0.1691,0.089,0.005
