update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69575,0.5000,1.0381,1.075,1.544
2,128,orientation_cued_D0,0.69267,0.5156,1.0175,0.038,0.007
3,192,orientation_cued_D0,0.69992,0.4844,0.6446,0.035,0.004
4,256,orientation_cued_D0,0.69105,0.5156,0.8162,0.031,0.007
5,320,orientation_cued_D0,0.70062,0.4375,0.6339,0.040,0.008
6,384,orientation_cued_D0,0.69032,0.5000,0.5003,0.042,0.008
7,448,orientation_cued_D0,0.68981,0.4688,0.5593,0.042,0.008
8,512,orientation_cued_D0,0.68463,0.6250,0.4883,0.045,0.007
9,576,orientation_cued_D0,0.69122,0.5625,0.4509,0.039,0.005
10,640,orientation_cued_D0,0.69461,0.5000,0.5644,0.042,0.008
11,704,orientation_cued_D0,0.68859,0.5156,0.4732,0.047,0.008
12,768,orientation_cued_D0,0.68498,0.5781,0.5963,0.042,0.008
13,832,orientation_cued_D0,0.69993,0.5312,0.5651,0.041,0.009
14,896,orientation_cued_D0,0.69109,0.5156,0.5009,0.032,0.005
15,960,orientation_cued_D0,0.69873,0.5000,0.5690,0.033,0.009
16,1024,orientation_cued_D0,0.69199,0.5156,0.5612,0.034,0.018
17,1088,orientation_cued_D0,0.68685,0.5625,0.5242,0.039,0.005
18,1152,orientation_cued_D0,0.68628,0.5000,0.4797,0.032,0.014
19,1216,orientation_cued_D0,0.69085,0.6094,0.4522,0.035,0.009
20,1280,orientation_cued_D0,0.68891,0.5312,0.5593,0.044,0.004
21,1344,orientation_cued_D0,0.69509,0.5625,0.6263,0.037,0.003
22,1408,orientation_cued_D0,0.69133,0.5625,0.5890,0.052,0.003
23,1472,orientation_cued_D0,0.70729,0.4062,0.7022,0.038,0.003
24,1536,orientation_cued_D0,0.69150,0.4531,0.5752,0.034,0.022
25,1600,orientation_cued_D0,0.69635,0.4688,0.5131,0.037,0.054
26,1664,orientation_cued_D0,0.68516,0.5781,0.5325,0.027,0.003
27,1728,orientation_cued_D0,0.68617,0.5938,0.5094,0.037,0.038
28,1792,orientation_cued_D0,0.67515,0.6719,0.5416,0.047,0.043
29,1856,orientation_cued_D0,0.69300,0.5469,0.6148,0.039,0.005
30,1920,orientation_cued_D0,0.69869,0.3906,0.6328,0.032,0.054
31,1984,orientation_cued_D0,0.68175,0.6719,0.5519,0.036,0.044
32,2048,orientation_cued_D0,0.68064,0.5469,0.5892,0.036,0.017
33,2112,orientation_cued_D0,0.68706,0.5625,0.5330,0.037,0.036
34,2176,orientation_cued_D0,0.70720,0.4531,0.8805,0.040,0.036
35,2240,orientation_cued_D0,0.67854,0.6250,0.6514,0.037,0.054
36,2304,orientation_cued_D0,0.69760,0.4844,0.8197,0.037,0.003
37,2368,orientation_cued_D0,0.67438,0.5469,0.5662,0.031,0.043
38,2432,orientation_cued_D0,0.67950,0.5781,0.5921,0.046,0.151
39,2496,orientation_cued_D0,0.67607,0.5938,0.5798,0.035,0.003
40,2560,orientation_cued_D0,0.66679,0.6719,0.6483,0.048,0.003
41,2624,orientation_cued_D0,0.68797,0.5312,0.8309,0.031,0.062
42,2688,orientation_cued_D0,0.68578,0.5000,0.5881,0.037,0.002
43,2752,orientation_cued_D0,0.69457,0.5312,0.6080,0.041,0.003
44,2816,orientation_cued_D0,0.67896,0.6562,0.5627,0.033,0.119
45,2880,orientation_cued_D0,0.67737,0.6406,0.7903,0.031,0.003
46,2944,orientation_cued_D0,0.67218,0.5938,0.6877,0.042,0.002
47,3008,orientation_cued_D0,0.67595,0.5938,0.7673,0.039,0.105
48,3072,orientation_cued_D0,0.67875,0.7031,0.6853,0.024,0.003
49,3136,orientation_cued_D0,0.68448,0.5000,0.8464,0.031,0.003
50,3200,orientation_cued_D0,0.69072,0.5156,1.2804,0.039,0.090
51,3264,orientation_cued_D0,0.66711,0.6094,0.9031,0.035,0.003
52,3328,orientation_cued_D0,0.67289,0.6250,0.9697,0.040,0.003
53,3392,orientation_cued_D0,0.66540,0.5625,1.0329,0.033,0.089
