update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.01138,1.0000,5.0245,1.315,1.319
2,128,orientation_cued_D2,2.15289,0.5000,153.5351,0.206,0.005
3,192,orientation_cued_D1,0.65313,0.7969,44.1731,0.214,0.006
4,256,orientation_cued_D0,0.00218,1.0000,1.1712,0.040,0.006
5,320,orientation_cued_D1,0.78676,0.7188,29.6710,0.042,0.004
6,384,orientation_cued_D2,3.20912,0.5000,88.0078,0.045,0.007
7,448,orientation_cued_D0,0.03167,0.9844,12.2637,0.040,0.012
8,512,orientation_cued_D1,0.59727,0.8281,30.6627,0.045,0.007
9,576,orientation_cued_D2,2.54259,0.5000,54.0212,0.052,0.009
10,640,orientation_cued_D1,0.66992,0.7188,33.1662,0.035,0.010
11,704,orientation_cued_D0,0.01384,0.9844,5.4093,0.043,0.014
12,768,orientation_cued_D2,1.48268,0.4531,51.5328,0.063,0.009
13,832,orientation_cued_D1,0.23675,0.9219,26.7971,0.040,0.033
14,896,orientation_cued_D0,0.00740,1.0000,2.0191,0.036,0.007
15,960,orientation_cued_D2,0.69101,0.6406,11.3371,0.036,0.005
16,1024,orientation_cued_D1,0.43395,0.8125,26.0902,0.043,0.008
17,1088,orientation_cued_D0,0.00944,1.0000,2.8944,0.034,0.005
18,1152,orientation_cued_D2,0.93466,0.5625,22.2808,0.045,0.005
19,1216,orientation_cued_D0,0.06423,0.9688,11.5375,0.041,0.007
20,1280,orientation_cued_D1,0.14358,0.9531,15.6996,0.037,0.008
21,1344,orientation_cued_D2,0.85448,0.5156,17.1425,0.047,0.007
22,1408,orientation_cued_D0,0.01582,0.9844,4.5330,0.040,0.007
23,1472,orientation_cued_D1,0.19521,0.9062,9.9181,0.036,0.007
24,1536,orientation_cued_D2,0.72183,0.5781,7.1885,0.061,0.003
25,1600,orientation_cued_D0,0.05443,0.9688,8.0111,0.034,0.013
26,1664,orientation_cued_D1,0.26372,0.8906,10.7028,0.031,0.003
27,1728,orientation_cued_D2,0.74314,0.6094,8.7880,0.045,0.019
28,1792,orientation_cued_D0,0.00950,1.0000,1.8302,0.039,0.023
29,1856,orientation_cued_D1,0.18515,0.9219,8.4088,0.041,0.068
30,1920,orientation_cued_D2,0.69192,0.5469,7.7532,0.056,0.003
31,1984,orientation_cued_D0,0.08782,0.9688,10.7045,0.046,0.014
32,2048,orientation_cued_D1,0.14193,0.9531,7.1501,0.045,0.059
33,2112,orientation_cued_D2,0.69993,0.5469,4.1281,0.043,0.003
34,2176,orientation_cued_D0,0.03793,0.9688,5.8778,0.040,0.003
35,2240,orientation_cued_D1,0.32144,0.8438,13.9898,0.048,0.063
36,2304,orientation_cued_D2,0.76727,0.5469,6.9491,0.057,0.004
37,2368,orientation_cued_D0,0.03114,0.9844,5.1386,0.044,0.004
