update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.00183,1.0000,0.4913,1.200,1.367
2,128,orientation_cued_D4,0.73546,0.5156,1.9550,0.270,0.004
3,192,orientation_cued_D2,0.66143,0.6562,3.1933,0.206,0.007
4,256,orientation_cued_D0,0.03749,0.9844,10.0265,0.039,0.006
5,320,orientation_cued_D4,0.69821,0.4844,1.3991,0.034,0.004
6,384,orientation_cued_D2,0.65912,0.6094,2.0842,0.047,0.010
7,448,orientation_cued_D0,0.15100,0.9688,12.6069,0.039,0.006
8,512,orientation_cued_D4,0.70164,0.4688,1.5046,0.067,0.007
9,576,orientation_cued_D2,0.69150,0.5469,3.1635,0.054,0.009
10,640,orientation_cued_D0,0.00031,1.0000,0.0766,0.043,0.006
11,704,orientation_cued_D4,0.70966,0.4219,0.9365,0.062,0.005
12,768,orientation_cued_D2,0.69252,0.5625,2.0504,0.046,0.010
13,832,orientation_cued_D0,0.00186,1.0000,0.5173,0.046,0.010
14,896,orientation_cued_D4,0.70852,0.4688,1.6724,0.067,0.009
15,960,orientation_cued_D2,0.63740,0.6406,1.6596,0.054,0.009
16,1024,orientation_cued_D0,0.00046,1.0000,0.0879,0.043,0.006
17,1088,orientation_cued_D4,0.67483,0.6094,1.1458,0.055,0.005
18,1152,orientation_cued_D2,0.64715,0.5938,1.4931,0.037,0.017
19,1216,orientation_cued_D0,0.00109,1.0000,0.2398,0.039,0.007
20,1280,orientation_cued_D4,0.67802,0.5938,0.7926,0.065,0.005
21,1344,orientation_cued_D2,0.63908,0.6094,3.5155,0.049,0.010
22,1408,orientation_cued_D0,0.00030,1.0000,0.0926,0.042,0.009
23,1472,orientation_cued_D4,0.70777,0.4531,1.9969,0.068,0.008
24,1536,orientation_cued_D2,0.60708,0.6094,2.4215,0.045,0.010
25,1600,orientation_cued_D0,0.02367,0.9844,5.8368,0.038,0.011
26,1664,orientation_cued_D4,0.67680,0.5781,1.2504,0.073,0.007
27,1728,orientation_cued_D0,0.00264,1.0000,1.3177,0.042,0.009
28,1792,orientation_cued_D2,0.59107,0.7344,2.4910,0.052,0.005
29,1856,orientation_cued_D0,0.00256,1.0000,1.0998,0.045,0.006
30,1920,orientation_cued_D2,0.70161,0.5000,4.0618,0.057,0.003
31,1984,orientation_cued_D4,0.68065,0.5625,2.0473,0.035,0.007
32,2048,orientation_cued_D2,0.69134,0.5312,3.4586,0.042,0.014
33,2112,orientation_cued_D0,0.00758,1.0000,4.6770,0.042,0.003
34,2176,orientation_cued_D4,0.68458,0.5000,1.2127,0.072,0.004
35,2240,orientation_cued_D2,0.67715,0.5312,3.4269,0.052,0.004
36,2304,orientation_cued_D0,0.00317,1.0000,1.1379,0.044,0.003
37,2368,orientation_cued_D4,0.66312,0.6094,0.9801,0.078,0.004
38,2432,orientation_cued_D0,0.00424,1.0000,2.9354,0.032,0.034
39,2496,orientation_cued_D2,0.62487,0.6406,3.3387,0.044,0.003
