update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.00334,1.0000,0.4889,0.687,1.195
2,128,orientation_cued_D4,0.53936,0.7188,2.9010,0.204,0.005
3,192,orientation_cued_D12,0.58779,0.6406,3.8034,0.267,0.013
4,256,orientation_cued_D0,0.00096,1.0000,0.0970,0.044,0.025
5,320,orientation_cued_D4,0.53247,0.7031,2.5408,0.066,0.007
6,384,orientation_cued_D24,0.54059,0.7344,6.5763,0.461,0.008
7,448,orientation_cued_D0,0.00654,1.0000,1.0958,0.029,0.021
8,512,orientation_cued_D12,0.49587,0.7969,2.1208,0.056,0.006
9,576,orientation_cued_D24,0.70452,0.5625,4.2302,0.102,0.013
10,640,orientation_cued_D4,0.51820,0.7344,4.0462,0.038,0.024
11,704,orientation_cued_D24,0.53939,0.7344,3.7511,0.154,0.009
12,768,orientation_cued_D12,0.59550,0.6719,3.4123,0.068,0.030
13,832,orientation_cued_D0,0.00513,1.0000,2.0404,0.021,0.023
14,896,orientation_cued_D4,0.41885,0.8750,2.6912,0.032,0.005
15,960,orientation_cued_D12,0.51252,0.7656,4.8403,0.061,0.008
16,1024,orientation_cued_D0,0.00330,1.0000,0.7805,0.021,0.017
17,1088,orientation_cued_D4,0.45348,0.7656,2.3783,0.034,0.005
18,1152,orientation_cued_D24,0.51493,0.7969,2.6664,0.114,0.009
19,1216,orientation_cued_D0,0.00933,1.0000,3.2036,0.032,0.030
20,1280,orientation_cued_D12,0.55382,0.6875,2.4565,0.077,0.003
21,1344,orientation_cued_D24,0.53073,0.7969,2.9246,0.192,0.030
22,1408,orientation_cued_D4,0.54750,0.7188,3.1268,0.062,0.033
23,1472,orientation_cued_D0,0.00287,1.0000,0.7296,0.027,0.009
24,1536,orientation_cued_D12,0.51712,0.7812,2.4355,0.062,0.003
25,1600,orientation_cued_D24,0.48398,0.7812,2.8641,0.106,0.015
26,1664,orientation_cued_D4,0.47669,0.7969,2.6320,0.032,0.029
27,1728,orientation_cued_D12,0.52361,0.7656,2.4998,0.060,0.008
28,1792,orientation_cued_D0,0.00090,1.0000,0.0893,0.032,0.016
29,1856,orientation_cued_D24,0.47173,0.7656,4.2014,0.124,0.003
