update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_ring_D0,0.69084,0.5000,0.5154,1.272,1.257
2,128,orientation_ring_D0,0.70813,0.5000,1.5905,0.028,0.004
3,192,orientation_ring_D0,0.69932,0.5000,1.0259,0.038,0.005
4,256,orientation_ring_D0,0.70852,0.5000,1.2332,0.042,0.007
5,320,orientation_ring_D0,0.69175,0.5312,0.4888,0.041,0.006
6,384,orientation_ring_D0,0.69741,0.5000,0.7015,0.043,0.004
7,448,orientation_ring_D0,0.69685,0.5000,0.8869,0.043,0.004
8,512,orientation_ring_D0,0.69323,0.5000,0.6220,0.040,0.004
9,576,orientation_ring_D0,0.69661,0.4375,0.4015,0.039,0.004
10,640,orientation_ring_D0,0.69387,0.5000,0.5473,0.027,0.004
11,704,orientation_ring_D0,0.69766,0.5000,0.6430,0.033,0.005
12,768,orientation_ring_D0,0.69568,0.5000,0.5382,0.039,0.005
13,832,orientation_ring_D0,0.69259,0.5156,0.3754,0.040,0.005
14,896,orientation_ring_D0,0.69166,0.5156,0.3533,0.042,0.004
15,960,orientation_ring_D0,0.69591,0.5000,0.4369,0.032,0.005
16,1024,orientation_ring_D0,0.69733,0.5000,0.4741,0.036,0.006
17,1088,orientation_ring_D0,0.69168,0.5000,0.4061,0.038,0.008
18,1152,orientation_ring_D0,0.69395,0.4688,0.3523,0.045,0.009
19,1216,orientation_ring_D0,0.69355,0.4844,0.3208,0.036,0.010
20,1280,orientation_ring_D0,0.69278,0.4844,0.3474,0.046,0.004
21,1344,orientation_ring_D0,0.69465,0.5156,0.3913,0.043,0.003
22,1408,orientation_ring_D0,0.69534,0.5000,0.3622,0.042,0.002
23,1472,orientation_ring_D0,0.69123,0.5156,0.3467,0.036,0.003
24,1536,orientation_ring_D0,0.69442,0.5000,0.2954,0.040,0.003
25,1600,orientation_ring_D0,0.69167,0.5156,0.3078,0.043,0.093
26,1664,orientation_ring_D0,0.69316,0.4844,0.3341,0.040,0.002
27,1728,orientation_ring_D0,0.69188,0.4688,0.3335,0.042,0.002
28,1792,orientation_ring_D0,0.69186,0.5156,0.2986,0.039,0.072
29,1856,orientation_ring_D0,0.69556,0.4531,0.2927,0.042,0.004
30,1920,orientation_ring_D0,0.69301,0.5469,0.3210,0.042,0.003
31,1984,orientation_ring_D0,0.69104,0.5312,0.3215,0.040,0.090
32,2048,orientation_ring_D0,0.69467,0.4688,0.3055,0.042,0.002
33,2112,orientation_ring_D0,0.69251,0.5625,0.2808,0.040,0.003
34,2176,orientation_ring_D0,0.69455,0.4531,0.2921,0.038,0.087
35,2240,orientation_ring_D0,0.69340,0.5312,0.3010,0.023,0.003
36,2304,orientation_ring_D0,0.69194,0.4844,0.3023,0.041,0.003
37,2368,orientation_ring_D0,0.69126,0.5625,0.2931,0.042,0.116
38,2432,orientation_ring_D0,0.69334,0.5000,0.2804,0.055,0.005
39,2496,orientation_ring_D0,0.69356,0.5469,0.2906,0.041,0.004
40,2560,orientation_ring_D0,0.69251,0.5625,0.2817,0.051,0.088
41,2624,orientation_ring_D0,0.69323,0.5469,0.2792,0.052,0.002
42,2688,orientation_ring_D0,0.69414,0.5312,0.2882,0.032,0.002
43,2752,orientation_ring_D0,0.69419,0.4531,0.2972,0.041,0.082
44,2816,orientation_ring_D0,0.69174,0.5469,0.2894,0.031,0.016
45,2880,orientation_ring_D0,0.69375,0.4688,0.2813,0.038,0.002
46,2944,orientation_ring_D0,0.69345,0.4688,0.2876,0.050,0.097
47,3008,orientation_ring_D0,0.69143,0.5938,0.2708,0.044,0.003
48,3072,orientation_ring_D0,0.69413,0.4844,0.2863,0.044,0.003
49,3136,orientation_ring_D0,0.69197,0.5312,0.3117,0.044,0.055
50,3200,orientation_ring_D0,0.69353,0.5000,0.3210,0.029,0.005
51,3264,orientation_ring_D0,0.69601,0.4688,0.3131,0.037,0.003
52,3328,orientation_ring_D0,0.69393,0.4531,0.2850,0.040,0.079
53,3392,orientation_ring_D0,0.69222,0.5469,0.2936,0.040,0.002
54,3456,orientation_ring_D0,0.69593,0.4219,0.2871,0.040,0.002
55,3520,orientation_ring_D0,0.69654,0.4844,0.3024,0.031,0.064
56,3584,orientation_ring_D0,0.69453,0.4688,0.2898,0.040,0.012
57,3648,orientation_ring_D0,0.69472,0.4531,0.2887,0.025,0.002
58,3712,orientation_ring_D0,0.69062,0.5625,0.2690,0.039,0.097
59,3776,orientation_ring_D0,0.69558,0.3750,0.2799,0.039,0.023
60,3840,orientation_ring_D0,0.69455,0.5781,0.2804,0.044,0.027
61,3904,orientation_ring_D0,0.69082,0.5469,0.2619,0.044,0.080
62,3968,orientation_ring_D0,0.69408,0.4531,0.2640,0.042,0.005
63,4032,orientation_ring_D0,0.69344,0.4844,0.2702,0.039,0.003
64,4096,orientation_ring_D0,0.69119,0.5156,0.2673,0.040,0.070
65,4160,orientation_ring_D0,0.69735,0.3906,0.2744,0.039,0.015
66,4224,orientation_ring_D0,0.69370,0.5781,0.2785,0.039,0.032
67,4288,orientation_ring_D0,0.69500,0.4531,0.2778,0.042,0.049
68,4352,orientation_ring_D0,0.69245,0.5469,0.2794,0.032,0.022
69,4416,orientation_ring_D0,0.69146,0.5312,0.2666,0.033,0.107
70,4480,orientation_ring_D0,0.69325,0.4531,0.2591,0.035,0.002
71,4544,orientation_ring_D0,0.69398,0.4844,0.2550,0.036,0.019
72,4608,orientation_ring_D0,0.69406,0.4688,0.2505,0.027,0.090
73,4672,orientation_ring_D0,0.69435,0.4844,0.2585,0.040,0.014
74,4736,orientation_ring_D0,0.69184,0.5312,0.2577,0.042,0.009
75,4800,orientation_ring_D0,0.69247,0.5312,0.2603,0.044,0.064
76,4864,orientation_ring_D0,0.69372,0.4375,0.2597,0.031,0.038
77,4928,orientation_ring_D0,0.69252,0.5000,0.2593,0.039,0.003
78,4992,orientation_ring_D0,0.69049,0.6406,0.2522,0.042,0.036
79,5056,orientation_ring_D0,0.69742,0.4375,0.2666,0.040,0.043
80,5120,orientation_ring_D0,0.69195,0.5469,0.2550,0.040,0.002
81,5184,orientation_ring_D0,0.68875,0.6094,0.2593,0.030,0.017
82,5248,orientation_ring_D0,0.68979,0.5469,0.2671,0.039,0.086
83,5312,orientation_ring_D0,0.69265,0.5469,0.2549,0.042,0.004
84,5376,orientation_ring_D0,0.69494,0.5156,0.2530,0.042,0.002
85,5440,orientation_ring_D0,0.69369,0.4688,0.2559,0.047,0.084
86,5504,orientation_ring_D0,0.69026,0.6406,0.2551,0.044,0.005
87,5568,orientation_ring_D0,0.69422,0.4844,0.2768,0.060,0.005
88,5632,orientation_ring_D0,0.69264,0.5156,0.2656,0.047,0.105
89,5696,orientation_ring_D0,0.69280,0.5312,0.2693,0.045,0.003
