update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.70974,0.5000,1.4579,1.001,1.448
2,128,orientation_cued_D0,0.69627,0.4688,0.6730,0.079,0.005
3,192,orientation_cued_D0,0.69704,0.5000,0.7704,0.100,0.007
4,256,orientation_cued_D0,0.69482,0.5312,0.4461,0.090,0.005
5,320,orientation_cued_D0,0.69297,0.5156,0.6446,0.098,0.007
6,384,orientation_cued_D0,0.70059,0.5312,0.8774,0.102,0.006
7,448,orientation_cued_D0,0.69240,0.5000,0.5129,0.113,0.006
8,512,orientation_cued_D0,0.68852,0.5312,0.4259,0.126,0.008
9,576,orientation_cued_D0,0.68901,0.5000,0.6237,0.108,0.010
10,640,orientation_cued_D0,0.68282,0.5469,0.5276,0.097,0.005
11,704,orientation_cued_D0,0.69304,0.5000,0.8059,0.131,0.009
12,768,orientation_cued_D0,0.69332,0.5625,1.5209,0.105,0.009
13,832,orientation_cued_D0,0.69628,0.4844,0.7004,0.107,0.006
14,896,orientation_cued_D0,0.69409,0.5156,1.0036,0.087,0.004
15,960,orientation_cued_D0,0.70314,0.4688,1.2376,0.110,0.007
16,1024,orientation_cued_D0,0.70470,0.5000,0.8491,0.102,0.004
17,1088,orientation_cued_D0,0.69423,0.5469,1.0960,0.132,0.009
18,1152,orientation_cued_D0,0.69802,0.4844,0.8897,0.098,0.010
19,1216,orientation_cued_D0,0.68964,0.5781,0.8820,0.109,0.005
20,1280,orientation_cued_D0,0.69934,0.4688,0.5974,0.108,0.005
21,1344,orientation_cued_D0,0.68470,0.5938,0.7675,0.111,0.006
22,1408,orientation_cued_D0,0.69905,0.4219,0.7989,0.112,0.008
23,1472,orientation_cued_D0,0.69741,0.5156,0.6437,0.116,0.008
24,1536,orientation_cued_D0,0.71104,0.4531,0.8173,0.118,0.008
25,1600,orientation_cued_D0,0.69163,0.5000,0.6592,0.159,0.009
26,1664,orientation_cued_D0,0.68311,0.5625,0.7168,0.115,0.006
27,1728,orientation_cued_D0,0.68331,0.4844,0.5066,0.150,0.009
28,1792,orientation_cued_D0,0.69513,0.5000,0.6290,0.103,0.008
29,1856,orientation_cued_D0,0.68771,0.5781,0.5418,0.106,0.006
30,1920,orientation_cued_D0,0.69450,0.5156,0.5474,0.132,0.005
