update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D2,0.00017,1.0000,0.0089,0.633,1.163
2,128,orientation_cued_D0,0.00009,1.0000,0.0028,0.060,0.007
3,192,orientation_cued_D4,0.04816,0.9844,34.6799,0.148,0.005
4,256,orientation_cued_D4,0.18924,0.9531,80.7790,0.115,0.009
5,320,orientation_cued_D0,0.00007,1.0000,0.0018,0.069,0.008
6,384,orientation_cued_D2,0.00025,1.0000,0.1233,0.098,0.004
7,448,orientation_cued_D0,0.00008,1.0000,0.0027,0.075,0.006
8,512,orientation_cued_D4,0.00042,1.0000,0.1483,0.141,0.004
9,576,orientation_cued_D2,0.00014,1.0000,0.0248,0.090,0.007
10,640,orientation_cued_D0,0.00012,1.0000,0.0179,0.065,0.006
11,704,orientation_cued_D4,0.00048,1.0000,0.2008,0.122,0.005
12,768,orientation_cued_D2,0.00032,1.0000,0.1613,0.088,0.007
13,832,orientation_cued_D0,0.00010,1.0000,0.0045,0.065,0.005
14,896,orientation_cued_D4,0.21303,0.9531,20.6727,0.117,0.004
15,960,orientation_cued_D2,0.08772,0.9844,11.8745,0.096,0.013
16,1024,orientation_cued_D0,0.00009,1.0000,0.0027,0.066,0.006
17,1088,orientation_cued_D4,0.01861,0.9844,8.6098,0.115,0.004
18,1152,orientation_cued_D2,0.02412,0.9844,6.5142,0.087,0.007
19,1216,orientation_cued_D0,0.00026,1.0000,0.0500,0.066,0.006
20,1280,orientation_cued_D4,0.02561,0.9844,33.9182,0.114,0.004
21,1344,orientation_cued_D2,0.00011,1.0000,0.0034,0.087,0.007
22,1408,orientation_cued_D0,0.00012,1.0000,0.0111,0.065,0.006
23,1472,orientation_cued_D4,0.00044,1.0000,0.1600,0.110,0.004
24,1536,orientation_cued_D2,0.00095,1.0000,0.3411,0.086,0.007
25,1600,orientation_cued_D0,0.00017,1.0000,0.0161,0.068,0.006
26,1664,orientation_cued_D4,0.01132,1.0000,10.5912,0.118,0.004
27,1728,orientation_cued_D2,0.00023,1.0000,0.0224,0.090,0.008
28,1792,orientation_cued_D0,0.00012,1.0000,0.0069,0.065,0.006
29,1856,orientation_cued_D4,0.00043,1.0000,0.1004,0.114,0.004
30,1920,orientation_cued_D2,0.00428,1.0000,1.9913,0.087,0.007
31,1984,orientation_cued_D0,0.00211,1.0000,0.6815,0.065,0.006
32,2048,orientation_cued_D4,0.00035,1.0000,0.1289,0.111,0.004
33,2112,orientation_cued_D2,0.00022,1.0000,0.0180,0.086,0.007
34,2176,orientation_cued_D0,0.00010,1.0000,0.0023,0.064,0.006
35,2240,orientation_cued_D4,0.00058,1.0000,0.1092,0.112,0.004
36,2304,orientation_cued_D2,0.02199,0.9844,13.2470,0.120,0.007
37,2368,orientation_cued_D0,0.00028,1.0000,0.0630,0.080,0.005
38,2432,orientation_cued_D4,0.01827,0.9844,9.3273,0.110,0.004
39,2496,orientation_cued_D2,0.00015,1.0000,0.0063,0.102,0.007
40,2560,orientation_cued_D0,0.00134,1.0000,0.5031,0.065,0.005
41,2624,orientation_cued_D4,0.00162,1.0000,0.7778,0.122,0.004
42,2688,orientation_cued_D2,0.00073,1.0000,0.3386,0.087,0.007
43,2752,orientation_cued_D0,0.00584,1.0000,1.8921,0.065,0.006
44,2816,orientation_cued_D4,0.11990,0.9688,15.0549,0.113,0.004
45,2880,orientation_cued_D2,0.00020,1.0000,0.0149,0.089,0.007
46,2944,orientation_cued_D0,0.00056,1.0000,0.1489,0.068,0.005
47,3008,orientation_cued_D4,0.00114,1.0000,0.3562,0.114,0.004
48,3072,orientation_cued_D2,0.00023,1.0000,0.0138,0.090,0.007
49,3136,orientation_cued_D0,0.00017,1.0000,0.0136,0.065,0.006
50,3200,orientation_cued_D4,0.00033,1.0000,0.0974,0.116,0.004
51,3264,orientation_cued_D2,0.00013,1.0000,0.0035,0.087,0.007
52,3328,orientation_cued_D0,0.00312,1.0000,0.9704,0.064,0.006
53,3392,orientation_cued_D4,0.00069,1.0000,0.2788,0.112,0.004
54,3456,orientation_cued_D2,0.00015,1.0000,0.0081,0.086,0.007
55,3520,orientation_cued_D0,0.00022,1.0000,0.0404,0.064,0.006
56,3584,orientation_cued_D4,0.00033,1.0000,0.0608,0.117,0.004
57,3648,orientation_cued_D2,0.00014,1.0000,0.0076,0.088,0.007
58,3712,orientation_cued_D0,0.00016,1.0000,0.0159,0.065,0.006
59,3776,orientation_cued_D4,0.00029,1.0000,0.0499,0.116,0.004
60,3840,orientation_cued_D2,0.00016,1.0000,0.0102,0.100,0.013
61,3904,orientation_cued_D0,0.00024,1.0000,0.0458,0.071,0.006
62,3968,orientation_cued_D4,0.00014,1.0000,0.0049,0.123,0.004
63,4032,orientation_cued_D2,0.00012,1.0000,0.0039,0.096,0.007
64,4096,orientation_cued_D0,0.00019,1.0000,0.0212,0.067,0.005
