update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_ring_D0,0.69725,0.5000,0.7871,0.895,1.591
2,128,orientation_ring_D0,0.73789,0.5000,2.2039,0.062,0.004
3,192,orientation_ring_D0,0.69665,0.5000,0.6486,0.070,0.004
4,256,orientation_ring_D0,0.69804,0.5000,0.8180,0.071,0.005
5,320,orientation_ring_D0,0.70897,0.5000,1.0157,0.079,0.005
6,384,orientation_ring_D0,0.70233,0.5000,0.7710,0.082,0.006
7,448,orientation_ring_D0,0.69490,0.5000,0.4298,0.086,0.009
8,512,orientation_ring_D0,0.69053,0.5781,0.2666,0.070,0.005
9,576,orientation_ring_D0,0.69516,0.5000,0.3131,0.074,0.004
10,640,orientation_ring_D0,0.69610,0.5000,0.4113,0.083,0.005
11,704,orientation_ring_D0,0.69664,0.5000,0.4007,0.073,0.004
12,768,orientation_ring_D0,0.69654,0.5000,0.3376,0.085,0.004
13,832,orientation_ring_D0,0.69550,0.5000,0.3134,0.105,0.006
14,896,orientation_ring_D0,0.69337,0.5000,0.2238,0.076,0.007
15,960,orientation_ring_D0,0.69301,0.4844,0.2044,0.074,0.005
16,1024,orientation_ring_D0,0.69372,0.5469,0.1805,0.089,0.005
17,1088,orientation_ring_D0,0.69370,0.5000,0.2087,0.077,0.005
18,1152,orientation_ring_D0,0.69464,0.5000,0.2080,0.097,0.005
19,1216,orientation_ring_D0,0.69377,0.5000,0.2071,0.091,0.006
20,1280,orientation_ring_D0,0.69422,0.5000,0.1799,0.072,0.005
21,1344,orientation_ring_D0,0.69384,0.5000,0.1945,0.075,0.004
22,1408,orientation_ring_D0,0.69295,0.5000,0.1662,0.083,0.005
23,1472,orientation_ring_D0,0.69341,0.5000,0.1709,0.100,0.004
24,1536,orientation_ring_D0,0.69355,0.5000,0.1543,0.071,0.004
25,1600,orientation_ring_D0,0.69339,0.5000,0.1399,0.070,0.004
26,1664,orientation_ring_D0,0.69301,0.6094,0.1601,0.077,0.005
27,1728,orientation_ring_D0,0.69250,0.5000,0.1749,0.098,0.005
28,1792,orientation_ring_D0,0.69331,0.5000,0.1518,0.099,0.005
29,1856,orientation_ring_D0,0.69389,0.5000,0.1534,0.092,0.004
30,1920,orientation_ring_D0,0.69412,0.5000,0.1707,0.083,0.005
31,1984,orientation_ring_D0,0.69274,0.5000,0.1488,0.097,0.005
32,2048,orientation_ring_D0,0.69356,0.5000,0.1655,0.070,0.005
33,2112,orientation_ring_D0,0.69232,0.5000,0.1473,0.072,0.005
34,2176,orientation_ring_D0,0.69374,0.4844,0.1308,0.081,0.005
35,2240,orientation_ring_D0,0.69258,0.4688,0.1407,0.105,0.005
36,2304,orientation_ring_D0,0.69358,0.4688,0.1438,0.105,0.007
37,2368,orientation_ring_D0,0.69225,0.6250,0.1313,0.091,0.004
38,2432,orientation_ring_D0,0.69261,0.5000,0.1227,0.105,0.006
39,2496,orientation_ring_D0,0.69225,0.5156,0.1292,0.105,0.005
40,2560,orientation_ring_D0,0.69311,0.4844,0.1268,0.112,0.005
41,2624,orientation_ring_D0,0.69317,0.5156,0.1241,0.068,0.004
42,2688,orientation_ring_D0,0.69309,0.5000,0.1200,0.068,0.004
43,2752,orientation_ring_D0,0.69302,0.4688,0.1308,0.072,0.004
44,2816,orientation_ring_D0,0.69342,0.4688,0.1306,0.079,0.005
45,2880,orientation_ring_D0,0.69197,0.5000,0.1250,0.084,0.006
46,2944,orientation_ring_D0,0.69262,0.5000,0.1272,0.108,0.004
47,3008,orientation_ring_D0,0.69339,0.4531,0.1213,0.072,0.004
48,3072,orientation_ring_D0,0.69418,0.4688,0.1261,0.070,0.004
49,3136,orientation_ring_D0,0.69523,0.4375,0.1369,0.074,0.005
50,3200,orientation_ring_D0,0.69193,0.6406,0.1306,0.076,0.005
51,3264,orientation_ring_D0,0.69386,0.4531,0.1301,0.091,0.005
52,3328,orientation_ring_D0,0.69348,0.4062,0.1224,0.094,0.005
53,3392,orientation_ring_D0,0.69336,0.5156,0.1214,0.088,0.005
54,3456,orientation_ring_D0,0.69443,0.4375,0.1288,0.069,0.004
55,3520,orientation_ring_D0,0.69217,0.5000,0.1276,0.072,0.005
56,3584,orientation_ring_D0,0.69384,0.4688,0.1310,0.073,0.005
57,3648,orientation_ring_D0,0.69421,0.5781,0.1256,0.085,0.005
