update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.00016,1.0000,0.0101,0.584,1.163
2,128,orientation_cued_D1,0.38652,0.9219,16.8197,0.089,0.007
3,192,orientation_cued_D2,0.94252,0.8594,35.3170,0.104,0.008
4,256,orientation_cued_D0,0.00108,1.0000,0.8732,0.064,0.006
5,320,orientation_cued_D1,0.11898,0.9844,7.2895,0.093,0.007
6,384,orientation_cued_D2,0.82979,0.7656,110.8909,0.100,0.008
7,448,orientation_cued_D0,0.12861,0.9531,27.2693,0.061,0.005
8,512,orientation_cued_D1,0.13787,0.9375,14.8557,0.093,0.007
9,576,orientation_cued_D2,0.20200,0.9375,35.2744,0.105,0.008
10,640,orientation_cued_D0,0.00038,1.0000,0.1688,0.062,0.006
11,704,orientation_cued_D1,0.00590,1.0000,4.5785,0.094,0.007
12,768,orientation_cued_D2,0.18522,0.9375,34.6118,0.094,0.008
13,832,orientation_cued_D0,0.01026,1.0000,8.7662,0.062,0.006
14,896,orientation_cued_D1,0.09173,0.9844,15.0237,0.076,0.004
15,960,orientation_cued_D2,0.44495,0.8906,45.8689,0.095,0.006
16,1024,orientation_cued_D0,0.00348,1.0000,2.6317,0.064,0.006
17,1088,orientation_cued_D1,0.00079,1.0000,0.2352,0.075,0.004
18,1152,orientation_cued_D2,0.06776,0.9688,13.2590,0.092,0.006
19,1216,orientation_cued_D0,0.03480,0.9844,9.9879,0.065,0.006
20,1280,orientation_cued_D1,0.03290,0.9844,5.9734,0.074,0.004
21,1344,orientation_cued_D2,0.04693,0.9688,10.2801,0.090,0.006
22,1408,orientation_cued_D0,0.07319,0.9844,10.3262,0.064,0.006
23,1472,orientation_cued_D1,0.00512,1.0000,2.4912,0.074,0.004
24,1536,orientation_cued_D2,0.08455,0.9688,17.6890,0.094,0.006
25,1600,orientation_cued_D0,0.02933,0.9844,9.3274,0.063,0.006
26,1664,orientation_cued_D1,0.00633,1.0000,2.0355,0.078,0.004
27,1728,orientation_cued_D2,0.02472,1.0000,7.5841,0.092,0.006
28,1792,orientation_cued_D0,0.00997,1.0000,5.4341,0.065,0.006
29,1856,orientation_cued_D1,0.00272,1.0000,0.9687,0.074,0.004
30,1920,orientation_cued_D2,0.05928,0.9688,14.9916,0.094,0.005
31,1984,orientation_cued_D0,0.00113,1.0000,0.6460,0.065,0.006
32,2048,orientation_cued_D1,0.00425,1.0000,1.3226,0.074,0.004
33,2112,orientation_cued_D2,0.01434,1.0000,3.2533,0.092,0.006
34,2176,orientation_cued_D0,0.00031,1.0000,0.0446,0.063,0.006
35,2240,orientation_cued_D1,0.00333,1.0000,0.7115,0.073,0.004
36,2304,orientation_cued_D2,0.00369,1.0000,0.7874,0.093,0.005
37,2368,orientation_cued_D0,0.00271,1.0000,2.1767,0.063,0.006
38,2432,orientation_cued_D1,0.01234,1.0000,7.7295,0.078,0.004
39,2496,orientation_cued_D2,0.01037,1.0000,6.1276,0.090,0.006
40,2560,orientation_cued_D0,0.00022,1.0000,0.0101,0.063,0.006
41,2624,orientation_cued_D1,0.00081,1.0000,0.0934,0.073,0.004
42,2688,orientation_cued_D2,0.00476,1.0000,1.8074,0.092,0.006
43,2752,orientation_cued_D0,0.00098,1.0000,0.5189,0.064,0.006
44,2816,orientation_cued_D1,0.00098,1.0000,0.3860,0.075,0.004
45,2880,orientation_cued_D2,0.02817,0.9844,4.3392,0.090,0.006
46,2944,orientation_cued_D0,0.00065,1.0000,0.2099,0.067,0.006
47,3008,orientation_cued_D1,0.01267,0.9844,4.1419,0.076,0.004
48,3072,orientation_cued_D2,0.05186,0.9844,15.9070,0.093,0.006
49,3136,orientation_cued_D0,0.00020,1.0000,0.0115,0.067,0.007
50,3200,orientation_cued_D1,0.00077,1.0000,0.1388,0.082,0.004
51,3264,orientation_cued_D2,0.00288,1.0000,1.2644,0.094,0.006
52,3328,orientation_cued_D0,0.01712,0.9844,9.6956,0.064,0.006
53,3392,orientation_cued_D1,0.00083,1.0000,0.1995,0.074,0.004
54,3456,orientation_cued_D2,0.07623,0.9844,10.7820,0.095,0.006
55,3520,orientation_cued_D0,0.00835,1.0000,6.4120,0.064,0.006
56,3584,orientation_cued_D1,0.00074,1.0000,0.2536,0.074,0.004
57,3648,orientation_cued_D2,0.00416,1.0000,2.0659,0.088,0.006
58,3712,orientation_cued_D0,0.00552,1.0000,3.1692,0.063,0.006
59,3776,orientation_cued_D1,0.00087,1.0000,0.2144,0.072,0.004
