update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.00788,1.0000,3.7928,0.677,1.050
2,128,orientation_cued_D4,0.00008,1.0000,0.0090,0.158,0.005
3,192,orientation_cued_D12,0.00635,1.0000,2.3831,0.330,0.009
4,256,orientation_cued_D0,0.00010,1.0000,0.0028,0.074,0.015
5,320,orientation_cued_D4,0.00011,1.0000,0.0138,0.134,0.006
6,384,orientation_cued_D24,0.34847,0.9219,41.6238,0.400,0.007
7,448,orientation_cued_D0,0.00010,1.0000,0.0030,0.057,0.020
8,512,orientation_cued_D24,0.03068,0.9844,5.7788,0.340,0.003
9,576,orientation_cued_D12,0.00026,1.0000,0.0449,0.206,0.020
10,640,orientation_cued_D4,0.10532,0.9844,17.9003,0.107,0.013
11,704,orientation_cued_D24,0.21254,0.9375,27.9916,0.406,0.007
12,768,orientation_cued_D12,0.00658,1.0000,4.2053,0.206,0.020
13,832,orientation_cued_D0,0.00008,1.0000,0.0023,0.058,0.012
14,896,orientation_cued_D12,0.08106,0.9844,30.4128,0.238,0.004
15,960,orientation_cued_D4,0.00086,1.0000,0.6890,0.112,0.012
16,1024,orientation_cued_D4,0.00014,1.0000,0.0233,0.112,0.007
17,1088,orientation_cued_D24,0.00425,1.0000,1.1544,0.351,0.007
18,1152,orientation_cued_D0,0.00019,1.0000,0.0380,0.057,0.019
19,1216,orientation_cued_D0,0.00027,1.0000,0.2254,0.057,0.003
20,1280,orientation_cued_D12,0.00885,1.0000,12.3062,0.231,0.004
21,1344,orientation_cued_D24,0.06723,0.9688,13.1466,0.359,0.012
22,1408,orientation_cued_D24,0.02831,0.9844,21.5547,0.355,0.021
23,1472,orientation_cued_D4,0.00011,1.0000,0.0114,0.108,0.020
24,1536,orientation_cued_D12,0.00014,1.0000,0.0135,0.247,0.007
25,1600,orientation_cued_D12,0.00028,1.0000,0.0724,0.232,0.016
26,1664,orientation_cued_D0,0.00164,1.0000,0.8980,0.059,0.013
27,1728,orientation_cued_D4,0.00019,1.0000,0.0578,0.118,0.004
28,1792,orientation_cued_D4,0.06869,0.9844,20.2216,0.116,0.007
29,1856,orientation_cued_D0,0.00009,1.0000,0.0027,0.062,0.006
30,1920,orientation_cued_D0,0.00008,1.0000,0.0021,0.060,0.004
31,1984,orientation_cued_D24,0.01915,1.0000,6.1605,0.351,0.005
32,2048,orientation_cued_D24,0.02231,1.0000,3.6042,0.351,0.020
33,2112,orientation_cued_D24,0.02097,1.0000,4.6280,0.357,0.020
34,2176,orientation_cued_D12,0.00023,1.0000,0.0361,0.221,0.019
35,2240,orientation_cued_D12,0.00420,1.0000,2.5436,0.218,0.014
36,2304,orientation_cued_D12,0.00016,1.0000,0.0204,0.215,0.012
37,2368,orientation_cued_D4,0.00008,1.0000,0.0040,0.111,0.012
38,2432,orientation_cued_D4,0.00010,1.0000,0.0087,0.123,0.007
39,2496,orientation_cued_D4,0.00009,1.0000,0.0035,0.118,0.007
40,2560,orientation_cued_D0,0.00009,1.0000,0.0040,0.068,0.007
41,2624,orientation_cued_D0,0.07769,0.9844,16.6335,0.064,0.004
42,2688,orientation_cued_D0,0.00013,1.0000,0.0152,0.065,0.007
43,2752,orientation_cued_D24,0.16303,0.9531,31.2512,0.358,0.004
44,2816,orientation_cued_D24,0.11397,0.9531,22.5593,0.352,0.020
45,2880,orientation_cued_D24,0.01024,1.0000,3.1970,0.357,0.019
46,2944,orientation_cued_D12,0.00018,1.0000,0.0252,0.210,0.034
47,3008,orientation_cued_D12,0.00015,1.0000,0.0143,0.213,0.013
48,3072,orientation_cued_D12,0.00911,1.0000,4.7403,0.212,0.012
49,3136,orientation_cued_D4,0.00010,1.0000,0.0060,0.114,0.012
50,3200,orientation_cued_D4,0.00073,1.0000,0.2784,0.124,0.007
51,3264,orientation_cued_D4,0.00016,1.0000,0.0171,0.123,0.007
52,3328,orientation_cued_D0,0.00029,1.0000,0.1585,0.074,0.007
53,3392,orientation_cued_D0,0.00039,1.0000,0.2200,0.069,0.004
54,3456,orientation_cued_D0,0.00029,1.0000,0.1478,0.072,0.006
55,3520,orientation_cued_D24,0.03979,0.9688,8.6032,0.369,0.005
56,3584,orientation_cued_D24,0.06407,0.9844,8.7235,0.354,0.020
57,3648,orientation_cued_D24,0.10570,0.9688,18.0028,0.356,0.019
58,3712,orientation_cued_D12,0.04945,0.9844,8.9450,0.207,0.019
59,3776,orientation_cued_D12,0.01439,0.9844,6.4730,0.224,0.014
60,3840,orientation_cued_D12,0.00029,1.0000,0.0394,0.221,0.013
61,3904,orientation_cued_D4,0.00011,1.0000,0.0087,0.109,0.012
62,3968,orientation_cued_D4,0.00012,1.0000,0.0095,0.123,0.007
63,4032,orientation_cued_D4,0.00011,1.0000,0.0096,0.124,0.007
64,4096,orientation_cued_D0,0.00272,1.0000,1.7050,0.089,0.007
65,4160,orientation_cued_D0,0.00015,1.0000,0.0166,0.084,0.004
66,4224,orientation_cued_D0,0.00011,1.0000,0.0065,0.063,0.005
