update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.02969,0.9844,11.9615,0.710,1.341
2,128,orientation_cued_D4,0.00649,1.0000,4.7840,0.204,0.005
3,192,orientation_cued_D0,0.00043,1.0000,0.1415,0.121,0.015
4,256,orientation_cued_D12,1.14657,0.6562,75.9923,0.369,0.009
5,320,orientation_cued_D24,1.25418,0.5156,93.4397,0.585,0.017
6,384,orientation_cued_D4,0.00057,1.0000,0.2037,0.143,0.025
7,448,orientation_cued_D0,0.06124,0.9688,18.1401,0.094,0.007
8,512,orientation_cued_D12,0.85338,0.6406,41.7670,0.357,0.004
9,576,orientation_cued_D24,1.25020,0.4531,77.5260,0.469,0.017
10,640,orientation_cued_D4,0.01924,0.9844,8.6151,0.136,0.021
11,704,orientation_cued_D12,0.82833,0.5781,25.4066,0.358,0.012
12,768,orientation_cued_D0,0.08906,0.9531,16.1996,0.083,0.022
13,832,orientation_cued_D24,0.86296,0.5312,32.7902,0.503,0.004
14,896,orientation_cued_D4,0.00627,1.0000,3.1213,0.146,0.036
15,960,orientation_cued_D24,0.73127,0.5156,11.6096,0.500,0.007
16,1024,orientation_cued_D12,0.49960,0.6875,16.5835,0.306,0.021
17,1088,orientation_cued_D0,0.00326,1.0000,1.2776,0.081,0.022
18,1152,orientation_cued_D4,0.00239,1.0000,0.7842,0.154,0.005
19,1216,orientation_cued_D12,0.82646,0.6250,62.4338,0.314,0.011
20,1280,orientation_cued_D24,0.90580,0.4688,30.0597,0.529,0.016
21,1344,orientation_cued_D0,0.04168,0.9688,12.5568,0.093,0.040
22,1408,orientation_cued_D4,0.02982,0.9844,7.8497,0.270,0.004
23,1472,orientation_cued_D12,0.70050,0.5938,28.9540,0.301,0.015
24,1536,orientation_cued_D24,0.88006,0.5000,24.4836,0.621,0.017
25,1600,orientation_cued_D0,0.00820,1.0000,2.1885,0.184,0.044
26,1664,orientation_cued_D4,0.00647,1.0000,4.1943,0.257,0.009
27,1728,orientation_cued_D12,0.57510,0.7344,19.2676,0.427,0.019
28,1792,orientation_cued_D0,0.00192,1.0000,0.2905,0.086,0.016
29,1856,orientation_cued_D24,0.74188,0.5000,10.0855,0.617,0.005
30,1920,orientation_cued_D4,0.01791,1.0000,5.4972,0.196,0.037
31,1984,orientation_cued_D24,0.75599,0.4844,12.1682,0.673,0.011
32,2048,orientation_cued_D12,0.58174,0.6719,10.5232,0.363,0.028
33,2112,orientation_cued_D0,0.00986,1.0000,3.7441,0.106,0.016
34,2176,orientation_cued_D12,0.58964,0.6406,11.3730,0.374,0.006
35,2240,orientation_cued_D4,0.00448,1.0000,0.8025,0.202,0.021
36,2304,orientation_cued_D4,0.00853,1.0000,2.3684,0.184,0.009
37,2368,orientation_cued_D24,0.79410,0.5000,22.2609,0.608,0.010
38,2432,orientation_cued_D0,0.02166,0.9844,3.8719,0.101,0.024
39,2496,orientation_cued_D0,0.00526,1.0000,1.2790,0.086,0.005
40,2560,orientation_cued_D12,0.53808,0.7031,11.9258,0.419,0.008
41,2624,orientation_cued_D24,0.70733,0.5000,12.6002,0.640,0.020
42,2688,orientation_cued_D24,0.72742,0.4062,5.3928,0.582,0.031
43,2752,orientation_cued_D4,0.01200,1.0000,2.2938,0.204,0.025
44,2816,orientation_cued_D12,0.51098,0.7812,8.7645,0.441,0.014
45,2880,orientation_cued_D12,0.52544,0.7500,15.8586,0.356,0.019
46,2944,orientation_cued_D0,0.00193,1.0000,0.3146,0.089,0.023
47,3008,orientation_cued_D4,0.00499,1.0000,1.0450,0.286,0.008
48,3072,orientation_cued_D4,0.00137,1.0000,0.2734,0.184,0.008
49,3136,orientation_cued_D0,0.00970,1.0000,3.5065,0.101,0.010
50,3200,orientation_cued_D24,0.74492,0.5469,20.1108,0.629,0.006
51,3264,orientation_cued_D0,0.00973,1.0000,2.6387,0.093,0.035
52,3328,orientation_cued_D24,0.71921,0.5312,6.8377,0.642,0.005
53,3392,orientation_cued_D12,0.54986,0.7344,14.9251,0.375,0.036
54,3456,orientation_cued_D24,0.69680,0.4688,4.2356,0.688,0.034
55,3520,orientation_cued_D12,0.61524,0.7344,20.1056,0.424,0.026
56,3584,orientation_cued_D4,0.00291,1.0000,0.3659,0.247,0.027
57,3648,orientation_cued_D12,0.56554,0.7188,17.8727,0.482,0.018
58,3712,orientation_cued_D4,0.00330,1.0000,0.6307,0.174,0.015
59,3776,orientation_cued_D0,0.00987,1.0000,2.1365,0.140,0.014
60,3840,orientation_cued_D4,0.00105,1.0000,0.1832,0.191,0.007
61,3904,orientation_cued_D0,0.00403,1.0000,0.8070,0.107,0.020
62,3968,orientation_cued_D0,0.00468,1.0000,1.0121,0.109,0.005
63,4032,orientation_cued_D24,0.78703,0.4531,18.7064,0.595,0.005
64,4096,orientation_cued_D24,0.74642,0.5156,12.2997,0.613,0.028
65,4160,orientation_cued_D24,0.69947,0.5938,4.0824,0.627,0.026
66,4224,orientation_cued_D12,0.50567,0.8125,8.9545,0.412,0.026
67,4288,orientation_cued_D12,0.51185,0.8125,7.0929,0.375,0.035
68,4352,orientation_cued_D12,0.52875,0.7500,13.0790,0.291,0.017
69,4416,orientation_cued_D4,0.00294,1.0000,0.9536,0.182,0.013
70,4480,orientation_cued_D4,0.00770,1.0000,3.4274,0.208,0.010
71,4544,orientation_cued_D4,0.00166,1.0000,0.2587,0.266,0.013
72,4608,orientation_cued_D0,0.00683,1.0000,2.8098,0.123,0.017
73,4672,orientation_cued_D0,0.00193,1.0000,0.4294,0.100,0.006
74,4736,orientation_cued_D0,0.00130,1.0000,0.3129,0.132,0.009
75,4800,orientation_cued_D24,1.11409,0.5000,46.7598,0.617,0.007
76,4864,orientation_cued_D24,0.92299,0.5000,28.7020,0.639,0.026
77,4928,orientation_cued_D24,0.74081,0.5469,8.7285,0.614,0.028
78,4992,orientation_cued_D12,0.63782,0.6094,19.1761,0.336,0.026
79,5056,orientation_cued_D12,0.59119,0.6719,18.2545,0.380,0.020
80,5120,orientation_cued_D12,0.64198,0.6094,13.3351,0.386,0.018
81,5184,orientation_cued_D4,0.00782,1.0000,1.8405,0.202,0.016
82,5248,orientation_cued_D4,0.01247,1.0000,2.4264,0.284,0.013
83,5312,orientation_cued_D4,0.02164,0.9844,7.0764,0.223,0.009
84,5376,orientation_cued_D0,0.00580,1.0000,1.4406,0.126,0.014
85,5440,orientation_cued_D0,0.02907,0.9844,5.2100,0.127,0.008
86,5504,orientation_cued_D0,0.00683,1.0000,2.0052,0.116,0.008
87,5568,orientation_cued_D24,0.75648,0.4844,19.5193,0.672,0.008
88,5632,orientation_cued_D24,0.74324,0.5156,16.7614,0.648,0.031
89,5696,orientation_cued_D24,0.73713,0.5156,9.3376,0.641,0.031
90,5760,orientation_cued_D12,1.01411,0.5156,57.5297,0.447,0.044
91,5824,orientation_cued_D12,0.75769,0.5312,23.5515,0.385,0.027
92,5888,orientation_cued_D12,0.61628,0.6562,11.5166,0.377,0.023
93,5952,orientation_cued_D4,0.01413,1.0000,1.9190,0.183,0.020
94,6016,orientation_cued_D4,0.03241,0.9844,4.5210,0.278,0.016
95,6080,orientation_cued_D4,0.03905,1.0000,4.7017,0.187,0.011
96,6144,orientation_cued_D0,0.06105,0.9688,9.3879,0.120,0.012
97,6208,orientation_cued_D0,0.04740,0.9844,6.1566,0.135,0.008
98,6272,orientation_cued_D0,0.03732,0.9844,3.5656,0.128,0.005
99,6336,orientation_cued_D24,1.84002,0.5000,53.2497,0.612,0.006
100,6400,orientation_cued_D24,1.43157,0.5000,59.3936,0.652,0.037
101,6464,orientation_cued_D24,0.94227,0.5000,36.6244,0.651,0.027
102,6528,orientation_cued_D12,0.63567,0.6094,5.7616,0.384,0.028
103,6592,orientation_cued_D12,0.76056,0.5000,19.6252,0.411,0.019
104,6656,orientation_cued_D12,1.06446,0.4844,56.7580,0.417,0.023
105,6720,orientation_cued_D4,0.19933,0.9062,19.2473,0.196,0.015
106,6784,orientation_cued_D4,0.15464,0.9375,14.0412,0.208,0.008
107,6848,orientation_cued_D4,0.19406,0.9219,16.3496,0.203,0.011
108,6912,orientation_cued_D0,0.40898,0.8750,27.9757,0.150,0.009
109,6976,orientation_cued_D0,0.15500,0.9531,10.0395,0.128,0.005
110,7040,orientation_cued_D0,0.10016,0.9688,9.3936,0.128,0.006
111,7104,orientation_cued_D24,0.81378,0.5000,9.6840,0.613,0.006
112,7168,orientation_cued_D24,0.79826,0.5000,8.1888,0.681,0.023
113,7232,orientation_cued_D24,0.75449,0.5000,5.9167,0.669,0.030
114,7296,orientation_cued_D12,0.69021,0.5938,2.0891,0.357,0.029
115,7360,orientation_cued_D12,0.67249,0.6406,1.6628,0.378,0.022
116,7424,orientation_cued_D12,0.69201,0.5156,2.4869,0.401,0.016
117,7488,orientation_cued_D4,0.21166,0.9375,10.9608,0.220,0.015
118,7552,orientation_cued_D4,0.20186,0.9062,12.1871,0.244,0.013
119,7616,orientation_cued_D4,0.20091,0.9219,13.0692,0.238,0.015
120,7680,orientation_cued_D0,0.14758,0.9062,7.5108,0.106,0.015
121,7744,orientation_cued_D0,0.09668,0.9844,6.6757,0.123,0.005
122,7808,orientation_cued_D0,0.06365,0.9844,4.0836,0.157,0.010
123,7872,orientation_cued_D24,0.70111,0.4844,1.2047,0.638,0.009
124,7936,orientation_cued_D24,0.69812,0.4688,1.0734,0.637,0.049
125,8000,orientation_cued_D24,0.69654,0.4531,1.3002,0.628,0.030
126,8064,orientation_cued_D12,0.66491,0.6250,3.0301,0.369,0.027
127,8128,orientation_cued_D12,0.64842,0.5781,3.3625,0.356,0.019
128,8192,orientation_cued_D12,0.64384,0.6250,2.3302,0.360,0.019
129,8256,orientation_cued_D4,0.04766,1.0000,3.4727,0.202,0.028
130,8320,orientation_cued_D4,0.03178,1.0000,2.2207,0.274,0.015
131,8384,orientation_cued_D4,0.05593,1.0000,3.3602,0.196,0.015
132,8448,orientation_cued_D0,0.01864,1.0000,2.4810,0.135,0.010
133,8512,orientation_cued_D0,0.01433,1.0000,1.6798,0.149,0.008
134,8576,orientation_cued_D0,0.01260,1.0000,1.4934,0.106,0.006
135,8640,orientation_cued_D24,0.71411,0.4688,2.5033,0.607,0.006
136,8704,orientation_cued_D24,0.69884,0.5000,2.3225,0.667,0.031
137,8768,orientation_cued_D24,0.69790,0.4531,2.3475,0.650,0.027
138,8832,orientation_cued_D12,0.62819,0.6875,5.1572,0.381,0.032
139,8896,orientation_cued_D12,0.64050,0.5938,4.0402,0.418,0.017
140,8960,orientation_cued_D12,0.60275,0.6719,7.6983,0.424,0.026
141,9024,orientation_cued_D4,0.02221,1.0000,2.5203,0.214,0.015
142,9088,orientation_cued_D4,0.01630,1.0000,2.3117,0.231,0.009
143,9152,orientation_cued_D4,0.00572,1.0000,0.7678,0.202,0.016
144,9216,orientation_cued_D0,0.00579,1.0000,1.0254,0.116,0.012
145,9280,orientation_cued_D0,0.00603,1.0000,1.4842,0.094,0.008
146,9344,orientation_cued_D0,0.00399,1.0000,0.5497,0.141,0.009
147,9408,orientation_cued_D24,0.80006,0.5000,18.0357,0.639,0.005
148,9472,orientation_cued_D24,0.77144,0.4844,14.6470,0.611,0.029
149,9536,orientation_cued_D24,0.75884,0.4688,10.4538,0.586,0.028
