update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69624,0.4531,0.5474,1.117,1.559
2,128,orientation_cued_D0,0.69817,0.5000,1.0225,0.134,0.008
3,192,orientation_cued_D0,0.69469,0.5000,0.4138,0.128,0.008
4,256,orientation_cued_D0,0.69913,0.5000,0.5624,0.114,0.008
5,320,orientation_cued_D0,0.69293,0.5000,0.7812,0.114,0.008
6,384,orientation_cued_D0,0.68864,0.5000,0.4970,0.120,0.007
7,448,orientation_cued_D0,0.69456,0.4688,0.3066,0.118,0.004
8,512,orientation_cued_D0,0.69745,0.4688,0.4881,0.121,0.007
9,576,orientation_cued_D0,0.69111,0.4844,0.6154,0.120,0.005
10,640,orientation_cued_D0,0.69955,0.4531,0.8576,0.123,0.005
11,704,orientation_cued_D0,0.68945,0.5312,0.3989,0.128,0.005
12,768,orientation_cued_D0,0.69732,0.4531,0.3488,0.124,0.005
13,832,orientation_cued_D0,0.69534,0.4844,0.4593,0.106,0.004
14,896,orientation_cued_D0,0.69394,0.5156,0.4403,0.115,0.006
15,960,orientation_cued_D0,0.68932,0.6250,0.5028,0.116,0.006
16,1024,orientation_cued_D0,0.69399,0.5000,0.4595,0.120,0.006
17,1088,orientation_cued_D0,0.69135,0.5469,0.6996,0.133,0.005
18,1152,orientation_cued_D0,0.69626,0.4375,0.6513,0.134,0.009
19,1216,orientation_cued_D0,0.70100,0.4375,0.5224,0.115,0.007
20,1280,orientation_cued_D0,0.69373,0.5000,0.4950,0.123,0.005
21,1344,orientation_cued_D0,0.69461,0.4219,0.6119,0.135,0.006
22,1408,orientation_cued_D0,0.69784,0.4688,0.5724,0.110,0.008
23,1472,orientation_cued_D0,0.69084,0.4688,0.5404,0.103,0.005
24,1536,orientation_cued_D0,0.69220,0.5625,0.4659,0.103,0.007
25,1600,orientation_cued_D0,0.69520,0.4688,0.5199,0.100,0.007
26,1664,orientation_cued_D0,0.70357,0.3906,0.6161,0.094,0.004
27,1728,orientation_cued_D0,0.69474,0.4688,0.4320,0.085,0.004
28,1792,orientation_cued_D0,0.69066,0.5156,0.4904,0.073,0.004
29,1856,orientation_cued_D0,0.68564,0.6250,0.6199,0.088,0.005
30,1920,orientation_cued_D0,0.69260,0.5312,0.4193,0.076,0.004
31,1984,orientation_cued_D0,0.68901,0.5469,0.4660,0.089,0.004
32,2048,orientation_cued_D0,0.69287,0.5625,0.5142,0.076,0.004
33,2112,orientation_cued_D0,0.70130,0.4375,0.4999,0.084,0.004
34,2176,orientation_cued_D0,0.68463,0.6250,0.4866,0.075,0.004
35,2240,orientation_cued_D0,0.68910,0.5312,0.3886,0.085,0.004
36,2304,orientation_cued_D0,0.68884,0.5938,0.5063,0.075,0.004
37,2368,orientation_cued_D0,0.69630,0.6094,0.4573,0.075,0.004
38,2432,orientation_cued_D0,0.69909,0.4844,0.5046,0.090,0.004
39,2496,orientation_cued_D0,0.68239,0.6250,0.6340,0.075,0.004
40,2560,orientation_cued_D0,0.69265,0.5312,0.5820,0.090,0.004
41,2624,orientation_cued_D0,0.68555,0.5156,0.4837,0.076,0.004
42,2688,orientation_cued_D0,0.68867,0.5469,0.5220,0.075,0.004
43,2752,orientation_cued_D0,0.69022,0.4844,0.5055,0.090,0.005
44,2816,orientation_cued_D0,0.68987,0.4688,0.6248,0.078,0.004
45,2880,orientation_cued_D0,0.69171,0.5156,0.5962,0.098,0.004
46,2944,orientation_cued_D0,0.68401,0.5781,0.5542,0.075,0.005
47,3008,orientation_cued_D0,0.68773,0.5312,0.6219,0.077,0.004
48,3072,orientation_cued_D0,0.68082,0.5312,0.6533,0.098,0.005
49,3136,orientation_cued_D0,0.68016,0.5625,0.7826,0.075,0.005
50,3200,orientation_cued_D0,0.69687,0.4688,0.9524,0.076,0.004
51,3264,orientation_cued_D0,0.69265,0.5781,0.8773,0.114,0.008
52,3328,orientation_cued_D0,0.68575,0.5625,0.7774,0.086,0.007
53,3392,orientation_cued_D0,0.68991,0.5000,0.7229,0.096,0.004
54,3456,orientation_cued_D0,0.67793,0.6250,0.9532,0.123,0.004
55,3520,orientation_cued_D0,0.66600,0.7344,1.2167,0.117,0.007
56,3584,orientation_cued_D0,0.66870,0.6250,0.8779,0.121,0.005
57,3648,orientation_cued_D0,0.66164,0.6406,0.8384,0.126,0.004
58,3712,orientation_cued_D0,0.66278,0.6719,1.0920,0.114,0.005
59,3776,orientation_cued_D0,0.65780,0.6562,1.2580,0.117,0.004
60,3840,orientation_cued_D0,0.65692,0.6719,1.2257,0.132,0.005
61,3904,orientation_cued_D0,0.66988,0.6562,1.3339,0.122,0.004
62,3968,orientation_cued_D0,0.64880,0.6562,1.7073,0.124,0.007
63,4032,orientation_cued_D0,0.63765,0.7031,1.5451,0.127,0.007
64,4096,orientation_cued_D0,0.66129,0.5469,2.5929,0.127,0.008
65,4160,orientation_cued_D0,0.63882,0.6094,1.8229,0.121,0.008
66,4224,orientation_cued_D0,0.65175,0.6094,2.3707,0.124,0.004
67,4288,orientation_cued_D0,0.65259,0.5625,2.8335,0.128,0.007
68,4352,orientation_cued_D0,0.64523,0.6562,2.6384,0.135,0.006
69,4416,orientation_cued_D0,0.61868,0.6406,2.0329,0.122,0.005
70,4480,orientation_cued_D0,0.61633,0.6719,2.1241,0.138,0.007
71,4544,orientation_cued_D0,0.60124,0.7656,2.1642,0.113,0.006
72,4608,orientation_cued_D0,0.58478,0.8438,3.4437,0.117,0.006
73,4672,orientation_cued_D0,0.60853,0.7656,2.8403,0.146,0.007
74,4736,orientation_cued_D0,0.56052,0.7969,2.1826,0.134,0.008
75,4800,orientation_cued_D0,0.57128,0.7031,3.2996,0.112,0.006
76,4864,orientation_cued_D0,0.60834,0.6875,3.6838,0.120,0.005
77,4928,orientation_cued_D0,0.56211,0.6719,4.1471,0.109,0.005
78,4992,orientation_cued_D0,0.54924,0.7188,6.4735,0.140,0.008
79,5056,orientation_cued_D0,0.53879,0.7500,5.2608,0.131,0.009
80,5120,orientation_cued_D0,0.49023,0.8281,4.7088,0.113,0.004
81,5184,orientation_cued_D0,0.50146,0.8125,3.5144,0.117,0.007
82,5248,orientation_cued_D0,0.52054,0.7969,4.4930,0.138,0.009
83,5312,orientation_cued_D0,0.47332,0.8438,2.9914,0.114,0.004
84,5376,orientation_cued_D0,0.42380,0.9219,4.7430,0.122,0.007
85,5440,orientation_cued_D0,0.46549,0.8750,5.6365,0.131,0.008
86,5504,orientation_cued_D0,0.46575,0.7969,4.2848,0.125,0.008
87,5568,orientation_cued_D0,0.41901,0.8750,5.0749,0.139,0.007
88,5632,orientation_cued_D0,0.36695,0.8750,3.1042,0.143,0.008
89,5696,orientation_cued_D0,0.40255,0.8906,5.0887,0.118,0.005
90,5760,orientation_cued_D0,0.42069,0.8125,6.9772,0.124,0.005
91,5824,orientation_cued_D0,0.35764,0.9219,4.6897,0.112,0.005
92,5888,orientation_cued_D0,0.35190,0.8594,6.6796,0.128,0.006
93,5952,orientation_cued_D0,0.30070,0.9531,3.4089,0.133,0.005
94,6016,orientation_cued_D0,0.32739,0.9062,5.2005,0.134,0.008
