update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D2,0.01119,1.0000,1.3783,1.168,1.466
2,128,orientation_cued_D0,0.00035,1.0000,0.0752,0.135,0.006
3,192,orientation_cued_D4,0.45267,0.8906,28.0102,0.245,0.005
4,256,orientation_cued_D0,0.01194,0.9844,6.5920,0.130,0.008
5,320,orientation_cued_D2,0.02869,1.0000,6.2907,0.168,0.006
6,384,orientation_cued_D0,0.00025,1.0000,0.0287,0.139,0.006
7,448,orientation_cued_D2,0.03029,0.9844,11.2747,0.196,0.004
8,512,orientation_cued_D4,0.54095,0.8125,34.4693,0.239,0.006
9,576,orientation_cued_D0,0.00044,1.0000,0.0939,0.116,0.007
10,640,orientation_cued_D2,0.01845,0.9844,7.2244,0.203,0.005
11,704,orientation_cued_D4,0.25595,0.9062,19.4767,0.210,0.006
12,768,orientation_cued_D0,0.01003,1.0000,6.2054,0.127,0.008
13,832,orientation_cued_D2,0.06271,0.9844,12.7324,0.171,0.005
14,896,orientation_cued_D4,0.25818,0.8750,29.6962,0.231,0.008
15,960,orientation_cued_D0,0.00061,1.0000,0.1487,0.122,0.010
16,1024,orientation_cued_D2,0.05561,0.9688,11.3942,0.165,0.004
17,1088,orientation_cued_D4,0.28331,0.8750,24.0504,0.251,0.007
18,1152,orientation_cued_D0,0.00125,1.0000,0.4781,0.153,0.007
19,1216,orientation_cued_D2,0.11831,0.9688,10.6496,0.180,0.005
20,1280,orientation_cued_D4,0.23396,0.9062,20.9843,0.275,0.006
21,1344,orientation_cued_D0,0.04257,0.9844,12.5299,0.121,0.008
22,1408,orientation_cued_D2,0.01087,1.0000,2.5159,0.216,0.004
23,1472,orientation_cued_D4,0.09801,0.9375,23.3655,0.248,0.006
24,1536,orientation_cued_D0,0.02314,0.9844,12.3881,0.131,0.009
25,1600,orientation_cued_D2,0.04435,0.9844,12.8072,0.214,0.006
26,1664,orientation_cued_D4,0.27159,0.9219,25.5374,0.249,0.006
27,1728,orientation_cued_D0,0.00030,1.0000,0.0802,0.112,0.009
28,1792,orientation_cued_D2,0.10083,0.9375,16.8760,0.175,0.005
29,1856,orientation_cued_D4,0.18076,0.9219,19.1836,0.222,0.008
30,1920,orientation_cued_D0,0.04585,0.9844,12.4529,0.116,0.013
31,1984,orientation_cued_D2,0.04341,1.0000,8.1976,0.177,0.008
32,2048,orientation_cued_D4,0.21836,0.8594,22.9569,0.280,0.015
33,2112,orientation_cued_D0,0.00095,1.0000,0.3024,0.134,0.007
34,2176,orientation_cued_D2,0.10350,0.9531,15.3395,0.226,0.008
35,2240,orientation_cued_D4,0.22083,0.9531,16.3418,0.250,0.012
36,2304,orientation_cued_D0,0.00144,1.0000,0.5171,0.155,0.007
37,2368,orientation_cued_D2,0.14484,0.9531,15.5275,0.218,0.006
38,2432,orientation_cued_D4,0.12175,0.9844,9.8859,0.277,0.006
39,2496,orientation_cued_D0,0.03691,0.9844,10.4552,0.138,0.009
40,2560,orientation_cued_D2,0.01262,1.0000,1.3721,0.178,0.007
41,2624,orientation_cued_D4,0.13521,0.9531,11.7545,0.258,0.007
42,2688,orientation_cued_D0,0.02077,0.9844,6.2761,0.126,0.008
43,2752,orientation_cued_D2,0.11449,0.9531,13.5205,0.176,0.009
44,2816,orientation_cued_D4,0.08856,0.9531,12.2670,0.234,0.008
45,2880,orientation_cued_D0,0.03988,0.9688,14.4421,0.120,0.014
46,2944,orientation_cued_D2,0.04176,0.9688,6.8984,0.219,0.007
47,3008,orientation_cued_D4,0.23294,0.9062,14.3019,0.256,0.006
48,3072,orientation_cued_D0,0.00648,1.0000,2.6236,0.121,0.007
49,3136,orientation_cued_D2,0.06378,0.9688,10.4226,0.214,0.007
50,3200,orientation_cued_D4,0.13875,0.9375,22.7027,0.226,0.007
51,3264,orientation_cued_D0,0.00053,1.0000,0.1191,0.130,0.007
52,3328,orientation_cued_D2,0.01869,1.0000,3.1321,0.202,0.006
53,3392,orientation_cued_D4,0.12068,0.9688,9.4158,0.253,0.007
54,3456,orientation_cued_D0,0.00094,1.0000,0.1372,0.151,0.008
55,3520,orientation_cued_D2,0.06886,0.9844,10.9538,0.175,0.005
56,3584,orientation_cued_D4,0.13604,0.9531,10.1380,0.253,0.008
57,3648,orientation_cued_D0,0.00057,1.0000,0.0930,0.131,0.008
58,3712,orientation_cued_D2,0.05783,0.9844,7.2900,0.187,0.005
59,3776,orientation_cued_D4,0.04648,0.9844,7.9877,0.240,0.008
60,3840,orientation_cued_D0,0.05808,0.9844,11.7128,0.079,0.011
61,3904,orientation_cued_D2,0.03657,0.9844,5.8762,0.121,0.005
62,3968,orientation_cued_D4,0.13517,0.9688,17.9810,0.153,0.006
63,4032,orientation_cued_D0,0.03809,0.9844,9.4427,0.076,0.009
64,4096,orientation_cued_D2,0.02498,1.0000,4.1881,0.119,0.004
65,4160,orientation_cued_D4,0.05287,0.9844,6.3579,0.155,0.006
66,4224,orientation_cued_D0,0.00099,1.0000,0.1903,0.074,0.008
