update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_ring_D0,0.69471,0.5000,0.7631,0.985,1.605
2,128,orientation_ring_D0,0.73647,0.5000,2.2403,0.121,0.004
3,192,orientation_ring_D0,0.69676,0.5000,0.6116,0.118,0.005
4,256,orientation_ring_D0,0.70938,0.5000,1.2561,0.120,0.005
5,320,orientation_ring_D0,0.70637,0.5000,1.2151,0.105,0.005
6,384,orientation_ring_D0,0.69609,0.5000,0.6492,0.107,0.005
7,448,orientation_ring_D0,0.69361,0.5312,0.3343,0.102,0.005
8,512,orientation_ring_D0,0.69582,0.5000,0.4848,0.102,0.005
9,576,orientation_ring_D0,0.69868,0.5000,0.5594,0.111,0.005
10,640,orientation_ring_D0,0.69781,0.5000,0.5270,0.104,0.005
11,704,orientation_ring_D0,0.69474,0.5000,0.4014,0.116,0.006
12,768,orientation_ring_D0,0.69381,0.5000,0.3204,0.130,0.005
13,832,orientation_ring_D0,0.69335,0.4844,0.2353,0.113,0.005
14,896,orientation_ring_D0,0.69532,0.5000,0.2752,0.120,0.005
15,960,orientation_ring_D0,0.69430,0.5000,0.2954,0.106,0.005
16,1024,orientation_ring_D0,0.69407,0.5000,0.3454,0.107,0.005
17,1088,orientation_ring_D0,0.69483,0.5000,0.2817,0.118,0.005
18,1152,orientation_ring_D0,0.69447,0.5000,0.2670,0.105,0.005
19,1216,orientation_ring_D0,0.69440,0.5000,0.2530,0.117,0.006
20,1280,orientation_ring_D0,0.69271,0.5000,0.2264,0.118,0.006
21,1344,orientation_ring_D0,0.69269,0.5156,0.2054,0.110,0.005
22,1408,orientation_ring_D0,0.69205,0.5000,0.1963,0.103,0.005
23,1472,orientation_ring_D0,0.69289,0.5000,0.2113,0.139,0.008
24,1536,orientation_ring_D0,0.69305,0.5000,0.2142,0.108,0.007
25,1600,orientation_ring_D0,0.69520,0.5000,0.2435,0.126,0.005
26,1664,orientation_ring_D0,0.69230,0.5000,0.2256,0.110,0.005
27,1728,orientation_ring_D0,0.69235,0.5000,0.2168,0.109,0.005
28,1792,orientation_ring_D0,0.69308,0.5000,0.1927,0.113,0.006
29,1856,orientation_ring_D0,0.69320,0.5156,0.1783,0.105,0.005
30,1920,orientation_ring_D0,0.69309,0.5000,0.1710,0.101,0.006
31,1984,orientation_ring_D0,0.69513,0.4531,0.1972,0.116,0.006
32,2048,orientation_ring_D0,0.69253,0.5625,0.2182,0.122,0.005
33,2112,orientation_ring_D0,0.69226,0.5000,0.1922,0.119,0.008
34,2176,orientation_ring_D0,0.69471,0.4531,0.1820,0.135,0.008
35,2240,orientation_ring_D0,0.69404,0.5156,0.1834,0.132,0.005
36,2304,orientation_ring_D0,0.69312,0.4844,0.1813,0.132,0.009
37,2368,orientation_ring_D0,0.69352,0.5469,0.1789,0.105,0.005
38,2432,orientation_ring_D0,0.69131,0.5625,0.1746,0.109,0.005
39,2496,orientation_ring_D0,0.69394,0.4531,0.1645,0.124,0.009
40,2560,orientation_ring_D0,0.69290,0.5469,0.1746,0.105,0.005
41,2624,orientation_ring_D0,0.69335,0.5000,0.1857,0.107,0.005
42,2688,orientation_ring_D0,0.69506,0.4375,0.1721,0.120,0.009
43,2752,orientation_ring_D0,0.69255,0.5156,0.1781,0.102,0.005
44,2816,orientation_ring_D0,0.69360,0.5000,0.1648,0.123,0.005
45,2880,orientation_ring_D0,0.69260,0.5938,0.1680,0.132,0.009
46,2944,orientation_ring_D0,0.69344,0.4688,0.1554,0.106,0.005
47,3008,orientation_ring_D0,0.69249,0.5000,0.1537,0.122,0.005
48,3072,orientation_ring_D0,0.69470,0.4219,0.1564,0.118,0.005
49,3136,orientation_ring_D0,0.69488,0.4688,0.1505,0.113,0.004
50,3200,orientation_ring_D0,0.69384,0.4531,0.1616,0.120,0.006
51,3264,orientation_ring_D0,0.69195,0.5469,0.1481,0.133,0.005
52,3328,orientation_ring_D0,0.69310,0.5156,0.1567,0.146,0.007
53,3392,orientation_ring_D0,0.69191,0.5781,0.1650,0.103,0.005
54,3456,orientation_ring_D0,0.69445,0.4844,0.1617,0.101,0.005
