update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.70190,0.4688,0.8951,1.160,2.406
2,128,orientation_cued_D0,0.70290,0.5000,1.3044,0.058,0.004
3,192,orientation_cued_D0,0.69927,0.4844,0.8985,0.092,0.010
4,256,orientation_cued_D0,0.69103,0.5312,0.4334,0.057,0.007
5,320,orientation_cued_D0,0.69178,0.5000,0.6725,0.060,0.007
6,384,orientation_cued_D0,0.69248,0.5000,0.6315,0.062,0.007
7,448,orientation_cued_D0,0.68935,0.5938,0.3136,0.048,0.009
8,512,orientation_cued_D0,0.69691,0.5156,0.3513,0.059,0.002
9,576,orientation_cued_D0,0.69211,0.4688,0.4658,0.065,0.004
10,640,orientation_cued_D0,0.69584,0.5000,0.5320,0.083,0.003
11,704,orientation_cued_D0,0.69083,0.4531,0.4333,0.131,0.233
12,768,orientation_cued_D0,0.69415,0.4219,0.3165,0.116,0.003
13,832,orientation_cued_D0,0.69614,0.4375,0.5286,0.085,0.274
14,896,orientation_cued_D0,0.69739,0.4531,0.5392,0.108,0.004
15,960,orientation_cued_D0,0.70186,0.4062,0.4947,0.064,0.253
16,1024,orientation_cued_D0,0.69772,0.4375,0.3772,0.098,0.003
17,1088,orientation_cued_D0,0.69828,0.4062,0.3880,0.067,0.288
18,1152,orientation_cued_D0,0.69037,0.5156,0.3295,0.162,0.002
19,1216,orientation_cued_D0,0.69486,0.4844,0.3631,0.062,0.207
20,1280,orientation_cued_D0,0.69346,0.5156,0.3785,0.115,0.003
21,1344,orientation_cued_D0,0.68887,0.5156,0.3404,0.065,0.237
22,1408,orientation_cued_D0,0.69231,0.5000,0.2659,0.108,0.003
23,1472,orientation_cued_D0,0.69823,0.4219,0.3030,0.116,0.288
24,1536,orientation_cued_D0,0.69086,0.5469,0.3816,0.151,0.003
25,1600,orientation_cued_D0,0.69169,0.5312,0.2723,0.163,0.166
26,1664,orientation_cued_D0,0.69239,0.5469,0.2715,0.161,0.002
27,1728,orientation_cued_D0,0.69317,0.5156,0.2150,0.134,0.053
28,1792,orientation_cued_D0,0.69014,0.5156,0.2540,0.130,0.002
29,1856,orientation_cued_D0,0.69349,0.4688,0.2597,0.162,0.167
30,1920,orientation_cued_D0,0.69337,0.5000,0.3295,0.173,0.002
31,1984,orientation_cued_D0,0.68938,0.5781,0.2638,0.110,0.036
32,2048,orientation_cued_D0,0.68671,0.5312,0.3959,0.155,0.004
33,2112,orientation_cued_D0,0.69234,0.5312,0.2181,0.106,0.119
34,2176,orientation_cued_D0,0.69274,0.5156,0.2393,0.160,0.003
35,2240,orientation_cued_D0,0.69065,0.5156,0.3083,0.087,0.113
36,2304,orientation_cued_D0,0.69328,0.5156,0.2431,0.127,0.004
37,2368,orientation_cued_D0,0.69702,0.4844,0.3781,0.103,0.148
38,2432,orientation_cued_D0,0.69221,0.4844,0.2738,0.143,0.002
39,2496,orientation_cued_D0,0.68635,0.6719,0.3036,0.065,0.102
40,2560,orientation_cued_D0,0.68790,0.5469,0.3369,0.153,0.066
41,2624,orientation_cued_D0,0.68660,0.5469,0.4075,0.060,0.096
42,2688,orientation_cued_D0,0.69708,0.3906,0.2882,0.133,0.056
43,2752,orientation_cued_D0,0.68486,0.5625,0.3325,0.072,0.108
44,2816,orientation_cued_D0,0.69450,0.4688,0.3023,0.153,0.047
45,2880,orientation_cued_D0,0.68479,0.5938,0.5126,0.065,0.135
46,2944,orientation_cued_D0,0.69053,0.5469,0.4841,0.133,0.048
47,3008,orientation_cued_D0,0.68576,0.5938,0.3582,0.086,0.142
48,3072,orientation_cued_D0,0.68376,0.5625,0.3321,0.160,0.018
49,3136,orientation_cued_D0,0.68556,0.5625,0.4741,0.066,0.098
50,3200,orientation_cued_D0,0.68923,0.5312,0.5243,0.116,0.080
51,3264,orientation_cued_D0,0.69413,0.5156,0.4613,0.063,0.118
52,3328,orientation_cued_D0,0.69164,0.5938,0.5788,0.151,0.050
53,3392,orientation_cued_D0,0.68141,0.5938,0.5868,0.064,0.191
54,3456,orientation_cued_D0,0.69110,0.5000,0.5622,0.115,0.106
55,3520,orientation_cued_D0,0.69332,0.4688,0.5888,0.065,0.100
56,3584,orientation_cued_D0,0.68258,0.5938,0.5568,0.114,0.102
57,3648,orientation_cued_D0,0.70545,0.4844,1.0750,0.062,0.101
58,3712,orientation_cued_D0,0.68605,0.5000,0.6235,0.135,0.070
59,3776,orientation_cued_D0,0.68343,0.5781,0.6544,0.065,0.109
60,3840,orientation_cued_D0,0.68446,0.5156,0.6477,0.136,0.058
61,3904,orientation_cued_D0,0.68858,0.5312,0.7000,0.062,0.091
62,3968,orientation_cued_D0,0.67556,0.5781,0.6215,0.131,0.066
63,4032,orientation_cued_D0,0.67584,0.6094,0.5862,0.058,0.102
64,4096,orientation_cued_D0,0.68018,0.6406,0.8912,0.178,0.058
65,4160,orientation_cued_D0,0.66943,0.6250,0.7962,0.063,0.079
66,4224,orientation_cued_D0,0.67035,0.6562,0.8991,0.145,0.057
67,4288,orientation_cued_D0,0.67984,0.5469,0.6949,0.068,0.102
68,4352,orientation_cued_D0,0.65664,0.7031,0.8893,0.133,0.066
69,4416,orientation_cued_D0,0.66337,0.6875,0.9506,0.057,0.090
70,4480,orientation_cued_D0,0.67069,0.6562,0.8847,0.151,0.149
71,4544,orientation_cued_D0,0.67556,0.5312,1.0409,0.062,0.045
72,4608,orientation_cued_D0,0.67465,0.6094,1.0137,0.143,0.131
73,4672,orientation_cued_D0,0.66295,0.6719,1.2862,0.060,0.024
74,4736,orientation_cued_D0,0.64115,0.7031,1.8683,0.109,0.143
75,4800,orientation_cued_D0,0.63669,0.7188,1.1315,0.060,0.074
76,4864,orientation_cued_D0,0.65262,0.5938,1.2344,0.073,0.147
77,4928,orientation_cued_D0,0.63809,0.6719,1.5670,0.060,0.083
78,4992,orientation_cued_D0,0.63556,0.6719,1.3640,0.099,0.153
79,5056,orientation_cued_D0,0.65840,0.6406,2.0521,0.064,0.076
80,5120,orientation_cued_D0,0.62230,0.7031,2.3282,0.067,0.185
81,5184,orientation_cued_D0,0.63229,0.6406,1.6538,0.064,0.101
82,5248,orientation_cued_D0,0.62496,0.6719,1.8355,0.062,0.178
83,5312,orientation_cued_D0,0.60947,0.7031,2.5769,0.065,0.108
84,5376,orientation_cued_D0,0.60335,0.6719,2.9852,0.063,0.148
85,5440,orientation_cued_D0,0.62282,0.6875,3.0903,0.063,0.086
86,5504,orientation_cued_D0,0.56501,0.8125,2.3664,0.066,0.173
87,5568,orientation_cued_D0,0.57813,0.6875,2.8858,0.067,0.082
88,5632,orientation_cued_D0,0.56032,0.7188,2.3418,0.061,0.166
89,5696,orientation_cued_D0,0.61375,0.6719,3.1981,0.066,0.077
90,5760,orientation_cued_D0,0.54534,0.7500,2.4315,0.062,0.160
91,5824,orientation_cued_D0,0.59193,0.7500,2.7299,0.066,0.088
92,5888,orientation_cued_D0,0.53077,0.7812,3.2672,0.063,0.185
93,5952,orientation_cued_D0,0.55286,0.6719,2.7763,0.062,0.061
94,6016,orientation_cued_D0,0.59281,0.5781,4.4072,0.064,0.172
95,6080,orientation_cued_D0,0.50248,0.7969,4.1689,0.076,0.071
96,6144,orientation_cued_D0,0.50895,0.7812,4.6541,0.058,0.177
97,6208,orientation_cued_D0,0.49300,0.7969,3.4327,0.107,0.079
98,6272,orientation_cued_D0,0.52047,0.7656,3.8787,0.062,0.151
99,6336,orientation_cued_D0,0.51202,0.7656,5.6348,0.079,0.052
100,6400,orientation_cued_D0,0.47493,0.7969,5.8600,0.059,0.175
101,6464,orientation_cued_D0,0.49672,0.7656,4.3004,0.072,0.037
102,6528,orientation_cued_D0,0.47720,0.8125,5.9482,0.064,0.204
103,6592,orientation_cued_D0,0.43595,0.8438,3.1982,0.071,0.043
104,6656,orientation_cued_D0,0.42243,0.8438,5.0318,0.063,0.198
105,6720,orientation_cued_D0,0.42627,0.8125,5.6999,0.071,0.048
