update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.70789,0.5000,1.5986,1.359,2.370
2,128,orientation_cued_D0,0.69770,0.4688,1.6888,0.066,0.006
3,192,orientation_cued_D0,0.69085,0.5312,1.7018,0.069,0.011
4,256,orientation_cued_D0,0.68307,0.6094,1.2842,0.110,0.008
5,320,orientation_cued_D0,0.66537,0.6719,1.2789,0.100,0.008
6,384,orientation_cued_D0,0.67667,0.5000,1.1036,0.057,0.007
7,448,orientation_cued_D0,0.66444,0.6562,1.2280,0.052,0.007
8,512,orientation_cued_D0,0.66801,0.5312,1.0742,0.052,0.007
9,576,orientation_cued_D0,0.64750,0.6562,1.4759,0.062,0.010
10,640,orientation_cued_D0,0.65867,0.5469,1.1599,0.101,0.004
11,704,orientation_cued_D0,0.65973,0.5469,1.5876,0.064,0.040
12,768,orientation_cued_D0,0.64460,0.6094,1.2191,0.051,0.002
13,832,orientation_cued_D0,0.65528,0.5625,1.4032,0.097,0.308
14,896,orientation_cued_D0,0.62248,0.7188,1.9001,0.119,0.002
15,960,orientation_cued_D0,0.66464,0.5469,1.6260,0.070,0.166
16,1024,orientation_cued_D0,0.62240,0.7031,2.1901,0.057,0.004
17,1088,orientation_cued_D0,0.62111,0.6094,2.0754,0.054,0.229
18,1152,orientation_cued_D0,0.62205,0.6406,1.5836,0.069,0.004
19,1216,orientation_cued_D0,0.61211,0.6562,1.9838,0.086,0.300
20,1280,orientation_cued_D0,0.62748,0.5156,1.5371,0.117,0.002
21,1344,orientation_cued_D0,0.60028,0.7188,1.8549,0.054,0.195
22,1408,orientation_cued_D0,0.60645,0.7031,1.7628,0.059,0.002
23,1472,orientation_cued_D0,0.60281,0.6250,2.2607,0.061,0.277
24,1536,orientation_cued_D0,0.61398,0.6406,2.0352,0.069,0.002
25,1600,orientation_cued_D0,0.60012,0.6562,2.4531,0.094,0.249
26,1664,orientation_cued_D0,0.58171,0.7031,1.8013,0.108,0.004
27,1728,orientation_cued_D0,0.57154,0.6875,2.4010,0.063,0.202
28,1792,orientation_cued_D0,0.65852,0.5781,2.6472,0.065,0.004
29,1856,orientation_cued_D0,0.59799,0.5938,3.0068,0.055,0.310
30,1920,orientation_cued_D0,0.63014,0.5469,2.3919,0.070,0.002
31,1984,orientation_cued_D0,0.59514,0.6562,3.1618,0.070,0.515
32,2048,orientation_cued_D0,0.60896,0.6406,3.7000,0.060,0.002
33,2112,orientation_cued_D0,0.59762,0.6250,2.1224,0.071,0.434
34,2176,orientation_cued_D0,0.60724,0.6406,3.2011,0.059,0.002
35,2240,orientation_cued_D0,0.57212,0.6406,2.3608,0.071,0.394
36,2304,orientation_cued_D0,0.61697,0.5781,2.4149,0.064,0.008
37,2368,orientation_cued_D0,0.54813,0.6719,2.1200,0.088,0.329
