update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.00105,1.0000,0.4140,2.433,3.666
2,128,orientation_cued_D4,1.38350,0.4219,48.1782,1.435,0.004
3,192,orientation_cued_D12,1.06389,0.5000,66.5245,2.880,0.009
4,256,orientation_cued_D0,0.04541,0.9688,17.3027,0.216,0.039
5,320,orientation_cued_D24,1.10498,0.4219,30.1401,4.944,0.009
6,384,orientation_cued_D4,1.01325,0.4844,25.1672,0.355,0.050
7,448,orientation_cued_D12,0.85106,0.4844,16.1617,0.574,0.018
8,512,orientation_cued_D0,0.00986,1.0000,4.2235,0.153,0.038
9,576,orientation_cued_D24,0.83994,0.5469,14.8917,0.996,0.008
10,640,orientation_cued_D12,0.75886,0.5469,17.7182,0.501,0.074
11,704,orientation_cued_D4,0.81025,0.4375,14.7743,0.141,0.033
12,768,orientation_cued_D0,0.00253,1.0000,0.8312,0.123,0.014
13,832,orientation_cued_D24,0.87730,0.4844,15.7307,1.084,0.010
14,896,orientation_cued_D12,0.80526,0.4375,12.3686,0.443,0.064
15,960,orientation_cued_D4,0.78576,0.5625,19.3059,0.295,0.038
16,1024,orientation_cued_D0,0.04039,0.9688,9.3473,0.152,0.015
17,1088,orientation_cued_D24,0.70990,0.5312,22.5621,0.698,0.006
18,1152,orientation_cued_D12,0.76083,0.5156,10.9710,0.334,0.085
19,1216,orientation_cued_D4,0.70341,0.5156,7.2619,0.181,0.041
20,1280,orientation_cued_D0,0.00357,1.0000,0.6966,0.104,0.017
21,1344,orientation_cued_D12,0.72426,0.5312,18.5608,0.402,0.007
22,1408,orientation_cued_D24,0.77038,0.5156,23.7102,0.661,0.041
23,1472,orientation_cued_D0,0.01129,1.0000,3.5010,0.072,0.056
24,1536,orientation_cued_D4,0.76510,0.4688,19.6585,0.182,0.009
25,1600,orientation_cued_D12,0.75454,0.5781,14.6198,0.675,0.018
26,1664,orientation_cued_D0,0.01621,1.0000,3.3227,0.156,0.057
27,1728,orientation_cued_D24,0.76418,0.5000,9.5788,0.908,0.043
28,1792,orientation_cued_D4,0.69546,0.5312,6.4527,0.417,0.108
29,1856,orientation_cued_D12,0.73861,0.4844,7.4739,0.655,0.017
30,1920,orientation_cued_D0,0.01164,1.0000,2.7430,0.186,0.032
31,1984,orientation_cued_D24,0.78339,0.4688,11.2869,1.179,0.011
32,2048,orientation_cued_D12,0.71704,0.5156,8.7585,0.640,0.153
33,2112,orientation_cued_D4,0.71170,0.5781,6.8393,0.360,0.043
34,2176,orientation_cued_D0,0.03259,0.9844,5.5441,0.192,0.022
35,2240,orientation_cued_D12,0.69810,0.5312,7.6750,0.462,0.008
36,2304,orientation_cued_D24,0.73095,0.5312,9.2535,1.027,0.031
37,2368,orientation_cued_D0,0.01224,1.0000,2.1589,0.163,0.064
