update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_ring_D0,0.69486,0.4531,0.4518,0.945,2.271
2,128,orientation_ring_D0,0.70967,0.5000,1.5199,0.052,0.006
3,192,orientation_ring_D0,0.69459,0.5000,0.6238,0.053,0.006
4,256,orientation_ring_D0,0.70686,0.5000,1.2027,0.056,0.006
5,320,orientation_ring_D0,0.69712,0.5000,0.6799,0.050,0.005
6,384,orientation_ring_D0,0.69150,0.5156,0.3761,0.051,0.004
7,448,orientation_ring_D0,0.69757,0.5000,0.7157,0.068,0.010
8,512,orientation_ring_D0,0.69899,0.5000,0.6945,0.051,0.003
9,576,orientation_ring_D0,0.69638,0.5000,0.4832,0.045,0.088
10,640,orientation_ring_D0,0.69226,0.4531,0.3120,0.056,0.003
11,704,orientation_ring_D0,0.69488,0.5000,0.4030,0.086,0.366
12,768,orientation_ring_D0,0.69822,0.5000,0.5559,0.061,0.003
13,832,orientation_ring_D0,0.69639,0.5000,0.4736,0.053,0.412
14,896,orientation_ring_D0,0.69393,0.5000,0.3980,0.048,0.036
15,960,orientation_ring_D0,0.69570,0.4531,0.2883,0.056,0.200
16,1024,orientation_ring_D0,0.69375,0.5000,0.2901,0.048,0.032
17,1088,orientation_ring_D0,0.69413,0.5000,0.3343,0.048,0.175
18,1152,orientation_ring_D0,0.69371,0.5000,0.3695,0.052,0.056
19,1216,orientation_ring_D0,0.69291,0.5000,0.3316,0.049,0.202
20,1280,orientation_ring_D0,0.69317,0.5000,0.2776,0.048,0.048
21,1344,orientation_ring_D0,0.69414,0.4531,0.2693,0.051,0.206
22,1408,orientation_ring_D0,0.69376,0.5000,0.2703,0.053,0.046
23,1472,orientation_ring_D0,0.69363,0.5000,0.3276,0.053,0.176
24,1536,orientation_ring_D0,0.69569,0.5000,0.2985,0.053,0.050
25,1600,orientation_ring_D0,0.69284,0.5000,0.2636,0.050,0.168
26,1664,orientation_ring_D0,0.69108,0.5469,0.2578,0.051,0.054
27,1728,orientation_ring_D0,0.69279,0.5938,0.2373,0.053,0.154
28,1792,orientation_ring_D0,0.69371,0.5156,0.2500,0.052,0.080
29,1856,orientation_ring_D0,0.69251,0.5000,0.2457,0.049,0.134
30,1920,orientation_ring_D0,0.69278,0.5000,0.2634,0.051,0.113
31,1984,orientation_ring_D0,0.69583,0.4531,0.2740,0.053,0.116
32,2048,orientation_ring_D0,0.69213,0.5625,0.2264,0.052,0.090
33,2112,orientation_ring_D0,0.69332,0.5000,0.2246,0.050,0.132
34,2176,orientation_ring_D0,0.69337,0.5312,0.2435,0.051,0.073
35,2240,orientation_ring_D0,0.69171,0.5000,0.2440,0.050,0.142
36,2304,orientation_ring_D0,0.69413,0.5000,0.2397,0.051,0.098
37,2368,orientation_ring_D0,0.69405,0.4688,0.2253,0.055,0.126
38,2432,orientation_ring_D0,0.69371,0.5312,0.2127,0.055,0.097
39,2496,orientation_ring_D0,0.69306,0.5156,0.2037,0.053,0.136
40,2560,orientation_ring_D0,0.69419,0.4375,0.2136,0.055,0.091
41,2624,orientation_ring_D0,0.69485,0.4688,0.2109,0.060,0.129
42,2688,orientation_ring_D0,0.69222,0.5469,0.2155,0.059,0.095
43,2752,orientation_ring_D0,0.69441,0.5156,0.2262,0.058,0.108
44,2816,orientation_ring_D0,0.69429,0.4219,0.1905,0.057,0.105
45,2880,orientation_ring_D0,0.69290,0.4844,0.2240,0.062,0.115
46,2944,orientation_ring_D0,0.69348,0.5000,0.2132,0.058,0.088
47,3008,orientation_ring_D0,0.69418,0.4531,0.2114,0.059,0.108
48,3072,orientation_ring_D0,0.69244,0.5312,0.1854,0.060,0.119
49,3136,orientation_ring_D0,0.69222,0.5781,0.2050,0.059,0.118
50,3200,orientation_ring_D0,0.69396,0.4219,0.2038,0.062,0.098
51,3264,orientation_ring_D0,0.69392,0.5156,0.1987,0.061,0.131
52,3328,orientation_ring_D0,0.69287,0.5781,0.1952,0.062,0.120
53,3392,orientation_ring_D0,0.69441,0.4219,0.1901,0.063,0.132
54,3456,orientation_ring_D0,0.69305,0.4844,0.1891,0.065,0.104
55,3520,orientation_ring_D0,0.69139,0.5312,0.1813,0.063,0.115
