update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_ring_D0,0.69315,0.5000,0.0412,1.240,2.867
2,128,orientation_ring_D0,0.69316,0.5000,0.0443,0.120,0.004
3,192,orientation_ring_D0,0.69310,0.5156,0.0353,0.080,0.008
4,256,orientation_ring_D0,0.69309,0.5156,0.0403,0.061,0.007
5,320,orientation_ring_D0,0.69325,0.4688,0.0335,0.060,0.009
6,384,orientation_ring_D0,0.69299,0.5781,0.0387,0.058,0.009
7,448,orientation_ring_D0,0.69320,0.4375,0.0431,0.118,0.010
8,512,orientation_ring_D0,0.69287,0.5625,0.0412,0.129,0.002
9,576,orientation_ring_D0,0.69320,0.5000,0.0358,0.063,0.138
10,640,orientation_ring_D0,0.69342,0.4844,0.0431,0.128,0.002
11,704,orientation_ring_D0,0.69367,0.4062,0.0485,0.063,0.259
12,768,orientation_ring_D0,0.69330,0.5000,0.0373,0.119,0.003
13,832,orientation_ring_D0,0.69265,0.5781,0.0459,0.061,0.303
14,896,orientation_ring_D0,0.69307,0.4688,0.0355,0.124,0.002
15,960,orientation_ring_D0,0.69365,0.4375,0.0495,0.071,0.284
16,1024,orientation_ring_D0,0.69339,0.4062,0.0389,0.161,0.002
17,1088,orientation_ring_D0,0.69310,0.5000,0.0363,0.075,0.277
18,1152,orientation_ring_D0,0.69377,0.4531,0.0449,0.122,0.005
19,1216,orientation_ring_D0,0.69385,0.5000,0.0486,0.110,0.307
20,1280,orientation_ring_D0,0.69289,0.5469,0.0389,0.156,0.003
21,1344,orientation_ring_D0,0.69316,0.4688,0.0309,0.080,0.204
22,1408,orientation_ring_D0,0.69310,0.5312,0.0375,0.126,0.005
23,1472,orientation_ring_D0,0.69275,0.5781,0.0339,0.113,0.279
24,1536,orientation_ring_D0,0.69349,0.5000,0.0387,0.162,0.003
25,1600,orientation_ring_D0,0.69297,0.5000,0.0338,0.081,0.214
26,1664,orientation_ring_D0,0.69316,0.4844,0.0282,0.123,0.003
27,1728,orientation_ring_D0,0.69277,0.5000,0.0404,0.075,0.281
28,1792,orientation_ring_D0,0.69315,0.4844,0.0288,0.136,0.002
29,1856,orientation_ring_D0,0.69285,0.5000,0.0415,0.132,0.289
30,1920,orientation_ring_D0,0.69288,0.5469,0.0305,0.126,0.002
31,1984,orientation_ring_D0,0.69305,0.5156,0.0400,0.140,0.248
