update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_sign_D0,0.69645,0.5000,0.7214,1.349,2.569
2,128,orientation_sign_D0,0.73708,0.5000,2.4930,0.070,0.004
3,192,orientation_sign_D0,0.69427,0.5000,0.5743,0.112,0.003
4,256,orientation_sign_D0,0.70680,0.5000,1.3015,0.106,0.006
5,320,orientation_sign_D0,0.71333,0.5000,1.4231,0.071,0.010
6,384,orientation_sign_D0,0.70051,0.5000,0.9339,0.056,0.009
7,448,orientation_sign_D0,0.69431,0.5000,0.3056,0.061,0.008
8,512,orientation_sign_D0,0.69590,0.5000,0.4665,0.070,0.008
9,576,orientation_sign_D0,0.69784,0.5000,0.6850,0.107,0.007
10,640,orientation_sign_D0,0.69720,0.5000,0.7051,0.100,0.010
11,704,orientation_sign_D0,0.69535,0.5000,0.5752,0.056,0.011
12,768,orientation_sign_D0,0.69465,0.5000,0.3114,0.053,0.009
13,832,orientation_sign_D0,0.69384,0.4375,0.1973,0.062,0.009
14,896,orientation_sign_D0,0.69314,0.5000,0.2864,0.072,0.013
15,960,orientation_sign_D0,0.69381,0.5000,0.3360,0.124,0.009
16,1024,orientation_sign_D0,0.69439,0.5000,0.4004,0.121,0.011
17,1088,orientation_sign_D0,0.69366,0.5000,0.3599,0.063,0.007
18,1152,orientation_sign_D0,0.69505,0.5000,0.3227,0.071,0.008
19,1216,orientation_sign_D0,0.69296,0.5000,0.2345,0.074,0.009
20,1280,orientation_sign_D0,0.69380,0.4844,0.1950,0.179,0.009
21,1344,orientation_sign_D0,0.69257,0.5156,0.1642,0.144,0.009
22,1408,orientation_sign_D0,0.69337,0.5000,0.1954,0.067,0.011
23,1472,orientation_sign_D0,0.69353,0.5000,0.2514,0.070,0.007
24,1536,orientation_sign_D0,0.69492,0.5000,0.2773,0.116,0.004
25,1600,orientation_sign_D0,0.69303,0.5000,0.2482,0.125,0.008
26,1664,orientation_sign_D0,0.69439,0.5000,0.2381,0.069,0.007
27,1728,orientation_sign_D0,0.69316,0.5156,0.1956,0.067,0.008
