update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_single_D0,0.69487,0.4531,0.4294,3.549,6.220
2,128,orientation_single_D0,0.70451,0.5000,1.3977,0.186,0.004
3,192,orientation_single_D0,0.70702,0.5000,1.5792,0.108,0.013
4,256,orientation_single_D0,0.69911,0.5000,1.0080,0.082,0.047
5,320,orientation_single_D0,0.69357,0.5000,0.4439,0.165,0.003
6,384,orientation_single_D0,0.70086,0.5000,0.8914,0.085,0.009
7,448,orientation_single_D0,0.69681,0.5000,0.8189,0.191,0.018
8,512,orientation_single_D0,0.69117,0.5000,0.3688,0.132,0.008
9,576,orientation_single_D0,0.69426,0.5000,0.5108,0.121,0.015
10,640,orientation_single_D0,0.69633,0.5000,0.6970,0.204,0.010
11,704,orientation_single_D0,0.69582,0.5000,0.5621,0.205,0.007
12,768,orientation_single_D0,0.69251,0.4844,0.3360,0.128,0.008
13,832,orientation_single_D0,0.69264,0.5000,0.3158,0.158,0.009
14,896,orientation_single_D0,0.69488,0.5000,0.4667,0.202,0.008
15,960,orientation_single_D0,0.69446,0.5000,0.4933,0.171,0.009
16,1024,orientation_single_D0,0.69249,0.5000,0.3716,0.186,0.009
17,1088,orientation_single_D0,0.69240,0.5781,0.2594,0.078,0.009
18,1152,orientation_single_D0,0.69130,0.4844,0.3156,0.097,0.029
19,1216,orientation_single_D0,0.69495,0.5000,0.4088,0.086,0.009
20,1280,orientation_single_D0,0.68984,0.5000,0.3755,0.203,0.032
21,1344,orientation_single_D0,0.69287,0.4844,0.3334,0.101,0.009
22,1408,orientation_single_D0,0.69222,0.5469,0.2636,0.166,0.039
23,1472,orientation_single_D0,0.69637,0.4531,0.3123,0.163,0.009
24,1536,orientation_single_D0,0.69343,0.5156,0.3449,0.085,0.011
25,1600,orientation_single_D0,0.69209,0.4844,0.3454,0.279,0.050
26,1664,orientation_single_D0,0.69135,0.5469,0.2886,0.131,0.003
27,1728,orientation_single_D0,0.69367,0.5000,0.2719,0.061,0.005
28,1792,orientation_single_D0,0.69451,0.4844,0.2895,0.103,0.130
29,1856,orientation_single_D0,0.69262,0.4844,0.3575,0.070,0.058
30,1920,orientation_single_D0,0.69271,0.5156,0.2966,0.063,0.234
31,1984,orientation_single_D0,0.68568,0.7344,0.2971,0.126,0.087
32,2048,orientation_single_D0,0.69679,0.4375,0.2644,0.073,0.229
33,2112,orientation_single_D0,0.69125,0.5156,0.3316,0.242,0.003
34,2176,orientation_single_D0,0.69287,0.5156,0.3120,0.071,0.036
35,2240,orientation_single_D0,0.69036,0.5312,0.2675,0.073,0.089
36,2304,orientation_single_D0,0.69149,0.4844,0.2510,0.120,0.205
37,2368,orientation_single_D0,0.69134,0.5156,0.2986,0.176,0.005
38,2432,orientation_single_D0,0.68879,0.5312,0.3427,0.062,0.167
39,2496,orientation_single_D0,0.69005,0.5938,0.2941,0.111,0.011
40,2560,orientation_single_D0,0.69266,0.5156,0.2861,0.062,0.216
41,2624,orientation_single_D0,0.68756,0.6250,0.3099,0.071,0.036
42,2688,orientation_single_D0,0.69426,0.5000,0.3278,0.081,0.234
43,2752,orientation_single_D0,0.69120,0.5625,0.2845,0.065,0.044
44,2816,orientation_single_D0,0.68778,0.6094,0.3348,0.101,0.271
45,2880,orientation_single_D0,0.69509,0.5625,0.3348,0.065,0.032
46,2944,orientation_single_D0,0.69177,0.6094,0.3065,0.066,0.144
47,3008,orientation_single_D0,0.68759,0.6250,0.3167,0.073,0.229
48,3072,orientation_single_D0,0.68165,0.7188,0.4050,0.066,0.044
49,3136,orientation_single_D0,0.69086,0.6250,0.3406,0.071,0.324
50,3200,orientation_single_D0,0.68781,0.5781,0.3147,0.081,0.025
51,3264,orientation_single_D0,0.69531,0.5156,0.3517,0.068,0.158
52,3328,orientation_single_D0,0.69099,0.5312,0.3627,0.068,0.223
53,3392,orientation_single_D0,0.68693,0.5625,0.3847,0.153,0.002
54,3456,orientation_single_D0,0.68827,0.4531,0.4028,0.154,0.192
55,3520,orientation_single_D0,0.69421,0.5625,0.3819,0.162,0.003
56,3584,orientation_single_D0,0.68412,0.6562,0.3763,0.126,0.005
57,3648,orientation_single_D0,0.69167,0.5312,0.4342,0.057,0.060
58,3712,orientation_single_D0,0.69933,0.4219,0.4319,0.151,0.278
59,3776,orientation_single_D0,0.68596,0.6250,0.4380,0.069,0.168
60,3840,orientation_single_D0,0.68504,0.6094,0.4227,0.134,0.189
61,3904,orientation_single_D0,0.69594,0.4688,0.4847,0.199,0.002
62,3968,orientation_single_D0,0.69719,0.4531,0.4990,0.084,0.016
63,4032,orientation_single_D0,0.68737,0.5781,0.4846,0.149,0.248
64,4096,orientation_single_D0,0.68462,0.5312,0.4868,0.058,0.054
65,4160,orientation_single_D0,0.68416,0.6094,0.4682,0.119,0.186
66,4224,orientation_single_D0,0.67479,0.6719,0.5257,0.136,0.063
67,4288,orientation_single_D0,0.68014,0.5781,0.5398,0.066,0.254
68,4352,orientation_single_D0,0.69156,0.5312,0.5336,0.110,0.002
69,4416,orientation_single_D0,0.68638,0.5469,0.6014,0.065,0.237
70,4480,orientation_single_D0,0.69662,0.5469,0.6691,0.190,0.004
71,4544,orientation_single_D0,0.67497,0.6094,0.6101,0.130,0.102
72,4608,orientation_single_D0,0.68683,0.5312,0.6339,0.134,0.003
73,4672,orientation_single_D0,0.69374,0.5312,0.6332,0.163,0.144
74,4736,orientation_single_D0,0.68309,0.5938,0.6699,0.181,0.003
75,4800,orientation_single_D0,0.67942,0.5156,0.6486,0.123,0.107
76,4864,orientation_single_D0,0.68503,0.5625,0.7564,0.189,0.129
77,4928,orientation_single_D0,0.69371,0.4844,0.6887,0.139,0.016
78,4992,orientation_single_D0,0.69232,0.4688,0.7247,0.152,0.120
79,5056,orientation_single_D0,0.69211,0.5469,0.8299,0.068,0.002
80,5120,orientation_single_D0,0.68478,0.5625,0.8143,0.061,0.126
81,5184,orientation_single_D0,0.68421,0.5469,0.7513,0.062,0.063
82,5248,orientation_single_D0,0.68300,0.5938,0.9506,0.134,0.228
83,5312,orientation_single_D0,0.68066,0.5938,0.8404,0.086,0.003
84,5376,orientation_single_D0,0.67941,0.5625,1.0766,0.060,0.166
85,5440,orientation_single_D0,0.68823,0.5469,0.8882,0.060,0.074
86,5504,orientation_single_D0,0.66664,0.6406,0.9545,0.069,0.202
87,5568,orientation_single_D0,0.68962,0.5625,0.9675,0.126,0.132
88,5632,orientation_single_D0,0.65212,0.6875,0.8714,0.059,0.112
89,5696,orientation_single_D0,0.68901,0.5781,0.9820,0.066,0.086
90,5760,orientation_single_D0,0.68094,0.5781,1.0235,0.125,0.239
91,5824,orientation_single_D0,0.66408,0.6094,0.9217,0.138,0.134
92,5888,orientation_single_D0,0.67524,0.5156,0.9510,0.066,0.166
93,5952,orientation_single_D0,0.67303,0.6094,0.9652,0.125,0.114
94,6016,orientation_single_D0,0.66979,0.5781,1.2766,0.063,0.155
95,6080,orientation_single_D0,0.66954,0.6094,1.0951,0.066,0.097
96,6144,orientation_single_D0,0.66753,0.6562,1.3161,0.065,0.133
97,6208,orientation_single_D0,0.67359,0.6562,1.2381,0.072,0.050
98,6272,orientation_single_D0,0.64684,0.6562,1.4130,0.150,0.140
99,6336,orientation_single_D0,0.66633,0.5625,2.0331,0.196,0.003
100,6400,orientation_single_D0,0.64894,0.6562,1.3635,0.140,0.125
101,6464,orientation_single_D0,0.67111,0.5625,2.0352,0.090,0.004
102,6528,orientation_single_D0,0.68743,0.5781,1.6500,0.143,0.323
103,6592,orientation_single_D0,0.64280,0.6875,1.6019,0.139,0.003
104,6656,orientation_single_D0,0.68516,0.5938,1.7030,0.093,0.206
105,6720,orientation_single_D0,0.67602,0.6250,1.6548,0.197,0.005
106,6784,orientation_single_D0,0.67932,0.5938,1.7599,0.266,0.212
107,6848,orientation_single_D0,0.62393,0.6562,1.7386,0.268,0.002
108,6912,orientation_single_D0,0.63995,0.6719,1.8287,0.157,0.007
109,6976,orientation_single_D0,0.62548,0.6719,1.6680,0.132,0.002
110,7040,orientation_single_D0,0.62874,0.6250,2.0545,0.118,0.085
111,7104,orientation_single_D0,0.65778,0.6406,2.0465,0.096,0.003
112,7168,orientation_single_D0,0.66500,0.5625,2.2695,0.161,0.159
113,7232,orientation_single_D0,0.59920,0.7344,2.7562,0.146,0.003
114,7296,orientation_single_D0,0.63467,0.6562,2.1965,0.096,0.066
115,7360,orientation_single_D0,0.62200,0.6875,3.0717,0.123,0.118
116,7424,orientation_single_D0,0.64018,0.6094,2.5244,0.060,0.034
117,7488,orientation_single_D0,0.63513,0.7031,3.3424,0.130,0.201
118,7552,orientation_single_D0,0.66060,0.5156,2.9757,0.078,0.003
119,7616,orientation_single_D0,0.63679,0.6875,3.5353,0.106,0.130
120,7680,orientation_single_D0,0.59832,0.6719,2.7038,0.058,0.042
121,7744,orientation_single_D0,0.56807,0.7344,2.9568,0.129,0.280
122,7808,orientation_single_D0,0.59623,0.7969,3.4881,0.134,0.002
123,7872,orientation_single_D0,0.64758,0.5625,3.4701,0.074,0.222
124,7936,orientation_single_D0,0.63482,0.6406,3.6475,0.234,0.016
125,8000,orientation_single_D0,0.59436,0.7031,3.5767,0.109,0.239
126,8064,orientation_single_D0,0.54657,0.7656,4.0065,0.066,0.003
127,8128,orientation_single_D0,0.58841,0.6875,3.4802,0.129,0.357
128,8192,orientation_single_D0,0.59785,0.6562,5.6868,0.112,0.003
129,8256,orientation_single_D0,0.61074,0.6406,3.9269,0.114,0.074
130,8320,orientation_single_D0,0.55985,0.7188,3.7289,0.076,0.003
131,8384,orientation_single_D0,0.56705,0.7031,5.0244,0.174,0.229
132,8448,orientation_single_D0,0.50240,0.8125,3.9010,0.158,0.003
133,8512,orientation_single_D0,0.54289,0.6875,4.4084,0.059,0.178
134,8576,orientation_single_D0,0.51231,0.7969,3.9280,0.129,0.108
