update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_single_D0,0.69315,0.5000,0.0393,49.440,2.369
2,128,orientation_single_D0,0.69314,0.4844,0.0268,0.050,0.005
3,192,orientation_single_D0,0.69325,0.3906,0.0385,0.054,0.007
4,256,orientation_single_D0,0.69314,0.5312,0.0342,0.076,0.008
5,320,orientation_single_D0,0.69314,0.5000,0.0305,0.088,0.009
6,384,orientation_single_D0,0.69310,0.5000,0.0331,0.072,0.007
7,448,orientation_single_D0,0.69298,0.5469,0.0399,3.487,0.010
8,512,orientation_single_D0,0.69299,0.5625,0.0312,2.832,0.009
9,576,orientation_single_D0,0.69272,0.5312,0.0413,0.085,0.007
10,640,orientation_single_D0,0.69304,0.5312,0.0370,0.073,0.009
11,704,orientation_single_D0,0.69306,0.5156,0.0447,0.087,0.008
12,768,orientation_single_D0,0.69226,0.5156,0.0653,0.083,0.006
13,832,orientation_single_D0,0.69325,0.4375,0.0575,0.107,0.009
14,896,orientation_single_D0,0.69359,0.4531,0.0628,0.149,0.007
15,960,orientation_single_D0,0.69104,0.6094,0.0923,0.084,0.008
16,1024,orientation_single_D0,0.69201,0.5312,0.0908,0.059,0.006
17,1088,orientation_single_D0,0.69155,0.5156,0.1048,0.070,0.006
18,1152,orientation_single_D0,0.69224,0.5625,0.1213,0.084,0.008
19,1216,orientation_single_D0,0.69109,0.5469,0.1412,0.075,0.011
20,1280,orientation_single_D0,0.69286,0.5312,0.1901,0.081,0.008
21,1344,orientation_single_D0,0.69456,0.5000,0.2232,0.075,0.007
22,1408,orientation_single_D0,0.69481,0.4844,0.1880,8.820,0.011
23,1472,orientation_single_D0,0.69158,0.5312,0.2223,33.533,0.010
24,1536,orientation_single_D0,0.68747,0.5781,0.2401,0.079,0.006
25,1600,orientation_single_D0,0.69610,0.5000,0.2142,0.071,0.007
26,1664,orientation_single_D0,0.69604,0.4375,0.2408,0.076,0.008
27,1728,orientation_single_D0,0.69304,0.5000,0.1971,0.059,0.009
28,1792,orientation_single_D0,0.69203,0.5312,0.2063,0.080,0.006
29,1856,orientation_single_D0,0.69825,0.4531,0.2437,0.068,0.007
30,1920,orientation_single_D0,0.69177,0.4531,0.2014,0.063,0.007
31,1984,orientation_single_D0,0.69102,0.5625,0.1545,0.080,0.009
32,2048,orientation_single_D0,0.68562,0.5938,0.2469,0.078,0.005
33,2112,orientation_single_D0,0.68807,0.6094,0.1864,0.072,0.007
34,2176,orientation_single_D0,0.68301,0.6406,0.2855,0.074,0.007
35,2240,orientation_single_D0,0.68615,0.5312,0.2625,0.075,0.009
36,2304,orientation_single_D0,0.67994,0.5938,0.3448,0.074,0.009
37,2368,orientation_single_D0,0.67838,0.6250,0.3936,0.063,0.007
38,2432,orientation_single_D0,0.67017,0.6562,0.5583,0.072,0.009
39,2496,orientation_single_D0,0.69616,0.5000,0.5994,0.075,0.010
40,2560,orientation_single_D0,0.69415,0.4531,0.6436,0.060,0.008
41,2624,orientation_single_D0,0.66422,0.5938,0.7279,0.078,0.008
42,2688,orientation_single_D0,0.68811,0.6094,0.7469,0.072,0.010
43,2752,orientation_single_D0,0.67667,0.5781,0.8281,0.076,0.009
44,2816,orientation_single_D0,0.64071,0.7031,1.0996,0.068,0.010
45,2880,orientation_single_D0,0.65303,0.5781,1.0882,0.078,0.011
46,2944,orientation_single_D0,0.68683,0.5312,1.2993,80.522,0.005
47,3008,orientation_single_D0,0.68031,0.6406,1.2377,90.092,0.011
48,3072,orientation_single_D0,0.68087,0.5781,1.3355,0.064,0.008
49,3136,orientation_single_D0,0.65265,0.6094,1.5328,0.070,0.008
50,3200,orientation_single_D0,0.61478,0.6875,1.5104,0.082,0.008
51,3264,orientation_single_D0,0.62089,0.6406,1.3880,0.059,0.010
52,3328,orientation_single_D0,0.65689,0.5625,1.5969,0.086,0.008
53,3392,orientation_single_D0,0.61106,0.6406,1.4776,0.066,0.008
54,3456,orientation_single_D0,0.67241,0.5625,1.5827,0.070,0.004
55,3520,orientation_single_D0,0.66556,0.6406,1.7683,0.077,0.006
56,3584,orientation_single_D0,0.59391,0.7031,2.1715,0.074,0.009
57,3648,orientation_single_D0,0.56536,0.7500,2.4577,0.109,0.007
58,3712,orientation_single_D0,0.61083,0.7500,2.4742,0.076,0.009
59,3776,orientation_single_D0,0.60477,0.6406,2.0364,0.078,0.008
60,3840,orientation_single_D0,0.56189,0.6719,2.6540,0.099,0.009
61,3904,orientation_single_D0,0.58989,0.6094,3.2450,4.246,0.009
62,3968,orientation_single_D0,0.57846,0.7031,3.0129,0.063,0.008
63,4032,orientation_single_D0,0.64998,0.6719,3.1602,0.089,0.007
64,4096,orientation_single_D0,0.61914,0.6875,2.7499,0.081,0.011
65,4160,orientation_single_D0,0.56222,0.7188,3.3454,0.108,0.006
66,4224,orientation_single_D0,0.57015,0.6875,4.1147,0.065,0.010
67,4288,orientation_single_D0,0.55639,0.6875,3.4251,0.070,0.013
68,4352,orientation_single_D0,0.53192,0.7812,3.2797,0.073,0.011
69,4416,orientation_single_D0,0.44701,0.8281,3.3131,0.077,0.011
70,4480,orientation_single_D0,0.45688,0.8125,3.8698,0.065,0.009
71,4544,orientation_single_D0,0.45807,0.7812,4.1251,0.061,0.008
72,4608,orientation_single_D0,0.49745,0.7188,4.3434,0.058,0.008
