update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D1,0.39352,0.9219,43.1844,1.169,1.721
2,128,orientation_cued_D0,0.00056,1.0000,0.1282,0.323,0.008
3,192,orientation_cued_D0,0.00217,1.0000,0.8373,0.303,0.006
4,256,orientation_cued_D2,0.80436,0.7969,67.4291,0.425,0.007
5,320,orientation_cued_D2,0.31527,0.9062,24.9172,0.335,0.007
6,384,orientation_cued_D1,0.11800,0.9531,18.7193,0.321,0.008
7,448,orientation_cued_D1,0.16095,0.9531,16.4745,0.346,0.007
8,512,orientation_cued_D0,0.33071,0.9219,16.8289,0.281,0.008
9,576,orientation_cued_D0,0.25205,0.9375,22.5008,0.281,0.008
10,640,orientation_cued_D2,0.35202,0.9219,37.9690,0.369,0.008
11,704,orientation_cued_D2,0.11827,0.9844,15.8381,0.341,0.010
12,768,orientation_cued_D1,0.02009,1.0000,7.0644,0.297,0.008
13,832,orientation_cued_D1,0.16164,0.9688,20.8253,0.306,0.009
14,896,orientation_cued_D0,0.06607,0.9688,8.7666,0.263,0.006
15,960,orientation_cued_D0,0.00816,1.0000,2.2911,0.262,0.008
16,1024,orientation_cued_D2,0.01701,1.0000,4.2092,0.400,0.005
17,1088,orientation_cued_D2,0.10950,0.9688,12.8945,0.379,0.010
18,1152,orientation_cued_D1,0.30775,0.8594,27.1614,0.314,0.008
19,1216,orientation_cued_D1,0.04683,0.9688,13.9857,0.329,0.006
20,1280,orientation_cued_D0,0.00193,1.0000,0.3199,0.268,0.008
21,1344,orientation_cued_D0,0.00221,1.0000,0.4199,0.266,0.005
22,1408,orientation_cued_D2,0.04213,0.9688,5.5481,0.392,0.005
23,1472,orientation_cued_D2,0.13563,0.9531,17.7902,0.355,0.008
24,1536,orientation_cued_D1,0.02332,0.9844,4.6791,0.317,0.008
25,1600,orientation_cued_D1,0.00707,1.0000,1.0319,0.321,0.011
26,1664,orientation_cued_D0,0.01818,1.0000,3.0387,0.284,0.009
27,1728,orientation_cued_D0,0.05196,0.9844,6.9696,0.268,0.006
28,1792,orientation_cued_D2,0.09810,0.9531,13.4337,0.408,0.005
29,1856,orientation_cued_D2,0.17298,0.9375,20.2211,0.375,0.008
30,1920,orientation_cued_D1,0.03000,0.9844,3.9632,0.320,0.008
31,1984,orientation_cued_D1,0.01837,1.0000,2.1188,0.339,0.007
32,2048,orientation_cued_D0,0.02587,0.9844,5.3981,0.247,0.007
33,2112,orientation_cued_D0,0.04922,0.9688,8.1498,0.276,0.006
34,2176,orientation_cued_D2,0.05020,0.9844,6.2283,0.400,0.008
35,2240,orientation_cued_D2,0.03828,1.0000,3.2356,0.399,0.008
36,2304,orientation_cued_D1,0.01523,1.0000,2.9890,0.339,0.009
37,2368,orientation_cued_D1,0.02308,1.0000,3.1089,0.309,0.007
38,2432,orientation_cued_D0,0.02780,0.9844,4.3991,0.283,0.009
39,2496,orientation_cued_D0,0.00485,1.0000,0.7004,0.279,0.006
40,2560,orientation_cued_D2,0.01553,1.0000,1.5929,0.371,0.009
41,2624,orientation_cued_D2,0.02382,1.0000,2.7539,0.406,0.008
42,2688,orientation_cued_D1,0.01395,1.0000,2.4832,0.341,0.008
43,2752,orientation_cued_D1,0.01913,0.9844,4.9460,0.322,0.007
44,2816,orientation_cued_D0,0.07173,0.9844,7.4174,0.273,0.008
45,2880,orientation_cued_D0,0.00115,1.0000,0.1988,0.276,0.006
46,2944,orientation_cued_D2,0.01327,1.0000,1.4564,0.380,0.007
47,3008,orientation_cued_D2,0.03331,0.9844,6.0442,0.354,0.010
48,3072,orientation_cued_D1,0.02192,0.9844,3.8185,0.316,0.008
49,3136,orientation_cued_D1,0.00279,1.0000,0.3474,0.301,0.007
50,3200,orientation_cued_D0,0.00049,1.0000,0.0432,0.262,0.012
51,3264,orientation_cued_D0,0.00377,1.0000,1.3119,0.262,0.007
52,3328,orientation_cued_D2,0.01343,1.0000,3.0424,0.403,0.007
53,3392,orientation_cued_D2,0.01355,1.0000,3.2351,0.367,0.009
54,3456,orientation_cued_D1,0.00254,1.0000,0.4802,0.310,0.009
55,3520,orientation_cued_D1,0.01160,1.0000,2.8803,0.330,0.008
56,3584,orientation_cued_D0,0.00084,1.0000,0.1314,0.258,0.007
57,3648,orientation_cued_D0,0.00765,1.0000,3.0218,0.272,0.005
58,3712,orientation_cued_D2,0.01961,0.9844,6.2801,0.352,0.007
59,3776,orientation_cued_D2,0.03461,0.9844,10.8505,0.362,0.009
60,3840,orientation_cued_D1,0.00182,1.0000,0.4002,0.322,0.008
61,3904,orientation_cued_D1,0.00334,1.0000,0.9900,0.311,0.008
62,3968,orientation_cued_D0,0.00470,1.0000,1.8034,0.266,0.008
63,4032,orientation_cued_D0,0.00059,1.0000,0.1737,0.283,0.006
64,4096,orientation_cued_D2,0.04329,0.9688,10.6740,0.375,0.006
65,4160,orientation_cued_D2,0.00241,1.0000,0.4824,0.372,0.009
66,4224,orientation_cued_D1,0.00525,1.0000,0.8209,0.318,0.010
67,4288,orientation_cued_D1,0.00814,1.0000,2.4726,0.310,0.007
68,4352,orientation_cued_D0,0.00692,1.0000,2.7126,0.243,0.007
69,4416,orientation_cued_D0,0.00100,1.0000,0.1507,0.272,0.005
70,4480,orientation_cued_D2,0.01689,1.0000,3.3245,0.391,0.004
71,4544,orientation_cued_D2,0.02685,0.9844,9.0619,0.399,0.008
72,4608,orientation_cued_D1,0.00576,1.0000,2.5035,0.331,0.008
73,4672,orientation_cued_D1,0.00515,1.0000,2.2430,0.311,0.006
74,4736,orientation_cued_D0,0.01896,0.9844,5.4312,0.245,0.007
75,4800,orientation_cued_D0,0.00767,1.0000,2.8838,0.253,0.005
76,4864,orientation_cued_D2,0.00390,1.0000,1.4121,0.376,0.005
77,4928,orientation_cued_D2,0.00654,1.0000,1.7760,0.380,0.008
78,4992,orientation_cued_D1,0.00068,1.0000,0.0797,0.304,0.008
79,5056,orientation_cued_D1,0.00078,1.0000,0.0663,0.332,0.009
80,5120,orientation_cued_D0,0.00055,1.0000,0.0902,0.283,0.008
81,5184,orientation_cued_D0,0.03820,0.9844,16.4282,0.274,0.008
82,5248,orientation_cued_D2,0.00342,1.0000,0.9316,0.383,0.005
83,5312,orientation_cued_D2,0.01454,0.9844,8.1261,0.380,0.010
84,5376,orientation_cued_D1,0.01987,0.9844,7.2097,0.307,0.011
85,5440,orientation_cued_D1,0.00207,1.0000,0.7824,0.314,0.007
86,5504,orientation_cued_D0,0.00027,1.0000,0.0199,0.249,0.006
87,5568,orientation_cued_D0,0.00034,1.0000,0.0726,0.252,0.007
88,5632,orientation_cued_D2,0.00590,1.0000,2.9136,0.401,0.005
89,5696,orientation_cued_D2,0.00362,1.0000,0.8450,0.367,0.010
90,5760,orientation_cued_D1,0.00562,1.0000,4.6693,0.304,0.008
91,5824,orientation_cued_D1,0.00095,1.0000,0.0698,0.335,0.010
92,5888,orientation_cued_D0,0.00038,1.0000,0.0295,0.280,0.009
93,5952,orientation_cued_D0,0.00019,1.0000,0.0057,0.285,0.006
94,6016,orientation_cued_D2,0.00269,1.0000,0.9882,0.370,0.006
95,6080,orientation_cued_D2,0.01617,0.9844,6.0865,0.361,0.008
96,6144,orientation_cued_D1,0.00242,1.0000,1.3731,0.320,0.008
97,6208,orientation_cued_D1,0.00291,1.0000,0.5282,0.326,0.008
98,6272,orientation_cued_D0,0.00056,1.0000,0.2476,0.253,0.006
99,6336,orientation_cued_D0,0.00488,1.0000,3.5974,0.273,0.007
100,6400,orientation_cued_D2,0.00222,1.0000,0.7238,0.388,0.006
101,6464,orientation_cued_D2,0.01460,1.0000,7.3586,0.359,0.008
102,6528,orientation_cued_D1,0.05109,0.9844,11.3660,0.296,0.008
103,6592,orientation_cued_D1,0.00098,1.0000,0.1938,0.306,0.009
104,6656,orientation_cued_D0,0.00015,1.0000,0.0039,0.263,0.007
105,6720,orientation_cued_D0,0.00084,1.0000,0.2207,0.246,0.007
106,6784,orientation_cued_D2,0.01511,0.9844,8.7563,0.389,0.006
107,6848,orientation_cued_D2,0.00134,1.0000,0.2663,0.396,0.009
108,6912,orientation_cued_D1,0.00266,1.0000,0.8085,0.304,0.008
109,6976,orientation_cued_D1,0.05726,0.9688,9.8808,0.305,0.007
110,7040,orientation_cued_D0,0.00020,1.0000,0.0133,0.265,0.008
111,7104,orientation_cued_D0,0.00066,1.0000,0.1618,0.278,0.006
112,7168,orientation_cued_D2,0.00953,1.0000,4.8362,0.373,0.006
113,7232,orientation_cued_D2,0.01180,1.0000,4.8230,0.369,0.008
114,7296,orientation_cued_D1,0.00133,1.0000,0.2183,0.302,0.008
115,7360,orientation_cued_D1,0.00072,1.0000,0.0689,0.337,0.006
116,7424,orientation_cued_D0,0.00408,1.0000,1.8955,0.259,0.007
117,7488,orientation_cued_D0,0.00024,1.0000,0.0150,0.269,0.005
118,7552,orientation_cued_D2,0.01932,0.9844,8.8116,0.386,0.008
119,7616,orientation_cued_D2,0.00564,1.0000,2.3415,0.362,0.008
120,7680,orientation_cued_D1,0.00092,1.0000,0.2563,0.322,0.009
121,7744,orientation_cued_D1,0.00230,1.0000,0.7877,0.337,0.008
