update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.00080,1.0000,0.3841,1.140,1.752
2,128,orientation_cued_D2,0.00026,1.0000,0.0152,0.389,0.005
3,192,orientation_cued_D0,0.00013,1.0000,0.0034,0.260,0.007
4,256,orientation_cued_D4,0.04951,0.9844,17.9121,0.479,0.009
5,320,orientation_cued_D2,0.00016,1.0000,0.0046,0.395,0.013
6,384,orientation_cued_D4,0.05047,0.9844,18.6310,0.470,0.009
7,448,orientation_cued_D0,0.00015,1.0000,0.0049,0.244,0.012
8,512,orientation_cued_D2,0.00059,1.0000,0.2262,0.364,0.007
9,576,orientation_cued_D0,0.00014,1.0000,0.0051,0.235,0.008
10,640,orientation_cued_D4,0.00266,1.0000,3.8023,0.470,0.007
11,704,orientation_cued_D2,0.00028,1.0000,0.0433,0.362,0.010
12,768,orientation_cued_D4,0.00170,1.0000,1.1519,0.435,0.008
13,832,orientation_cued_D0,0.00408,1.0000,2.9686,0.247,0.010
14,896,orientation_cued_D2,0.00022,1.0000,0.0130,0.352,0.007
15,960,orientation_cued_D4,0.00030,1.0000,0.0714,0.432,0.007
16,1024,orientation_cued_D0,0.00018,1.0000,0.0181,0.228,0.010
17,1088,orientation_cued_D2,0.00025,1.0000,0.0313,0.359,0.006
18,1152,orientation_cued_D4,0.00022,1.0000,0.0332,0.449,0.010
19,1216,orientation_cued_D0,0.00019,1.0000,0.0118,0.239,0.012
20,1280,orientation_cued_D2,0.00060,1.0000,0.1883,0.335,0.005
21,1344,orientation_cued_D4,0.00284,1.0000,1.4989,0.432,0.009
22,1408,orientation_cued_D0,0.00542,1.0000,4.4333,0.256,0.010
23,1472,orientation_cued_D2,0.00039,1.0000,0.1180,0.317,0.006
24,1536,orientation_cued_D4,0.06960,0.9844,21.9607,0.424,0.009
25,1600,orientation_cued_D0,0.00026,1.0000,0.0359,0.235,0.011
26,1664,orientation_cued_D2,0.00021,1.0000,0.0183,0.356,0.007
27,1728,orientation_cued_D4,0.03154,0.9844,24.7258,0.452,0.008
28,1792,orientation_cued_D0,0.00012,1.0000,0.0040,0.222,0.013
29,1856,orientation_cued_D2,0.00024,1.0000,0.0137,0.375,0.007
30,1920,orientation_cued_D4,0.13261,0.9844,18.9451,0.449,0.008
31,1984,orientation_cued_D0,0.00019,1.0000,0.0258,0.241,0.010
32,2048,orientation_cued_D2,0.00315,1.0000,2.0084,0.345,0.006
