update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_ring_D0,0.69573,0.5000,0.7690,2.550,1.827
2,128,orientation_ring_D0,0.73675,0.5000,2.2415,0.265,0.005
3,192,orientation_ring_D0,0.69445,0.5000,0.6032,0.269,0.006
4,256,orientation_ring_D0,0.70365,0.5000,0.9479,0.240,0.006
5,320,orientation_ring_D0,0.70857,0.5000,1.1044,0.278,0.004
6,384,orientation_ring_D0,0.70131,0.5000,0.7807,0.230,0.004
7,448,orientation_ring_D0,0.69492,0.5000,0.3924,0.255,0.004
8,512,orientation_ring_D0,0.69216,0.5156,0.2933,0.251,0.006
9,576,orientation_ring_D0,0.69540,0.5000,0.4137,0.238,0.006
10,640,orientation_ring_D0,0.69712,0.5000,0.4701,0.246,0.004
11,704,orientation_ring_D0,0.69787,0.5000,0.4579,0.252,0.005
12,768,orientation_ring_D0,0.69623,0.5000,0.3576,0.252,0.007
13,832,orientation_ring_D0,0.69453,0.5000,0.3000,0.246,0.008
14,896,orientation_ring_D0,0.69255,0.5625,0.2243,0.241,0.004
15,960,orientation_ring_D0,0.69400,0.4219,0.2088,0.244,0.004
16,1024,orientation_ring_D0,0.69397,0.5000,0.2226,0.237,0.004
17,1088,orientation_ring_D0,0.69371,0.5000,0.2380,0.263,0.007
18,1152,orientation_ring_D0,0.69456,0.5000,0.2363,0.258,0.006
19,1216,orientation_ring_D0,0.69504,0.5000,0.2404,0.231,0.006
20,1280,orientation_ring_D0,0.69330,0.5000,0.2198,0.246,0.004
21,1344,orientation_ring_D0,0.69339,0.5000,0.1995,0.260,0.005
22,1408,orientation_ring_D0,0.69436,0.5000,0.1946,0.262,0.005
23,1472,orientation_ring_D0,0.69393,0.4844,0.1721,0.255,0.006
24,1536,orientation_ring_D0,0.69280,0.5156,0.1806,0.262,0.005
25,1600,orientation_ring_D0,0.69301,0.5156,0.1677,0.246,0.005
26,1664,orientation_ring_D0,0.69349,0.5000,0.1725,0.250,0.005
27,1728,orientation_ring_D0,0.69372,0.5000,0.1681,0.242,0.005
28,1792,orientation_ring_D0,0.69273,0.5000,0.1646,0.298,0.007
29,1856,orientation_ring_D0,0.69244,0.5000,0.1727,0.285,0.007
30,1920,orientation_ring_D0,0.69282,0.5000,0.1561,0.241,0.006
31,1984,orientation_ring_D0,0.69439,0.4844,0.1493,0.255,0.006
32,2048,orientation_ring_D0,0.69394,0.5000,0.1445,0.247,0.007
33,2112,orientation_ring_D0,0.69335,0.4844,0.1552,0.256,0.005
34,2176,orientation_ring_D0,0.69388,0.4531,0.1331,0.242,0.007
35,2240,orientation_ring_D0,0.69393,0.4688,0.1538,0.246,0.005
