update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69669,0.4688,0.4413,2.705,5.224
2,128,orientation_cued_D0,0.69617,0.5000,0.8122,0.073,0.004
3,192,orientation_cued_D0,0.70278,0.5000,1.1671,0.073,0.004
4,256,orientation_cued_D0,0.69790,0.5000,0.5368,0.076,0.009
5,320,orientation_cued_D0,0.69763,0.5000,0.8138,0.096,0.008
6,384,orientation_cued_D0,0.69690,0.5000,0.7554,0.187,0.008
7,448,orientation_cued_D0,0.69223,0.4844,0.4037,0.145,0.007
8,512,orientation_cued_D0,0.69243,0.5000,0.5075,0.127,0.007
9,576,orientation_cued_D0,0.69763,0.5000,0.6392,0.169,0.007
10,640,orientation_cued_D0,0.69852,0.5000,0.4797,0.223,0.009
11,704,orientation_cued_D0,0.69363,0.4844,0.3218,0.223,0.008
12,768,orientation_cued_D0,0.69889,0.5000,0.4789,0.184,0.004
13,832,orientation_cued_D0,0.69734,0.5000,0.5250,0.097,0.003
14,896,orientation_cued_D0,0.69264,0.5000,0.4150,0.070,0.167
15,960,orientation_cued_D0,0.69246,0.5000,0.3298,0.065,0.166
16,1024,orientation_cued_D0,0.69399,0.5000,0.3644,0.074,0.349
17,1088,orientation_cued_D0,0.69522,0.5000,0.4570,0.189,0.181
18,1152,orientation_cued_D0,0.69044,0.5312,0.3980,0.213,0.212
19,1216,orientation_cued_D0,0.69042,0.4844,0.3025,0.070,0.045
20,1280,orientation_cued_D0,0.69514,0.4844,0.2975,0.065,0.305
21,1344,orientation_cued_D0,0.69535,0.5000,0.3715,0.075,0.156
22,1408,orientation_cued_D0,0.69039,0.5156,0.3742,0.106,0.318
23,1472,orientation_cued_D0,0.69576,0.5000,0.3332,0.176,0.139
24,1536,orientation_cued_D0,0.69372,0.4531,0.2936,0.209,0.176
25,1600,orientation_cued_D0,0.69426,0.5000,0.3154,0.070,0.041
26,1664,orientation_cued_D0,0.69228,0.4844,0.3470,0.068,0.408
27,1728,orientation_cued_D0,0.69289,0.5000,0.3225,0.072,0.141
28,1792,orientation_cued_D0,0.69356,0.4219,0.2791,0.169,0.345
29,1856,orientation_cued_D0,0.69520,0.4219,0.2863,0.172,0.141
30,1920,orientation_cued_D0,0.68945,0.5156,0.3141,0.066,0.208
31,1984,orientation_cued_D0,0.69013,0.5000,0.3321,0.126,0.301
32,2048,orientation_cued_D0,0.69700,0.4375,0.3116,0.067,0.187
33,2112,orientation_cued_D0,0.69374,0.4531,0.2777,0.243,0.344
34,2176,orientation_cued_D0,0.69227,0.5000,0.3008,0.130,0.150
35,2240,orientation_cued_D0,0.69336,0.4688,0.3353,0.065,0.445
36,2304,orientation_cued_D0,0.69385,0.4688,0.2677,0.070,0.220
37,2368,orientation_cued_D0,0.69568,0.4688,0.2672,0.080,0.268
38,2432,orientation_cued_D0,0.69499,0.4375,0.2929,0.129,0.249
39,2496,orientation_cued_D0,0.69142,0.5312,0.2596,0.245,0.250
40,2560,orientation_cued_D0,0.69413,0.5156,0.2490,0.129,0.084
41,2624,orientation_cued_D0,0.69282,0.5312,0.2589,0.136,0.270
42,2688,orientation_cued_D0,0.69611,0.4375,0.2618,0.069,0.295
43,2752,orientation_cued_D0,0.69284,0.5156,0.2658,0.068,0.144
44,2816,orientation_cued_D0,0.69410,0.5156,0.2419,0.245,0.281
45,2880,orientation_cued_D0,0.69308,0.5156,0.2423,0.158,0.042
46,2944,orientation_cued_D0,0.69476,0.4062,0.2542,0.075,0.275
47,3008,orientation_cued_D0,0.69284,0.4844,0.2387,0.069,0.177
48,3072,orientation_cued_D0,0.69228,0.4844,0.2697,0.159,0.374
49,3136,orientation_cued_D0,0.68863,0.5938,0.2592,0.072,0.055
50,3200,orientation_cued_D0,0.69711,0.4531,0.2431,0.227,0.402
51,3264,orientation_cued_D0,0.69338,0.5000,0.2386,0.174,0.004
52,3328,orientation_cued_D0,0.69319,0.4844,0.2622,0.127,0.253
53,3392,orientation_cued_D0,0.69397,0.5156,0.2468,0.065,0.044
54,3456,orientation_cued_D0,0.69169,0.5312,0.2570,0.123,0.439
55,3520,orientation_cued_D0,0.69341,0.4844,0.2462,0.137,0.066
56,3584,orientation_cued_D0,0.69653,0.4062,0.2880,0.249,0.239
57,3648,orientation_cued_D0,0.69223,0.4688,0.2744,0.192,0.005
58,3712,orientation_cued_D0,0.69804,0.3594,0.2574,0.135,0.154
59,3776,orientation_cued_D0,0.69594,0.4844,0.2493,0.101,0.033
60,3840,orientation_cued_D0,0.69222,0.5469,0.2615,0.172,0.320
61,3904,orientation_cued_D0,0.69130,0.5781,0.2308,0.235,0.004
62,3968,orientation_cued_D0,0.69292,0.4531,0.2244,0.238,0.228
63,4032,orientation_cued_D0,0.69525,0.5156,0.2313,0.200,0.004
64,4096,orientation_cued_D0,0.69473,0.4688,0.2493,0.142,0.139
65,4160,orientation_cued_D0,0.69112,0.4844,0.2239,0.144,0.003
66,4224,orientation_cued_D0,0.69331,0.5156,0.2358,0.121,0.255
67,4288,orientation_cued_D0,0.68945,0.6094,0.2313,0.120,0.005
68,4352,orientation_cued_D0,0.69624,0.4844,0.2504,0.220,0.275
69,4416,orientation_cued_D0,0.69311,0.5469,0.2326,0.198,0.004
70,4480,orientation_cued_D0,0.69164,0.5312,0.2148,0.072,0.195
71,4544,orientation_cued_D0,0.69555,0.4219,0.2256,0.098,0.003
72,4608,orientation_cued_D0,0.69194,0.5156,0.2164,0.141,0.475
73,4672,orientation_cued_D0,0.69382,0.4688,0.2227,0.234,0.002
74,4736,orientation_cued_D0,0.69278,0.5312,0.2167,0.203,0.202
75,4800,orientation_cued_D0,0.69304,0.5156,0.2094,0.255,0.004
76,4864,orientation_cued_D0,0.69258,0.5156,0.2180,0.068,0.085
77,4928,orientation_cued_D0,0.68978,0.5625,0.2190,0.114,0.003
78,4992,orientation_cued_D0,0.69244,0.5312,0.2150,0.072,0.395
79,5056,orientation_cued_D0,0.69449,0.5000,0.2146,0.146,0.003
80,5120,orientation_cued_D0,0.69335,0.4844,0.2166,0.161,0.443
81,5184,orientation_cued_D0,0.69125,0.5156,0.2219,0.193,0.003
82,5248,orientation_cued_D0,0.69483,0.4219,0.2214,0.064,0.207
83,5312,orientation_cued_D0,0.70008,0.3125,0.2385,0.072,0.106
84,5376,orientation_cued_D0,0.69435,0.5000,0.2189,0.155,0.348
85,5440,orientation_cued_D0,0.69127,0.4844,0.2081,0.160,0.006
