update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,image_recognition_N4_H3,0.70211,0.5000,1.1775,1.806,0.689
2,128,image_recognition_N4_H4,1.57485,0.5000,9.5009,0.911,0.005
3,192,image_recognition_N4_H5,0.84444,0.5000,4.6604,1.136,0.006
4,256,image_recognition_N4_H3,0.72269,0.5000,2.2048,0.233,0.005
5,320,image_recognition_N4_H4,0.70193,0.5000,1.2445,0.165,0.008
6,384,image_recognition_N4_H5,0.71351,0.5000,2.0059,0.249,0.010
7,448,image_recognition_N4_H3,0.69550,0.5000,0.2793,0.234,0.010
8,512,image_recognition_N4_H4,0.70714,0.5000,1.7250,0.194,0.010
9,576,image_recognition_N4_H5,0.70590,0.5000,1.6398,0.275,0.017
10,640,image_recognition_N4_H3,0.69278,0.5625,0.0955,0.107,0.009
11,704,image_recognition_N4_H4,0.70388,0.5000,1.5664,0.208,0.007
12,768,image_recognition_N4_H5,0.70109,0.5000,1.3758,0.244,0.017
13,832,image_recognition_N4_H3,0.69356,0.5000,0.2724,0.111,0.009
14,896,image_recognition_N4_H4,0.69717,0.5000,0.8963,0.179,0.005
15,960,image_recognition_N4_H5,0.69974,0.5000,1.2503,0.245,0.013
16,1024,image_recognition_N4_H3,0.69478,0.5000,0.6876,0.136,0.011
17,1088,image_recognition_N4_H4,0.69298,0.5000,0.1533,0.146,0.009
18,1152,image_recognition_N4_H5,0.69542,0.5000,0.7869,0.269,0.013
19,1216,image_recognition_N4_H3,0.69758,0.5000,0.9501,0.143,0.004
20,1280,image_recognition_N4_H4,0.69408,0.5000,0.5203,0.113,0.010
21,1344,image_recognition_N4_H5,0.69194,0.5312,0.1554,0.297,0.017
22,1408,image_recognition_N4_H3,0.69450,0.5000,0.5373,0.120,0.010
23,1472,image_recognition_N4_H4,0.69455,0.5000,0.7569,0.112,0.008
24,1536,image_recognition_N4_H5,0.69689,0.5000,0.4820,0.283,0.017
25,1600,image_recognition_N4_H3,0.69307,0.5156,0.0889,0.166,0.012
26,1664,image_recognition_N4_H4,0.69373,0.5000,0.4759,0.212,0.005
27,1728,image_recognition_N4_H5,0.69398,0.5000,0.5393,0.250,0.009
28,1792,image_recognition_N4_H3,0.69202,0.5000,0.4497,0.125,0.009
29,1856,image_recognition_N4_H4,0.69197,0.5625,0.0919,0.167,0.010
30,1920,image_recognition_N4_H5,0.69123,0.5312,0.3087,0.252,0.010
31,1984,image_recognition_N4_H3,0.69522,0.5156,0.4306,0.125,0.010
32,2048,image_recognition_N4_H4,0.69122,0.5312,0.3934,0.118,0.034
33,2112,image_recognition_N4_H5,0.69461,0.4688,0.1917,0.129,0.200
34,2176,image_recognition_N4_H3,0.69610,0.4375,0.2090,0.120,0.112
35,2240,image_recognition_N4_H4,0.69273,0.4688,0.3783,0.124,0.173
36,2304,image_recognition_N4_H5,0.69414,0.4688,0.3420,0.241,0.145
37,2368,image_recognition_N4_H3,0.69307,0.4688,0.2227,0.190,0.006
38,2432,image_recognition_N4_H4,0.69459,0.4844,0.1637,0.197,0.049
39,2496,image_recognition_N4_H5,0.69357,0.4688,0.2772,0.214,0.059
40,2560,image_recognition_N4_H3,0.69715,0.3750,0.2990,0.211,0.033
41,2624,image_recognition_N4_H4,0.69439,0.5000,0.1946,0.171,0.040
42,2688,image_recognition_N4_H5,0.68789,0.5625,0.1225,0.169,0.090
43,2752,image_recognition_N4_H3,0.69235,0.5312,0.2474,0.245,0.078
44,2816,image_recognition_N4_H4,0.69591,0.4688,0.2675,0.103,0.005
45,2880,image_recognition_N4_H5,0.69727,0.4062,0.1851,0.137,0.176
46,2944,image_recognition_N4_H3,0.69152,0.5781,0.0760,0.116,0.116
47,3008,image_recognition_N4_H4,0.68999,0.5000,0.1654,0.177,0.126
48,3072,image_recognition_N4_H5,0.69274,0.4531,0.2761,0.142,0.065
49,3136,image_recognition_N4_H3,0.69234,0.5469,0.1210,0.194,0.116
50,3200,image_recognition_N4_H4,0.69545,0.4375,0.1180,0.131,0.038
51,3264,image_recognition_N4_H5,0.69119,0.5469,0.1575,0.279,0.139
52,3328,image_recognition_N4_H3,0.69149,0.5000,0.2191,0.205,0.014
53,3392,image_recognition_N4_H4,0.69314,0.5000,0.1589,0.207,0.008
54,3456,image_recognition_N4_H5,0.69333,0.4375,0.0857,0.196,0.058
55,3520,image_recognition_N4_H3,0.68872,0.5156,0.1703,0.167,0.024
56,3584,image_recognition_N4_H4,0.69459,0.5156,0.1694,0.111,0.067
57,3648,image_recognition_N4_H5,0.69308,0.4375,0.1548,0.135,0.140
58,3712,image_recognition_N4_H3,0.69422,0.5000,0.1485,0.148,0.092
59,3776,image_recognition_N4_H4,0.69456,0.4844,0.1679,0.112,0.089
60,3840,image_recognition_N4_H5,0.69170,0.5312,0.0916,0.123,0.159
61,3904,image_recognition_N4_H3,0.69113,0.5469,0.1208,0.118,0.103
62,3968,image_recognition_N4_H4,0.69469,0.4375,0.1616,0.109,0.156
63,4032,image_recognition_N4_H5,0.69528,0.4531,0.1786,0.131,0.215
64,4096,image_recognition_N4_H3,0.68915,0.5625,0.0925,0.110,0.133
65,4160,image_recognition_N4_H4,0.69435,0.5000,0.1262,0.139,0.166
66,4224,image_recognition_N4_H5,0.68846,0.5938,0.0812,0.119,0.104
67,4288,image_recognition_N4_H3,0.69349,0.4844,0.1694,0.115,0.087
68,4352,image_recognition_N4_H4,0.68866,0.5156,0.1230,0.103,0.178
69,4416,image_recognition_N4_H5,0.69795,0.4688,0.2349,0.120,0.161
70,4480,image_recognition_N4_H3,0.69578,0.4688,0.0940,0.105,0.096
71,4544,image_recognition_N4_H4,0.68812,0.5469,0.0954,0.116,0.086
72,4608,image_recognition_N4_H5,0.69468,0.4844,0.1143,0.120,0.239
73,4672,image_recognition_N4_H3,0.68904,0.6250,0.2318,0.112,0.166
74,4736,image_recognition_N4_H4,0.69544,0.5000,0.1548,0.155,0.118
75,4800,image_recognition_N4_H5,0.69712,0.3750,0.2012,0.132,0.140
76,4864,image_recognition_N4_H3,0.69513,0.4688,0.0885,0.155,0.124
77,4928,image_recognition_N4_H4,0.69553,0.4531,0.1269,0.107,0.142
78,4992,image_recognition_N4_H5,0.69448,0.5000,0.0596,0.126,0.147
79,5056,image_recognition_N4_H3,0.69317,0.4531,0.1561,0.114,0.115
80,5120,image_recognition_N4_H4,0.69569,0.5000,0.0989,0.116,0.180
81,5184,image_recognition_N4_H5,0.69531,0.4688,0.2116,0.133,0.135
82,5248,image_recognition_N4_H3,0.69529,0.5469,0.1414,0.119,0.123
83,5312,image_recognition_N4_H4,0.69159,0.5000,0.0612,0.106,0.158
84,5376,image_recognition_N4_H5,0.69222,0.5000,0.1000,0.121,0.104
85,5440,image_recognition_N4_H3,0.69441,0.5156,0.1024,0.128,0.125
86,5504,image_recognition_N4_H4,0.69263,0.5312,0.0341,0.116,0.083
87,5568,image_recognition_N4_H5,0.69421,0.5000,0.1146,0.142,0.147
88,5632,image_recognition_N4_H3,0.69365,0.5156,0.0645,0.118,0.159
89,5696,image_recognition_N4_H4,0.69471,0.3125,0.0711,0.113,0.099
90,5760,image_recognition_N4_H5,0.69368,0.4219,0.0459,0.121,0.166
91,5824,image_recognition_N4_H3,0.69237,0.5156,0.1261,0.120,0.118
92,5888,image_recognition_N4_H4,0.69220,0.5781,0.0546,0.119,0.136
93,5952,image_recognition_N4_H5,0.69306,0.5156,0.0539,0.135,0.133
94,6016,image_recognition_N4_H3,0.69367,0.5000,0.0619,0.114,0.088
95,6080,image_recognition_N4_H4,0.69365,0.5000,0.0817,0.112,0.157
96,6144,image_recognition_N4_H5,0.69351,0.4531,0.0264,0.118,0.152
97,6208,image_recognition_N4_H3,0.69290,0.5156,0.0973,0.119,0.098
98,6272,image_recognition_N4_H4,0.69389,0.4375,0.0703,0.163,0.138
99,6336,image_recognition_N4_H5,0.69338,0.4531,0.0300,0.128,0.137
100,6400,image_recognition_N4_H3,0.69307,0.5000,0.0411,0.116,0.114
101,6464,image_recognition_N4_H4,0.69304,0.5000,0.0585,0.109,0.005
102,6528,image_recognition_N4_H5,0.69319,0.5000,0.0499,0.136,0.006
103,6592,image_recognition_N4_H3,0.69340,0.4688,0.0491,0.115,0.006
104,6656,image_recognition_N4_H4,0.69291,0.5312,0.0599,0.119,0.007
105,6720,image_recognition_N4_H5,0.69320,0.5156,0.0306,0.130,0.007
106,6784,image_recognition_N4_H3,0.69318,0.5156,0.0174,0.109,0.005
107,6848,image_recognition_N4_H4,0.69332,0.5000,0.0642,0.122,0.004
108,6912,image_recognition_N4_H5,0.69313,0.5000,0.0570,0.127,0.004
109,6976,image_recognition_N4_H3,0.69329,0.5000,0.0165,0.121,0.005
110,7040,image_recognition_N4_H4,0.69363,0.4688,0.0497,0.149,0.006
111,7104,image_recognition_N4_H5,0.69313,0.4531,0.0224,0.172,0.006
112,7168,image_recognition_N4_H3,0.69318,0.5781,0.0176,0.169,0.006
113,7232,image_recognition_N4_H4,0.69353,0.5312,0.0341,0.159,0.005
114,7296,image_recognition_N4_H5,0.69336,0.5000,0.0476,0.165,0.005
115,7360,image_recognition_N4_H3,0.69314,0.5000,0.0101,0.190,0.007
116,7424,image_recognition_N4_H4,0.69347,0.4688,0.0289,0.222,0.007
117,7488,image_recognition_N4_H5,0.69306,0.5312,0.0237,0.164,0.007
118,7552,image_recognition_N4_H3,0.69341,0.4375,0.0253,0.171,0.006
119,7616,image_recognition_N4_H4,0.69321,0.5312,0.0226,0.166,0.005
120,7680,image_recognition_N4_H5,0.69300,0.5000,0.0363,0.298,0.004
121,7744,image_recognition_N4_H3,0.69308,0.5156,0.0203,0.256,0.004
122,7808,image_recognition_N4_H4,0.69296,0.5469,0.0314,0.228,0.006
123,7872,image_recognition_N4_H5,0.69312,0.5000,0.0295,0.244,0.012
124,7936,image_recognition_N4_H3,0.69345,0.4375,0.0203,0.227,0.004
125,8000,image_recognition_N4_H4,0.69335,0.4219,0.0195,0.246,0.005
126,8064,image_recognition_N4_H5,0.69318,0.5000,0.0155,0.293,0.007
127,8128,image_recognition_N4_H3,0.69293,0.5312,0.0183,0.231,0.005
128,8192,image_recognition_N4_H4,0.69302,0.5625,0.0170,0.227,0.005
129,8256,image_recognition_N4_H5,0.69319,0.4531,0.0189,0.271,0.004
130,8320,image_recognition_N4_H3,0.69291,0.5469,0.0181,0.231,0.007
131,8384,image_recognition_N4_H4,0.69300,0.5938,0.0147,0.246,0.004
132,8448,image_recognition_N4_H5,0.69328,0.5156,0.0219,0.298,0.006
133,8512,image_recognition_N4_H3,0.69273,0.6094,0.0239,0.226,0.006
134,8576,image_recognition_N4_H4,0.69293,0.5469,0.0220,0.212,0.006
135,8640,image_recognition_N4_H5,0.69319,0.5156,0.0224,0.263,0.006
136,8704,image_recognition_N4_H3,0.69318,0.4531,0.0237,0.252,0.007
137,8768,image_recognition_N4_H4,0.69313,0.5000,0.0153,0.239,0.005
138,8832,image_recognition_N4_H5,0.69335,0.4531,0.0135,0.250,0.004
139,8896,image_recognition_N4_H3,0.69310,0.5000,0.0107,0.211,0.008
