update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,krauzlis_cued_motion_B12,0.69476,0.4844,0.6497,4.207,1.136
2,128,krauzlis_cued_motion_B20,2.00864,0.4688,10.4681,3.814,0.014
3,192,krauzlis_cued_motion_B28,0.69180,0.6562,2.8576,42.592,0.030
4,256,krauzlis_cued_motion_B12,0.90322,0.5625,4.8160,0.531,0.049
5,320,krauzlis_cued_motion_B20,0.67760,0.6406,1.7296,0.693,0.020
6,384,krauzlis_cued_motion_B28,0.69351,0.5156,0.3621,1.022,0.038
7,448,krauzlis_cued_motion_B12,0.81295,0.4062,4.7692,0.537,0.038
8,512,krauzlis_cued_motion_B20,0.70881,0.4062,2.4594,0.754,0.031
9,576,krauzlis_cued_motion_B28,0.70604,0.5469,1.7812,0.969,0.036
10,640,krauzlis_cued_motion_B12,0.70922,0.5781,2.2631,0.362,0.053
11,704,krauzlis_cued_motion_B20,0.69836,0.5781,1.8319,0.656,0.036
12,768,krauzlis_cued_motion_B28,0.67546,0.5938,0.0279,0.821,0.050
13,832,krauzlis_cued_motion_B12,0.69077,0.5469,0.6625,0.447,0.057
14,896,krauzlis_cued_motion_B20,0.69433,0.4531,1.1158,0.653,0.013
15,960,krauzlis_cued_motion_B28,0.68826,0.5781,1.2878,0.847,0.086
16,1024,krauzlis_cued_motion_B12,0.68595,0.5625,0.3718,0.297,0.985
17,1088,krauzlis_cued_motion_B20,0.69210,0.5625,1.2144,0.467,1.920
18,1152,krauzlis_cued_motion_B28,0.68976,0.5625,0.9905,0.775,2.682
19,1216,krauzlis_cued_motion_B12,0.66780,0.6250,1.1712,0.466,1.194
20,1280,krauzlis_cued_motion_B20,0.70342,0.5000,1.5286,0.576,2.182
21,1344,krauzlis_cued_motion_B28,0.67858,0.6250,1.9696,0.992,3.350
22,1408,krauzlis_cued_motion_B12,0.68573,0.5625,0.3068,0.299,1.475
23,1472,krauzlis_cued_motion_B20,0.68536,0.5625,0.1015,0.510,2.654
24,1536,krauzlis_cued_motion_B28,0.68606,0.5625,0.4112,0.800,2.744
25,1600,krauzlis_cued_motion_B12,0.68108,0.5781,0.2103,0.410,1.159
26,1664,krauzlis_cued_motion_B20,0.69730,0.5312,1.1821,0.635,2.138
27,1728,krauzlis_cued_motion_B28,0.66265,0.6562,2.0810,1.029,2.484
28,1792,krauzlis_cued_motion_B12,0.69110,0.5469,0.7327,0.577,0.867
29,1856,krauzlis_cued_motion_B20,0.70707,0.5000,1.7929,0.722,1.975
30,1920,krauzlis_cued_motion_B28,0.67586,0.6094,1.2531,0.960,2.400
31,1984,krauzlis_cued_motion_B12,0.68288,0.5781,0.6750,0.380,0.937
32,2048,krauzlis_cued_motion_B20,0.66797,0.6406,1.8367,0.596,2.126
33,2112,krauzlis_cued_motion_B28,0.72384,0.4688,2.7393,0.930,2.478
34,2176,krauzlis_cued_motion_B12,0.67568,0.5938,0.2197,0.439,0.980
35,2240,krauzlis_cued_motion_B20,0.69057,0.5469,0.6426,0.857,2.087
36,2304,krauzlis_cued_motion_B28,0.67404,0.6094,1.0633,1.122,2.320
37,2368,krauzlis_cued_motion_B12,0.66957,0.6250,1.3325,0.504,0.855
38,2432,krauzlis_cued_motion_B20,0.71892,0.4688,2.5030,0.780,2.050
39,2496,krauzlis_cued_motion_B28,0.67691,0.5938,0.5692,0.801,2.409
40,2560,krauzlis_cued_motion_B12,0.68912,0.5469,0.2907,0.433,1.476
41,2624,krauzlis_cued_motion_B20,0.69786,0.5000,1.0309,0.773,2.271
42,2688,krauzlis_cued_motion_B28,0.67910,0.6719,3.1962,0.993,2.974
43,2752,krauzlis_cued_motion_B12,0.68278,0.5781,0.6455,1.070,1.265
44,2816,krauzlis_cued_motion_B20,0.67108,0.6094,0.6668,1.346,1.705
45,2880,krauzlis_cued_motion_B28,0.69814,0.5469,1.4224,0.843,2.158
46,2944,krauzlis_cued_motion_B12,0.68590,0.5781,1.0228,0.357,1.389
47,3008,krauzlis_cued_motion_B20,0.70077,0.5469,1.5951,0.742,2.589
48,3072,krauzlis_cued_motion_B28,0.68166,0.5781,0.4058,0.833,2.533
49,3136,krauzlis_cued_motion_B12,0.67669,0.5938,0.5101,0.520,1.138
50,3200,krauzlis_cued_motion_B20,0.69191,0.5312,0.3931,0.748,1.958
51,3264,krauzlis_cued_motion_B28,0.68950,0.5469,0.4053,0.683,2.501
52,3328,krauzlis_cued_motion_B12,0.68717,0.6094,1.9683,0.354,1.191
53,3392,krauzlis_cued_motion_B20,0.68757,0.5625,0.6945,0.755,2.285
54,3456,krauzlis_cued_motion_B28,0.67910,0.5938,0.8766,1.019,2.385
55,3520,krauzlis_cued_motion_B12,0.69716,0.5312,1.1126,0.463,0.843
56,3584,krauzlis_cued_motion_B20,0.66317,0.6250,0.5688,0.647,2.438
57,3648,krauzlis_cued_motion_B28,0.69118,0.5625,1.0922,0.961,3.015
58,3712,krauzlis_cued_motion_B12,0.72256,0.5000,2.4463,0.467,1.086
59,3776,krauzlis_cued_motion_B20,0.68682,0.5625,0.5541,0.739,2.337
60,3840,krauzlis_cued_motion_B28,0.68187,0.5781,0.4483,0.928,3.462
61,3904,krauzlis_cued_motion_B12,0.68299,0.5938,1.2391,0.404,1.482
62,3968,krauzlis_cued_motion_B20,0.68452,0.5938,1.3601,0.564,2.526
63,4032,krauzlis_cued_motion_B28,0.67901,0.6094,1.4226,0.718,2.741
64,4096,krauzlis_cued_motion_B12,0.69834,0.5156,1.0716,0.415,0.900
65,4160,krauzlis_cued_motion_B20,0.69113,0.5469,0.6912,0.541,1.410
66,4224,krauzlis_cued_motion_B28,0.67035,0.6094,0.5120,0.642,1.839
67,4288,krauzlis_cued_motion_B12,0.68714,0.5625,0.6001,0.298,0.729
68,4352,krauzlis_cued_motion_B20,0.70481,0.5156,1.5584,0.547,1.700
69,4416,krauzlis_cued_motion_B28,0.68092,0.5781,0.0795,0.701,1.562
70,4480,krauzlis_cued_motion_B12,0.68537,0.5625,0.1060,0.378,0.538
71,4544,krauzlis_cued_motion_B20,0.67488,0.6250,1.6279,0.546,1.358
72,4608,krauzlis_cued_motion_B28,0.68552,0.5625,0.2019,0.831,3.363
73,4672,krauzlis_cued_motion_B12,0.69298,0.5312,0.5980,0.520,1.313
74,4736,krauzlis_cued_motion_B20,0.67743,0.5938,0.6237,0.937,2.338
75,4800,krauzlis_cued_motion_B28,0.68097,0.5781,0.1240,1.138,2.310
76,4864,krauzlis_cued_motion_B12,0.71110,0.4844,1.9156,0.439,0.875
77,4928,krauzlis_cued_motion_B20,0.64784,0.7031,2.7499,0.649,2.087
78,4992,krauzlis_cued_motion_B28,0.70824,0.5000,1.7332,1.053,2.527
79,5056,krauzlis_cued_motion_B12,0.65522,0.6562,1.4975,0.609,0.846
80,5120,krauzlis_cued_motion_B20,0.69997,0.5312,1.3126,0.924,1.850
81,5184,krauzlis_cued_motion_B28,0.68756,0.5625,0.6623,0.928,2.242
82,5248,krauzlis_cued_motion_B12,0.69167,0.5469,0.7570,0.364,0.852
83,5312,krauzlis_cued_motion_B20,0.68539,0.5625,0.1231,0.738,2.208
84,5376,krauzlis_cued_motion_B28,0.68551,0.5625,0.1999,1.164,2.255
85,5440,krauzlis_cued_motion_B12,0.69131,0.5312,0.1549,0.528,0.628
86,5504,krauzlis_cued_motion_B20,0.68142,0.6250,1.9834,0.499,2.095
87,5568,krauzlis_cued_motion_B28,0.68430,0.5781,0.8243,0.980,2.609
88,5632,krauzlis_cued_motion_B12,0.68197,0.5781,0.4610,0.503,0.916
89,5696,krauzlis_cued_motion_B20,0.67603,0.5938,0.3310,0.842,2.124
90,5760,krauzlis_cued_motion_B28,0.71379,0.5000,2.0122,0.636,2.303
91,5824,krauzlis_cued_motion_B12,0.69419,0.5469,1.0268,0.628,1.148
92,5888,krauzlis_cued_motion_B20,0.68103,0.5781,0.1628,0.779,1.967
93,5952,krauzlis_cued_motion_B28,0.65778,0.6562,1.6521,1.061,2.413
94,6016,krauzlis_cued_motion_B12,0.69088,0.5469,0.6443,0.446,0.949
95,6080,krauzlis_cued_motion_B20,0.68581,0.5625,0.3108,0.859,2.138
96,6144,krauzlis_cued_motion_B28,0.67628,0.5938,0.3981,1.122,2.198
97,6208,krauzlis_cued_motion_B12,0.69477,0.5312,0.8358,0.527,0.645
98,6272,krauzlis_cued_motion_B20,0.67719,0.5938,0.5787,0.749,2.092
99,6336,krauzlis_cued_motion_B28,0.68532,0.5625,0.0168,1.201,3.193
100,6400,krauzlis_cued_motion_B12,0.68532,0.5625,0.0415,0.426,0.694
101,6464,krauzlis_cued_motion_B20,0.67780,0.5938,0.6731,1.418,0.011
102,6528,krauzlis_cued_motion_B28,0.66854,0.6250,1.1578,3.351,0.017
103,6592,krauzlis_cued_motion_B12,0.71270,0.4844,1.9767,0.650,0.026
104,6656,krauzlis_cued_motion_B20,0.66586,0.6250,0.9046,1.007,0.010
105,6720,krauzlis_cued_motion_B28,0.70798,0.5000,1.7012,1.117,0.018
106,6784,krauzlis_cued_motion_B12,0.68105,0.5781,0.1757,0.613,0.019
107,6848,krauzlis_cued_motion_B20,0.67778,0.5938,0.6697,0.873,0.013
108,6912,krauzlis_cued_motion_B28,0.68534,0.5625,0.0693,1.219,0.063
109,6976,krauzlis_cued_motion_B12,0.66813,0.6406,1.6980,0.548,0.064
110,7040,krauzlis_cued_motion_B20,0.71858,0.4531,2.4173,0.936,0.042
111,7104,krauzlis_cued_motion_B28,0.67714,0.5938,0.5692,1.174,0.030
112,7168,krauzlis_cued_motion_B12,0.67396,0.6094,0.9744,0.585,0.029
113,7232,krauzlis_cued_motion_B20,0.69404,0.5312,0.7450,0.865,0.013
114,7296,krauzlis_cued_motion_B28,0.67255,0.6094,0.8224,1.165,0.022
115,7360,krauzlis_cued_motion_B12,0.69032,0.5469,0.5511,0.381,0.280
116,7424,krauzlis_cued_motion_B20,0.66651,0.6250,0.9698,0.604,2.122
117,7488,krauzlis_cued_motion_B28,0.68663,0.5625,0.5038,0.989,2.551
118,7552,krauzlis_cued_motion_B12,0.69285,0.5469,0.8874,0.572,0.884
119,7616,krauzlis_cued_motion_B20,0.67556,0.5938,0.1366,0.746,2.009
120,7680,krauzlis_cued_motion_B28,0.69157,0.5469,0.7389,1.117,2.441
121,7744,krauzlis_cued_motion_B12,0.70371,0.5000,1.4340,0.359,0.786
122,7808,krauzlis_cued_motion_B20,0.67097,0.6406,1.8533,0.916,2.059
123,7872,krauzlis_cued_motion_B28,0.69719,0.5000,0.8909,1.100,2.423
124,7936,krauzlis_cued_motion_B12,0.66727,0.7188,3.7084,0.530,0.835
125,8000,krauzlis_cued_motion_B20,0.70821,0.4688,1.8255,0.719,2.065
126,8064,krauzlis_cued_motion_B28,0.68113,0.5781,0.2146,1.318,2.484
127,8128,krauzlis_cued_motion_B12,0.68561,0.5625,0.2401,0.665,0.681
128,8192,krauzlis_cued_motion_B20,0.68589,0.5625,0.3341,1.026,1.913
129,8256,krauzlis_cued_motion_B28,0.68090,0.5781,0.0420,1.276,2.184
130,8320,krauzlis_cued_motion_B12,0.67585,0.5938,0.2706,0.398,0.593
131,8384,krauzlis_cued_motion_B20,0.69142,0.5469,0.7179,0.742,2.185
132,8448,krauzlis_cued_motion_B28,0.69572,0.5312,0.9367,1.066,2.293
133,8512,krauzlis_cued_motion_B12,0.68127,0.5781,0.2723,0.564,0.828
134,8576,krauzlis_cued_motion_B20,0.67520,0.6094,1.0905,0.821,2.000
135,8640,krauzlis_cued_motion_B28,0.68895,0.5469,0.1993,1.080,2.339
136,8704,krauzlis_cued_motion_B12,0.67816,0.5938,0.7217,0.460,0.722
137,8768,krauzlis_cued_motion_B20,0.68532,0.5625,0.0450,0.750,2.064
138,8832,krauzlis_cued_motion_B28,0.68099,0.5781,0.1392,0.724,2.349
139,8896,krauzlis_cued_motion_B12,0.68587,0.5625,0.3259,0.294,1.022
140,8960,krauzlis_cued_motion_B20,0.68606,0.5625,0.3787,0.731,2.332
141,9024,krauzlis_cued_motion_B28,0.71126,0.4844,1.9034,1.078,2.467
142,9088,krauzlis_cued_motion_B12,0.67019,0.6250,1.2846,0.451,0.768
143,9152,krauzlis_cued_motion_B20,0.67181,0.6250,1.4020,0.911,2.135
144,9216,krauzlis_cued_motion_B28,0.69736,0.5156,0.9577,0.991,2.196
145,9280,krauzlis_cued_motion_B12,0.66917,0.6250,1.2059,0.459,0.975
146,9344,krauzlis_cued_motion_B20,0.68564,0.5625,0.2513,0.742,1.972
147,9408,krauzlis_cued_motion_B28,0.68093,0.5781,0.0852,1.110,2.505
148,9472,krauzlis_cued_motion_B12,0.69859,0.5312,1.1951,0.530,0.764
149,9536,krauzlis_cued_motion_B20,0.65488,0.6562,1.4622,0.686,1.929
150,9600,krauzlis_cued_motion_B28,0.70992,0.5000,1.8039,1.107,2.475
151,9664,krauzlis_cued_motion_B12,0.68613,0.5625,0.3969,0.534,0.642
152,9728,krauzlis_cued_motion_B20,0.68535,0.5625,0.0874,1.050,2.118
153,9792,krauzlis_cued_motion_B28,0.68223,0.5781,0.5109,1.108,2.227
154,9856,krauzlis_cued_motion_B12,0.67980,0.5938,0.9164,0.712,0.807
155,9920,krauzlis_cued_motion_B20,0.69190,0.5312,0.3713,0.898,1.942
156,9984,krauzlis_cued_motion_B28,0.67963,0.5938,0.8983,0.759,2.340
157,10048,krauzlis_cued_motion_B12,0.69280,0.5312,0.5598,0.654,0.992
158,10112,krauzlis_cued_motion_B20,0.66644,0.6406,1.5969,0.944,2.006
159,10176,krauzlis_cued_motion_B28,0.68089,0.5781,0.0045,1.296,2.284
160,10240,krauzlis_cued_motion_B12,0.68772,0.5625,0.6785,0.287,0.878
161,10304,krauzlis_cued_motion_B20,0.70178,0.5312,1.4256,0.629,2.255
162,10368,krauzlis_cued_motion_B28,0.66351,0.6250,0.6049,1.275,2.451
163,10432,krauzlis_cued_motion_B12,0.70569,0.5156,1.5854,0.621,0.646
164,10496,krauzlis_cued_motion_B20,0.67601,0.5938,0.3233,0.847,1.813
165,10560,krauzlis_cued_motion_B28,0.67304,0.6094,0.8765,0.879,2.451
166,10624,krauzlis_cued_motion_B12,0.70552,0.4844,1.5833,0.479,1.198
167,10688,krauzlis_cued_motion_B20,0.68298,0.5781,0.6364,0.840,2.148
168,10752,krauzlis_cued_motion_B28,0.68210,0.5938,1.1343,1.142,2.346
169,10816,krauzlis_cued_motion_B12,0.68130,0.5938,1.0628,0.477,0.912
170,10880,krauzlis_cued_motion_B20,0.68545,0.5625,0.1632,0.770,2.148
171,10944,krauzlis_cued_motion_B28,0.68972,0.5469,0.4348,0.952,2.374
172,11008,krauzlis_cued_motion_B12,0.69062,0.5469,0.6014,0.544,1.076
173,11072,krauzlis_cued_motion_B20,0.67594,0.5938,0.3013,0.563,1.986
174,11136,krauzlis_cued_motion_B28,0.67570,0.5938,0.2139,1.213,2.495
175,11200,krauzlis_cued_motion_B12,0.69238,0.5469,0.8357,0.584,0.787
176,11264,krauzlis_cued_motion_B20,0.68101,0.5781,0.1526,0.962,1.990
177,11328,krauzlis_cued_motion_B28,0.70144,0.5156,1.3042,0.860,2.179
178,11392,krauzlis_cued_motion_B12,0.66543,0.6406,1.5332,0.765,1.244
179,11456,krauzlis_cued_motion_B20,0.70125,0.5000,1.2568,0.773,2.026
180,11520,krauzlis_cued_motion_B28,0.68246,0.5781,0.5523,1.087,2.320
181,11584,krauzlis_cued_motion_B12,0.67772,0.6094,1.2946,0.337,0.861
182,11648,krauzlis_cued_motion_B20,0.68880,0.5469,0.1066,0.708,2.315
183,11712,krauzlis_cued_motion_B28,0.67065,0.6250,1.3177,0.976,2.655
184,11776,krauzlis_cued_motion_B12,0.69558,0.5312,0.9207,0.555,1.056
185,11840,krauzlis_cued_motion_B20,0.67561,0.5938,0.1652,0.814,2.128
186,11904,krauzlis_cued_motion_B28,0.69927,0.5312,1.2460,0.920,2.414
187,11968,krauzlis_cued_motion_B12,0.69234,0.5469,0.8300,0.428,1.028
188,12032,krauzlis_cued_motion_B20,0.67614,0.5938,0.3589,0.640,2.136
189,12096,krauzlis_cued_motion_B28,0.67688,0.5938,0.5201,0.823,2.184
190,12160,krauzlis_cued_motion_B12,0.70175,0.5000,1.2932,0.438,0.701
191,12224,krauzlis_cued_motion_B20,0.66675,0.6562,2.1010,0.609,1.535
