update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,motion_duration_cued_D0,1.38895,0.2188,0.4249,2.091,0.693
2,128,motion_duration_cued_D0,1.94717,0.2500,8.2224,0.378,0.004
3,192,motion_duration_cued_D0,1.54662,0.2500,3.4995,0.218,0.007
4,256,motion_duration_cued_D0,1.47080,0.2500,2.7031,0.232,0.478
5,320,motion_duration_cued_D0,1.40038,0.2500,1.1159,0.175,0.948
6,384,motion_duration_cued_D0,1.41280,0.2500,1.5978,0.151,1.047
7,448,motion_duration_cued_D0,1.40155,0.2500,1.2641,0.146,1.014
8,512,motion_duration_cued_D0,1.38831,0.2500,0.4516,0.153,1.079
9,576,motion_duration_cued_D0,1.40048,0.2500,1.2045,0.206,1.024
10,640,motion_duration_cued_D0,1.39455,0.2500,0.9165,0.145,0.959
11,704,motion_duration_cued_D0,1.38635,0.2500,0.0778,0.145,1.022
12,768,motion_duration_cued_D0,1.39134,0.2500,0.7488,0.346,1.038
13,832,motion_duration_cued_D0,1.39339,0.2500,0.8586,0.361,0.839
14,896,motion_duration_cued_D0,1.38982,0.2500,0.6035,0.239,0.792
15,960,motion_duration_cued_D0,1.38715,0.2500,0.3216,0.277,0.971
16,1024,motion_duration_cued_D0,1.38818,0.2500,0.4555,0.220,0.889
17,1088,motion_duration_cued_D0,1.39049,0.2500,0.6497,0.254,1.035
18,1152,motion_duration_cued_D0,1.38986,0.2500,0.5926,0.144,0.914
19,1216,motion_duration_cued_D0,1.38714,0.2500,0.2944,0.175,1.075
20,1280,motion_duration_cued_D0,1.38648,0.2500,0.1523,0.198,0.975
21,1344,motion_duration_cued_D0,1.38802,0.2500,0.4279,0.202,0.982
22,1408,motion_duration_cued_D0,1.38862,0.2500,0.4842,0.140,0.984
23,1472,motion_duration_cued_D0,1.38783,0.2500,0.3995,0.169,1.040
24,1536,motion_duration_cued_D0,1.38671,0.2500,0.2153,0.256,1.055
25,1600,motion_duration_cued_D0,1.38654,0.2500,0.1792,0.203,0.948
26,1664,motion_duration_cued_D0,1.38710,0.2500,0.2832,0.223,1.005
27,1728,motion_duration_cued_D0,1.38766,0.2500,0.3692,0.166,0.963
28,1792,motion_duration_cued_D0,1.38724,0.2500,0.3067,0.193,1.004
29,1856,motion_duration_cued_D0,1.38651,0.2500,0.1553,0.306,1.051
30,1920,motion_duration_cued_D0,1.38639,0.2500,0.1131,0.140,0.968
31,1984,motion_duration_cued_D0,1.38674,0.2500,0.2160,0.182,1.083
32,2048,motion_duration_cued_D0,1.38701,0.2500,0.2709,0.257,1.098
33,2112,motion_duration_cued_D0,1.38687,0.2500,0.2379,0.183,0.964
34,2176,motion_duration_cued_D0,1.38656,0.2500,0.1700,0.255,1.022
35,2240,motion_duration_cued_D0,1.38632,0.2500,0.0572,0.227,1.005
36,2304,motion_duration_cued_D0,1.38646,0.2500,0.1311,0.241,1.027
37,2368,motion_duration_cued_D0,1.38672,0.2500,0.2044,0.266,0.944
38,2432,motion_duration_cued_D0,1.38668,0.2500,0.1946,0.244,0.971
39,2496,motion_duration_cued_D0,1.38646,0.2500,0.1311,0.167,0.984
40,2560,motion_duration_cued_D0,1.38633,0.2500,0.0575,0.158,1.060
41,2624,motion_duration_cued_D0,1.38638,0.2500,0.0993,0.177,0.996
42,2688,motion_duration_cued_D0,1.38649,0.2500,0.1386,0.259,0.977
43,2752,motion_duration_cued_D0,1.38654,0.2500,0.1553,0.243,0.893
44,2816,motion_duration_cued_D0,1.38643,0.2500,0.1150,0.325,0.993
45,2880,motion_duration_cued_D0,1.38631,0.2500,0.0432,0.269,0.835
46,2944,motion_duration_cued_D0,1.38632,0.2500,0.0592,0.190,0.932
47,3008,motion_duration_cued_D0,1.38642,0.2500,0.1135,0.161,1.020
48,3072,motion_duration_cued_D0,1.38643,0.2500,0.1183,0.248,1.070
49,3136,motion_duration_cued_D0,1.38638,0.2500,0.0904,0.196,0.952
50,3200,motion_duration_cued_D0,1.38632,0.2500,0.0527,0.154,1.031
51,3264,motion_duration_cued_D0,1.38631,0.2500,0.0370,0.155,1.052
52,3328,motion_duration_cued_D0,1.38636,0.2500,0.0820,0.165,1.079
53,3392,motion_duration_cued_D0,1.38639,0.2500,0.0952,0.137,1.042
54,3456,motion_duration_cued_D0,1.38634,0.2500,0.0734,0.259,1.027
55,3520,motion_duration_cued_D0,1.38630,0.2500,0.0281,0.202,0.964
56,3584,motion_duration_cued_D0,1.38631,0.2500,0.0429,0.172,0.985
57,3648,motion_duration_cued_D0,1.38633,0.2500,0.0612,0.264,0.993
58,3712,motion_duration_cued_D0,1.38635,0.2500,0.0722,0.147,0.884
59,3776,motion_duration_cued_D0,1.38632,0.2500,0.0556,0.146,1.037
60,3840,motion_duration_cued_D0,1.38630,0.2500,0.0266,0.233,1.031
61,3904,motion_duration_cued_D0,1.38630,0.2500,0.0246,0.146,0.992
62,3968,motion_duration_cued_D0,1.38633,0.2500,0.0553,0.221,1.004
63,4032,motion_duration_cued_D0,1.38632,0.2500,0.0538,0.201,1.024
64,4096,motion_duration_cued_D0,1.38631,0.2500,0.0404,0.252,0.986
65,4160,motion_duration_cued_D0,1.38630,0.2500,0.0183,0.135,1.071
66,4224,motion_duration_cued_D0,1.38630,0.2500,0.0252,0.152,1.107
67,4288,motion_duration_cued_D0,1.38631,0.2500,0.0414,0.208,0.969
68,4352,motion_duration_cued_D0,1.38631,0.2500,0.0441,0.239,1.033
69,4416,motion_duration_cued_D0,1.38630,0.2500,0.0241,0.297,0.959
70,4480,motion_duration_cued_D0,1.38630,0.2500,0.0136,0.319,0.869
71,4544,motion_duration_cued_D0,1.38630,0.2500,0.0248,0.380,0.899
72,4608,motion_duration_cued_D0,1.38630,0.2500,0.0336,0.337,0.823
73,4672,motion_duration_cued_D0,1.38631,0.2500,0.0307,0.347,0.888
74,4736,motion_duration_cued_D0,1.38630,0.2500,0.0181,0.268,0.926
75,4800,motion_duration_cued_D0,1.38630,0.2500,0.0082,0.240,0.870
76,4864,motion_duration_cued_D0,1.38630,0.2500,0.0242,0.263,1.016
77,4928,motion_duration_cued_D0,1.38630,0.2500,0.0268,0.188,0.903
78,4992,motion_duration_cued_D0,1.38630,0.2500,0.0200,0.295,1.129
79,5056,motion_duration_cued_D0,1.38630,0.2500,0.0107,0.215,0.920
80,5120,motion_duration_cued_D0,1.38630,0.2500,0.0107,0.149,1.040
81,5184,motion_duration_cued_D0,1.38630,0.2500,0.0211,0.123,1.058
82,5248,motion_duration_cued_D0,1.38630,0.2500,0.0207,0.148,1.109
83,5312,motion_duration_cued_D0,1.38629,0.2500,0.0121,0.358,1.159
84,5376,motion_duration_cued_D0,1.38630,0.2500,0.0050,0.149,1.032
85,5440,motion_duration_cued_D0,1.38629,0.2500,0.0144,0.237,1.082
86,5504,motion_duration_cued_D0,1.38630,0.2500,0.0165,0.156,0.938
87,5568,motion_duration_cued_D0,1.38629,0.2500,0.0145,0.149,1.623
88,5632,motion_duration_cued_D0,1.38630,0.2500,0.0052,0.140,1.081
89,5696,motion_duration_cued_D0,1.38629,0.2500,0.0080,0.146,1.070
90,5760,motion_duration_cued_D0,1.38630,0.2500,0.0136,0.147,1.068
91,5824,motion_duration_cued_D0,1.38630,0.2500,0.0125,0.249,0.997
92,5888,motion_duration_cued_D0,1.38630,0.2500,0.0078,0.393,0.900
93,5952,motion_duration_cued_D0,1.38629,0.2500,0.0034,0.178,0.840
94,6016,motion_duration_cued_D0,1.38630,0.2500,0.0088,0.144,1.095
95,6080,motion_duration_cued_D0,1.38630,0.2500,0.0112,0.151,1.030
96,6144,motion_duration_cued_D0,1.38629,0.2500,0.0079,0.160,1.082
97,6208,motion_duration_cued_D0,1.38630,0.2344,0.0024,0.170,1.060
98,6272,motion_duration_cued_D0,1.38630,0.2500,0.0062,0.146,1.064
99,6336,motion_duration_cued_D0,1.38630,0.2500,0.0088,0.256,1.101
100,6400,motion_duration_cued_D0,1.38629,0.2500,0.0076,0.143,1.096
101,6464,motion_duration_cued_D0,1.38630,0.2500,0.0031,0.345,0.013
102,6528,motion_duration_cued_D0,1.38629,0.2500,0.0030,0.149,0.004
103,6592,motion_duration_cued_D0,1.38630,0.2344,0.0067,0.130,0.005
104,6656,motion_duration_cued_D0,1.38630,0.2500,0.0066,0.360,0.007
105,6720,motion_duration_cued_D0,1.38629,0.2500,0.0036,0.245,0.005
106,6784,motion_duration_cued_D0,1.38630,0.2500,0.0019,0.235,0.006
107,6848,motion_duration_cued_D0,1.38629,0.2500,0.0051,0.216,0.508
108,6912,motion_duration_cued_D0,1.38629,0.2500,0.0056,0.282,1.024
109,6976,motion_duration_cued_D0,1.38630,0.2500,0.0037,0.276,0.931
110,7040,motion_duration_cued_D0,1.38629,0.2500,0.0010,0.203,0.998
111,7104,motion_duration_cued_D0,1.38630,0.2656,0.0034,0.170,0.958
112,7168,motion_duration_cued_D0,1.38630,0.2500,0.0049,0.159,1.048
113,7232,motion_duration_cued_D0,1.38629,0.2500,0.0038,0.202,1.034
114,7296,motion_duration_cued_D0,1.38629,0.2500,0.0011,0.146,0.970
115,7360,motion_duration_cued_D0,1.38630,0.2500,0.0033,0.144,1.069
116,7424,motion_duration_cued_D0,1.38630,0.2500,0.0046,0.277,1.041
117,7488,motion_duration_cued_D0,1.38630,0.2500,0.0035,0.276,0.961
118,7552,motion_duration_cued_D0,1.38630,0.2812,0.0023,0.285,0.929
119,7616,motion_duration_cued_D0,1.38630,0.2500,0.0028,0.159,0.842
120,7680,motion_duration_cued_D0,1.38629,0.2500,0.0033,0.151,0.995
121,7744,motion_duration_cued_D0,1.38629,0.2500,0.0033,0.156,1.036
122,7808,motion_duration_cued_D0,1.38630,0.2500,0.0012,0.225,1.028
123,7872,motion_duration_cued_D0,1.38629,0.2188,0.0018,0.260,0.999
124,7936,motion_duration_cued_D0,1.38629,0.2344,0.0028,0.263,0.906
125,8000,motion_duration_cued_D0,1.38630,0.2344,0.0026,0.299,0.939
126,8064,motion_duration_cued_D0,1.38630,0.2500,0.0015,0.170,0.846
127,8128,motion_duration_cued_D0,1.38629,0.2188,0.0010,0.135,0.959
128,8192,motion_duration_cued_D0,1.38630,0.2500,0.0028,0.138,1.028
129,8256,motion_duration_cued_D0,1.38629,0.2500,0.0027,0.248,1.064
130,8320,motion_duration_cued_D0,1.38630,0.2500,0.0014,0.321,1.107
131,8384,motion_duration_cued_D0,1.38629,0.2500,0.0028,0.143,1.091
132,8448,motion_duration_cued_D0,1.38630,0.2500,0.0022,0.251,1.037
133,8512,motion_duration_cued_D0,1.38630,0.2500,0.0023,0.200,0.912
134,8576,motion_duration_cued_D0,1.38630,0.2656,0.0017,0.216,1.037
135,8640,motion_duration_cued_D0,1.38630,0.2500,0.0010,0.233,0.923
136,8704,motion_duration_cued_D0,1.38630,0.2500,0.0023,0.197,0.952
137,8768,motion_duration_cued_D0,1.38629,0.2500,0.0024,0.150,1.014
138,8832,motion_duration_cued_D0,1.38629,0.2656,0.0013,0.143,1.052
139,8896,motion_duration_cued_D0,1.38629,0.2812,0.0015,0.150,1.069
140,8960,motion_duration_cued_D0,1.38629,0.2500,0.0025,0.243,0.983
141,9024,motion_duration_cued_D0,1.38629,0.2500,0.0012,0.351,0.909
142,9088,motion_duration_cued_D0,1.38629,0.2344,0.0010,0.287,0.848
143,9152,motion_duration_cued_D0,1.38629,0.2500,0.0010,0.161,0.861
144,9216,motion_duration_cued_D0,1.38629,0.2812,0.0013,0.149,1.029
145,9280,motion_duration_cued_D0,1.38629,0.2344,0.0007,0.143,1.021
146,9344,motion_duration_cued_D0,1.38630,0.2812,0.0007,0.157,1.036
147,9408,motion_duration_cued_D0,1.38629,0.2188,0.0008,0.226,1.015
148,9472,motion_duration_cued_D0,1.38629,0.2500,0.0011,0.260,1.004
149,9536,motion_duration_cued_D0,1.38629,0.2812,0.0008,0.414,0.820
150,9600,motion_duration_cued_D0,1.38629,0.2500,0.0014,0.261,0.745
151,9664,motion_duration_cued_D0,1.38629,0.2500,0.0031,0.242,0.950
152,9728,motion_duration_cued_D0,1.38629,0.2500,0.0035,0.148,0.955
153,9792,motion_duration_cued_D0,1.38630,0.2969,0.0015,0.135,1.071
154,9856,motion_duration_cued_D0,1.38629,0.2500,0.0017,0.119,0.995
155,9920,motion_duration_cued_D0,1.38629,0.2656,0.0035,0.180,1.030
156,9984,motion_duration_cued_D0,1.38629,0.2500,0.0039,0.220,1.013
157,10048,motion_duration_cued_D0,1.38630,0.2500,0.0017,0.276,0.951
158,10112,motion_duration_cued_D0,1.38630,0.2188,0.0028,0.366,0.897
159,10176,motion_duration_cued_D0,1.38629,0.2500,0.0049,0.344,0.813
160,10240,motion_duration_cued_D0,1.38630,0.2500,0.0040,0.323,0.854
161,10304,motion_duration_cued_D0,1.38629,0.2500,0.0013,0.221,0.910
162,10368,motion_duration_cued_D0,1.38630,0.2812,0.0016,0.149,0.966
163,10432,motion_duration_cued_D0,1.38630,0.2031,0.0022,0.147,1.058
164,10496,motion_duration_cued_D0,1.38630,0.2500,0.0013,0.144,1.028
