update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69867,0.5000,1.0452,0.769,0.219
2,128,orientation_cued_D0,1.49472,0.5000,9.2959,0.054,0.002
3,192,orientation_cued_D0,0.84518,0.5000,5.0884,0.056,0.001
4,256,orientation_cued_D0,0.69359,0.5000,0.3211,0.050,0.334
5,320,orientation_cued_D0,0.71092,0.5000,1.8755,0.051,0.359
6,384,orientation_cued_D0,0.70666,0.5000,1.6836,0.053,0.355
7,448,orientation_cued_D0,0.69658,0.5000,0.8563,0.057,0.362
8,512,orientation_cued_D0,0.70215,0.5000,1.3642,0.055,0.359
9,576,orientation_cued_D0,0.69653,0.5000,0.8326,0.056,0.352
10,640,orientation_cued_D0,0.69629,0.5000,0.8004,0.056,0.354
11,704,orientation_cued_D0,0.69863,0.5000,1.0472,0.054,0.352
12,768,orientation_cued_D0,0.69314,0.5000,0.0037,0.056,0.358
13,832,orientation_cued_D0,0.69702,0.5000,0.8557,0.054,0.357
14,896,orientation_cued_D0,0.69593,0.5000,0.7212,0.151,0.488
15,960,orientation_cued_D0,0.69330,0.5000,0.1638,0.164,0.626
16,1024,orientation_cued_D0,0.69619,0.5000,0.7403,0.077,0.392
17,1088,orientation_cued_D0,0.69496,0.5000,0.5679,0.069,0.649
18,1152,orientation_cued_D0,0.69314,0.5000,0.0033,0.097,0.703
19,1216,orientation_cued_D0,0.69459,0.5000,0.4971,0.156,0.690
20,1280,orientation_cued_D0,0.69460,0.5000,0.4985,0.170,0.552
21,1344,orientation_cued_D0,0.69317,0.5000,0.0652,0.166,0.518
22,1408,orientation_cued_D0,0.69414,0.5000,0.4091,0.077,0.653
23,1472,orientation_cued_D0,0.69409,0.5000,0.3990,0.074,0.731
24,1536,orientation_cued_D0,0.69315,0.5000,0.0292,0.167,0.673
25,1600,orientation_cued_D0,0.69375,0.5000,0.3148,0.169,0.635
26,1664,orientation_cued_D0,0.69393,0.5000,0.3569,0.077,0.560
27,1728,orientation_cued_D0,0.69323,0.5000,0.1128,0.066,0.716
28,1792,orientation_cued_D0,0.69338,0.5000,0.1949,0.172,0.644
29,1856,orientation_cued_D0,0.69375,0.5000,0.3132,0.064,0.603
30,1920,orientation_cued_D0,0.69333,0.5000,0.1732,0.066,0.656
31,1984,orientation_cued_D0,0.69319,0.5000,0.0806,0.142,0.622
32,2048,orientation_cued_D0,0.69352,0.5000,0.2442,0.168,0.646
33,2112,orientation_cued_D0,0.69343,0.5000,0.2106,0.063,0.669
34,2176,orientation_cued_D0,0.69315,0.5000,0.0279,0.074,0.681
35,2240,orientation_cued_D0,0.69330,0.5000,0.1564,0.175,0.699
36,2304,orientation_cued_D0,0.69342,0.5000,0.2075,0.169,0.544
37,2368,orientation_cued_D0,0.69321,0.5000,0.1032,0.163,0.585
38,2432,orientation_cued_D0,0.69317,0.5000,0.0638,0.072,0.659
39,2496,orientation_cued_D0,0.69333,0.5000,0.1671,0.064,0.784
40,2560,orientation_cued_D0,0.69327,0.5000,0.1413,0.159,0.635
41,2624,orientation_cued_D0,0.69315,0.5000,0.0178,0.065,0.466
42,2688,orientation_cued_D0,0.69322,0.5000,0.1064,0.085,0.577
43,2752,orientation_cued_D0,0.69328,0.5000,0.1428,0.077,0.601
44,2816,orientation_cued_D0,0.69318,0.5000,0.0715,0.177,0.617
45,2880,orientation_cued_D0,0.69316,0.5000,0.0424,0.068,0.547
46,2944,orientation_cued_D0,0.69323,0.5000,0.1157,0.067,0.684
47,3008,orientation_cued_D0,0.69321,0.5000,0.0972,0.094,0.810
48,3072,orientation_cued_D0,0.69315,0.5000,0.0112,0.182,0.790
49,3136,orientation_cued_D0,0.69318,0.5000,0.0746,0.158,0.624
50,3200,orientation_cued_D0,0.69320,0.5000,0.0982,0.078,0.645
51,3264,orientation_cued_D0,0.69316,0.5000,0.0467,0.076,0.752
52,3328,orientation_cued_D0,0.69316,0.5000,0.0332,0.170,0.725
53,3392,orientation_cued_D0,0.69319,0.5000,0.0819,0.171,0.545
54,3456,orientation_cued_D0,0.69317,0.5000,0.0640,0.068,0.684
55,3520,orientation_cued_D0,0.69315,0.4844,0.0004,0.087,0.575
56,3584,orientation_cued_D0,0.69317,0.5000,0.0572,0.095,0.758
57,3648,orientation_cued_D0,0.69318,0.5000,0.0660,0.176,0.643
58,3712,orientation_cued_D0,0.69315,0.5000,0.0239,0.173,0.715
59,3776,orientation_cued_D0,0.69315,0.5000,0.0331,0.081,0.617
60,3840,orientation_cued_D0,0.69317,0.5000,0.0585,0.070,0.725
61,3904,orientation_cued_D0,0.69316,0.5000,0.0366,0.166,0.644
62,3968,orientation_cued_D0,0.69315,0.5000,0.0125,0.171,0.535
63,4032,orientation_cued_D0,0.69316,0.5000,0.0462,0.060,0.440
64,4096,orientation_cued_D0,0.69316,0.5000,0.0410,0.057,0.509
65,4160,orientation_cued_D0,0.69315,0.5000,0.0032,0.063,0.528
66,4224,orientation_cued_D0,0.69316,0.5000,0.0339,0.178,0.659
67,4288,orientation_cued_D0,0.69316,0.5000,0.0398,0.166,0.614
68,4352,orientation_cued_D0,0.69315,0.5000,0.0129,0.167,0.580
69,4416,orientation_cued_D0,0.69315,0.5000,0.0224,0.073,0.523
70,4480,orientation_cued_D0,0.69315,0.5000,0.0352,0.074,0.610
71,4544,orientation_cued_D0,0.69315,0.5000,0.0184,0.169,0.768
72,4608,orientation_cued_D0,0.69315,0.5000,0.0133,0.074,0.612
73,4672,orientation_cued_D0,0.69315,0.5000,0.0292,0.074,0.628
74,4736,orientation_cued_D0,0.69315,0.5000,0.0206,0.101,0.695
75,4800,orientation_cued_D0,0.69315,0.5000,0.0058,0.164,0.587
76,4864,orientation_cued_D0,0.69315,0.5000,0.0242,0.168,0.675
77,4928,orientation_cued_D0,0.69315,0.5000,0.0202,0.067,0.618
78,4992,orientation_cued_D0,0.69315,0.5000,0.0012,0.074,0.666
79,5056,orientation_cued_D0,0.69315,0.5000,0.0190,0.167,0.674
80,5120,orientation_cued_D0,0.69315,0.5000,0.0188,0.164,0.549
81,5184,orientation_cued_D0,0.69315,0.5000,0.0023,0.065,0.677
82,5248,orientation_cued_D0,0.69315,0.5000,0.0153,0.068,0.684
83,5312,orientation_cued_D0,0.69315,0.5000,0.0172,0.167,0.595
84,5376,orientation_cued_D0,0.69315,0.5000,0.0031,0.165,0.707
85,5440,orientation_cued_D0,0.69315,0.5000,0.0119,0.144,0.581
86,5504,orientation_cued_D0,0.69315,0.5000,0.0147,0.070,0.724
87,5568,orientation_cued_D0,0.69315,0.5000,0.0041,0.071,0.760
88,5632,orientation_cued_D0,0.69315,0.5000,0.0094,0.176,0.598
89,5696,orientation_cued_D0,0.69315,0.5000,0.0128,0.136,0.665
90,5760,orientation_cued_D0,0.69315,0.5000,0.0040,0.066,0.620
91,5824,orientation_cued_D0,0.69315,0.5000,0.0079,0.071,0.728
92,5888,orientation_cued_D0,0.69315,0.5000,0.0110,0.179,0.748
93,5952,orientation_cued_D0,0.69315,0.5000,0.0035,0.169,0.644
94,6016,orientation_cued_D0,0.69315,0.5000,0.0070,0.164,0.511
95,6080,orientation_cued_D0,0.69315,0.5000,0.0094,0.081,0.644
96,6144,orientation_cued_D0,0.69315,0.5000,0.0023,0.063,0.681
97,6208,orientation_cued_D0,0.69314,0.5000,0.0062,0.168,0.663
98,6272,orientation_cued_D0,0.69315,0.5000,0.0078,0.163,0.548
99,6336,orientation_cued_D0,0.69315,0.5000,0.0016,0.065,0.591
100,6400,orientation_cued_D0,0.69315,0.5000,0.0059,0.076,0.639
101,6464,orientation_cued_D0,0.69314,0.5000,0.0065,0.164,0.612
102,6528,orientation_cued_D0,0.69314,0.5000,0.0007,0.167,0.619
103,6592,orientation_cued_D0,0.69315,0.5000,0.0053,0.166,0.567
104,6656,orientation_cued_D0,0.69315,0.5000,0.0052,0.081,0.525
105,6720,orientation_cued_D0,0.69315,0.5000,0.0005,0.066,0.737
106,6784,orientation_cued_D0,0.69315,0.5000,0.0049,0.174,0.680
107,6848,orientation_cued_D0,0.69315,0.5000,0.0038,0.171,0.624
108,6912,orientation_cued_D0,0.69315,0.5000,0.0010,0.169,0.534
109,6976,orientation_cued_D0,0.69315,0.5000,0.0043,0.061,0.487
110,7040,orientation_cued_D0,0.69314,0.5000,0.0030,0.080,0.670
111,7104,orientation_cued_D0,0.69315,0.5000,0.0015,0.078,0.607
112,7168,orientation_cued_D0,0.69315,0.5000,0.0038,0.082,0.592
113,7232,orientation_cued_D0,0.69315,0.5000,0.0022,0.094,0.596
114,7296,orientation_cued_D0,0.69315,0.5000,0.0018,0.191,0.625
115,7360,orientation_cued_D0,0.69315,0.5000,0.0035,0.164,0.549
116,7424,orientation_cued_D0,0.69315,0.5000,0.0013,0.166,0.694
117,7488,orientation_cued_D0,0.69314,0.5000,0.0020,0.162,0.535
