update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,spatial_binding_D0,0.69302,0.5000,0.2884,0.838,0.226
2,128,spatial_binding_D0,1.69915,0.5000,9.7421,0.054,0.002
3,192,spatial_binding_D0,0.79951,0.5000,4.2188,0.054,0.003
4,256,spatial_binding_D0,0.69772,0.5000,0.8505,0.059,0.293
5,320,spatial_binding_D0,0.69375,0.5000,0.3027,0.062,0.370
6,384,spatial_binding_D0,0.70460,0.5000,1.4158,0.060,0.377
7,448,spatial_binding_D0,0.69317,0.4219,0.0044,0.060,0.383
8,512,spatial_binding_D0,0.70027,0.5000,1.1317,0.061,0.385
9,576,spatial_binding_D0,0.69377,0.5000,0.3441,0.059,0.377
10,640,spatial_binding_D0,0.69715,0.5000,0.8497,0.059,0.378
11,704,spatial_binding_D0,0.69627,0.5000,0.7527,0.059,0.378
12,768,spatial_binding_D0,0.69340,0.5000,0.2066,0.062,0.376
13,832,spatial_binding_D0,0.69681,0.5000,0.8121,0.064,0.379
14,896,spatial_binding_D0,0.69431,0.5000,0.4590,0.200,0.691
15,960,spatial_binding_D0,0.69374,0.5000,0.3250,0.073,0.625
16,1024,spatial_binding_D0,0.69580,0.5000,0.6887,0.073,0.712
17,1088,spatial_binding_D0,0.69377,0.5000,0.3369,0.206,0.689
18,1152,spatial_binding_D0,0.69362,0.5000,0.2894,0.196,0.577
19,1216,spatial_binding_D0,0.69498,0.5000,0.5647,0.195,0.623
20,1280,spatial_binding_D0,0.69367,0.5000,0.3008,0.076,0.636
21,1344,spatial_binding_D0,0.69337,0.5000,0.1955,0.075,0.770
22,1408,spatial_binding_D0,0.69440,0.5000,0.4664,0.097,0.655
23,1472,spatial_binding_D0,0.69372,0.5000,0.3133,0.205,0.837
24,1536,spatial_binding_D0,0.69318,0.5000,0.0776,0.203,0.645
25,1600,spatial_binding_D0,0.69391,0.5000,0.3609,0.153,0.763
26,1664,spatial_binding_D0,0.69374,0.5000,0.3194,0.088,0.693
27,1728,spatial_binding_D0,0.69315,0.5000,0.0290,0.086,0.785
28,1792,spatial_binding_D0,0.69351,0.5000,0.2538,0.207,0.880
29,1856,spatial_binding_D0,0.69371,0.5000,0.3059,0.085,0.675
30,1920,spatial_binding_D0,0.69323,0.5000,0.1156,0.085,0.767
31,1984,spatial_binding_D0,0.69327,0.5000,0.1436,0.201,0.747
32,2048,spatial_binding_D0,0.69357,0.5000,0.2643,0.073,0.757
33,2112,spatial_binding_D0,0.69332,0.5000,0.1702,0.082,0.687
34,2176,spatial_binding_D0,0.69316,0.5000,0.0447,0.210,0.829
35,2240,spatial_binding_D0,0.69339,0.5000,0.2030,0.081,0.534
36,2304,spatial_binding_D0,0.69337,0.5000,0.1909,0.073,0.764
37,2368,spatial_binding_D0,0.69315,0.5000,0.0349,0.097,0.787
38,2432,spatial_binding_D0,0.69325,0.5000,0.1322,0.114,0.774
39,2496,spatial_binding_D0,0.69334,0.5000,0.1812,0.212,0.719
40,2560,spatial_binding_D0,0.69319,0.5000,0.0872,0.200,0.756
41,2624,spatial_binding_D0,0.69317,0.5000,0.0647,0.192,0.657
42,2688,spatial_binding_D0,0.69329,0.5000,0.1506,0.082,0.618
43,2752,spatial_binding_D0,0.69323,0.5000,0.1133,0.097,0.806
44,2816,spatial_binding_D0,0.69315,0.5000,0.0075,0.095,0.688
45,2880,spatial_binding_D0,0.69322,0.5000,0.1114,0.202,0.673
46,2944,spatial_binding_D0,0.69323,0.5000,0.1181,0.093,0.592
47,3008,spatial_binding_D0,0.69315,0.5000,0.0322,0.074,0.696
48,3072,spatial_binding_D0,0.69318,0.5000,0.0706,0.204,0.642
49,3136,spatial_binding_D0,0.69321,0.5000,0.1080,0.083,0.558
50,3200,spatial_binding_D0,0.69316,0.5000,0.0565,0.073,0.685
51,3264,spatial_binding_D0,0.69315,0.5000,0.0357,0.072,0.611
52,3328,spatial_binding_D0,0.69320,0.5000,0.0901,0.067,0.560
53,3392,spatial_binding_D0,0.69317,0.5000,0.0665,0.102,0.641
54,3456,spatial_binding_D0,0.69315,0.5000,0.0084,0.075,0.564
55,3520,spatial_binding_D0,0.69317,0.5000,0.0699,0.119,0.599
56,3584,spatial_binding_D0,0.69318,0.5000,0.0677,0.099,0.629
57,3648,spatial_binding_D0,0.69315,0.5000,0.0099,0.076,0.580
58,3712,spatial_binding_D0,0.69317,0.5000,0.0497,0.082,0.631
59,3776,spatial_binding_D0,0.69318,0.5000,0.0636,0.072,0.732
