update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69610,0.4844,1.3600,1.012,2.022
2,128,orientation_cued_D0,1.08589,0.5000,7.1449,0.054,0.005
3,192,orientation_cued_D0,1.05384,0.5000,5.6291,0.064,0.006
4,256,orientation_cued_D0,0.80457,0.5000,3.1552,0.068,0.011
5,320,orientation_cued_D0,0.69320,0.5000,0.0681,0.048,0.005
6,384,orientation_cued_D0,0.74371,0.5000,2.0938,0.055,0.006
7,448,orientation_cued_D0,0.75562,0.5000,2.2765,0.108,0.009
8,512,orientation_cued_D0,0.71868,0.5000,1.4563,0.055,0.007
9,576,orientation_cued_D0,0.69349,0.5000,0.1694,0.070,0.008
10,640,orientation_cued_D0,0.70507,0.5000,0.9770,0.055,0.009
11,704,orientation_cued_D0,0.72041,0.5000,1.4561,0.048,0.005
12,768,orientation_cued_D0,0.71556,0.5000,1.3143,0.049,0.004
13,832,orientation_cued_D0,0.70112,0.5000,0.7851,0.050,0.005
14,896,orientation_cued_D0,0.69329,0.5000,0.1052,0.044,0.002
15,960,orientation_cued_D0,0.69641,0.5000,0.4999,0.047,0.002
16,1024,orientation_cued_D0,0.70309,0.5000,0.8682,0.058,0.028
17,1088,orientation_cued_D0,0.70521,0.5000,0.9523,0.054,0.002
18,1152,orientation_cued_D0,0.70147,0.5000,0.7890,0.120,0.003
19,1216,orientation_cued_D0,0.69600,0.5000,0.4612,0.055,0.140
20,1280,orientation_cued_D0,0.69320,0.5000,0.0609,0.048,0.002
21,1344,orientation_cued_D0,0.69444,0.5000,0.3084,0.048,0.003
22,1408,orientation_cued_D0,0.69747,0.5000,0.5625,0.062,0.163
23,1472,orientation_cued_D0,0.69910,0.5000,0.6580,0.053,0.002
24,1536,orientation_cued_D0,0.69802,0.5000,0.5945,0.116,0.003
25,1600,orientation_cued_D0,0.69542,0.5000,0.4055,0.051,0.102
26,1664,orientation_cued_D0,0.69345,0.5000,0.1469,0.047,0.025
27,1728,orientation_cued_D0,0.69333,0.5000,0.1162,0.049,0.003
28,1792,orientation_cued_D0,0.69463,0.5000,0.3259,0.051,0.152
29,1856,orientation_cued_D0,0.69587,0.5000,0.4411,0.053,0.009
30,1920,orientation_cued_D0,0.69596,0.5000,0.4480,0.051,0.018
31,1984,orientation_cued_D0,0.69493,0.5000,0.3568,0.050,0.172
32,2048,orientation_cued_D0,0.69369,0.5000,0.1960,0.057,0.002
33,2112,orientation_cued_D0,0.69315,0.5000,0.0084,0.050,0.013
34,2176,orientation_cued_D0,0.69352,0.5000,0.1621,0.055,0.159
35,2240,orientation_cued_D0,0.69426,0.5000,0.2807,0.058,0.002
36,2304,orientation_cued_D0,0.69465,0.5000,0.3249,0.047,0.002
37,2368,orientation_cued_D0,0.69437,0.5000,0.2929,0.055,0.172
38,2432,orientation_cued_D0,0.69371,0.5000,0.1983,0.051,0.002
39,2496,orientation_cued_D0,0.69321,0.5000,0.0683,0.044,0.010
40,2560,orientation_cued_D0,0.69321,0.5000,0.0649,0.051,0.153
41,2624,orientation_cued_D0,0.69356,0.5000,0.1703,0.052,0.006
42,2688,orientation_cued_D0,0.69388,0.5000,0.2268,0.053,0.027
43,2752,orientation_cued_D0,0.69387,0.5000,0.2255,0.048,0.147
44,2816,orientation_cued_D0,0.69357,0.5000,0.1722,0.060,0.025
45,2880,orientation_cued_D0,0.69325,0.5000,0.0839,0.048,0.002
46,2944,orientation_cued_D0,0.69315,0.5000,0.0161,0.051,0.173
47,3008,orientation_cued_D0,0.69330,0.5000,0.1025,0.046,0.035
48,3072,orientation_cued_D0,0.69350,0.5000,0.1563,0.050,0.003
