update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69360,0.4531,0.3203,1.987,2.503
2,128,orientation_cued_D0,0.69300,0.5000,0.2020,0.125,0.006
3,192,orientation_cued_D0,1.73569,0.5000,9.2583,0.141,0.004
4,256,orientation_cued_D0,0.69617,0.5000,0.7611,0.130,0.006
5,320,orientation_cued_D0,1.13192,0.5000,7.1642,0.126,0.008
6,384,orientation_cued_D0,0.79015,0.5000,3.8648,0.158,0.008
7,448,orientation_cued_D0,0.70864,0.5000,1.6027,0.109,0.008
8,512,orientation_cued_D0,0.74576,0.5000,2.9345,0.140,0.007
9,576,orientation_cued_D0,0.70595,0.5000,1.4682,0.119,0.008
10,640,orientation_cued_D0,0.69755,0.5000,0.8677,0.136,0.006
11,704,orientation_cued_D0,0.71687,0.5000,2.0097,0.139,0.008
12,768,orientation_cued_D0,0.70477,0.5000,1.4029,0.146,0.007
13,832,orientation_cued_D0,0.69315,0.5000,0.0171,0.123,0.009
14,896,orientation_cued_D0,0.70106,0.5000,1.1444,0.124,0.006
15,960,orientation_cued_D0,0.70542,0.5000,1.4141,0.142,0.004
16,1024,orientation_cued_D0,0.69852,0.5000,0.9300,0.112,0.006
17,1088,orientation_cued_D0,0.69322,0.5000,0.1044,0.137,0.004
18,1152,orientation_cued_D0,0.69553,0.5000,0.5937,0.123,0.008
19,1216,orientation_cued_D0,0.69829,0.5000,0.8578,0.147,0.006
20,1280,orientation_cued_D0,0.69688,0.5000,0.7257,0.129,0.007
21,1344,orientation_cued_D0,0.69385,0.5000,0.3154,0.134,0.009
22,1408,orientation_cued_D0,0.69340,0.5000,0.1888,0.144,0.006
23,1472,orientation_cued_D0,0.69528,0.5000,0.5443,0.139,0.011
24,1536,orientation_cued_D0,0.69578,0.5000,0.6023,0.131,0.007
25,1600,orientation_cued_D0,0.69440,0.5000,0.4132,0.112,0.010
26,1664,orientation_cued_D0,0.69322,0.5000,0.1017,0.154,0.010
27,1728,orientation_cued_D0,0.69345,0.5000,0.1992,0.117,0.008
28,1792,orientation_cued_D0,0.69431,0.5000,0.3907,0.147,0.007
29,1856,orientation_cued_D0,0.69460,0.5000,0.4353,0.116,0.007
30,1920,orientation_cued_D0,0.69407,0.5000,0.3461,0.140,0.007
31,1984,orientation_cued_D0,0.69336,0.5000,0.1655,0.116,0.007
32,2048,orientation_cued_D0,0.69316,0.5000,0.0429,0.130,0.009
33,2112,orientation_cued_D0,0.69351,0.5000,0.2168,0.134,0.008
34,2176,orientation_cued_D0,0.69388,0.5000,0.3073,0.135,0.005
35,2240,orientation_cued_D0,0.69384,0.5000,0.3000,0.144,0.007
36,2304,orientation_cued_D0,0.69348,0.5000,0.2082,0.138,0.012
37,2368,orientation_cued_D0,0.69319,0.5000,0.0698,0.123,0.013
38,2432,orientation_cued_D0,0.69319,0.5000,0.0717,0.145,0.010
39,2496,orientation_cued_D0,0.69340,0.5000,0.1774,0.134,0.010
40,2560,orientation_cued_D0,0.69355,0.5000,0.2239,0.150,0.011
41,2624,orientation_cued_D0,0.69349,0.5000,0.2070,0.134,0.010
42,2688,orientation_cued_D0,0.69330,0.5000,0.1373,0.126,0.011
43,2752,orientation_cued_D0,0.69316,0.5000,0.0394,0.158,0.011
44,2816,orientation_cued_D0,0.69317,0.5000,0.0592,0.127,0.009
45,2880,orientation_cued_D0,0.69329,0.5000,0.1326,0.152,0.010
46,2944,orientation_cued_D0,0.69336,0.5000,0.1635,0.138,0.010
47,3008,orientation_cued_D0,0.69332,0.5000,0.1488,0.133,0.013
48,3072,orientation_cued_D0,0.69322,0.5000,0.0963,0.156,0.010
49,3136,orientation_cued_D0,0.69315,0.5000,0.0257,0.112,0.008
50,3200,orientation_cued_D0,0.69317,0.5000,0.0454,0.146,0.009
51,3264,orientation_cued_D0,0.69322,0.5000,0.0966,0.145,0.012
52,3328,orientation_cued_D0,0.69326,0.5000,0.1181,0.126,0.008
53,3392,orientation_cued_D0,0.69324,0.5000,0.1071,0.140,0.011
54,3456,orientation_cued_D0,0.69319,0.5000,0.0702,0.117,0.010
55,3520,orientation_cued_D0,0.69315,0.5000,0.0179,0.145,0.009
56,3584,orientation_cued_D0,0.69316,0.5000,0.0332,0.126,0.010
57,3648,orientation_cued_D0,0.69319,0.5000,0.0709,0.125,0.014
58,3712,orientation_cued_D0,0.69321,0.5000,0.0871,0.155,0.008
59,3776,orientation_cued_D0,0.69320,0.5000,0.0779,0.121,0.013
60,3840,orientation_cued_D0,0.69317,0.5000,0.0502,0.156,0.009
61,3904,orientation_cued_D0,0.69315,0.5000,0.0112,0.136,0.005
62,3968,orientation_cued_D0,0.69315,0.5000,0.0265,0.168,0.005
63,4032,orientation_cued_D0,0.69317,0.5000,0.0533,0.146,0.036
64,4096,orientation_cued_D0,0.69318,0.5000,0.0635,0.125,0.003
65,4160,orientation_cued_D0,0.69317,0.5000,0.0559,0.140,0.006
66,4224,orientation_cued_D0,0.69316,0.5000,0.0343,0.150,0.004
67,4288,orientation_cued_D0,0.69315,0.5000,0.0055,0.160,0.101
68,4352,orientation_cued_D0,0.69315,0.5000,0.0218,0.117,0.003
69,4416,orientation_cued_D0,0.69316,0.5000,0.0410,0.116,0.072
70,4480,orientation_cued_D0,0.69316,0.5000,0.0472,0.145,0.240
71,4544,orientation_cued_D0,0.69316,0.5000,0.0396,0.124,0.002
72,4608,orientation_cued_D0,0.69315,0.5000,0.0219,0.083,0.077
73,4672,orientation_cued_D0,0.69315,0.4688,0.0002,0.076,0.326
74,4736,orientation_cued_D0,0.69315,0.5000,0.0201,0.152,0.003
75,4800,orientation_cued_D0,0.69316,0.5000,0.0324,0.069,0.016
