update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69381,0.4844,0.4670,2.041,3.351
2,128,orientation_cued_D0,0.69726,0.5000,0.6309,0.096,0.007
3,192,orientation_cued_D0,0.70131,0.5000,1.1589,0.071,0.008
4,256,orientation_cued_D0,0.69602,0.3750,0.4158,0.073,0.004
5,320,orientation_cued_D0,0.70210,0.5000,1.0771,0.066,0.008
6,384,orientation_cued_D0,0.69574,0.5000,0.6472,0.068,0.008
7,448,orientation_cued_D0,0.69391,0.5000,0.5332,0.128,0.014
8,512,orientation_cued_D0,0.69588,0.5000,0.8422,0.081,0.014
9,576,orientation_cued_D0,0.69622,0.5000,0.5827,0.087,0.007
10,640,orientation_cued_D0,0.69063,0.5469,0.3656,0.140,0.026
11,704,orientation_cued_D0,0.69304,0.5000,0.5372,0.097,0.016
12,768,orientation_cued_D0,0.69549,0.5000,0.5814,0.072,0.009
13,832,orientation_cued_D0,0.69404,0.5156,0.4169,0.066,0.012
14,896,orientation_cued_D0,0.69686,0.4844,0.3660,0.069,0.003
15,960,orientation_cued_D0,0.69240,0.5000,0.4621,0.154,0.003
16,1024,orientation_cued_D0,0.69636,0.5000,0.4783,0.168,0.004
17,1088,orientation_cued_D0,0.69697,0.3594,0.3328,0.231,0.033
18,1152,orientation_cued_D0,0.69352,0.5000,0.3187,0.209,0.005
19,1216,orientation_cued_D0,0.69507,0.4844,0.3589,0.113,0.002
20,1280,orientation_cued_D0,0.69499,0.4844,0.3563,0.063,0.087
21,1344,orientation_cued_D0,0.69287,0.4844,0.3329,0.095,0.003
22,1408,orientation_cued_D0,0.69166,0.5156,0.2942,0.085,0.236
23,1472,orientation_cued_D0,0.68974,0.5312,0.3097,0.067,0.263
24,1536,orientation_cued_D0,0.69470,0.5000,0.3496,0.069,0.003
25,1600,orientation_cued_D0,0.69676,0.4531,0.3371,0.072,0.419
26,1664,orientation_cued_D0,0.69268,0.5469,0.2729,0.073,0.266
27,1728,orientation_cued_D0,0.69188,0.5000,0.3330,0.074,0.008
