update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69315,0.5000,0.0499,2.029,4.629
2,128,orientation_cued_D0,0.69319,0.5000,0.0522,0.082,0.006
3,192,orientation_cued_D0,0.69350,0.5000,0.1670,0.078,0.005
4,256,orientation_cued_D0,0.70365,0.5000,0.8188,0.113,0.007
5,320,orientation_cued_D0,0.69351,0.5000,0.0637,0.064,0.007
6,384,orientation_cued_D0,0.69468,0.5000,0.2378,0.079,0.007
7,448,orientation_cued_D0,0.69331,0.5000,0.0738,0.079,0.014
8,512,orientation_cued_D0,0.69366,0.5000,0.1751,0.117,0.013
9,576,orientation_cued_D0,0.69343,0.5000,0.1417,0.076,0.008
10,640,orientation_cued_D0,0.69325,0.5000,0.0815,0.141,0.013
11,704,orientation_cued_D0,0.69356,0.5000,0.1759,0.076,0.011
12,768,orientation_cued_D0,0.69324,0.5000,0.0425,0.080,0.008
13,832,orientation_cued_D0,0.69361,0.5000,0.1566,0.079,0.009
14,896,orientation_cued_D0,0.69335,0.5000,0.1285,0.089,0.014
15,960,orientation_cued_D0,0.69316,0.5000,0.0442,0.114,0.014
16,1024,orientation_cued_D0,0.69343,0.5000,0.1465,0.068,0.010
17,1088,orientation_cued_D0,0.69327,0.5000,0.0805,0.179,0.003
18,1152,orientation_cued_D0,0.69330,0.5000,0.0609,0.203,0.004
19,1216,orientation_cued_D0,0.69350,0.5000,0.1274,0.172,0.028
20,1280,orientation_cued_D0,0.69308,0.5000,0.0601,0.289,0.004
21,1344,orientation_cued_D0,0.69322,0.5000,0.0550,0.135,0.004
22,1408,orientation_cued_D0,0.69332,0.5000,0.1090,0.071,0.056
23,1472,orientation_cued_D0,0.69326,0.5000,0.0519,0.080,0.137
24,1536,orientation_cued_D0,0.69319,0.5000,0.0469,0.066,0.003
25,1600,orientation_cued_D0,0.69328,0.5000,0.0903,0.078,0.259
26,1664,orientation_cued_D0,0.69321,0.5000,0.0478,0.069,0.121
27,1728,orientation_cued_D0,0.69319,0.5000,0.0379,0.069,0.036
28,1792,orientation_cued_D0,0.69324,0.5000,0.0802,0.062,0.268
29,1856,orientation_cued_D0,0.69318,0.5000,0.0436,0.141,0.070
30,1920,orientation_cued_D0,0.69315,0.5000,0.0330,0.072,0.047
31,1984,orientation_cued_D0,0.69321,0.5000,0.0683,0.081,0.284
32,2048,orientation_cued_D0,0.69316,0.5000,0.0351,0.081,0.010
33,2112,orientation_cued_D0,0.69314,0.5000,0.0285,0.218,0.123
34,2176,orientation_cued_D0,0.69319,0.5000,0.0581,0.140,0.129
35,2240,orientation_cued_D0,0.69316,0.5000,0.0296,0.249,0.004
36,2304,orientation_cued_D0,0.69314,0.5000,0.0242,0.284,0.003
37,2368,orientation_cued_D0,0.69319,0.5000,0.0493,0.073,0.070
38,2432,orientation_cued_D0,0.69317,0.5000,0.0222,0.072,0.004
39,2496,orientation_cued_D0,0.69313,0.5000,0.0241,0.065,0.169
40,2560,orientation_cued_D0,0.69317,0.5000,0.0409,0.074,0.262
41,2624,orientation_cued_D0,0.69314,0.5000,0.0135,0.073,0.004
42,2688,orientation_cued_D0,0.69317,0.5000,0.0242,0.248,0.135
43,2752,orientation_cued_D0,0.69314,0.5000,0.0325,0.079,0.141
44,2816,orientation_cued_D0,0.69313,0.5000,0.0080,0.142,0.002
45,2880,orientation_cued_D0,0.69313,0.5000,0.0248,0.063,0.037
46,2944,orientation_cued_D0,0.69314,0.5000,0.0244,0.073,0.279
47,3008,orientation_cued_D0,0.69314,0.5469,0.0076,0.135,0.049
48,3072,orientation_cued_D0,0.69317,0.5000,0.0242,0.066,0.003
49,3136,orientation_cued_D0,0.69319,0.5000,0.0187,0.081,0.305
50,3200,orientation_cued_D0,0.69314,0.5000,0.0083,0.098,0.034
51,3264,orientation_cued_D0,0.69315,0.5000,0.0195,0.077,0.034
52,3328,orientation_cued_D0,0.69311,0.5000,0.0090,0.077,0.298
53,3392,orientation_cued_D0,0.69314,0.5000,0.0104,0.095,0.032
54,3456,orientation_cued_D0,0.69317,0.5000,0.0150,0.159,0.044
55,3520,orientation_cued_D0,0.69313,0.5000,0.0058,0.251,0.270
56,3584,orientation_cued_D0,0.69318,0.5000,0.0113,0.115,0.003
57,3648,orientation_cued_D0,0.69316,0.5000,0.0087,0.130,0.004
58,3712,orientation_cued_D0,0.69307,0.5156,0.0081,0.084,0.150
59,3776,orientation_cued_D0,0.69320,0.5000,0.0136,0.107,0.009
60,3840,orientation_cued_D0,0.69315,0.5000,0.0046,0.072,0.066
61,3904,orientation_cued_D0,0.69314,0.5000,0.0126,0.072,0.287
62,3968,orientation_cued_D0,0.69318,0.5000,0.0128,0.086,0.064
63,4032,orientation_cued_D0,0.69320,0.5000,0.0156,0.061,0.018
64,4096,orientation_cued_D0,0.69311,0.5000,0.0133,0.067,0.300
65,4160,orientation_cued_D0,0.69313,0.5000,0.0087,0.105,0.100
66,4224,orientation_cued_D0,0.69330,0.4844,0.0176,0.065,0.003
67,4288,orientation_cued_D0,0.69326,0.4531,0.0121,0.074,0.324
68,4352,orientation_cued_D0,0.69322,0.5156,0.0126,0.075,0.091
69,4416,orientation_cued_D0,0.69311,0.5312,0.0060,0.215,0.004
70,4480,orientation_cued_D0,0.69306,0.5156,0.0127,0.123,0.151
71,4544,orientation_cued_D0,0.69307,0.4375,0.0104,0.275,0.062
72,4608,orientation_cued_D0,0.69317,0.5156,0.0081,0.178,0.003
73,4672,orientation_cued_D0,0.69321,0.5000,0.0100,0.069,0.147
74,4736,orientation_cued_D0,0.69316,0.4375,0.0072,0.123,0.004
75,4800,orientation_cued_D0,0.69310,0.5000,0.0095,0.081,0.002
76,4864,orientation_cued_D0,0.69304,0.5156,0.0117,0.071,0.368
77,4928,orientation_cued_D0,0.69315,0.5312,0.0060,0.251,0.003
78,4992,orientation_cued_D0,0.69309,0.4688,0.0077,0.131,0.003
79,5056,orientation_cued_D0,0.69320,0.4844,0.0102,0.071,0.205
80,5120,orientation_cued_D0,0.69320,0.4844,0.0114,0.077,0.003
81,5184,orientation_cued_D0,0.69309,0.5000,0.0126,0.148,0.003
82,5248,orientation_cued_D0,0.69313,0.5156,0.0086,0.066,0.351
83,5312,orientation_cued_D0,0.69307,0.5156,0.0114,0.157,0.003
84,5376,orientation_cued_D0,0.69278,0.5625,0.0320,0.061,0.003
85,5440,orientation_cued_D0,0.69291,0.5938,0.0286,0.071,0.336
86,5504,orientation_cued_D0,0.69307,0.4844,0.0111,0.113,0.003
87,5568,orientation_cued_D0,0.69374,0.4062,0.0340,0.081,0.004
88,5632,orientation_cued_D0,0.69282,0.4844,0.0328,0.285,0.413
89,5696,orientation_cued_D0,0.69359,0.5000,0.0434,0.184,0.004
90,5760,orientation_cued_D0,0.69323,0.5625,0.0160,0.229,0.015
91,5824,orientation_cued_D0,0.69310,0.5000,0.0358,0.138,0.024
92,5888,orientation_cued_D0,0.69323,0.4531,0.0131,0.075,0.003
93,5952,orientation_cued_D0,0.69275,0.4844,0.0351,0.069,0.002
94,6016,orientation_cued_D0,0.69365,0.3906,0.0368,0.097,0.329
