update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69388,0.5156,1.5198,2.231,3.374
2,128,orientation_cued_D0,1.15098,0.5000,17.1745,0.071,0.004
3,192,orientation_cued_D0,0.75276,0.5000,7.0408,0.074,0.005
4,256,orientation_cued_D0,0.71590,0.5000,4.0235,0.096,0.009
5,320,orientation_cued_D0,0.74595,0.5000,4.6309,0.107,0.009
6,384,orientation_cued_D0,0.72659,0.5000,3.2414,0.105,0.012
7,448,orientation_cued_D0,0.70525,0.5000,1.7304,0.119,0.031
8,512,orientation_cued_D0,0.69357,0.5000,0.3745,0.073,0.010
9,576,orientation_cued_D0,0.69500,0.5000,0.6854,0.066,0.008
10,640,orientation_cued_D0,0.70137,0.5000,1.2515,0.075,0.003
11,704,orientation_cued_D0,0.70438,0.5000,1.3969,0.089,0.033
12,768,orientation_cued_D0,0.70359,0.5000,1.3141,0.206,0.004
13,832,orientation_cued_D0,0.70012,0.5000,1.0529,0.230,0.290
14,896,orientation_cued_D0,0.69658,0.5000,0.6941,0.134,0.002
15,960,orientation_cued_D0,0.69371,0.5000,0.3183,0.127,0.189
16,1024,orientation_cued_D0,0.69317,0.4844,0.1235,0.112,0.012
17,1088,orientation_cued_D0,0.69384,0.5000,0.3417,0.076,0.515
18,1152,orientation_cued_D0,0.69571,0.5000,0.5451,0.090,0.101
19,1216,orientation_cued_D0,0.69682,0.5000,0.6489,0.117,0.508
20,1280,orientation_cued_D0,0.69667,0.5000,0.6707,0.089,0.059
21,1344,orientation_cued_D0,0.69593,0.5000,0.6203,0.091,0.520
22,1408,orientation_cued_D0,0.69500,0.5000,0.5074,0.104,0.010
23,1472,orientation_cued_D0,0.69364,0.5000,0.3497,0.072,0.505
24,1536,orientation_cued_D0,0.69320,0.5000,0.1624,0.112,0.100
25,1600,orientation_cued_D0,0.69343,0.4688,0.0697,0.080,0.579
26,1664,orientation_cued_D0,0.69345,0.5000,0.2011,0.080,0.060
27,1728,orientation_cued_D0,0.69412,0.5000,0.3143,0.120,0.569
28,1792,orientation_cued_D0,0.69457,0.5000,0.3696,0.089,0.053
29,1856,orientation_cued_D0,0.69384,0.5000,0.3780,0.099,0.447
30,1920,orientation_cued_D0,0.69403,0.5000,0.3458,0.121,0.021
31,1984,orientation_cued_D0,0.69357,0.5000,0.2713,0.093,0.394
32,2048,orientation_cued_D0,0.69285,0.5000,0.1771,0.099,0.003
33,2112,orientation_cued_D0,0.69323,0.5000,0.0949,0.099,0.469
34,2176,orientation_cued_D0,0.69318,0.5469,0.0463,0.094,0.004
35,2240,orientation_cued_D0,0.69336,0.5000,0.0955,0.104,0.452
36,2304,orientation_cued_D0,0.69276,0.5000,0.1471,0.126,0.006
37,2368,orientation_cued_D0,0.69367,0.5000,0.1842,0.225,0.424
38,2432,orientation_cued_D0,0.69359,0.5000,0.1943,0.144,0.004
39,2496,orientation_cued_D0,0.69319,0.5000,0.1867,0.071,0.239
40,2560,orientation_cued_D0,0.69352,0.5000,0.1663,0.111,0.005
41,2624,orientation_cued_D0,0.69360,0.5000,0.1270,0.072,0.440
42,2688,orientation_cued_D0,0.69309,0.5000,0.0816,0.116,0.003
43,2752,orientation_cued_D0,0.69333,0.5469,0.0470,0.076,0.491
44,2816,orientation_cued_D0,0.69315,0.5156,0.0502,0.111,0.003
45,2880,orientation_cued_D0,0.69304,0.5000,0.0826,0.079,0.485
46,2944,orientation_cued_D0,0.69298,0.5000,0.1099,0.109,0.002
47,3008,orientation_cued_D0,0.69346,0.5000,0.1231,0.087,0.437
48,3072,orientation_cued_D0,0.69330,0.5000,0.1226,0.119,0.003
49,3136,orientation_cued_D0,0.69270,0.5000,0.1125,0.085,0.401
50,3200,orientation_cued_D0,0.69320,0.5000,0.0896,0.088,0.004
51,3264,orientation_cued_D0,0.69313,0.5000,0.0654,0.159,0.485
52,3328,orientation_cued_D0,0.69342,0.5000,0.0436,0.121,0.004
53,3392,orientation_cued_D0,0.69290,0.5312,0.0452,0.076,0.361
54,3456,orientation_cued_D0,0.69290,0.5000,0.0588,0.105,0.003
55,3520,orientation_cued_D0,0.69352,0.5000,0.0785,0.112,0.473
56,3584,orientation_cued_D0,0.69326,0.5000,0.0842,0.098,0.003
57,3648,orientation_cued_D0,0.69300,0.5000,0.0816,0.090,0.410
58,3712,orientation_cued_D0,0.69293,0.5000,0.0811,0.096,0.023
59,3776,orientation_cued_D0,0.69320,0.5000,0.0681,0.101,0.500
60,3840,orientation_cued_D0,0.69321,0.4688,0.0546,0.220,0.004
61,3904,orientation_cued_D0,0.69303,0.4844,0.0442,0.248,0.377
62,3968,orientation_cued_D0,0.69336,0.5156,0.0472,0.145,0.003
63,4032,orientation_cued_D0,0.69325,0.5000,0.0558,0.062,0.183
64,4096,orientation_cued_D0,0.69337,0.5000,0.0558,0.110,0.018
65,4160,orientation_cued_D0,0.69306,0.5000,0.0662,0.164,0.496
66,4224,orientation_cued_D0,0.69320,0.5000,0.0714,0.187,0.002
67,4288,orientation_cued_D0,0.69310,0.5000,0.0626,0.062,0.266
68,4352,orientation_cued_D0,0.69311,0.4844,0.0499,0.094,0.104
69,4416,orientation_cued_D0,0.69308,0.5156,0.0483,0.069,0.319
70,4480,orientation_cued_D0,0.69339,0.4375,0.0442,0.106,0.164
71,4544,orientation_cued_D0,0.69308,0.5312,0.0414,0.059,0.279
72,4608,orientation_cued_D0,0.69319,0.4844,0.0479,0.069,0.126
73,4672,orientation_cued_D0,0.69358,0.5000,0.0527,0.059,0.381
74,4736,orientation_cued_D0,0.69288,0.5000,0.0498,0.179,0.141
75,4800,orientation_cued_D0,0.69324,0.5312,0.0463,0.134,0.250
76,4864,orientation_cued_D0,0.69253,0.5469,0.0489,0.079,0.203
77,4928,orientation_cued_D0,0.69339,0.5000,0.0408,0.067,0.223
78,4992,orientation_cued_D0,0.69320,0.5469,0.0408,0.085,0.253
79,5056,orientation_cued_D0,0.69322,0.5000,0.0470,0.054,0.210
80,5120,orientation_cued_D0,0.69289,0.4844,0.0467,0.104,0.245
81,5184,orientation_cued_D0,0.69300,0.5625,0.0501,0.064,0.264
82,5248,orientation_cued_D0,0.69299,0.5312,0.0416,0.095,0.204
83,5312,orientation_cued_D0,0.69338,0.4844,0.0438,0.128,0.266
84,5376,orientation_cued_D0,0.69315,0.5625,0.0412,0.182,0.120
85,5440,orientation_cued_D0,0.69307,0.4375,0.0465,0.199,0.204
86,5504,orientation_cued_D0,0.69287,0.6562,0.0419,0.108,0.096
87,5568,orientation_cued_D0,0.69321,0.5000,0.0447,0.059,0.260
88,5632,orientation_cued_D0,0.69328,0.5469,0.0430,0.085,0.159
89,5696,orientation_cued_D0,0.69292,0.5156,0.0455,0.114,0.358
90,5760,orientation_cued_D0,0.69321,0.5000,0.0424,0.112,0.144
91,5824,orientation_cued_D0,0.69303,0.5312,0.0430,0.053,0.280
92,5888,orientation_cued_D0,0.69323,0.4844,0.0422,0.119,0.194
93,5952,orientation_cued_D0,0.69325,0.4375,0.0498,0.065,0.264
94,6016,orientation_cued_D0,0.69317,0.5312,0.0423,0.095,0.185
95,6080,orientation_cued_D0,0.69321,0.4375,0.0416,0.062,0.290
96,6144,orientation_cued_D0,0.69307,0.5156,0.0445,0.090,0.236
97,6208,orientation_cued_D0,0.69297,0.5312,0.0425,0.153,0.255
98,6272,orientation_cued_D0,0.69359,0.4062,0.0442,0.182,0.136
99,6336,orientation_cued_D0,0.69279,0.5938,0.0386,0.060,0.154
100,6400,orientation_cued_D0,0.69349,0.3906,0.0436,0.086,0.259
101,6464,orientation_cued_D0,0.69350,0.4375,0.0442,0.065,0.191
102,6528,orientation_cued_D0,0.69316,0.5156,0.0402,0.089,0.290
103,6592,orientation_cued_D0,0.69299,0.5469,0.0440,0.108,0.146
104,6656,orientation_cued_D0,0.69338,0.4844,0.0376,0.070,0.254
105,6720,orientation_cued_D0,0.69301,0.5156,0.0425,0.076,0.186
106,6784,orientation_cued_D0,0.69307,0.5156,0.0460,0.093,0.271
107,6848,orientation_cued_D0,0.69339,0.4375,0.0457,0.186,0.219
108,6912,orientation_cued_D0,0.69330,0.4688,0.0511,0.288,0.158
109,6976,orientation_cued_D0,0.69330,0.4688,0.0411,0.125,0.060
110,7040,orientation_cued_D0,0.69318,0.4375,0.0408,0.066,0.270
111,7104,orientation_cued_D0,0.69320,0.5156,0.0402,0.067,0.162
112,7168,orientation_cued_D0,0.69336,0.4531,0.0414,0.112,0.360
113,7232,orientation_cued_D0,0.69340,0.3906,0.0464,0.148,0.115
114,7296,orientation_cued_D0,0.69298,0.4688,0.0392,0.068,0.323
115,7360,orientation_cued_D0,0.69362,0.3750,0.0398,0.059,0.117
116,7424,orientation_cued_D0,0.69301,0.5156,0.0410,0.072,0.310
117,7488,orientation_cued_D0,0.69279,0.5000,0.0419,0.067,0.162
118,7552,orientation_cued_D0,0.69328,0.5156,0.0440,0.086,0.376
119,7616,orientation_cued_D0,0.69322,0.4531,0.0465,0.101,0.161
120,7680,orientation_cued_D0,0.69329,0.5000,0.0405,0.094,0.241
121,7744,orientation_cued_D0,0.69281,0.5156,0.0450,0.220,0.173
122,7808,orientation_cued_D0,0.69332,0.4531,0.0426,0.234,0.159
123,7872,orientation_cued_D0,0.69307,0.5000,0.0395,0.083,0.053
124,7936,orientation_cued_D0,0.69302,0.5156,0.0429,0.087,0.329
125,8000,orientation_cued_D0,0.69342,0.4531,0.0407,0.067,0.150
126,8064,orientation_cued_D0,0.69330,0.5312,0.0428,0.072,0.311
127,8128,orientation_cued_D0,0.69299,0.5156,0.0423,0.067,0.176
128,8192,orientation_cued_D0,0.69341,0.4375,0.0483,0.095,0.311
129,8256,orientation_cued_D0,0.69317,0.5000,0.0385,0.074,0.172
130,8320,orientation_cued_D0,0.69303,0.5000,0.0379,0.210,0.331
131,8384,orientation_cued_D0,0.69324,0.4844,0.0403,0.176,0.084
132,8448,orientation_cued_D0,0.69311,0.4688,0.0400,0.272,0.186
133,8512,orientation_cued_D0,0.69343,0.4219,0.0377,0.053,0.146
134,8576,orientation_cued_D0,0.69345,0.3906,0.0370,0.063,0.173
135,8640,orientation_cued_D0,0.69332,0.4688,0.0384,0.069,0.327
136,8704,orientation_cued_D0,0.69357,0.3906,0.0460,0.149,0.171
137,8768,orientation_cued_D0,0.69309,0.5156,0.0407,0.070,0.297
138,8832,orientation_cued_D0,0.69350,0.3750,0.0413,0.060,0.126
139,8896,orientation_cued_D0,0.69317,0.5312,0.0374,0.102,0.398
140,8960,orientation_cued_D0,0.69315,0.5000,0.0384,0.060,0.102
141,9024,orientation_cued_D0,0.69310,0.4844,0.0406,0.061,0.404
142,9088,orientation_cued_D0,0.69297,0.5312,0.0375,0.063,0.099
143,9152,orientation_cued_D0,0.69294,0.5312,0.0436,0.069,0.418
144,9216,orientation_cued_D0,0.69324,0.4844,0.0401,0.205,0.107
145,9280,orientation_cued_D0,0.69324,0.5156,0.0371,0.206,0.269
146,9344,orientation_cued_D0,0.69274,0.5781,0.0381,0.066,0.035
147,9408,orientation_cued_D0,0.69301,0.5000,0.0393,0.060,0.359
148,9472,orientation_cued_D0,0.69317,0.5312,0.0406,0.065,0.122
149,9536,orientation_cued_D0,0.69322,0.4688,0.0357,0.061,0.389
150,9600,orientation_cued_D0,0.69292,0.5781,0.0356,0.087,0.117
151,9664,orientation_cued_D0,0.69331,0.4688,0.0453,0.067,0.380
152,9728,orientation_cued_D0,0.69348,0.4219,0.0427,0.075,0.065
153,9792,orientation_cued_D0,0.69311,0.5312,0.0417,0.100,0.448
154,9856,orientation_cued_D0,0.69319,0.4844,0.0428,0.218,0.046
155,9920,orientation_cued_D0,0.69302,0.4844,0.0376,0.183,0.368
156,9984,orientation_cued_D0,0.69300,0.4844,0.0478,0.104,0.051
157,10048,orientation_cued_D0,0.69296,0.5000,0.0414,0.080,0.412
158,10112,orientation_cued_D0,0.69304,0.4531,0.0391,0.082,0.146
159,10176,orientation_cued_D0,0.69323,0.5312,0.0453,0.114,0.432
160,10240,orientation_cued_D0,0.69318,0.4688,0.0377,0.197,0.211
161,10304,orientation_cued_D0,0.69323,0.4375,0.0386,0.061,0.401
162,10368,orientation_cued_D0,0.69314,0.4688,0.0414,0.067,0.160
163,10432,orientation_cued_D0,0.69305,0.5000,0.0377,0.066,0.421
164,10496,orientation_cued_D0,0.69319,0.4844,0.0382,0.072,0.123
