update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69228,0.5156,0.3493,3.831,8.304
2,128,orientation_cued_D0,0.69399,0.5000,0.3565,0.179,0.004
3,192,orientation_cued_D0,0.71773,0.5000,2.0490,0.143,0.003
4,256,orientation_cued_D0,0.69404,0.5000,0.4165,0.099,0.009
5,320,orientation_cued_D0,0.71095,0.5000,1.7054,0.142,0.010
6,384,orientation_cued_D0,0.70027,0.5000,1.1079,0.169,0.008
7,448,orientation_cued_D0,0.69166,0.5625,0.2147,0.129,0.009
8,512,orientation_cued_D0,0.69867,0.5000,0.9066,0.262,0.027
9,576,orientation_cued_D0,0.70162,0.5000,0.9765,0.174,0.007
10,640,orientation_cued_D0,0.69611,0.5000,0.6205,0.089,0.010
11,704,orientation_cued_D0,0.69321,0.5156,0.1553,0.136,0.042
12,768,orientation_cued_D0,0.69444,0.5000,0.4666,0.310,0.008
13,832,orientation_cued_D0,0.69658,0.5000,0.6454,0.141,0.008
14,896,orientation_cued_D0,0.69585,0.5000,0.5730,0.162,0.004
15,960,orientation_cued_D0,0.69330,0.5000,0.3262,0.063,0.269
16,1024,orientation_cued_D0,0.69287,0.5156,0.1734,0.101,0.003
17,1088,orientation_cued_D0,0.69478,0.5000,0.3595,0.070,0.534
18,1152,orientation_cued_D0,0.69482,0.5000,0.4781,0.171,0.004
19,1216,orientation_cued_D0,0.69320,0.5000,0.3717,0.140,0.456
20,1280,orientation_cued_D0,0.69264,0.5000,0.2133,0.073,0.003
21,1344,orientation_cued_D0,0.69318,0.5000,0.1636,0.068,0.584
22,1408,orientation_cued_D0,0.69495,0.5000,0.2549,0.091,0.003
23,1472,orientation_cued_D0,0.69387,0.5000,0.2990,0.065,0.593
24,1536,orientation_cued_D0,0.69347,0.5000,0.2960,0.073,0.004
25,1600,orientation_cued_D0,0.69294,0.5000,0.2000,0.118,0.530
26,1664,orientation_cued_D0,0.69267,0.5000,0.1176,0.158,0.003
27,1728,orientation_cued_D0,0.69282,0.5000,0.1516,0.156,0.437
28,1792,orientation_cued_D0,0.69364,0.5000,0.2453,0.140,0.002
29,1856,orientation_cued_D0,0.69399,0.5000,0.2417,0.166,0.451
30,1920,orientation_cued_D0,0.69204,0.5000,0.1804,0.139,0.003
31,1984,orientation_cued_D0,0.69145,0.6406,0.1381,0.159,0.528
32,2048,orientation_cued_D0,0.69403,0.4531,0.1553,0.217,0.004
33,2112,orientation_cued_D0,0.69341,0.5000,0.1784,0.071,0.416
34,2176,orientation_cued_D0,0.69388,0.5000,0.2100,0.092,0.104
35,2240,orientation_cued_D0,0.69388,0.5000,0.1810,0.074,0.590
36,2304,orientation_cued_D0,0.69359,0.4844,0.1470,0.136,0.068
37,2368,orientation_cued_D0,0.69314,0.5156,0.1492,0.061,0.754
38,2432,orientation_cued_D0,0.69360,0.5000,0.1536,0.067,0.002
39,2496,orientation_cued_D0,0.69294,0.5000,0.1784,0.133,0.602
40,2560,orientation_cued_D0,0.69283,0.5156,0.1671,0.132,0.003
41,2624,orientation_cued_D0,0.69189,0.5469,0.1617,0.111,0.697
42,2688,orientation_cued_D0,0.69322,0.5312,0.1400,0.106,0.004
43,2752,orientation_cued_D0,0.69291,0.5156,0.1652,0.134,0.627
44,2816,orientation_cued_D0,0.69292,0.5000,0.1645,0.093,0.004
45,2880,orientation_cued_D0,0.69359,0.4688,0.1800,0.143,0.582
46,2944,orientation_cued_D0,0.69316,0.4688,0.1472,0.114,0.018
47,3008,orientation_cued_D0,0.69349,0.4688,0.1433,0.166,0.526
48,3072,orientation_cued_D0,0.69381,0.4688,0.1501,0.074,0.007
49,3136,orientation_cued_D0,0.69362,0.4375,0.1486,0.059,0.522
50,3200,orientation_cued_D0,0.69285,0.5156,0.1390,0.205,0.003
51,3264,orientation_cued_D0,0.69330,0.4375,0.1348,0.064,0.603
52,3328,orientation_cued_D0,0.69362,0.4844,0.1429,0.129,0.004
53,3392,orientation_cued_D0,0.69348,0.4531,0.1622,0.061,0.522
54,3456,orientation_cued_D0,0.69298,0.4531,0.1362,0.070,0.160
55,3520,orientation_cued_D0,0.69429,0.4688,0.1517,0.137,0.600
56,3584,orientation_cued_D0,0.69410,0.4531,0.1412,0.074,0.180
57,3648,orientation_cued_D0,0.69225,0.5469,0.1372,0.131,0.626
58,3712,orientation_cued_D0,0.69393,0.4531,0.1322,0.159,0.003
59,3776,orientation_cued_D0,0.69347,0.5312,0.1608,0.061,0.590
60,3840,orientation_cued_D0,0.69291,0.5312,0.1283,0.134,0.004
61,3904,orientation_cued_D0,0.69305,0.5000,0.1327,0.070,0.599
62,3968,orientation_cued_D0,0.69290,0.5312,0.1142,0.071,0.058
63,4032,orientation_cued_D0,0.69354,0.5000,0.1205,0.064,0.577
64,4096,orientation_cued_D0,0.69206,0.5781,0.1239,0.128,0.124
65,4160,orientation_cued_D0,0.69234,0.5781,0.1228,0.063,0.535
66,4224,orientation_cued_D0,0.69331,0.5000,0.1268,0.111,0.211
67,4288,orientation_cued_D0,0.69339,0.4531,0.1280,0.098,0.400
68,4352,orientation_cued_D0,0.69336,0.4844,0.1170,0.067,0.588
69,4416,orientation_cued_D0,0.69302,0.5156,0.1157,0.060,0.248
70,4480,orientation_cued_D0,0.69454,0.4062,0.1056,0.085,0.535
71,4544,orientation_cued_D0,0.69375,0.4688,0.1058,0.125,0.130
72,4608,orientation_cued_D0,0.69238,0.5312,0.1519,0.066,0.604
73,4672,orientation_cued_D0,0.69203,0.5469,0.1037,0.166,0.080
74,4736,orientation_cued_D0,0.69317,0.4375,0.1236,0.060,0.569
75,4800,orientation_cued_D0,0.69343,0.4844,0.1107,0.115,0.135
76,4864,orientation_cued_D0,0.69349,0.4062,0.1010,0.065,0.627
77,4928,orientation_cued_D0,0.69317,0.4219,0.1026,0.093,0.003
78,4992,orientation_cued_D0,0.69267,0.5469,0.1132,0.107,0.607
79,5056,orientation_cued_D0,0.69306,0.5156,0.1108,0.133,0.072
80,5120,orientation_cued_D0,0.69406,0.4375,0.1312,0.064,0.428
81,5184,orientation_cued_D0,0.69342,0.4844,0.1101,0.081,0.137
82,5248,orientation_cued_D0,0.69259,0.4844,0.1161,0.076,0.535
83,5312,orientation_cued_D0,0.69267,0.5156,0.1083,0.150,0.088
84,5376,orientation_cued_D0,0.69199,0.6406,0.0953,0.097,0.518
85,5440,orientation_cued_D0,0.69423,0.4219,0.1125,0.066,0.205
86,5504,orientation_cued_D0,0.69283,0.5781,0.1250,0.125,0.349
87,5568,orientation_cued_D0,0.69402,0.4844,0.1238,0.060,0.212
88,5632,orientation_cued_D0,0.69358,0.4062,0.1131,0.076,0.353
89,5696,orientation_cued_D0,0.69215,0.5938,0.1163,0.067,0.302
90,5760,orientation_cued_D0,0.69278,0.5000,0.1026,0.067,0.451
91,5824,orientation_cued_D0,0.69244,0.5156,0.1317,0.117,0.412
92,5888,orientation_cued_D0,0.69483,0.4688,0.1328,0.120,0.359
