step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,gamma,gamma_gradient_preclip,diagnostics
9175,31000,651056,five_tasks,0.724608051776886,0.5,1.680275321006775,1,125,3.856065273284912,-0.01861165277659893,0.004831239115446806,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9176,31040,651800,five_tasks,0.7319713175296784,0.6,1.501968264579773,1,93,2.931565761566162,-0.01859556883573532,-0.0029793379362672567,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9177,31080,652512,five_tasks,0.7728047430515289,0.55,3.6652982234954834,1,89,2.782546281814575,-0.01855405420064926,-0.00722771231085062,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9178,31120,653408,five_tasks,0.7195817083120346,0.55,2.2199556827545166,1,112,3.516455888748169,-0.018519362434744835,0.0004378161393105984,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9179,31160,654032,five_tasks,0.6798564493656158,0.575,1.8511247634887695,1,78,2.4884960651397705,-0.018465101718902588,-0.0031048362143337727,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9180,31200,655200,five_tasks,0.8237959742546082,0.5,2.985090494155884,1,146,4.53569221496582,-0.01843087188899517,0.0031807273626327515,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9181,31240,656096,five_tasks,0.6037323195487261,0.675,1.3737561702728271,1,112,3.488320827484131,-0.01842079497873783,0.002073461888357997,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9182,31280,656560,five_tasks,0.6779263526201248,0.575,2.293102741241455,1,58,1.9183402061462402,-0.018394989892840385,-0.002789461752399802,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9183,31320,657528,five_tasks,0.7522285521030426,0.525,2.8607125282287598,1,121,3.7915115356445312,-0.018370965495705605,-0.00016184512060135603,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9184,31360,658568,five_tasks,0.7293941438198089,0.6,1.8195611238479614,1,130,4.067660808563232,-0.01836741901934147,0.002389468252658844,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9185,31400,659152,five_tasks,0.7067661941051483,0.6,3.083831310272217,1,73,2.3748552799224854,-0.018329957500100136,-0.007674719672650099,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9186,31440,660208,five_tasks,0.7891893267631531,0.575,3.500140428543091,1,132,4.085980415344238,-0.0183038879185915,0.001948903314769268,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9187,31480,661048,five_tasks,0.746656733751297,0.525,1.9686839580535889,1,105,3.293919563293457,-0.018285641446709633,0.0007475651218555868,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9188,31520,661992,five_tasks,0.7445397138595581,0.525,3.098043918609619,1,118,3.6852223873138428,-0.018295852467417717,0.00598075520247221,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9189,31560,662952,five_tasks,0.8163906633853912,0.425,2.5453028678894043,1,120,3.6965856552124023,-0.018324458971619606,0.0035792109556496143,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9190,31600,663720,five_tasks,0.6854246199131012,0.675,1.6485081911087036,1,96,3.03475022315979,-0.01836724393069744,0.002031661570072174,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9191,31640,664368,five_tasks,0.6027576023712754,0.65,2.2204067707061768,1,81,2.559792995452881,-0.018402354791760445,-0.0005509855109266937,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9192,31680,665280,five_tasks,0.700871753692627,0.675,2.451464891433716,1,114,3.5751090049743652,-0.01839037798345089,-0.007728793192654848,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9193,31720,666088,five_tasks,0.8468961238861084,0.575,4.929312705993652,1,101,3.1569526195526123,-0.018387701362371445,0.0028925291262567043,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9194,31760,666744,five_tasks,0.6327741825953126,0.625,1.8861490488052368,1,82,2.6434171199798584,-0.01839735172688961,0.0016444525681436062,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9195,31800,667616,five_tasks,0.797994327545166,0.5,4.823203086853027,1,109,3.442430257797241,-0.018405674025416374,-0.00012915884144604206,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
