step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,gamma,gamma_gradient_preclip,diagnostics
8401,40,816,five_tasks,0.9570707440376282,0.575,4.389763355255127,1,102,4.832281112670898,0.000299999926937744,-0.0020824710372835398,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8402,80,1688,five_tasks,1.3858723521232605,0.4,8.80360221862793,1,109,3.933475971221924,0.0005979625857435167,-0.0035884142853319645,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8403,120,2520,five_tasks,1.1387042164802552,0.4,5.67441987991333,1,104,3.3391621112823486,0.0008870873134583235,-0.005060585681349039,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8404,160,3392,five_tasks,0.8559617638587952,0.55,3.261988639831543,1,109,3.476761817932129,0.0011780411005020142,-0.0018873629160225391,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8405,200,4272,five_tasks,0.8707398056983948,0.5,4.390339374542236,1,110,3.6141769886016846,0.0014575502136722207,-0.0014257067814469337,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8406,240,5176,five_tasks,0.8799926280975342,0.45,3.3864686489105225,1,113,3.550464630126953,0.00140718265902251,0.010191240347921848,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8407,280,5736,five_tasks,1.0632169246673584,0.275,5.741830825805664,1,70,2.2470641136169434,0.0013300194405019283,0.004348395392298698,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8408,320,6840,five_tasks,0.906052315235138,0.475,2.7760632038116455,1,138,4.321155548095703,0.0012858523987233639,-0.0014585137832909822,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8409,360,7576,five_tasks,1.0171257376670837,0.35,4.356743812561035,1,92,2.906862735748291,0.001280414406210184,-0.0033877715468406677,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8410,400,8312,five_tasks,0.9738293170928956,0.4,3.485775947570801,1,92,2.9061262607574463,0.0013534898171201348,-0.00759669067338109,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8411,440,9312,five_tasks,0.870046865940094,0.475,3.4179725646972656,1,125,3.9012343883514404,0.0014201266458258033,-0.00011141097638756037,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8412,480,10080,five_tasks,0.8219864249229432,0.475,3.0506694316864014,1,96,2.9970927238464355,0.0014846310950815678,-0.00040020066080614924,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
