step,stage,family,condition,episodes,visual_updates,loss,grad_norm,clipped,accuracy,diagnostics,frames,step_seconds,wall_utc
5001,focused,motion_direction,motion_anchor,40008,296016,0.0003062918549403548,0.003675454529002309,0,1.0,{},2,1.5160000000614673,2026-09-13T05:07:12.385299+00:00
5002,focused,motion_direction,motion_L2,40016,296056,0.01015559770166874,0.15157106518745422,0,1.0,{},5,0.0779999999795109,2026-09-13T05:07:12.464030+00:00
5003,focused,orientation,orientation_recall_minimal,40024,296096,0.5188330411911011,1.5007930994033813,1,0.875,{},5,0.06200000015087426,2026-09-13T05:07:12.533267+00:00
5004,focused,motion_direction,motion_L8,40032,296184,0.80181884765625,1.0074245929718018,1,0.875,{},11,0.17199999978765845,2026-09-13T05:07:12.705848+00:00
5005,focused,orientation,orientation_recall_D4,40040,296272,0.4142424464225769,0.7095968723297119,0,0.875,{},11,0.1410000000614673,2026-09-13T05:07:12.847237+00:00
5006,focused,motion_direction,motion_L2,40048,296312,0.00330101465806365,0.042068593204021454,0,1.0,{},5,0.06299999984912574,2026-09-13T05:07:12.925944+00:00
5007,focused,orientation,orientation_recall_minimal,40056,296352,0.10853610187768936,1.166224479675293,1,0.875,{},5,0.0779999999795109,2026-09-13T05:07:12.998220+00:00
5008,focused,motion_direction,motion_L8,40064,296440,0.4486304223537445,0.9680377244949341,0,0.875,{},11,0.1720000000204891,2026-09-13T05:07:13.175146+00:00
5009,focused,orientation,orientation_recall_D4,40072,296528,0.20413608849048615,2.5457346439361572,1,1.0,{},11,0.1559999999590218,2026-09-13T05:07:13.331150+00:00
5010,focused,motion_direction,motion_L2,40080,296568,0.008277342654764652,0.10227889567613602,0,1.0,{},5,0.07800000021234155,2026-09-13T05:07:13.410953+00:00
5011,focused,orientation,orientation_anchor,40088,296584,0.0011088825995102525,0.01974554732441902,0,1.0,{},2,0.01600000006146729,2026-09-13T05:07:13.441243+00:00
5012,focused,orientation,orientation_recall_minimal,40096,296624,0.11481069028377533,1.8953534364700317,1,0.875,{},5,0.0779999999795109,2026-09-13T05:07:13.513787+00:00
5013,focused,motion_direction,motion_L8,40104,296712,1.0926440954208374,2.370281219482422,1,0.625,{},11,0.1869999999180436,2026-09-13T05:07:13.705202+00:00
5014,focused,orientation,orientation_recall_D4,40112,296800,0.19314397871494293,1.5613683462142944,1,1.0,{},11,0.15600000019185245,2026-09-13T05:07:13.852543+00:00
5015,focused,motion_direction,motion_L2,40120,296840,0.4317747950553894,2.5423378944396973,1,0.75,{},5,0.07899999991059303,2026-09-13T05:07:13.931345+00:00
5016,focused,orientation,orientation_recall_minimal,40128,296880,0.04405816271901131,0.4668702185153961,0,1.0,{},5,0.06199999991804361,2026-09-13T05:07:13.996067+00:00
5017,focused,motion_direction,motion_L8,40136,296968,1.4037761688232422,3.1563761234283447,1,0.5,{},11,0.1720000000204891,2026-09-13T05:07:14.174365+00:00
5018,focused,orientation,orientation_recall_D4,40144,297056,0.4110042452812195,2.3519058227539062,1,0.875,{},11,0.1559999999590218,2026-09-13T05:07:14.322052+00:00
5019,focused,motion_direction,motion_L2,40152,297096,0.06353173404932022,0.6698645353317261,0,1.0,{},5,0.07800000021234155,2026-09-13T05:07:14.396851+00:00
5020,focused,orientation,orientation_recall_minimal,40160,297136,0.020653072744607925,0.1663963943719864,0,1.0,{},5,0.06299999984912574,2026-09-13T05:07:14.462598+00:00
5021,focused,motion_direction,motion_anchor,40168,297152,0.009534169919788837,0.2968108654022217,0,1.0,{},2,0.030999999959021807,2026-09-13T05:07:14.498446+00:00
5022,focused,motion_direction,motion_L8,40176,297240,1.1410809755325317,1.6615937948226929,1,0.75,{},11,0.1720000000204891,2026-09-13T05:07:14.667958+00:00
5023,focused,orientation,orientation_recall_D4,40184,297328,0.716828465461731,4.32954216003418,1,0.625,{},11,0.1559999999590218,2026-09-13T05:07:14.816897+00:00
5024,focused,motion_direction,motion_L2,40192,297368,0.004942760337144136,0.07157283276319504,0,1.0,{},5,0.07800000021234155,2026-09-13T05:07:14.901313+00:00
5025,focused,orientation,orientation_recall_minimal,40200,297408,0.14965349435806274,2.9120895862579346,1,1.0,{},5,0.0779999999795109,2026-09-13T05:07:14.977666+00:00
5026,focused,motion_direction,motion_L8,40208,297496,0.7078753113746643,1.2484160661697388,1,0.625,{},11,0.18799999984912574,2026-09-13T05:07:15.167693+00:00
5027,focused,orientation,orientation_recall_D4,40216,297584,0.43792015314102173,2.9074466228485107,1,0.75,{},11,0.1720000000204891,2026-09-13T05:07:15.339206+00:00
5028,focused,motion_direction,motion_L2,40224,297624,0.0025858567096292973,0.024441327899694443,0,1.0,{},5,0.0940000000409782,2026-09-13T05:07:15.426766+00:00
5029,focused,orientation,orientation_recall_minimal,40232,297664,0.07134237885475159,0.8449658155441284,0,1.0,{},5,0.06199999991804361,2026-09-13T05:07:15.501611+00:00
5030,focused,motion_direction,motion_L8,40240,297752,0.7730491757392883,2.1557061672210693,1,0.5,{},11,0.2029999999795109,2026-09-13T05:07:15.698364+00:00
5031,focused,orientation,orientation_anchor,40248,297768,0.00019169900042470545,0.003985133487731218,0,1.0,{},2,0.03100000019185245,2026-09-13T05:07:15.733507+00:00
5032,focused,orientation,orientation_recall_D4,40256,297856,0.3456387221813202,1.883130431175232,1,0.875,{},11,0.15699999989010394,2026-09-13T05:07:15.883413+00:00
5033,focused,motion_direction,motion_L2,40264,297896,0.029749978333711624,0.3360903263092041,0,1.0,{},5,0.0779999999795109,2026-09-13T05:07:15.957762+00:00
5034,focused,orientation,orientation_recall_minimal,40272,297936,0.030159305781126022,0.2288455069065094,0,1.0,{},5,0.06200000015087426,2026-09-13T05:07:16.028460+00:00
5035,focused,motion_direction,motion_L8,40280,298024,0.785456120967865,1.3457902669906616,1,0.75,{},11,0.17199999978765845,2026-09-13T05:07:16.197125+00:00
5036,focused,orientation,orientation_recall_D4,40288,298112,0.45537710189819336,0.8790099620819092,0,0.875,{},11,0.1410000000614673,2026-09-13T05:07:16.334101+00:00
5037,focused,motion_direction,motion_L2,40296,298152,0.003566000610589981,0.029600484296679497,0,1.0,{},5,0.06200000015087426,2026-09-13T05:07:16.407881+00:00
5038,focused,orientation,orientation_recall_minimal,40304,298192,0.2957441508769989,1.1496171951293945,1,0.875,{},5,0.0779999999795109,2026-09-13T05:07:16.485356+00:00
5039,focused,motion_direction,motion_L8,40312,298280,0.3879851698875427,1.1636334657669067,1,0.875,{},11,0.18799999984912574,2026-09-13T05:07:16.664914+00:00
5040,focused,orientation,orientation_recall_D4,40320,298368,0.5019923448562622,0.8139580488204956,0,0.75,{},11,0.1410000000614673,2026-09-13T05:07:16.809029+00:00
5041,focused,motion_direction,motion_anchor,40328,298384,0.00016509580018464476,0.00224594259634614,0,1.0,{},2,0.030999999959021807,2026-09-13T05:07:16.843874+00:00
5042,focused,motion_direction,motion_L2,40336,298424,0.0024709312710911036,0.02277231775224209,0,1.0,{},5,0.0779999999795109,2026-09-13T05:07:16.920090+00:00
5043,focused,orientation,orientation_recall_minimal,40344,298464,0.07116501033306122,0.5757256746292114,0,1.0,{},5,0.06200000015087426,2026-09-13T05:07:16.987764+00:00
5044,focused,motion_direction,motion_L8,40352,298552,0.37390074133872986,1.3209681510925293,1,0.875,{},11,0.25,2026-09-13T05:07:17.231925+00:00
5045,focused,orientation,orientation_recall_D4,40360,298640,0.8683407306671143,2.457690477371216,1,0.5,{},11,0.1720000000204891,2026-09-13T05:07:17.398610+00:00
5046,focused,motion_direction,motion_L2,40368,298680,0.004063946660608053,0.03806305304169655,0,1.0,{},5,0.10999999986961484,2026-09-13T05:07:17.511018+00:00
5047,focused,orientation,orientation_recall_minimal,40376,298720,0.16027678549289703,1.3251632452011108,1,0.875,{},5,0.09300000010989606,2026-09-13T05:07:17.599290+00:00
5048,focused,motion_direction,motion_L8,40384,298808,1.211115837097168,1.8314191102981567,1,0.625,{},11,0.25,2026-09-13T05:07:17.850989+00:00
5049,focused,orientation,orientation_recall_D4,40392,298896,0.4905891716480255,2.1749112606048584,1,0.875,{},11,0.14099999982863665,2026-09-13T05:07:18.000907+00:00
5050,focused,motion_direction,motion_L2,40400,298936,0.005904448684304953,0.07408706098794937,0,1.0,{},5,0.10900000017136335,2026-09-13T05:07:18.106971+00:00
5051,focused,orientation,orientation_anchor,40408,298952,0.007815655320882797,0.13414707779884338,0,1.0,{},2,0.031999999890103936,2026-09-13T05:07:18.142372+00:00
5052,focused,orientation,orientation_recall_minimal,40416,298992,0.3756062686443329,2.0592739582061768,1,0.875,{},5,0.09300000010989606,2026-09-13T05:07:18.237715+00:00
5053,focused,motion_direction,motion_L8,40424,299080,0.672350287437439,1.3761450052261353,1,0.75,{},11,0.23499999986961484,2026-09-13T05:07:18.462783+00:00
5054,focused,orientation,orientation_recall_D4,40432,299168,0.034726597368717194,0.21442772448062897,0,1.0,{},11,0.2190000000409782,2026-09-13T05:07:18.681046+00:00
5055,focused,motion_direction,motion_L2,40440,299208,0.0015318247023969889,0.01222215685993433,0,1.0,{},5,0.09300000010989606,2026-09-13T05:07:18.783546+00:00
5056,focused,orientation,orientation_recall_minimal,40448,299248,0.30269211530685425,1.8457889556884766,1,0.875,{},5,0.09399999980814755,2026-09-13T05:07:18.864963+00:00
5057,focused,motion_direction,motion_L8,40456,299336,0.4575461447238922,0.8815300464630127,0,0.75,"{""projection_gradient_norm"": 0.4528440833091736, ""head_gradient_norm"": 0.7450646162033081, ""relative_parameter_updates"": {""readout.heads.motion_direction.weight"": 0.0004794219566974789, ""readout.heads.motion_direction.bias"": 0.0010374120902270079, ""readout.heads.orientation.weight"": 0.0, ""readout.heads.orientation.bias"": 0.0, ""memory_output.weight"": 0.011064060963690281, ""memory_output.bias"": 0.011009271256625652}}",11,0.2190000000409782,2026-09-13T05:07:19.095409+00:00
5058,focused,orientation,orientation_recall_D4,40464,299424,0.30690887570381165,1.2450937032699585,1,0.875,{},11,0.1720000000204891,2026-09-13T05:07:19.261529+00:00
5059,focused,motion_direction,motion_L2,40472,299464,0.0023153105285018682,0.01692572422325611,0,1.0,{},5,0.09300000010989606,2026-09-13T05:07:19.357898+00:00
5060,focused,orientation,orientation_recall_minimal,40480,299504,0.016228627413511276,0.09054996818304062,0,1.0,{},5,0.07899999991059303,2026-09-13T05:07:19.437629+00:00
5061,focused,motion_direction,motion_anchor,40488,299520,0.0004850962432101369,0.012665623798966408,0,1.0,{},2,0.04600000008940697,2026-09-13T05:07:19.488216+00:00
5062,focused,motion_direction,motion_L8,40496,299608,1.1390575170516968,1.8777869939804077,1,0.375,{},11,0.26599999982863665,2026-09-13T05:07:19.753315+00:00
5063,focused,orientation,orientation_recall_D4,40504,299696,0.32632583379745483,0.8933026790618896,0,0.875,{},11,0.1880000000819564,2026-09-13T05:07:19.929071+00:00
5064,focused,motion_direction,motion_L2,40512,299736,0.5047315955162048,2.1585628986358643,1,0.875,{},5,0.10899999993853271,2026-09-13T05:07:20.040897+00:00
5065,focused,orientation,orientation_recall_minimal,40520,299776,0.030191702768206596,0.30348077416419983,0,1.0,{},5,0.0940000000409782,2026-09-13T05:07:20.135290+00:00
5066,focused,motion_direction,motion_L8,40528,299864,1.020121455192566,1.9383174180984497,1,0.375,{},11,0.25,2026-09-13T05:07:20.392375+00:00
5067,focused,orientation,orientation_recall_D4,40536,299952,0.3038139343261719,0.4038218557834625,0,0.875,{},11,0.1720000000204891,2026-09-13T05:07:20.566131+00:00
5068,focused,motion_direction,motion_L2,40544,299992,0.00550458300858736,0.03413873165845871,0,1.0,{},5,0.09300000010989606,2026-09-13T05:07:20.657590+00:00
5069,focused,orientation,orientation_recall_minimal,40552,300032,0.11192680150270462,0.6496778130531311,0,1.0,{},5,0.0779999999795109,2026-09-13T05:07:20.738114+00:00
5070,focused,motion_direction,motion_L8,40560,300120,1.0261081457138062,2.723717451095581,1,0.375,{},11,0.23499999986961484,2026-09-13T05:07:20.968864+00:00
5071,focused,orientation,orientation_anchor,40568,300136,0.00843779742717743,0.20459967851638794,0,1.0,{},2,0.0470000000204891,2026-09-13T05:07:21.011061+00:00
5072,focused,orientation,orientation_recall_D4,40576,300224,0.27562031149864197,0.7596336007118225,0,0.875,{},11,0.1559999999590218,2026-09-13T05:07:21.163655+00:00
5073,focused,motion_direction,motion_L2,40584,300264,0.005779172293841839,0.08053170889616013,0,1.0,{},5,0.0779999999795109,2026-09-13T05:07:21.251863+00:00
5074,focused,orientation,orientation_recall_minimal,40592,300304,0.08458425849676132,1.008862853050232,1,1.0,{},5,0.0779999999795109,2026-09-13T05:07:21.330786+00:00
5075,focused,motion_direction,motion_L8,40600,300392,0.8199598789215088,1.6522589921951294,1,0.625,{},11,0.2190000000409782,2026-09-13T05:07:21.548199+00:00
5076,focused,orientation,orientation_recall_D4,40608,300480,0.23544199764728546,3.1305391788482666,1,1.0,{},11,0.1720000000204891,2026-09-13T05:07:21.718798+00:00
5077,focused,motion_direction,motion_L2,40616,300520,0.004336643498390913,0.045363180339336395,0,1.0,{},5,0.10899999993853271,2026-09-13T05:07:21.831507+00:00
5078,focused,orientation,orientation_recall_minimal,40624,300560,0.058336276561021805,0.8343321084976196,0,1.0,{},5,0.11000000010244548,2026-09-13T05:07:21.930052+00:00
5079,focused,motion_direction,motion_L8,40632,300648,0.30987241864204407,0.8538200259208679,0,0.875,{},11,0.2029999999795109,2026-09-13T05:07:22.145782+00:00
5080,focused,orientation,orientation_recall_D4,40640,300736,0.13756385445594788,1.182626724243164,1,1.0,{},11,0.15699999989010394,2026-09-13T05:07:22.310200+00:00
5081,focused,motion_direction,motion_anchor,40648,300752,0.0004499316855799407,0.011543319560587406,0,1.0,{},2,0.04600000008940697,2026-09-13T05:07:22.350331+00:00
5082,focused,motion_direction,motion_L2,40656,300792,0.00527145667001605,0.05957486107945442,0,1.0,{},5,0.07899999991059303,2026-09-13T05:07:22.429098+00:00
5083,focused,orientation,orientation_recall_minimal,40664,300832,0.09012675285339355,1.1363252401351929,1,1.0,{},5,0.09300000010989606,2026-09-13T05:07:22.525611+00:00
5084,focused,motion_direction,motion_L8,40672,300920,0.15284757316112518,0.3865254521369934,0,1.0,{},11,0.21899999980814755,2026-09-13T05:07:22.749247+00:00
5085,focused,orientation,orientation_recall_D4,40680,301008,0.5332939624786377,1.6600332260131836,1,0.875,{},11,0.1880000000819564,2026-09-13T05:07:22.941881+00:00
5086,focused,motion_direction,motion_L2,40688,301048,0.0032403620425611734,0.025236045941710472,0,1.0,{},5,0.0940000000409782,2026-09-13T05:07:23.046880+00:00
5087,focused,orientation,orientation_recall_minimal,40696,301088,0.09003426879644394,1.1153011322021484,1,1.0,{},5,0.0940000000409782,2026-09-13T05:07:23.140369+00:00
5088,focused,motion_direction,motion_L8,40704,301176,1.3722482919692993,1.5450587272644043,1,0.625,{},11,0.2809999999590218,2026-09-13T05:07:23.413192+00:00
5089,focused,orientation,orientation_recall_D4,40712,301264,0.07265053689479828,0.29250824451446533,0,1.0,{},11,0.1559999999590218,2026-09-13T05:07:23.581048+00:00
5090,focused,motion_direction,motion_L2,40720,301304,0.005929986946284771,0.04056062176823616,0,1.0,{},5,0.0940000000409782,2026-09-13T05:07:23.671101+00:00
5091,focused,orientation,orientation_anchor,40728,301320,3.723616828210652e-05,0.0005072184721939266,0,1.0,{},2,0.0470000000204891,2026-09-13T05:07:23.716869+00:00
5092,focused,orientation,orientation_recall_minimal,40736,301360,0.9042450189590454,1.7919421195983887,1,0.875,{},5,0.0940000000409782,2026-09-13T05:07:23.808714+00:00
5093,focused,motion_direction,motion_L8,40744,301448,0.7163652181625366,1.85239577293396,1,0.625,{},11,0.2029999999795109,2026-09-13T05:07:24.011579+00:00
5094,focused,orientation,orientation_recall_D4,40752,301536,0.29661068320274353,0.5128342509269714,0,0.875,{},11,0.1869999999180436,2026-09-13T05:07:24.208362+00:00
5095,focused,motion_direction,motion_L2,40760,301576,0.006962019484490156,0.0803232192993164,0,1.0,{},5,0.125,2026-09-13T05:07:24.342305+00:00
5096,focused,orientation,orientation_recall_minimal,40768,301616,0.025383280590176582,0.41534480452537537,0,1.0,{},5,0.0940000000409782,2026-09-13T05:07:24.431904+00:00
5097,focused,motion_direction,motion_L8,40776,301704,1.1719404458999634,1.7031265497207642,1,0.625,{},11,0.2339999999385327,2026-09-13T05:07:24.663169+00:00
5098,focused,orientation,orientation_recall_D4,40784,301792,0.3463781177997589,2.872450113296509,1,0.75,{},11,0.18700000015087426,2026-09-13T05:07:24.849892+00:00
5099,focused,motion_direction,motion_L2,40792,301832,0.004845763556659222,0.05618666484951973,0,1.0,{},5,0.10999999986961484,2026-09-13T05:07:24.962281+00:00
5100,focused,orientation,orientation_recall_minimal,40800,301872,0.01524648442864418,0.13579149544239044,0,1.0,{},5,0.06200000015087426,2026-09-13T05:07:25.033926+00:00
5101,focused,motion_direction,motion_anchor,40808,301888,0.00013996480265632272,0.0020592217333614826,0,1.0,{},2,0.04699999978765845,2026-09-13T05:07:25.073615+00:00
5102,focused,motion_direction,motion_L8,40816,301976,0.6814059615135193,0.9860857129096985,0,0.75,{},11,0.20300000021234155,2026-09-13T05:07:25.280487+00:00
5103,focused,orientation,orientation_recall_D4,40824,302064,0.24426965415477753,0.2125331461429596,0,0.875,{},11,0.2029999999795109,2026-09-13T05:07:25.477449+00:00
5104,focused,motion_direction,motion_L2,40832,302104,0.013247587718069553,0.20360179245471954,0,1.0,{},5,0.09399999980814755,2026-09-13T05:07:25.579381+00:00
5105,focused,orientation,orientation_recall_minimal,40840,302144,0.3995077610015869,0.8233789205551147,0,0.875,{},5,0.07800000021234155,2026-09-13T05:07:25.655595+00:00
5106,focused,motion_direction,motion_L8,40848,302232,1.2009109258651733,1.839735507965088,1,0.625,{},11,0.25,2026-09-13T05:07:25.903821+00:00
5107,focused,orientation,orientation_recall_D4,40856,302320,0.5160529613494873,1.8362743854522705,1,0.75,{},11,0.17199999978765845,2026-09-13T05:07:26.072937+00:00
5108,focused,motion_direction,motion_L2,40864,302360,0.00953351054340601,0.13192501664161682,0,1.0,{},5,0.11000000010244548,2026-09-13T05:07:26.191441+00:00
5109,focused,orientation,orientation_recall_minimal,40872,302400,0.40574759244918823,2.4076318740844727,1,0.875,{},5,0.09300000010989606,2026-09-13T05:07:26.281843+00:00
5110,focused,motion_direction,motion_L8,40880,302488,0.9518834352493286,1.8252058029174805,1,0.75,{},11,0.2029999999795109,2026-09-13T05:07:26.480592+00:00
5111,focused,orientation,orientation_anchor,40888,302504,0.0021899770945310593,0.05252358317375183,0,1.0,{},2,0.031999999890103936,2026-09-13T05:07:26.519132+00:00
5112,focused,orientation,orientation_recall_D4,40896,302592,0.4896557331085205,1.2022625207901,1,0.75,{},11,0.1869999999180436,2026-09-13T05:07:26.701033+00:00
5113,focused,motion_direction,motion_L2,40904,302632,0.004399575758725405,0.040814679116010666,0,1.0,{},5,0.11000000010244548,2026-09-13T05:07:26.803936+00:00
5114,focused,orientation,orientation_recall_minimal,40912,302672,0.21569426357746124,2.1326873302459717,1,0.875,{},5,0.0779999999795109,2026-09-13T05:07:26.882557+00:00
5115,focused,motion_direction,motion_L8,40920,302760,0.8528871536254883,1.548168420791626,1,0.625,{},11,0.2339999999385327,2026-09-13T05:07:27.116954+00:00
5116,focused,orientation,orientation_recall_D4,40928,302848,0.41414856910705566,0.20579135417938232,0,0.875,{},11,0.1720000000204891,2026-09-13T05:07:27.293184+00:00
5117,focused,motion_direction,motion_L2,40936,302888,0.008648248389363289,0.1186545342206955,0,1.0,{},5,0.0940000000409782,2026-09-13T05:07:27.395839+00:00
5118,focused,orientation,orientation_recall_minimal,40944,302928,0.021537356078624725,0.36160367727279663,0,1.0,{},5,0.09399999980814755,2026-09-13T05:07:27.495933+00:00
5119,focused,motion_direction,motion_L8,40952,303016,0.16792118549346924,0.6188635230064392,0,1.0,{},11,0.2190000000409782,2026-09-13T05:07:27.717958+00:00
5120,focused,orientation,orientation_recall_D4,40960,303104,0.08839192986488342,1.1039119958877563,1,1.0,{},11,0.2029999999795109,2026-09-13T05:07:27.914746+00:00
