step,stage,family,condition,episodes,visual_updates,loss,grad_norm,clipped,accuracy,diagnostics,frames,step_seconds,wall_utc
9841,retention,motion_direction,motion_direction_anchor,78728,582544,0.008129370398819447,0.2471044957637787,0,1.0,{},2,1.422000000020489,2026-09-13T15:45:34.964000+00:00
9842,retention,motion_direction,motion_D24,78736,582824,3.310483455657959,8.73865795135498,1,0.25,{},35,0.5150000001303852,2026-09-13T15:45:35.479396+00:00
9843,retention,orientation,orientation_D24,78744,583056,0.8630717992782593,2.312608242034912,1,0.5,{},29,0.40699999989010394,2026-09-13T15:45:35.890713+00:00
9844,retention,motion_direction,motion_direction_anchor,78752,583072,2.829636105161626e-05,0.0004694444069173187,0,1.0,{},2,0.030999999959021807,2026-09-13T15:45:35.924291+00:00
9845,retention,orientation,orientation_D12,78760,583208,1.1282894611358643,1.5985956192016602,1,0.375,{},17,0.25,2026-09-13T15:45:36.164647+00:00
9846,retention,motion_direction,motion_D24,78768,583488,2.852376699447632,7.0801496505737305,1,0.25,{},35,0.5,2026-09-13T15:45:36.676168+00:00
9847,retention,orientation,orientation_D12,78776,583624,0.5375604629516602,1.2612714767456055,1,0.75,{},17,0.25,2026-09-13T15:45:36.912116+00:00
9848,retention,motion_direction,motion_D12,78784,583808,2.287330150604248,5.423928260803223,1,0.25,{},23,0.43700000015087426,2026-09-13T15:45:37.361260+00:00
9849,retention,orientation,orientation_D24,78792,584040,0.8917315602302551,1.702627182006836,1,0.375,{},29,0.40699999989010394,2026-09-13T15:45:37.768393+00:00
9850,retention,motion_direction,motion_D4,78800,584160,0.819257378578186,2.3324923515319824,1,0.625,{},15,0.25,2026-09-13T15:45:38.017111+00:00
9851,retention,motion_direction,motion_D12,78808,584344,1.7230377197265625,3.8690903186798096,1,0.375,{},23,0.375,2026-09-13T15:45:38.384366+00:00
9852,retention,motion_direction,motion_D12,78816,584528,1.6165192127227783,3.4209625720977783,1,0.25,{},23,0.3589999999385327,2026-09-13T15:45:38.747474+00:00
9853,retention,orientation,orientation_D0,78824,584568,0.11065005511045456,1.9594935178756714,1,1.0,{},5,0.0779999999795109,2026-09-13T15:45:38.831677+00:00
9854,retention,orientation,orientation_D0,78832,584608,0.0868123397231102,1.5419954061508179,1,1.0,{},5,0.2190000000409782,2026-09-13T15:45:39.051832+00:00
9855,retention,motion_direction,motion_D0,78840,584696,1.1198793649673462,2.8560068607330322,1,0.5,{},11,0.4529999999795109,2026-09-13T15:45:39.519631+00:00
9856,retention,motion_direction,motion_D4,78848,584816,0.8459535837173462,2.019636869430542,1,0.625,{},15,0.26500000013038516,2026-09-13T15:45:39.785258+00:00
9857,retention,orientation,orientation_D24,78856,585048,0.7213263511657715,5.575776100158691,1,0.625,"{""projection_gradient_norm"": 1.7604550123214722, ""head_gradient_norm"": 3.2037785053253174, ""core_gradient_norm"": 4.173573017120361, ""raw_recurrent_gradient_rms"": 4.334717959864065e-05, ""early_r_gradient_norm"": 0.003086252138018608, ""early_r_rms"": 0.05232608690857887, ""early_a_gradient_norm"": 0.00699715968221426, ""early_a_rms"": 0.0, ""late_r_gradient_norm"": 0.8640181422233582, ""late_r_rms"": 0.2867395281791687, ""late_a_gradient_norm"": null, ""late_a_rms"": 0.1097274050116539, ""relative_parameter_updates"": {""readout.heads.motion_direction.weight"": 0.0, ""readout.heads.motion_direction.bias"": 0.0, ""readout.heads.orientation.weight"": 8.315615559695289e-05, ""readout.heads.orientation.bias"": 9.508050425210968e-05, ""memory_output.weight"": 0.0013274879893288016, ""memory_output.bias"": 0.002672918140888214, ""memory.raw_recurrent"": 0.00011077941599069163, ""memory.bias"": 0.0090419240295887, ""memory.raw_tau_r"": 0.0002712783752940595, ""memory.raw_tau_a"": 0.0004835474246647209, ""memory.raw_adaptation"": 0.0002728659310378134, ""memory.input.weight"": 0.020921628922224045}}",29,0.48499999986961484,2026-09-13T15:45:40.270602+00:00
9858,retention,orientation,orientation_D24,78864,585280,1.3150979280471802,7.945023059844971,1,0.5,{},29,0.42199999978765845,2026-09-13T15:45:40.698078+00:00
9859,retention,orientation,orientation_D24,78872,585512,1.0349862575531006,6.1121416091918945,1,0.5,{},29,0.4690000000409782,2026-09-13T15:45:41.174251+00:00
9860,retention,motion_direction,motion_D0,78880,585600,1.4442145824432373,5.287196636199951,1,0.5,{},11,0.23400000017136335,2026-09-13T15:45:41.405442+00:00
9861,retention,motion_direction,motion_D12,78888,585784,1.3983186483383179,2.4512088298797607,1,0.375,{},23,0.375,2026-09-13T15:45:41.787097+00:00
9862,retention,motion_direction,motion_D4,78896,585904,0.7475495338439941,1.1956835985183716,1,0.625,{},15,0.2660000000614673,2026-09-13T15:45:42.053903+00:00
9863,retention,motion_direction,motion_D0,78904,585992,1.8319401741027832,2.6913821697235107,1,0.375,{},11,0.2029999999795109,2026-09-13T15:45:42.265648+00:00
9864,retention,motion_direction,motion_D0,78912,586080,0.4748680591583252,2.7379868030548096,1,0.75,{},11,0.21800000010989606,2026-09-13T15:45:42.487208+00:00
9865,retention,orientation,orientation_D0,78920,586120,0.1787341833114624,2.6136176586151123,1,0.875,{},5,0.09399999980814755,2026-09-13T15:45:42.574273+00:00
9866,retention,motion_direction,motion_D12,78928,586304,1.192011833190918,1.0950908660888672,1,0.5,{},23,0.4220000000204891,2026-09-13T15:45:42.998310+00:00
9867,retention,motion_direction,motion_D4,78936,586424,0.9275049567222595,0.7169994711875916,0,0.75,{},15,0.28100000019185245,2026-09-13T15:45:43.275296+00:00
9868,retention,orientation,orientation_D24,78944,586656,0.8044036626815796,6.296431541442871,1,0.5,{},29,0.42199999978765845,2026-09-13T15:45:43.703153+00:00
9869,retention,motion_direction,motion_D24,78952,586936,1.4107398986816406,1.432271957397461,1,0.25,{},35,0.6100000001024455,2026-09-13T15:45:44.309356+00:00
9870,retention,motion_direction,motion_D0,78960,587024,0.45134833455085754,1.7319247722625732,1,0.75,{},11,0.2029999999795109,2026-09-13T15:45:44.511058+00:00
9871,retention,motion_direction,motion_D24,78968,587304,1.4260705709457397,1.674660563468933,1,0.25,{},35,0.6720000000204891,2026-09-13T15:45:45.178317+00:00
9872,retention,orientation,orientation_D12,78976,587440,0.965640664100647,7.850141525268555,1,0.5,{},17,0.2649999998975545,2026-09-13T15:45:45.446733+00:00
9873,retention,motion_direction,motion_D0,78984,587528,0.2460726499557495,1.1775691509246826,1,0.875,{},11,0.2190000000409782,2026-09-13T15:45:45.671359+00:00
9874,retention,motion_direction,motion_D4,78992,587648,0.5858190059661865,1.602723479270935,1,0.875,{},15,0.31200000015087426,2026-09-13T15:45:45.977074+00:00
9875,retention,orientation,orientation_D12,79000,587784,0.7892052531242371,4.636889457702637,1,0.5,{},17,0.25,2026-09-13T15:45:46.227195+00:00
9876,retention,orientation,orientation_D4,79008,587856,0.4717215299606323,4.3947577476501465,1,0.875,{},9,0.14099999982863665,2026-09-13T15:45:46.372361+00:00
9877,retention,motion_direction,motion_D12,79016,588040,1.2116832733154297,0.5857630372047424,0,0.625,{},23,0.40600000019185245,2026-09-13T15:45:46.781401+00:00
9878,retention,motion_direction,motion_direction_anchor,79024,588056,6.249049329198897e-05,0.001078676083125174,0,1.0,{},2,0.04699999978765845,2026-09-13T15:45:46.825015+00:00
9879,retention,orientation,orientation_anchor,79032,588072,0.0022150222212076187,0.053672343492507935,0,1.0,{},2,0.03100000019185245,2026-09-13T15:45:46.861791+00:00
9880,retention,orientation,orientation_D4,79040,588144,0.06512750685214996,0.6375740170478821,0,1.0,{},9,0.15699999989010394,2026-09-13T15:45:47.007924+00:00
