step,stage,family,condition,episodes,visual_updates,loss,grad_norm,clipped,accuracy,diagnostics,frames,step_seconds,wall_utc
1,focused,motion_direction,motion_anchor,8,16,0.45744776725769043,28.794639587402344,1,0.75,"{""state_mean"": {""input_saturation"": 0.177001953125, ""input_mean"": 0.15575158596038818, ""forget_saturation"": 0.537109375, ""forget_mean"": 0.9115948379039764, ""output_saturation"": 0.003173828125, ""output_mean"": 0.49997544288635254, ""candidate_saturation"": 0.065185546875, ""state0_rms"": 0.15878812596201897, ""state0_max"": 0.7435277700424194, ""state1_rms"": 0.08488458395004272, ""state1_max"": 0.5016337037086487}, ""state_peak"": {""state0_max"": 0.9760024547576904, ""state1_max"": 0.6243376731872559}, ""early_representation_gradient_norm"": 0.0001938421482918784, ""late_representation_gradient_norm"": 0.00019989072461612523, ""core_gradient_norm"": 0.009399189613759518, ""recurrent_gradient_rms"": 1.7225897863681894e-06, ""recurrent_gradient_median_abs"": 1.8036094218132348e-07, ""current_gradient_fraction_below_adam_eps"": 0.00152587890625, ""effective_recurrent_relative_update"": 0.00959760695695877}",2,1.8439999998081475,2026-09-13T03:23:34.377702+00:00
2,focused,motion_direction,motion_L2,16,56,1.3936240673065186,0.31539326906204224,0,0.125,{},5,0.28100000019185245,2026-09-13T03:23:34.651537+00:00
3,focused,orientation,orientation_recall_minimal,24,96,0.7312766909599304,0.3291446566581726,0,0.25,{},5,0.26599999982863665,2026-09-13T03:23:34.916595+00:00
4,focused,motion_direction,motion_L8,32,184,1.3992338180541992,0.36134254932403564,0,0.125,{},11,0.5940000000409782,2026-09-13T03:23:35.512836+00:00
5,focused,orientation,orientation_recall_D4,40,272,0.7079969644546509,0.47436031699180603,0,0.5,{},11,0.5619999999180436,2026-09-13T03:23:36.077227+00:00
6,focused,motion_direction,motion_L2,48,312,1.3929846286773682,0.35724934935569763,0,0.125,{},5,0.2660000000614673,2026-09-13T03:23:36.346587+00:00
7,focused,orientation,orientation_recall_minimal,56,352,0.7312331795692444,0.28533172607421875,0,0.25,{},5,0.26500000013038516,2026-09-13T03:23:36.613054+00:00
8,focused,motion_direction,motion_L8,64,440,1.3848007917404175,0.36235764622688293,0,0.25,{},11,0.6409999998286366,2026-09-13T03:23:37.246560+00:00
9,focused,orientation,orientation_recall_D4,72,528,0.6966028809547424,0.4137033522129059,0,0.5,{},11,0.5630000000819564,2026-09-13T03:23:37.815035+00:00
10,focused,motion_direction,motion_L2,80,568,1.3630841970443726,0.38538122177124023,0,0.375,{},5,0.29600000008940697,2026-09-13T03:23:38.099744+00:00
11,focused,orientation,orientation_anchor,88,584,0.0016037988243624568,0.04365185275673866,0,1.0,{},2,0.10999999986961484,2026-09-13T03:23:38.215348+00:00
12,focused,orientation,orientation_recall_minimal,96,624,0.6973813772201538,0.4126286208629608,0,0.5,{},5,0.2809999999590218,2026-09-13T03:23:38.491068+00:00
13,focused,motion_direction,motion_L8,104,712,1.401071310043335,0.3351166248321533,0,0.375,{},11,0.5940000000409782,2026-09-13T03:23:39.098339+00:00
14,focused,orientation,orientation_recall_D4,112,800,0.6619362831115723,0.2723187804222107,0,0.875,{},11,0.5629999998491257,2026-09-13T03:23:39.667616+00:00
15,focused,motion_direction,motion_L2,120,840,1.3950055837631226,0.3403390049934387,0,0.125,{},5,0.2809999999590218,2026-09-13T03:23:39.945240+00:00
