step,stage,family,condition,episodes,visual_updates,loss,grad_norm,clipped,accuracy,diagnostics,frames,step_seconds,wall_utc
1,focused,motion_direction,motion_anchor,8,16,0.4576067328453064,28.801591873168945,1,0.75,"{""state_mean"": {""inactive_fraction"": 0.29248046875, ""rectifier_off_fraction"": 0.366455078125, ""excitatory_mean"": 0.03927916008979082, ""inhibitory_mean"": 0.017481702845543623, ""tau_r_mean"": 4.3307204246521, ""tau_a_mean"": 34.64576721191406, ""adaptation_gain_mean"": 0.05000000074505806, ""state0_rms"": 0.05362677574157715, ""state0_max"": 0.2973506599664688, ""state1_rms"": 0.0008929154719226062, ""state1_max"": 0.006943900603801012}, ""state_peak"": {""state0_max"": 0.3439716398715973, ""state1_max"": 0.013887801207602024}, ""early_representation_gradient_norm"": 6.881225272081792e-05, ""late_representation_gradient_norm"": 9.683764801593497e-05, ""core_gradient_norm"": 0.0030067539773881435, ""recurrent_gradient_rms"": 3.0354874169802315e-09, ""recurrent_gradient_median_abs"": 2.711623703355315e-10, ""current_gradient_fraction_below_adam_eps"": 0.41070556640625, ""raw_recurrent_gradient_norm"": 7.770847787469393e-07, ""raw_recurrent_relative_gradient_norm"": 5.386455725897576e-10, ""effective_recurrent_relative_update"": 0.00010277275578118861, ""raw_recurrent_relative_update"": 1.567629078635946e-05}",2,6.0424831721466035,2026-09-13T03:40:41.833615+00:00
2,focused,motion_direction,motion_L2,16,56,1.3935916423797607,0.31057119369506836,0,0.25,{},5,0.2081570930313319,2026-09-13T03:40:42.043213+00:00
3,focused,orientation,orientation_recall_minimal,24,96,0.7313848733901978,0.32798856496810913,0,0.25,{},5,0.17490236600860953,2026-09-13T03:40:42.219458+00:00
4,focused,motion_direction,motion_L8,32,184,1.3986115455627441,0.34953540563583374,0,0.25,{},11,0.3668801721651107,2026-09-13T03:40:42.588780+00:00
5,focused,orientation,orientation_recall_D4,40,272,0.7062142491340637,0.3581961393356323,0,0.375,{},11,0.3361121800262481,2026-09-13T03:40:42.926975+00:00
6,focused,motion_direction,motion_L2,48,312,1.3931827545166016,0.353316992521286,0,0.125,{},5,0.16847025696188211,2026-09-13T03:40:43.096824+00:00
7,focused,orientation,orientation_recall_minimal,56,352,0.7316996455192566,0.288632333278656,0,0.25,{},5,0.16718635614961386,2026-09-13T03:40:43.265467+00:00
8,focused,motion_direction,motion_L8,64,440,1.3838142156600952,0.3383995294570923,0,0.25,{},11,0.35342113906517625,2026-09-13T03:40:43.621339+00:00
9,focused,orientation,orientation_recall_D4,72,528,0.6942310929298401,0.2740086615085602,0,0.625,{},11,0.34071243996731937,2026-09-13T03:40:43.964221+00:00
10,focused,motion_direction,motion_L2,80,568,1.362901210784912,0.38040828704833984,0,0.5,{},5,0.1679016810376197,2026-09-13T03:40:44.133647+00:00
11,focused,orientation,orientation_anchor,88,584,0.0016095422906801105,0.04367626830935478,0,1.0,{},2,0.07611490017734468,2026-09-13T03:40:44.210902+00:00
12,focused,orientation,orientation_recall_minimal,96,624,0.6949464678764343,0.31673485040664673,0,0.5,{},5,0.1590049178339541,2026-09-13T03:40:44.371533+00:00
13,focused,motion_direction,motion_L8,104,712,1.4013595581054688,0.3418563902378082,0,0.0,{},11,0.3652526531368494,2026-09-13T03:40:44.738663+00:00
14,focused,orientation,orientation_recall_D4,112,800,0.6618179082870483,0.2524843215942383,0,0.75,{},11,0.3218401421327144,2026-09-13T03:40:45.062620+00:00
15,focused,motion_direction,motion_L2,120,840,1.394773244857788,0.33718276023864746,0,0.25,{},5,0.18456976395100355,2026-09-13T03:40:45.249062+00:00
16,focused,orientation,orientation_recall_minimal,128,880,0.6715776324272156,0.41990822553634644,0,0.75,{},5,0.15638875495642424,2026-09-13T03:40:45.406923+00:00
17,focused,motion_direction,motion_L8,136,968,1.4085052013397217,0.3528456389904022,0,0.25,{},11,0.3671246611047536,2026-09-13T03:40:45.776340+00:00
18,focused,orientation,orientation_recall_D4,144,1056,0.686115026473999,0.28132015466690063,0,0.625,{},11,0.3318260479718447,2026-09-13T03:40:46.110173+00:00
19,focused,motion_direction,motion_L2,152,1096,1.3797622919082642,0.342452734708786,0,0.25,{},5,0.1689882450737059,2026-09-13T03:40:46.280731+00:00
20,focused,orientation,orientation_recall_minimal,160,1136,0.6732367277145386,0.2957257926464081,0,0.625,{},5,0.1695615400094539,2026-09-13T03:40:46.451985+00:00
21,focused,motion_direction,motion_anchor,168,1152,2.3110744953155518,65.8265380859375,1,0.5,{},2,0.07617578096687794,2026-09-13T03:40:46.529157+00:00
22,focused,motion_direction,motion_L8,176,1240,1.400530219078064,0.34484586119651794,0,0.25,{},11,0.35956327919848263,2026-09-13T03:40:46.890801+00:00
23,focused,orientation,orientation_recall_D4,184,1328,0.7063256502151489,0.27541035413742065,0,0.625,{},11,0.33427304099313915,2026-09-13T03:40:47.226833+00:00
24,focused,motion_direction,motion_L2,192,1368,1.3898431062698364,0.3221794664859772,0,0.125,{},5,0.2075195370707661,2026-09-13T03:40:47.436221+00:00
25,focused,orientation,orientation_recall_minimal,200,1408,0.7257681488990784,0.3145058751106262,0,0.375,{},5,0.2152619669213891,2026-09-13T03:40:47.653339+00:00
26,focused,motion_direction,motion_L8,208,1496,1.3963918685913086,0.3600362539291382,0,0.125,{},11,0.4036261569708586,2026-09-13T03:40:48.059943+00:00
27,focused,orientation,orientation_recall_D4,216,1584,0.6850818395614624,0.3034060001373291,0,0.625,{},11,0.38136289012618363,2026-09-13T03:40:48.443641+00:00
28,focused,motion_direction,motion_L2,224,1624,1.3798437118530273,0.3200473487377167,0,0.5,{},5,0.18547814898192883,2026-09-13T03:40:48.631169+00:00
29,focused,orientation,orientation_recall_minimal,232,1664,0.715761125087738,0.2843388319015503,0,0.25,{},5,0.169423301005736,2026-09-13T03:40:48.802686+00:00
30,focused,motion_direction,motion_L8,240,1752,1.3649404048919678,0.34678563475608826,0,0.25,{},11,0.39200307079590857,2026-09-13T03:40:49.198196+00:00
31,focused,orientation,orientation_anchor,248,1768,0.007203229237347841,0.5306483507156372,0,1.0,{},2,0.08662808290682733,2026-09-13T03:40:49.286054+00:00
32,focused,orientation,orientation_recall_D4,256,1856,0.7061489820480347,0.2960425913333893,0,0.25,{},11,0.36563140992075205,2026-09-13T03:40:49.654633+00:00
33,focused,motion_direction,motion_L2,264,1896,1.404004693031311,0.32155945897102356,0,0.0,{},5,0.2001807529013604,2026-09-13T03:40:49.856339+00:00
34,focused,orientation,orientation_recall_minimal,272,1936,0.7006482481956482,0.28425082564353943,0,0.5,{},5,0.16467795218341053,2026-09-13T03:40:50.022524+00:00
35,focused,motion_direction,motion_L8,280,2024,1.3769726753234863,0.33275800943374634,0,0.125,{},11,0.38213247479870915,2026-09-13T03:40:50.406854+00:00
36,focused,orientation,orientation_recall_D4,288,2112,0.6799548268318176,0.3092195689678192,0,0.5,{},11,0.36404731101356447,2026-09-13T03:40:50.772846+00:00
37,focused,motion_direction,motion_L2,296,2152,1.3892021179199219,0.3404630422592163,0,0.125,{},5,0.18749937508255243,2026-09-13T03:40:50.980579+00:00
38,focused,orientation,orientation_recall_minimal,304,2192,0.6913950443267822,0.31107062101364136,0,0.5,{},5,0.1757855110336095,2026-09-13T03:40:51.157756+00:00
39,focused,motion_direction,motion_L8,312,2280,1.3828448057174683,0.3246206045150757,0,0.375,{},11,0.3786882560234517,2026-09-13T03:40:51.538753+00:00
40,focused,orientation,orientation_recall_D4,320,2368,0.7115398049354553,0.3396831154823303,0,0.375,{},11,0.3421762618236244,2026-09-13T03:40:51.883260+00:00
41,focused,motion_direction,motion_anchor,328,2384,1.371290683746338,35.757755279541016,1,0.625,{},2,0.07901520188897848,2026-09-13T03:40:51.963162+00:00
