step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
4401,35208,556200,binding_D0,0.008935638703405857,1.0,1.6098991632461548,1,5,1.7408270835876465,{}
4402,35216,556432,single_D24,1.2936714887619019,0.5,70.39696502685547,1,29,1.4459483623504639,{}
4403,35224,556664,single_D24,0.9346516132354736,0.5,116.65408325195312,1,29,1.391172170639038,{}
4404,35232,556896,single_D24,0.6199181079864502,0.625,60.44977569580078,1,29,1.709221601486206,{}
4405,35240,556936,single_D0,0.07881464064121246,1.0,10.584545135498047,1,5,0.2985093593597412,{}
4406,35248,557008,single_D4,0.011087687686085701,1.0,1.7730474472045898,1,9,0.542182207107544,{}
4407,35256,557080,binding_D4,0.18866431713104248,0.875,18.449222564697266,1,9,0.48915982246398926,{}
4408,35264,557312,binding_D24,0.20089085400104523,0.875,61.64008712768555,1,29,1.5539891719818115,{}
4409,35272,557544,single_D24,0.8148560523986816,0.625,68.57620239257812,1,29,1.629443883895874,{}
4410,35280,557776,binding_D24,0.04129844531416893,1.0,13.566566467285156,1,29,1.4962315559387207,{}
4411,35288,557912,binding_D12,3.6954447750758845e-06,1.0,0.0008482776465825737,0,17,0.9390535354614258,{}
4412,35296,557952,single_D0,0.04961513727903366,1.0,7.413862228393555,1,5,0.3131844997406006,{}
4413,35304,558184,binding_D24,0.01556088961660862,1.0,3.9234426021575928,1,29,1.5522663593292236,{}
4414,35312,558224,single_D0,0.13160938024520874,0.875,57.89879608154297,1,5,0.27770471572875977,{}
4415,35320,558264,single_D0,0.02895253710448742,1.0,4.209897518157959,1,5,0.30002498626708984,{}
4416,35328,558304,binding_D0,0.0059903166256845,1.0,1.406894326210022,1,5,0.30894947052001953,{}
4417,35336,558584,motion_D24,1.4241880178451538,0.25,4.682156085968018,1,35,1.8631534576416016,{}
4418,35344,558720,binding_D12,0.4997353255748749,0.875,22.37619972229004,1,17,0.9709835052490234,{}
4419,35352,558856,binding_D12,0.01550328265875578,1.0,3.248431444168091,1,17,0.9584310054779053,{}
4420,35360,558896,single_D0,0.010395943187177181,1.0,4.418630123138428,1,5,0.32894039154052734,{}
4421,35368,558936,single_D0,0.20665453374385834,0.875,19.614803314208984,1,5,0.2767910957336426,{}
4422,35376,558976,binding_D0,5.960463766996327e-08,1.0,1.8316921341465786e-05,0,5,0.3158869743347168,{}
4423,35384,559208,binding_D24,0.011002116836607456,1.0,3.4888672828674316,1,29,1.5235884189605713,{}
4424,35392,559488,motion_D24,1.3979763984680176,0.375,1.4901885986328125,1,35,1.986980676651001,{}
4425,35400,559720,binding_D24,0.24088485538959503,0.875,85.2118148803711,1,29,1.5276198387145996,{}
4426,35408,559952,single_D24,1.173244595527649,0.5,61.93860626220703,1,29,1.567884922027588,{}
4427,35416,560024,single_D4,0.025765815749764442,1.0,2.315988302230835,1,9,0.5330486297607422,{}
4428,35424,560160,binding_D12,0.06693199276924133,1.0,9.810070991516113,1,17,0.9233205318450928,{}
4429,35432,560232,binding_D4,0.0004307888448238373,1.0,0.0952402800321579,0,9,0.5839388370513916,{}
4430,35440,560272,single_D0,0.0014450288144871593,1.0,0.5042111873626709,0,5,0.31617164611816406,{}
4431,35448,560504,single_D24,1.3438105583190918,0.5,79.69400024414062,1,29,1.5223000049591064,{}
4432,35456,560640,single_D12,1.5073339939117432,0.5,83.95338439941406,1,17,1.0195770263671875,{}
4433,35464,560776,single_D12,1.0888123512268066,0.625,109.00227355957031,1,17,0.9711692333221436,{}
4434,35472,560848,binding_D4,0.00024219710030592978,1.0,0.05248308926820755,0,9,0.5183806419372559,{}
4435,35480,560936,motion_D0,0.937256395816803,0.375,21.218578338623047,1,11,0.6686747074127197,{}
4436,35488,561072,binding_D12,0.11595518887042999,0.875,36.592411041259766,1,17,0.9374475479125977,{}
4437,35496,561144,single_D4,0.6137975454330444,0.75,43.75914001464844,1,9,0.5569748878479004,{}
4438,35504,561184,binding_D0,0.0031546656973659992,1.0,0.8475380539894104,0,5,0.3322765827178955,{}
4439,35512,561416,binding_D24,0.023132063448429108,1.0,13.796183586120605,1,29,1.5520586967468262,{}
4440,35520,561552,binding_D12,0.0023569546174257994,1.0,1.0432342290878296,1,17,0.9741954803466797,{}
4441,35528,561592,single_D0,0.0032264050096273422,1.0,0.49132463335990906,0,5,0.28235745429992676,{}
4442,35536,561664,binding_D4,0.0038379470352083445,1.0,0.499978631734848,0,9,0.5201926231384277,{}
4443,35544,561800,single_D12,0.4940488636493683,0.75,45.51661682128906,1,17,0.9729411602020264,{}
4444,35552,562032,single_D24,0.6945826411247253,0.625,50.62058639526367,1,29,1.6098394393920898,{}
4445,35560,562168,single_D12,0.2895656228065491,0.875,16.78424644470215,1,17,1.030242919921875,{}
4446,35568,562240,binding_D4,2.0861552911810577e-06,1.0,0.00031478083110414445,0,9,0.5772693157196045,{}
4447,35576,562520,motion_D24,1.379944086074829,0.25,1.4943833351135254,1,35,2.1792709827423096,{}
4448,35584,562592,binding_D4,0.0033607608638703823,1.0,0.472079873085022,0,9,0.5572741031646729,{}
4449,35592,562632,binding_D0,4.5173139369580895e-05,1.0,0.007587827276438475,0,5,0.33882927894592285,{}
4450,35600,562768,single_D12,0.20620936155319214,1.0,9.229738235473633,1,17,1.058218240737915,{}
4451,35608,563000,single_D24,0.8414826393127441,0.375,20.200063705444336,1,29,1.6918160915374756,{}
4452,35616,563232,single_D24,0.5334340929985046,0.625,37.04722213745117,1,29,1.6055340766906738,{}
4453,35624,563320,motion_D0,1.1127241849899292,0.25,65.11097717285156,1,11,0.7071480751037598,{}
4454,35632,563456,single_D12,0.3805747926235199,0.875,26.164608001708984,1,17,0.9943311214447021,{}
4455,35640,563592,single_D12,0.5217220783233643,0.625,31.034635543823242,1,17,0.9722838401794434,{}
4456,35648,563664,binding_D4,0.215829998254776,0.875,23.60565757751465,1,9,0.5249378681182861,{}
4457,35656,563800,binding_D12,0.0005794903845526278,1.0,0.5832619071006775,0,17,0.9684464931488037,{}
4458,35664,563888,motion_D0,0.8868077397346497,0.5,15.105713844299316,1,11,0.73872971534729,{}
4459,35672,564024,binding_D12,0.0004519576905295253,1.0,0.08943769335746765,0,17,0.9898848533630371,{}
4460,35680,564064,single_D0,0.08177819848060608,1.0,6.541351795196533,1,5,0.32221245765686035,{}
