step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
4401,35208,556200,binding_D0,0.008929490111768246,1.0,1.6089504957199097,1,5,2.1922550201416016,{}
4402,35216,556432,single_D24,1.2845299243927002,0.5,70.13744354248047,1,29,1.8600881099700928,{}
4403,35224,556664,single_D24,0.9290555119514465,0.5,117.57469177246094,1,29,1.7054994106292725,{}
4404,35232,556896,single_D24,0.6146130561828613,0.625,59.676414489746094,1,29,1.5407073497772217,{}
4405,35240,556936,single_D0,0.07875943928956985,1.0,10.582782745361328,1,5,0.283947229385376,{}
4406,35248,557008,single_D4,0.011111055500805378,1.0,1.790374517440796,1,9,0.4857041835784912,{}
4407,35256,557080,binding_D4,0.18874922394752502,0.875,18.529247283935547,1,9,0.5085272789001465,{}
4408,35264,557312,binding_D24,0.19830164313316345,0.875,61.5355339050293,1,29,1.8860745429992676,{}
4409,35272,557544,single_D24,0.8163831233978271,0.625,68.75801086425781,1,29,1.6707663536071777,{}
4410,35280,557776,binding_D24,0.04122830554842949,1.0,13.674613952636719,1,29,1.5379962921142578,{}
4411,35288,557912,binding_D12,3.6805438412557123e-06,1.0,0.000845826230943203,0,17,0.8740510940551758,{}
4412,35296,557952,single_D0,0.04936664551496506,1.0,7.440255641937256,1,5,0.27498340606689453,{}
4413,35304,558184,binding_D24,0.015590810216963291,1.0,3.946152448654175,1,29,1.557426929473877,{}
4414,35312,558224,single_D0,0.13039983808994293,0.875,57.63639831542969,1,5,0.30440568923950195,{}
4415,35320,558264,single_D0,0.029191505163908005,1.0,4.2337870597839355,1,5,0.3068094253540039,{}
4416,35328,558304,binding_D0,0.005900749936699867,1.0,1.3878493309020996,1,5,0.3339853286743164,{}
4417,35336,558584,motion_D24,1.422877550125122,0.25,4.572508335113525,1,35,1.936291217803955,{}
4418,35344,558720,binding_D12,0.5002944469451904,0.875,22.413148880004883,1,17,0.8871629238128662,{}
4419,35352,558856,binding_D12,0.015175691805779934,1.0,3.188586473464966,1,17,0.9080154895782471,{}
4420,35360,558896,single_D0,0.01043959055095911,1.0,4.448554992675781,1,5,0.2904031276702881,{}
4421,35368,558936,single_D0,0.20704752206802368,0.875,19.633098602294922,1,5,0.2838008403778076,{}
4422,35376,558976,binding_D0,5.960463766996327e-08,1.0,1.808884735510219e-05,0,5,0.31375646591186523,{}
4423,35384,559208,binding_D24,0.010471737012267113,1.0,3.4265761375427246,1,29,1.7692434787750244,{}
4424,35392,559488,motion_D24,1.3982665538787842,0.25,1.4968739748001099,1,35,1.883145809173584,{}
4425,35400,559720,binding_D24,0.2361716628074646,0.875,85.15821838378906,1,29,1.7425098419189453,{}
4426,35408,559952,single_D24,1.1716667413711548,0.5,61.36581802368164,1,29,1.868281364440918,{}
4427,35416,560024,single_D4,0.02580992691218853,1.0,2.340115547180176,1,9,0.5437891483306885,{}
4428,35424,560160,binding_D12,0.06848709285259247,1.0,10.007810592651367,1,17,1.1263952255249023,{}
4429,35432,560232,binding_D4,0.00044232964864932,1.0,0.09671173989772797,0,9,0.5345418453216553,{}
4430,35440,560272,single_D0,0.0014131803764030337,1.0,0.49421918392181396,0,5,0.279388427734375,{}
