step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
692,27680,581416,0.7025666467729025,0.575,0.23477908968925476,0,2.34393048286438,"{""orientation_cued"": 0.6917396783828735, ""motion_duration_cued"": 1.387526035308838, ""krauzlis_cued_motion"": 0.7401736378669739, ""spatial_binding"": 0.6929239630699158, ""image_recognition"": 0.0004699192359112203}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N0_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
693,27720,582192,0.8119428992271424,0.525,0.2706768810749054,0,1.996642827987671,"{""orientation_cued"": 0.6807956099510193, ""motion_duration_cued"": 1.3889822959899902, ""krauzlis_cued_motion"": 0.6018787622451782, ""spatial_binding"": 0.6933932304382324, ""image_recognition"": 0.6946645975112915}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.875, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
694,27760,583216,0.8268553495407105,0.425,0.13213160634040833,0,2.6894943714141846,"{""orientation_cued"": 0.6957125067710876, ""motion_duration_cued"": 1.383864402770996, ""krauzlis_cued_motion"": 0.668570876121521, ""spatial_binding"": 0.6931048631668091, ""image_recognition"": 0.6930240988731384}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.375, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
695,27800,584032,0.8201732873916626,0.6,0.1488560140132904,0,2.186110734939575,"{""orientation_cued"": 0.6926621198654175, ""motion_duration_cued"": 1.384057641029358, ""krauzlis_cued_motion"": 0.6374555230140686, ""spatial_binding"": 0.6927294135093689, ""image_recognition"": 0.6939617395401001}","{""orientation_cued"": 0.75, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.625, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
696,27840,584640,0.7020476036239416,0.525,0.21420234441757202,0,1.5683329105377197,"{""orientation_cued"": 0.6927345395088196, ""motion_duration_cued"": 1.3885489702224731, ""krauzlis_cued_motion"": 0.7352637648582458, ""spatial_binding"": 0.6934328675270081, ""image_recognition"": 0.00025787600316107273}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N0_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
697,27880,585472,0.8331333518028259,0.5,0.05383307859301567,0,2.1705071926116943,"{""orientation_cued"": 0.6930783987045288, ""motion_duration_cued"": 1.3859513998031616, ""krauzlis_cued_motion"": 0.7011649012565613, ""spatial_binding"": 0.6924880743026733, ""image_recognition"": 0.6929839849472046}","{""orientation_cued"": 0.75, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
698,27920,586320,0.8458801507949829,0.4,0.23824560642242432,0,2.2098188400268555,"{""orientation_cued"": 0.6944437623023987, ""motion_duration_cued"": 1.3870255947113037, ""krauzlis_cued_motion"": 0.7633520364761353, ""spatial_binding"": 0.6931949853897095, ""image_recognition"": 0.6913843750953674}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
699,27960,587512,0.8337907552719116,0.4,3.0446295738220215,1,3.075551748275757,"{""orientation_cued"": 0.6945367455482483, ""motion_duration_cued"": 1.3861414194107056, ""krauzlis_cued_motion"": 0.7001762390136719, ""spatial_binding"": 0.6931970119476318, ""image_recognition"": 0.6949023604393005}","{""orientation_cued"": 0.25, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
700,28000,588096,0.8222117781639099,0.525,0.7819823622703552,0,1.5306510925292969,"{""orientation_cued"": 0.6932039856910706, ""motion_duration_cued"": 1.3858449459075928, ""krauzlis_cued_motion"": 0.6445664763450623, ""spatial_binding"": 0.6932048201560974, ""image_recognition"": 0.6942386627197266}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
701,28040,588752,0.8331735253334045,0.475,0.0909259170293808,0,1.7165069580078125,"{""orientation_cued"": 0.6933262944221497, ""motion_duration_cued"": 1.3846886157989502, ""krauzlis_cued_motion"": 0.699945867061615, ""spatial_binding"": 0.6930127143859863, ""image_recognition"": 0.6948941349983215}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
