step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
1,40,816,0.8572821617126465,0.325,0.45001742243766785,0,3.3635995388031006,"{""orientation_cued"": 0.7022669315338135, ""motion_duration_cued"": 1.3980903625488281, ""krauzlis_cued_motion"": 0.80054771900177, ""spatial_binding"": 0.694490909576416, ""image_recognition"": 0.6910148859024048}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.0, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {""priority_entropy"": 5.1298980712890625, ""priority_peak"": 0.005917159840464592, ""priority_gradient_norm"": 0.10652914643287659, ""pre_attention_gradient_norm"": 0.0016908397665247321, ""post_attention_gradient_norm"": 0.016929425299167633}, ""motion_duration_cued"": {""priority_entropy"": 5.1298980712890625, ""priority_peak"": 0.005917159840464592, ""priority_gradient_norm"": 0.20140115916728973, ""pre_attention_gradient_norm"": 0.0030226255767047405, ""post_attention_gradient_norm"": 0.03166702389717102}, ""krauzlis_cued_motion"": {""priority_entropy"": 5.1298980712890625, ""priority_peak"": 0.005917159840464592, ""priority_gradient_norm"": 0.3213382661342621, ""pre_attention_gradient_norm"": 0.003720369189977646, ""post_attention_gradient_norm"": 0.04182320460677147}, ""spatial_binding"": {""priority_entropy"": 5.1298980712890625, ""priority_peak"": 0.005917159840464592, ""priority_gradient_norm"": 0.3250219225883484, ""pre_attention_gradient_norm"": 0.0037570844870060682, ""post_attention_gradient_norm"": 0.04240913689136505}, ""image_recognition"": {""priority_entropy"": 5.1298980712890625, ""priority_peak"": 0.005917159840464592, ""priority_gradient_norm"": 0.32999804615974426, ""pre_attention_gradient_norm"": 0.0038984152488410473, ""post_attention_gradient_norm"": 0.04426303505897522}}"
2,80,1688,0.8285271406173706,0.475,0.293108731508255,0,2.2379262447357178,"{""orientation_cued"": 0.6915302276611328, ""motion_duration_cued"": 1.393187165260315, ""krauzlis_cued_motion"": 0.6730208992958069, ""spatial_binding"": 0.693491518497467, ""image_recognition"": 0.6914058923721313}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
3,120,2520,0.8323137044906617,0.5,0.2084442377090454,0,2.13923716545105,"{""orientation_cued"": 0.6940139532089233, ""motion_duration_cued"": 1.3984743356704712, ""krauzlis_cued_motion"": 0.6817232370376587, ""spatial_binding"": 0.6937058568000793, ""image_recognition"": 0.6936511397361755}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
4,160,3392,0.8319969534873962,0.425,0.18195848166942596,0,2.237593412399292,"{""orientation_cued"": 0.6952540278434753, ""motion_duration_cued"": 1.3889479637145996, ""krauzlis_cued_motion"": 0.6936392188072205, ""spatial_binding"": 0.6930063962936401, ""image_recognition"": 0.6891371607780457}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5,200,4272,0.8337127923965454,0.425,0.24221576750278473,0,2.2542788982391357,"{""orientation_cued"": 0.7043479681015015, ""motion_duration_cued"": 1.3771259784698486, ""krauzlis_cued_motion"": 0.6994462013244629, ""spatial_binding"": 0.693581759929657, ""image_recognition"": 0.6940620541572571}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
6,240,5176,0.8314709305763245,0.475,0.23963405191898346,0,2.2899184226989746,"{""orientation_cued"": 0.6868415474891663, ""motion_duration_cued"": 1.401289939880371, ""krauzlis_cued_motion"": 0.6914527416229248, ""spatial_binding"": 0.6930338144302368, ""image_recognition"": 0.6847366094589233}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
7,280,5736,0.8253940224647522,0.5,0.534148097038269,0,1.4480278491973877,"{""orientation_cued"": 0.6867298483848572, ""motion_duration_cued"": 1.3955191373825073, ""krauzlis_cued_motion"": 0.6931748986244202, ""spatial_binding"": 0.6932023167610168, ""image_recognition"": 0.6583439111709595}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.75}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N0_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8,320,6840,0.8367684483528137,0.4,0.2609773278236389,0,2.7998950481414795,"{""orientation_cued"": 0.7020674347877502, ""motion_duration_cued"": 1.3835316896438599, ""krauzlis_cued_motion"": 0.6946393251419067, ""spatial_binding"": 0.6940868496894836, ""image_recognition"": 0.7095169425010681}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9,360,7576,0.8309162616729736,0.525,0.4248593747615814,0,1.851613998413086,"{""orientation_cued"": 0.6936410665512085, ""motion_duration_cued"": 1.3737705945968628, ""krauzlis_cued_motion"": 0.691327691078186, ""spatial_binding"": 0.6934613585472107, ""image_recognition"": 0.7023805975914001}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.875, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10,400,8312,0.8321784377098084,0.45,0.21495023369789124,0,1.867908239364624,"{""orientation_cued"": 0.6938670873641968, ""motion_duration_cued"": 1.4042012691497803, ""krauzlis_cued_motion"": 0.6883792281150818, ""spatial_binding"": 0.6928422451019287, ""image_recognition"": 0.6816023588180542}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
