step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
5209,208360,4375472,0.8336784601211548,0.475,0.07711834460496902,0,2.0348973274230957,"{""orientation_cued"": 0.6896077394485474, ""motion_duration_cued"": 1.3885173797607422, ""krauzlis_cued_motion"": 0.7038775682449341, ""spatial_binding"": 0.6931501030921936, ""image_recognition"": 0.6932395100593567}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5210,208400,4376432,0.6946148143702885,0.575,0.07229328155517578,0,2.6395204067230225,"{""orientation_cued"": 0.6912773251533508, ""motion_duration_cued"": 1.3846421241760254, ""krauzlis_cued_motion"": 0.703793466091156, ""spatial_binding"": 0.6931471824645996, ""image_recognition"": 0.00021397396631073207}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N0_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5211,208440,4377248,0.8266806364059448,0.5,0.06909371167421341,0,2.0814220905303955,"{""orientation_cued"": 0.6928497552871704, ""motion_duration_cued"": 1.3867862224578857, ""krauzlis_cued_motion"": 0.6674456000328064, ""spatial_binding"": 0.6931473612785339, ""image_recognition"": 0.6931742429733276}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5212,208480,4378176,0.8270985960960389,0.45,0.07024382799863815,0,2.425661087036133,"{""orientation_cued"": 0.6957474946975708, ""motion_duration_cued"": 1.385976791381836, ""krauzlis_cued_motion"": 0.6674671173095703, ""spatial_binding"": 0.6931469440460205, ""image_recognition"": 0.6931546330451965}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5213,208520,4379016,0.8484815955162048,0.4,0.16974174976348877,0,2.145195245742798,"{""orientation_cued"": 0.6931296586990356, ""motion_duration_cued"": 1.3875961303710938, ""krauzlis_cued_motion"": 0.7754313945770264, ""spatial_binding"": 0.6931518912315369, ""image_recognition"": 0.6930989027023315}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5214,208560,4379856,0.8198449730873107,0.525,0.10332530736923218,0,2.1421401500701904,"{""orientation_cued"": 0.6932228803634644, ""motion_duration_cued"": 1.3875617980957031, ""krauzlis_cued_motion"": 0.6330490708351135, ""spatial_binding"": 0.6931486129760742, ""image_recognition"": 0.6922425031661987}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.75}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5215,208600,4380848,0.8261516094207764,0.5,0.07322295755147934,0,2.534113883972168,"{""orientation_cued"": 0.6903988122940063, ""motion_duration_cued"": 1.3866804838180542, ""krauzlis_cued_motion"": 0.668049156665802, ""spatial_binding"": 0.6931473612785339, ""image_recognition"": 0.6924822330474854}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5216,208640,4381616,0.8398698806762696,0.45,0.11092352122068405,0,1.9970674514770508,"{""orientation_cued"": 0.6896581053733826, ""motion_duration_cued"": 1.3862320184707642, ""krauzlis_cued_motion"": 0.7368646860122681, ""spatial_binding"": 0.6931462287902832, ""image_recognition"": 0.6934483647346497}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5217,208680,4382272,0.8332222938537598,0.475,0.06876609474420547,0,1.6663212776184082,"{""orientation_cued"": 0.690000593662262, ""motion_duration_cued"": 1.3870699405670166, ""krauzlis_cued_motion"": 0.7022397518157959, ""spatial_binding"": 0.6931523680686951, ""image_recognition"": 0.6936488151550293}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5218,208720,4383176,0.8460886716842652,0.425,0.16536791622638702,0,2.2262606620788574,"{""orientation_cued"": 0.6898130178451538, ""motion_duration_cued"": 1.386367678642273, ""krauzlis_cued_motion"": 0.767885148525238, ""spatial_binding"": 0.693146824836731, ""image_recognition"": 0.6932306885719299}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
