step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
8483,3320,69712,0.8259713649749756,0.55,0.37125563621520996,0,2.2165939807891846,"{""orientation_cued"": 0.680357813835144, ""motion_duration_cued"": 1.3840411901474, ""krauzlis_cued_motion"": 0.6752095818519592, ""spatial_binding"": 0.6821022033691406, ""image_recognition"": 0.7081460356712341}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.5, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.625, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8484,3360,70560,0.827362847328186,0.425,0.5656629204750061,0,2.4579479694366455,"{""orientation_cued"": 0.7089503407478333, ""motion_duration_cued"": 1.4028003215789795, ""krauzlis_cued_motion"": 0.6495343446731567, ""spatial_binding"": 0.6795948147773743, ""image_recognition"": 0.6959344148635864}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.0, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8485,3400,71112,0.8283898234367371,0.5,0.23992764949798584,0,1.5928733348846436,"{""orientation_cued"": 0.7045924067497253, ""motion_duration_cued"": 1.3793182373046875, ""krauzlis_cued_motion"": 0.6756995916366577, ""spatial_binding"": 0.689299464225769, ""image_recognition"": 0.6930394172668457}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8486,3440,72008,0.8328022718429565,0.5,0.3515830636024475,0,2.5999135971069336,"{""orientation_cued"": 0.6835558414459229, ""motion_duration_cued"": 1.4013762474060059, ""krauzlis_cued_motion"": 0.6985109448432922, ""spatial_binding"": 0.6882651448249817, ""image_recognition"": 0.6923031806945801}","{""orientation_cued"": 0.75, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.625, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8487,3480,72920,0.8246545314788818,0.5,0.41374799609184265,0,2.634225845336914,"{""orientation_cued"": 0.6854152083396912, ""motion_duration_cued"": 1.3847259283065796, ""krauzlis_cued_motion"": 0.6445227265357971, ""spatial_binding"": 0.7163122892379761, ""image_recognition"": 0.6922965049743652}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.375, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8488,3520,73880,0.8406429767608643,0.35,0.4276392161846161,0,2.7577741146087646,"{""orientation_cued"": 0.6934736967086792, ""motion_duration_cued"": 1.3888523578643799, ""krauzlis_cued_motion"": 0.7337836027145386, ""spatial_binding"": 0.6904623508453369, ""image_recognition"": 0.6966428756713867}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.25}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8489,3560,74688,0.8428631067276001,0.425,0.6601576805114746,0,2.3433706760406494,"{""orientation_cued"": 0.6915885806083679, ""motion_duration_cued"": 1.3893330097198486, ""krauzlis_cued_motion"": 0.7690685391426086, ""spatial_binding"": 0.666628897190094, ""image_recognition"": 0.6976965069770813}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.75, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8490,3600,75752,0.8170045137405395,0.5,0.47537222504615784,0,3.073742628097534,"{""orientation_cued"": 0.7143309116363525, ""motion_duration_cued"": 1.3860129117965698, ""krauzlis_cued_motion"": 0.638738214969635, ""spatial_binding"": 0.6568019986152649, ""image_recognition"": 0.6891385316848755}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.75, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8491,3640,76504,0.6942950800061226,0.575,0.3610956370830536,0,2.1687333583831787,"{""orientation_cued"": 0.6888974905014038, ""motion_duration_cued"": 1.3914545774459839, ""krauzlis_cued_motion"": 0.6703017950057983, ""spatial_binding"": 0.6789778470993042, ""image_recognition"": 0.04184368997812271}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N0_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8492,3680,77344,0.6924782894551754,0.55,0.31445804238319397,0,2.4312870502471924,"{""orientation_cued"": 0.7059057950973511, ""motion_duration_cued"": 1.3799834251403809, ""krauzlis_cued_motion"": 0.6960561275482178, ""spatial_binding"": 0.642286479473114, ""image_recognition"": 0.03815962001681328}","{""orientation_cued"": 0.25, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.625, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N0_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
