step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
1601,64040,1344880,0.70266494655516,0.5,0.37483227252960205,0,7.934099435806274,"{""orientation_cued"": 0.6979621648788452, ""motion_duration_cued"": 1.3861545324325562, ""krauzlis_cued_motion"": 0.735430121421814, ""spatial_binding"": 0.6926544308662415, ""image_recognition"": 0.001123483176343143}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N0_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
1602,64080,1345528,0.822364091873169,0.5,0.37406066060066223,0,3.504606246948242,"{""orientation_cued"": 0.6877054572105408, ""motion_duration_cued"": 1.3897926807403564, ""krauzlis_cued_motion"": 0.6346462368965149, ""spatial_binding"": 0.6933866143226624, ""image_recognition"": 0.7062894701957703}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N12_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
1603,64120,1346720,0.8310943007469177,0.4,0.2932213246822357,0,6.445648908615112,"{""orientation_cued"": 0.6936434507369995, ""motion_duration_cued"": 1.3887591361999512, ""krauzlis_cued_motion"": 0.6678629517555237, ""spatial_binding"": 0.6929624676704407, ""image_recognition"": 0.7122434973716736}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.25}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
1604,64160,1347264,0.6896190822822973,0.525,0.3098761737346649,0,2.9194347858428955,"{""orientation_cued"": 0.6961722373962402, ""motion_duration_cued"": 1.3899574279785156, ""krauzlis_cued_motion"": 0.6672261953353882, ""spatial_binding"": 0.6935928463935852, ""image_recognition"": 0.001146704307757318}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.375, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N0_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
1605,64200,1348208,0.8141307830810547,0.475,0.6938559412956238,0,5.168001890182495,"{""orientation_cued"": 0.7027261853218079, ""motion_duration_cued"": 1.3849045038223267, ""krauzlis_cued_motion"": 0.5927811861038208, ""spatial_binding"": 0.6926753520965576, ""image_recognition"": 0.6975666880607605}","{""orientation_cued"": 0.25, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.875, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
1606,64240,1349088,0.8239140629768371,0.55,0.505986213684082,0,4.765642881393433,"{""orientation_cued"": 0.6892708539962769, ""motion_duration_cued"": 1.3929492235183716, ""krauzlis_cued_motion"": 0.6660246253013611, ""spatial_binding"": 0.6941486597061157, ""image_recognition"": 0.6771769523620605}","{""orientation_cued"": 0.75, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.25, ""image_recognition"": 0.875}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
1607,64280,1350048,0.8420407772064209,0.425,0.40272077918052673,0,5.245083332061768,"{""orientation_cued"": 0.6928978562355042, ""motion_duration_cued"": 1.3880277872085571, ""krauzlis_cued_motion"": 0.7495705485343933, ""spatial_binding"": 0.693315863609314, ""image_recognition"": 0.6863918304443359}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.625}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
1608,64320,1350720,0.8540130257606506,0.35,0.5317513942718506,0,3.6534485816955566,"{""orientation_cued"": 0.6956601738929749, ""motion_duration_cued"": 1.386411428451538, ""krauzlis_cued_motion"": 0.7948234677314758, ""spatial_binding"": 0.6933960914611816, ""image_recognition"": 0.6997739672660828}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
1609,64360,1351376,0.8127947330474854,0.575,0.5385302901268005,0,2.9914817810058594,"{""orientation_cued"": 0.6760760545730591, ""motion_duration_cued"": 1.3798797130584717, ""krauzlis_cued_motion"": 0.6215351223945618, ""spatial_binding"": 0.6932582259178162, ""image_recognition"": 0.6932245492935181}","{""orientation_cued"": 0.75, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
1610,64400,1352432,0.838745379447937,0.4,0.5562949180603027,0,3.0260415077209473,"{""orientation_cued"": 0.6979095339775085, ""motion_duration_cued"": 1.3959543704986572, ""krauzlis_cued_motion"": 0.7088449001312256, ""spatial_binding"": 0.6920701265335083, ""image_recognition"": 0.6989479660987854}","{""orientation_cued"": 0.25, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.75, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
